"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29"
"commercial";-0,376;-0,395;-0,432;-0,507;-0,488;-0,582;-0,525;-0,395;-0,413;-0,358;0,44;-0,507;-0,469;0,886;26,138;-0,469;-0,45;0,487;0,396;-0,469;0,539;-0,582;13,993;-0,376;-0,413;-0,413;-0,45;-0,525;0,886
"circuler";-0,259;-0,272;-0,297;1,412;-0,336;1,072;-0,362;-0,272;-0,285;-0,246;-0,388;-0,349;-0,323;-0,297;-0,362;-0,323;-0,31;-0,375;-0,401;-0,323;-0,362;-0,401;-0,349;-0,259;2,024;-0,285;78,098;1,317;-0,297
"championnat";-0,23;-0,241;-0,264;-0,31;-0,298;-0,356;-0,321;14,032;-0,253;-0,219;-0,344;-0,31;-0,287;-0,264;-0,321;-0,287;-0,275;-0,333;-0,356;-0,287;-0,321;100,314;-0,31;-0,23;-0,253;-0,253;-0,275;-0,321;-0,264
"chambre";-0,318;-0,333;-0,364;-0,428;0,996;-0,491;0,844;-0,333;-0,349;-0,302;0,714;-0,428;-0,396;1,281;32,167;-0,396;-0,38;-0,459;0,657;-0,396;-0,443;-0,491;-0,428;-0,318;-0,349;1,395;1,178;-0,443;-0,364
"candidat";-0,318;-0,333;-0,364;-0,428;84,582;-0,491;0,844;-0,333;-0,349;-0,302;-0,475;0,917;-0,396;-0,364;0,844;-0,396;-0,38;-0,459;-0,491;-0,396;-0,443;-0,491;-0,428;-0,318;-0,349;1,395;-0,38;0,844;-0,364
"caméra";2,847;-0,241;2,302;-0,31;-0,298;1,374;-0,321;-0,241;-0,253;-0,219;1,462;-0,31;2,013;-0,264;-0,321;-0,287;-0,275;-0,333;-0,356;2,013;-0,321;1,374;-0,31;2,847;-0,253;-0,253;-0,275;-0,321;-0,264
"cadeau";-0,23;-0,241;-0,264;-0,31;-0,298;-0,356;-0,321;2,648;-0,253;-0,219;-0,344;-0,31;-0,287;2,302;1,657;-0,287;2,151;-0,333;-0,356;-0,287;-0,321;8,649;-0,31;-0,23;-0,253;-0,253;-0,275;9,869;-0,264
"benjamin";-0,376;-0,395;0,886;13,993;-0,488;-0,582;-0,525;1,08;-0,413;-0,358;-0,563;5,092;-0,469;0,886;-0,525;-0,469;-0,45;12,742;-0,582;-0,469;-0,525;0,396;-0,507;-0,376;0,978;-0,413;-0,45;-0,525;-0,432
"avril";-0,347;-0,364;-0,398;5,78;0,811;-0,537;-0,484;-0,364;-0,381;-0,33;-0,519;-0,467;-0,432;-0,398;5,475;-0,432;-0,415;-0,502;4,68;-0,432;0,676;-0,537;-0,467;-0,347;1,167;1,167;6,845;-0,484;-0,398
"avion";-0,376;-0,395;0,886;-0,507;-0,488;-0,582;-0,525;-0,395;-0,413;-0,358;-0,563;-0,507;-0,469;-0,432;-0,525;-0,469;-0,45;0,487;0,396;49,077;4,813;-0,582;5,092;-0,376;-0,413;-0,413;0,803;-0,525;-0,432
"avancé";-0,376;-0,395;-0,432;-0,507;-0,488;0,396;64,501;-0,395;0,978;-0,358;-0,563;-0,507;5,718;-0,432;-0,525;-0,469;6,07;-0,544;-0,582;-0,469;-0,525;-0,582;-0,507;-0,376;-0,413;-0,413;0,803;-0,525;-0,432
"australien";-0,23;2,648;-0,264;-0,31;-0,298;-0,356;-0,321;-0,241;-0,253;-0,219;-0,344;-0,31;-0,287;-0,264;-0,321;2,013;-0,275;-0,333;-0,356;-0,287;24,956;8,649;-0,31;-0,23;-0,253;-0,253;-0,275;-0,321;2,302
"attirer";-0,347;1,28;-0,398;-0,467;-0,45;-0,537;0,676;-0,364;7,716;-0,33;-0,519;-0,467;-0,432;-0,398;-0,484;-0,432;-0,415;-0,502;-0,537;0,888;-0,484;0,512;30,157;1,404;-0,381;1,167;-0,415;-0,484;-0,398
"assurance";-0,259;-0,272;-0,297;-0,349;-0,336;1,072;-0,362;-0,272;-0,285;-0,246;-0,388;-0,349;-0,323;-0,297;-0,362;-0,323;-0,31;-0,375;-0,401;1,626;-0,362;-0,401;-0,349;12,815;2,024;-0,285;-0,31;40,902;-0,297
"approcher";-0,318;-0,333;-0,364;6,598;-0,412;0,657;6,264;-0,333;1,395;-0,302;5,662;-0,428;1,083;-0,364;-0,443;-0,396;-0,38;-0,459;-0,491;-0,396;-0,443;0,657;-0,428;-0,318;1,395;-0,349;-0,38;-0,443;-0,364
"amateur";-0,259;-0,272;-0,297;8,805;-0,336;-0,401;-0,362;-0,272;2,024;-0,246;-0,388;1,412;-0,323;-0,297;-0,362;-0,323;-0,31;-0,375;-0,401;-0,323;1,317;-0,401;42,58;-0,259;-0,285;-0,285;-0,31;-0,362;-0,297
"actif";-0,288;-0,302;-0,331;-0,388;-0,374;0,839;-0,403;-0,302;-0,317;-0,274;-0,432;-0,388;1,324;-0,331;-0,403;8,415;1,431;-0,417;-0,446;-0,359;-0,403;-0,446;-0,388;1,971;-0,317;-0,317;8,879;1,053;1,547
"équiper";-0,347;-0,364;-0,398;0,74;-0,45;0,512;-0,484;-0,364;-0,381;-0,33;-0,519;-0,467;0,888;-0,398;-0,484;-0,432;-0,415;-0,502;-0,537;6,462;0,676;0,512;-0,467;8,757;1,167;-0,381;0,972;0,676;-0,398
"éliminer";-0,347;-0,364;1,065;-0,467;-0,45;4,68;0,676;21,161;-0,381;-0,33;-0,519;-0,467;0,888;-0,398;0,676;-0,432;-0,415;0,616;-0,537;-0,432;-0,484;4,68;-0,467;-0,347;-0,381;-0,381;-0,415;-0,484;-0,398
"zoo";-0,114;-0,12;-0,131;-0,154;-0,148;-0,177;-0,16;-0,12;-0,126;-0,109;-0,171;-0,154;-0,143;-0,131;-0,16;-0,143;-0,137;-0,165;-0,177;-0,143;-0,16;-0,177;-0,154;-0,114;-0,126;-0,126;-0,137;-0,16;123,149
"voisin";-0,288;-0,302;-0,331;-0,388;-0,374;-0,446;-0,403;-0,302;-0,317;11,91;-0,432;-0,388;1,324;1,547;1,053;-0,359;-0,345;0,976;-0,446;1,324;7,218;-0,446;1,136;-0,288;-0,317;-0,317;-0,345;-0,403;-0,331
"vd";-0,201;-0,211;-0,231;12,312;-0,261;-0,311;-0,281;-0,211;-0,221;-0,191;-0,301;-0,271;-0,251;-0,231;-0,281;-0,251;-0,241;-0,291;-0,311;-0,251;-0,281;-0,311;30,507;-0,201;-0,221;-0,221;2,68;-0,281;2,855
"usage";-0,259;-0,272;-0,297;-0,349;1,515;59,446;1,317;-0,272;-0,285;-0,246;-0,388;-0,349;-0,323;-0,297;-0,362;-0,323;-0,31;-0,375;-0,401;1,626;-0,362;-0,401;-0,349;-0,259;-0,285;-0,285;-0,31;1,317;-0,297
"trouble";-0,288;-0,302;-0,331;1,136;-0,374;32,132;1,053;-0,302;-0,317;-0,274;-0,432;-0,388;-0,359;-0,331;-0,403;21,632;-0,345;-0,417;-0,446;-0,359;-0,403;-0,446;-0,388;-0,288;1,675;-0,317;-0,345;-0,403;-0,331
"tarif";-0,172;-0,181;-0,197;-0,232;-0,223;-0,266;-0,24;19,904;-0,189;-0,164;-0,258;-0,232;-0,215;-0,197;-0,24;-0,215;-0,206;-0,249;-0,266;-0,215;-0,24;-0,266;2,867;4,343;3,827;-0,189;-0,206;2,716;-0,197
"sélection";-0,288;-0,302;-0,331;-0,388;-0,374;-0,446;-0,403;117,394;-0,317;-0,274;0,905;-0,388;-0,359;-0,331;-0,403;-0,359;-0,345;-0,417;-0,446;-0,359;-0,403;6,252;1,136;-0,288;-0,317;-0,317;-0,345;-0,403;-0,331
"stress";-0,201;-0,211;-0,231;-0,271;-0,261;10,378;2,105;-0,211;-0,221;-0,191;-0,301;-0,271;-0,251;-0,231;-0,281;13,504;-0,241;-0,291;-0,311;-0,251;-0,281;-0,311;-0,271;-0,201;-0,221;-0,221;-0,241;2,105;2,855
"st";-0,259;-0,272;1,879;1,412;-0,336;-0,401;-0,362;2,183;2,024;-0,246;-0,388;-0,349;-0,323;-0,297;-0,362;-0,323;-0,31;-0,375;-0,401;-0,323;1,317;-0,401;22,527;-0,259;-0,285;-0,285;1,747;-0,362;-0,297
"sommet";-0,288;-0,302;-0,331;1,136;-0,374;-0,446;-0,403;-0,302;-0,317;-0,274;-0,432;-0,388;-0,359;9,383;1,053;-0,359;-0,345;0,976;-0,446;1,324;-0,403;0,839;1,136;1,971;-0,317;1,675;-0,345;-0,403;-0,331
"sol";-0,288;-0,302;9,383;-0,388;-0,374;0,839;-0,403;-0,302;-0,317;-0,274;-0,432;-0,388;-0,359;-0,331;-0,403;-0,359;-0,345;0,976;-0,446;-0,359;36,094;0,839;1,136;-0,288;-0,317;-0,317;-0,345;-0,403;-0,331
"simple";-0,318;-0,333;-0,364;-0,428;0,996;5,391;6,264;-0,333;-0,349;-0,302;0,714;-0,428;7,347;-0,364;-0,443;-0,396;1,178;-0,459;-0,491;-0,396;-0,443;0,657;-0,428;-0,318;-0,349;-0,349;-0,38;0,844;-0,364
"significatif";-0,376;-0,395;-0,432;-0,507;0,659;0,396;0,539;-0,395;-0,413;-0,358;-0,563;-0,507;-0,469;-0,432;4,813;5,718;-0,45;-0,544;-0,582;-0,469;-0,525;-0,582;0,597;-0,376;0,978;-0,413;16,251;0,539;-0,432
"signature";-0,172;-0,181;-0,197;-0,232;-0,223;-0,266;-0,24;-0,181;-0,189;-0,164;2,444;-0,232;3,205;-0,197;14,334;-0,215;-0,206;2,575;-0,266;-0,215;-0,24;-0,266;-0,232;-0,172;-0,189;3,827;-0,206;-0,24;-0,197
"servir";-0,288;-0,302;-0,331;-0,388;-0,374;0,839;-0,403;10,53;-0,317;-0,274;-0,432;1,136;-0,359;-0,331;-0,403;1,324;-0,345;-0,417;0,839;1,324;1,053;-0,446;1,136;-0,288;-0,317;-0,317;-0,345;1,053;-0,331
"résidence";-0,288;1,816;-0,331;-0,388;-0,374;-0,446;-0,403;-0,302;1,675;11,91;-0,432;-0,388;-0,359;1,547;1,053;-0,359;-0,345;-0,417;6,252;-0,359;1,053;-0,446;-0,388;-0,288;-0,317;-0,317;-0,345;1,053;-0,331
"réserver";-0,143;-0,15;-0,164;-0,193;-0,186;-0,222;-0,2;-0,15;4,932;-0,136;-0,214;-0,193;4,18;-0,164;-0,2;-0,179;-0,171;-0,207;-0,222;48,695;-0,2;-0,222;-0,193;-0,143;-0,157;-0,157;-0,171;-0,2;-0,164
"règle";-0,259;-0,272;-0,297;-0,349;-0,336;-0,401;-0,362;-0,272;-0,285;-0,246;-0,388;-0,349;1,626;-0,297;8,392;-0,323;-0,31;-0,375;-0,401;1,626;1,317;1,072;-0,349;-0,259;2,024;-0,285;-0,31;1,317;1,879
"royaume";1,971;-0,302;-0,331;-0,388;-0,374;-0,446;1,053;-0,302;-0,317;-0,274;0,905;-0,388;-0,359;1,547;7,218;-0,359;1,431;-0,417;-0,446;-0,359;1,053;0,839;1,136;-0,288;-0,317;-0,317;-0,345;-0,403;-0,331
"retirer";-0,347;1,28;-0,398;-0,467;-0,45;0,512;-0,484;-0,364;-0,381;-0,33;0,562;-0,467;-0,432;-0,398;-0,484;-0,432;0,972;0,616;25,598;-0,432;-0,484;4,68;-0,467;-0,347;-0,381;1,167;-0,415;-0,484;-0,398
"responsabilité";-0,318;-0,333;-0,364;-0,428;6,958;-0,491;-0,443;1,521;-0,349;-0,302;-0,475;-0,428;1,083;1,281;-0,443;1,083;1,178;-0,459;0,657;-0,396;0,844;-0,491;-0,428;-0,318;-0,349;1,395;-0,38;-0,443;1,281
"rassembler";-0,23;-0,241;-0,264;-0,31;-0,298;-0,356;-0,321;-0,241;-0,253;-0,219;-0,344;1,767;-0,287;2,302;1,657;-0,287;-0,275;-0,333;-0,356;-0,287;9,869;1,374;1,767;-0,23;2,467;-0,253;-0,275;-0,321;-0,264
"rapidement";-0,376;-0,395;-0,432;0,597;-0,488;-0,582;-0,525;7,326;-0,413;1,319;0,44;0,597;-0,469;-0,432;0,539;-0,469;0,803;-0,544;-0,582;-0,469;13,346;-0,582;-0,507;-0,376;-0,413;0,978;-0,45;-0,525;0,886
"proposition";-0,318;-0,333;-0,364;-0,428;0,996;5,391;-0,443;-0,333;-0,349;-0,302;0,714;-0,428;-0,396;1,281;-0,443;-0,396;-0,38;0,776;0,657;-0,396;-0,443;-0,491;-0,428;1,659;-0,349;8,72;-0,38;0,844;-0,364
"pro";-0,201;-0,211;-0,231;-0,271;-0,261;-0,311;-0,281;-0,211;-0,221;-0,191;-0,301;-0,271;-0,251;-0,231;2,105;-0,251;-0,241;28,168;-0,311;-0,251;-0,281;1,774;-0,271;-0,201;-0,221;3,046;-0,241;2,105;-0,231
"polémique";-0,318;9,263;-0,364;-0,428;-0,412;0,657;-0,443;1,521;1,395;-0,302;-0,475;0,917;-0,396;-0,364;-0,443;-0,396;-0,38;-0,459;5,391;-0,396;-0,443;0,657;-0,428;-0,318;-0,349;8,72;-0,38;-0,443;-0,364
"payer";-0,288;-0,302;-0,331;-0,388;-0,374;-0,446;-0,403;1,816;-0,317;-0,274;-0,432;-0,388;-0,359;-0,331;1,053;-0,359;-0,345;0,976;-0,446;1,324;7,218;0,839;-0,388;1,971;-0,317;-0,317;-0,345;7,218;-0,331
"olympique";-0,318;-0,333;40,182;-0,428;-0,412;-0,491;-0,443;1,521;1,395;-0,302;0,714;-0,428;-0,396;-0,364;-0,443;-0,396;-0,38;-0,459;-0,491;-0,396;-0,443;28,565;-0,428;-0,318;-0,349;-0,349;-0,38;-0,443;-0,364
"obligation";-0,143;-0,15;-0,164;-0,193;-0,186;-0,222;-0,2;-0,15;-0,157;-0,136;-0,214;-0,193;-0,179;-0,164;-0,2;20,352;-0,171;-0,207;3,105;-0,179;-0,2;-0,222;-0,193;-0,143;-0,157;-0,157;-0,171;17,928;-0,164
"numéro";2,357;-0,272;-0,297;-0,349;-0,336;-0,401;-0,362;-0,272;11,417;-0,246;-0,388;-0,349;9,727;-0,297;1,317;-0,323;-0,31;-0,375;-0,401;-0,323;-0,362;1,072;1,412;-0,259;-0,285;-0,285;1,747;-0,362;-0,297
"numérique";-0,201;-0,211;-0,231;-0,271;-0,261;1,774;-0,281;-0,211;-0,221;-0,191;-0,301;2,233;-0,251;-0,231;-0,281;13,504;-0,241;-0,291;-0,311;-0,251;-0,281;-0,311;2,233;17,487;-0,221;-0,221;-0,241;-0,281;-0,231
"municipal";-0,201;-0,211;-0,231;-0,271;12,885;-0,311;-0,281;-0,211;-0,221;-0,191;-0,301;-0,271;-0,251;-0,231;2,105;-0,251;-0,241;-0,291;-0,311;13,504;-0,281;-0,311;-0,271;-0,201;-0,221;15,685;-0,241;-0,281;-0,231
"montant";-0,23;-0,241;-0,264;-0,31;-0,298;1,374;1,657;-0,241;-0,253;-0,219;-0,344;-0,31;-0,287;-0,264;1,657;-0,287;-0,275;1,556;-0,356;-0,287;-0,321;-0,356;1,767;14,856;-0,253;-0,253;-0,275;1,657;-0,264
"mission";1,971;-0,302;-0,331;-0,388;7,986;0,839;-0,403;-0,302;-0,317;-0,274;-0,432;7,588;-0,359;1,547;-0,403;-0,359;-0,345;-0,417;-0,446;-0,359;1,053;0,839;-0,388;-0,288;-0,317;1,675;-0,345;-0,403;-0,331
"matche";-0,318;-0,333;-0,364;-0,428;-0,412;-0,491;-0,443;105,783;-0,349;-0,302;-0,475;-0,428;-0,396;-0,364;-0,443;-0,396;-0,38;-0,459;-0,491;-0,396;-0,443;28,565;-0,428;-0,318;-0,349;1,395;-0,38;-0,443;-0,364
"magazine";-0,23;-0,241;-0,264;-0,31;-0,298;-0,356;1,657;-0,241;2,467;-0,219;1,462;-0,31;-0,287;-0,264;1,657;-0,287;2,151;-0,333;-0,356;-0,287;-0,321;1,374;1,767;-0,23;-0,253;-0,253;-0,275;1,657;-0,264
"lune";-0,114;-0,12;-0,131;5,14;-0,148;-0,177;-0,16;-0,12;-0,126;-0,109;4,49;-0,154;-0,143;-0,131;-0,16;5,658;-0,137;-0,165;-0,177;-0,143;-0,16;-0,177;5,14;-0,114;-0,126;-0,126;-0,137;-0,16;-0,131
"londres";-0,288;1,816;-0,331;1,136;-0,374;-0,446;-0,403;-0,302;-0,317;-0,274;-0,432;1,136;-0,359;-0,331;-0,403;-0,359;1,431;-0,417;-0,446;1,324;-0,403;32,132;1,136;-0,288;-0,317;-0,317;-0,345;-0,403;-0,331
"limité";-0,318;-0,333;-0,364;-0,428;-0,412;-0,491;0,844;-0,333;-0,349;-0,302;-0,475;0,917;-0,396;1,281;0,844;1,083;-0,38;-0,459;-0,491;36,605;-0,443;-0,491;-0,428;-0,318;8,72;-0,349;-0,38;-0,443;-0,364
"judiciaire";-0,143;-0,15;-0,164;-0,193;3,966;-0,222;-0,2;-0,15;-0,157;-0,136;-0,214;-0,193;-0,179;4,66;-0,2;-0,179;-0,171;-0,207;38,784;-0,179;-0,2;-0,222;-0,193;-0,143;-0,157;-0,157;-0,171;-0,2;-0,164
"interne";-0,318;-0,333;21,19;-0,428;0,996;-0,491;0,844;-0,333;-0,349;-0,302;-0,475;0,917;-0,396;1,281;-0,443;-0,396;-0,38;-0,459;5,391;-0,396;-0,443;-0,491;-0,428;1,659;1,395;-0,349;-0,38;-0,443;-0,364
"informer";-0,259;-0,272;-0,297;8,805;-0,336;-0,401;-0,362;2,183;-0,285;-0,246;-0,388;-0,349;-0,323;-0,297;-0,362;-0,323;-0,31;-0,375;-0,401;-0,323;-0,362;-0,401;1,412;2,357;-0,285;2,024;10,245;1,317;-0,297
"idéal";-0,201;-0,211;-0,231;2,233;-0,261;-0,311;-0,281;-0,211;-0,221;-0,191;-0,301;30,507;-0,251;-0,231;-0,281;-0,251;14,172;-0,291;-0,311;-0,251;-0,281;-0,311;-0,271;-0,201;-0,221;-0,221;-0,241;-0,281;2,855
"helvétique";-0,376;-0,395;32,921;-0,507;0,659;-0,582;-0,525;7,326;-0,413;-0,358;0,44;-0,507;-0,469;-0,432;-0,525;0,728;-0,45;-0,544;-0,582;-0,469;-0,525;4,085;0,597;1,193;-0,413;-0,413;-0,45;-0,525;-0,432
"guy";14,856;-0,241;-0,264;-0,31;1,885;-0,356;-0,321;-0,241;-0,253;-0,219;-0,344;-0,31;2,013;-0,264;46,919;-0,287;-0,275;-0,333;-0,356;-0,287;-0,321;-0,356;-0,31;-0,23;-0,253;-0,253;-0,275;-0,321;-0,264
"gall";-0,114;-0,12;-0,131;-0,154;-0,148;-0,177;-0,16;6,979;-0,126;-0,109;-0,171;-0,154;-0,143;-0,131;-0,16;-0,143;-0,137;-0,165;-0,177;-0,143;-0,16;20,873;-0,154;-0,114;-0,126;-0,126;5,948;-0,16;-0,131
"fêter";-0,376;1,08;17,131;-0,507;-0,488;-0,582;-0,525;7,326;-0,413;-0,358;4,311;-0,507;-0,469;-0,432;0,539;-0,469;-0,45;-0,544;-0,582;-0,469;-0,525;23,093;-0,507;-0,376;-0,413;-0,413;-0,45;-0,525;-0,432
"frontalier";-0,201;-0,211;-0,231;-0,271;-0,261;-0,311;-0,281;-0,211;-0,221;-0,191;-0,301;-0,271;2,519;-0,231;-0,281;-0,251;2,68;28,168;-0,311;-0,251;-0,281;-0,311;-0,271;-0,201;-0,221;-0,221;14,172;-0,281;-0,231
"fermeture";-0,172;-0,181;-0,197;-0,232;3,029;-0,266;-0,24;-0,181;-0,189;4,641;-0,258;-0,232;-0,215;3,602;-0,24;-0,215;-0,206;-0,249;-0,266;-0,215;14,334;-0,266;2,867;-0,172;-0,189;-0,189;-0,206;-0,24;-0,197
"explosif";-0,143;-0,15;-0,164;-0,193;-0,186;-0,222;-0,2;-0,15;-0,157;5,916;-0,214;3,769;-0,179;-0,164;-0,2;-0,179;-0,171;-0,207;-0,222;4,18;17,928;-0,222;-0,193;-0,143;-0,157;-0,157;-0,171;-0,2;-0,164
"exception";-0,172;-0,181;-0,197;-0,232;-0,223;-0,266;-0,24;-0,181;3,827;-0,164;2,444;-0,232;3,205;-0,197;-0,24;-0,215;-0,206;2,575;-0,266;3,205;-0,24;-0,266;-0,232;-0,172;-0,189;3,827;-0,206;-0,24;-0,197
"envoyer";-0,318;-0,333;-0,364;-0,428;-0,412;0,657;-0,443;1,521;1,395;10,515;-0,475;-0,428;-0,396;-0,364;-0,443;-0,396;-0,38;0,776;-0,491;7,347;-0,443;0,657;-0,428;-0,318;-0,349;-0,349;-0,38;6,264;-0,364
"entretien";-0,318;-0,333;-0,364;-0,428;-0,412;0,657;6,264;1,521;-0,349;-0,302;-0,475;0,917;-0,396;8,223;-0,443;-0,396;-0,38;-0,459;5,391;1,083;0,844;-0,491;-0,428;-0,318;-0,349;-0,349;-0,38;-0,443;-0,364
"emji_train";-0,318;-0,333;-0,364;-0,428;-0,412;-0,491;-0,443;-0,333;-0,349;-0,302;-0,475;-0,428;1,083;-0,364;-0,443;-0,396;-0,38;-0,459;-0,491;-0,396;0,844;-0,491;-0,428;1,659;-0,349;-0,349;168,934;-0,443;-0,364
"effectuer";-0,347;-0,364;1,065;0,74;-0,45;-0,537;-0,484;-0,364;-0,381;-0,33;-0,519;-0,467;-0,432;-0,398;0,676;-0,432;-0,415;-0,502;-0,537;-0,432;-0,484;-0,537;-0,467;-0,347;-0,381;-0,381;115,958;5,475;-0,398
"déployer";-0,406;-0,426;-0,466;-0,546;-0,526;-0,628;-0,567;-0,426;0,821;7,546;-0,607;-0,546;5,085;-0,466;0,428;-0,506;-0,486;-0,587;-0,628;5,085;12,033;-0,628;0,479;-0,406;-0,446;0,821;0,663;-0,567;-0,466
"décrocher";-0,318;-0,333;40,182;-0,428;-0,412;-0,491;-0,443;44,413;-0,349;-0,302;-0,475;-0,428;-0,396;-0,364;-0,443;-0,396;-0,38;-0,459;-0,491;-0,396;-0,443;14,693;-0,428;-0,318;-0,349;-0,349;-0,38;-0,443;-0,364
"durer";1,659;-0,333;-0,364;-0,428;-0,412;-0,491;0,844;-0,333;-0,349;-0,302;0,714;0,917;-0,396;1,281;0,844;-0,396;-0,38;0,776;0,657;-0,396;-0,443;14,693;-0,428;-0,318;-0,349;-0,349;-0,38;-0,443;-0,364
"drone";-0,172;-0,181;-0,197;-0,232;-0,223;-0,266;-0,24;-0,181;-0,189;52,884;-0,258;-0,232;-0,215;3,602;-0,24;-0,215;-0,206;2,575;-0,266;-0,215;-0,24;-0,266;-0,232;-0,172;-0,189;3,827;-0,206;-0,24;-0,197
"doute";-0,347;-0,364;7,262;-0,467;-0,45;0,512;0,676;-0,364;-0,381;-0,33;-0,519;0,74;-0,432;-0,398;0,676;-0,432;-0,415;0,616;4,68;0,888;0,676;0,512;-0,467;-0,347;-0,381;-0,381;-0,415;-0,484;-0,398
"don";-0,086;-0,09;-0,098;-0,115;-0,111;-0,133;-0,12;-0,09;-0,094;-0,082;-0,128;-0,115;-0,107;-0,098;-0,12;8,144;-0,103;-0,124;-0,133;-0,107;-0,12;-0,133;-0,115;-0,086;9,412;-0,094;8,532;-0,12;-0,098
"diriger";-0,376;-0,395;0,886;-0,507;5,393;-0,582;4,813;1,08;-0,413;-0,358;0,44;0,597;-0,469;-0,432;4,813;-0,469;-0,45;-0,544;0,396;-0,469;0,539;0,396;-0,507;-0,376;-0,413;-0,413;-0,45;-0,525;-0,432
"célébrer";-0,318;1,521;-0,364;-0,428;-0,412;-0,491;-0,443;-0,333;1,395;-0,302;0,714;0,917;-0,396;1,281;-0,443;-0,396;-0,38;-0,459;-0,491;-0,396;-0,443;5,391;17,473;-0,318;-0,349;-0,349;1,178;-0,443;-0,364
"couvrir";-0,288;-0,302;-0,331;-0,388;-0,374;-0,446;1,053;-0,302;1,675;-0,274;-0,432;-0,388;1,324;1,547;-0,403;-0,359;-0,345;-0,417;-0,446;8,415;1,053;0,839;-0,388;1,971;-0,317;-0,317;-0,345;1,053;-0,331
"courant";-0,376;-0,395;-0,432;0,597;0,659;0,396;13,346;1,08;0,978;1,319;-0,563;0,597;-0,469;-0,432;-0,525;0,728;-0,45;-0,544;0,396;-0,469;-0,525;-0,582;-0,507;-0,376;-0,413;-0,413;0,803;-0,525;-0,432
"consommateur";-0,23;-0,241;-0,264;-0,31;-0,298;1,374;-0,321;-0,241;-0,253;-0,219;1,462;1,767;2,013;-0,264;-0,321;-0,287;-0,275;-0,333;-0,356;2,013;-0,321;-0,356;-0,31;-0,23;2,467;-0,253;-0,275;9,869;-0,264
"conduire";-0,23;-0,241;-0,264;-0,31;1,885;1,374;-0,321;-0,241;-0,253;-0,219;-0,344;-0,31;2,013;-0,264;-0,321;-0,287;-0,275;23,969;-0,356;-0,287;1,657;-0,356;-0,31;-0,23;-0,253;-0,253;2,151;-0,321;-0,264
"coalition";-0,318;-0,333;-0,364;-0,428;57,11;-0,491;-0,443;-0,333;-0,349;1,813;-0,475;-0,428;-0,396;-0,364;32,167;-0,396;-0,38;-0,459;-0,491;-0,396;-0,443;-0,491;-0,428;-0,318;-0,349;-0,349;-0,38;-0,443;1,281
"cible";-0,318;-0,333;-0,364;-0,428;-0,412;-0,491;-0,443;-0,333;-0,349;1,813;-0,475;0,917;1,083;-0,364;-0,443;-0,396;-0,38;5,953;-0,491;1,083;0,844;0,657;-0,428;1,659;-0,349;8,72;-0,38;-0,443;-0,364
"centrale";-0,288;-0,302;-0,331;-0,388;1,226;0,839;-0,403;-0,302;1,675;-0,274;-0,432;-0,388;1,324;1,547;-0,403;1,324;-0,345;-0,417;-0,446;-0,359;-0,403;-0,446;-0,388;-0,288;-0,317;-0,317;42,863;-0,403;-0,331
"cardiaque";-0,259;2,183;-0,297;-0,349;-0,336;19,122;8,392;-0,272;-0,285;-0,246;-0,388;-0,349;-0,323;-0,297;-0,362;-0,323;-0,31;-0,375;-0,401;1,626;-0,362;1,072;-0,349;-0,259;-0,285;-0,285;-0,31;1,317;-0,297
"cambriolage";4,343;-0,181;-0,197;-0,232;-0,223;-0,266;-0,24;-0,181;-0,189;-0,164;-0,258;-0,232;3,205;-0,197;-0,24;-0,215;-0,206;-0,249;2,322;-0,215;2,716;-0,266;2,867;4,343;-0,189;-0,189;-0,206;-0,24;-0,197
"cacher";-0,347;1,28;-0,398;-0,467;-0,45;13,042;-0,484;-0,364;1,167;-0,33;-0,519;-0,467;-0,432;1,065;5,475;-0,432;-0,415;-0,502;0,512;-0,432;-0,484;0,512;5,78;-0,347;-0,381;-0,381;-0,415;-0,484;-0,398
"bébé";-0,259;-0,272;-0,297;-0,349;-0,336;1,072;21,587;-0,272;-0,285;-0,246;-0,388;-0,349;-0,323;-0,297;-0,362;-0,323;10,245;-0,375;-0,401;1,626;-0,362;-0,401;-0,349;-0,259;-0,285;-0,285;-0,31;-0,362;10,806
"britannique";-0,347;-0,364;-0,398;-0,467;-0,45;-0,537;28,899;1,28;-0,381;-0,33;4,927;-0,467;-0,432;-0,398;0,676;-0,432;-0,415;-0,502;-0,537;-0,432;5,475;0,512;0,74;-0,347;-0,381;-0,381;-0,415;-0,484;-0,398
"bloquer";-0,318;-0,333;-0,364;-0,428;0,996;0,657;-0,443;-0,333;-0,349;10,515;-0,475;-0,428;-0,396;-0,364;0,844;1,083;-0,38;5,953;0,657;-0,396;-0,443;0,657;-0,428;-0,318;1,395;-0,349;-0,38;-0,443;-0,364
"bientôt";-0,259;-0,272;-0,297;-0,349;-0,336;-0,401;-0,362;-0,272;-0,285;-0,246;-0,388;1,412;-0,323;-0,297;1,317;-0,323;-0,31;1,229;-0,401;-0,323;-0,362;1,072;-0,349;-0,259;-0,285;11,417;1,747;8,392;-0,297
