"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29"
"temporairement";1;1;1;0,135;0,124;1;0,147;1;1;1;1;1;1;1;1;1;1;1;0,183;1;0,147;0,183;1;1;1;1;0,102;1;1
"talent";1;1;1;1;1;1;1;0,002;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"tabac";1;1;1;1;1;0,012;1;1;1;1;1;1;1;1;1;1;0,003;1;1;0,004;1;1;1;1;1;1;1;1;1
"sûr";1;1;0,129;0,184;1;0,241;0,198;1;1;1;1;1;0,156;1;1;1;0,142;1;0,241;1;1;1;1;1;1;0,116;1;1;1
"symptôme";1;1;1;1;1;0,128;0,099;1;1;1;1;1;0,073;1;1;0,073;0,065;1;1;1;1;1;1;1;0,05;1;1;1;1
"suédois";1;1;0,091;1;1;1;1;0;1;1;0,171;1;0,112;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"surface";1;1;1;0,003;1;1;0,004;0;1;1;1;0,235;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,186;1;1
"stabilité";1;1;1;1;0;1;1;1;1;1;1;1;1;0,091;0,147;1;1;0,001;1;1;1;1;1;1;1;1;1;1;1
"spécialiser";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0,128;0,073;1;0,128;1;1;1;1;1;0,099;1
"souffrir";1;1;0;1;1;1;0,198;1;1;1;1;1;1;0,129;1;0;1;1;1;0,156;1;1;1;1;1;1;1;1;1
"solaire";1;1;1;0,09;1;0,128;0,099;1;1;0,031;1;1;0,073;1;1;1;1;1;1;0,073;1;1;1;1;1;1;1;1;1
"slovénie";1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"scolaire";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"schuerpf";1;1;1;1;1;1;1;1;1;1;1;1;0,002;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0,004;1
"salle";1;1;1;1;1;1;1;1;0,081;1;0,001;0,135;1;1;1;1;0,102;0,159;1;1;1;0,183;1;1;1;1;1;1;1
"routier";1;1;1;0,135;1;0,183;1;1;1;0,053;1;1;0,112;1;1;1;1;1;0,183;1;1;1;1;0;1;1;1;1;1
"revanche";1;1;1;0,184;1;0,003;1;0,104;1;1;1;1;1;1;0,198;1;1;1;0,241;1;1;1;1;1;1;0,116;1;0,198;1
"restriction";1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0,109;0,128;1;1;1;1;1;1;1;1;1;1
"reposer";1;1;1;1;0,124;1;0,001;0,071;1;1;1;1;1;1;1;1;1;1;1;0,112;1;1;0,135;1;1;1;0,102;1;1
"remplir";1;1;1;1;0,002;0,3;0,251;1;1;1;1;0,235;1;1;1;1;1;1;0,3;1;1;0,007;1;0,125;1;1;1;1;1
"regarder";1;1;1;1;0,218;0,3;1;1;0,001;1;1;0,235;1;1;1;1;1;1;1;1;1;0,3;0,235;1;1;1;1;1;0,001
"pénurie";1;1;1;1;0,124;1;1;1;1;1;1;1;1;1;1;1;1;0,159;1;0,112;0,147;1;1;0,062;0,081;0,081;1;1;1
"puissant";1;1;1;1;1;0,241;1;1;1;0;1;1;1;1;0,198;1;1;0,212;0,241;1;1;1;1;1;1;1;1;1;0,129
"puissance";1;1;1;1;0,124;1;1;1;1;1;1;0,135;1;1;1;1;0,102;0,159;1;1;1;1;1;0;1;0,081;1;1;1
"publicité";1;1;1;1;1;1;1;1;1;1;0;0,09;1;1;1;1;0,065;1;1;1;1;1;1;0,037;1;1;1;1;0,058
"préparation";1;1;1;0,184;1;0,241;0,198;0,104;1;0,08;1;1;1;1;1;1;1;0,212;1;1;1;1;0,184;1;1;1;1;0,198;1
"préférer";1;0,104;1;1;1;1;0,198;1;1;1;1;0,184;1;1;0,198;1;1;1;1;1;1;0,241;0,184;0;1;1;1;1;1
"précipitation";1;1;1;0;1;1;1;1;1;0,001;1;1;1;1;1;1;0,232;1;1;1;1;1;1;1;1;1;1;1;1
"province";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,212;1;1;1;1;0,184;1;1;1;1;1;1
"prolongé";1;1;1;1;1;0,3;1;1;1;1;0,284;0,235;1;0,17;1;1;1;1;0,3;1;0,251;1;1;1;0,155;1;0,001;1;1
"privilégier";1;1;1;1;1;0;1;1;1;1;1;1;1;0,091;1;0,112;0,102;1;1;1;1;1;1;1;1;1;1;0,147;1
"prisonnier";1;1;1;1;1;1;1;1;1;0,001;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
"prestation";1;1;1;1;1;1;1;0,071;1;1;1;1;1;1;1;1;0,102;0,159;1;0,112;0,147;1;1;1;1;0,081;1;0,147;1
"post";0,16;1;1;1;1;1;1;0,178;1;0,001;1;1;1;1;1;0,25;0,232;1;1;0,004;1;1;0,287;1;0,196;1;1;1;1
