"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"animal";-26,241;15,662;-3,458;25,66;19,575;0,016;-7,958
"justice";112,409;-0,041;-18,982;-1,72;-0,003;-4,697;-16,373
"fin";0,778;-9,292;-8,871;-0,624;11,203;-2,28;0,387
"respecter";172,332;-10,47;-18,536;-3,587;-12,737;33,684;-15,648
"pauvre";-10,23;-0,955;0,001;-4,768;-5,247;-1,095;46,586
"santé";-41,448;-8,79;-23,388;-3,622;-60,266;-4,64;406,938
"protéger";31,153;-4,572;-30,646;40,113;-6,55;0;0,185
"situation";0,978;-10,573;-45,32;0,282;24,474;-3,242;2,272
"justement";-5,461;-12,46;-25,233;3,072;23,165;-4,669;8,149
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";-38,947;3080,476;-18,61;-9,121;-61,176;-4,497;-66,732
"rapport";-3,553;-8,241;-26,817;265,82;0,998;-2,934;-0,23
"seulement";-1,04;-6,879;-13,549;1,586;-13,323;6,982;51,321
"frontalier";-43,793;-7,348;-10,626;-5,182;-27,022;14,148;205,452
"appeler";10,103;-6,403;-1,431;-3,048;16,132;-2,782;-10,104
"augmenter";-36,83;-11,256;-32,674;-8,841;-69,58;-0,252;448,451
"école";-23,549;-11,099;113,604;-8,713;-3,753;0,439;0,115
"extrême";0,084;-11,413;-27,336;-2,982;165,769;-5,762;-33,294
"mot";14,396;-1,385;-5,899;7,104;17,011;-3,691;-28,577
"heure";-8,319;-6,905;0,951;-0,049;-2,13;5,66;13,192
"mois";-29,841;-7,398;-9,604;-0,989;-33,573;-1,447;228,595
"dernier";5,584;-4,808;-1,578;-0,179;11,65;0,392;-11,809
"essayer";-3,005;-6,403;-0,098;-7,253;66,816;-4,163;-11,008
"normal";-21,028;-7,299;-0,781;-0,42;-7,572;2,214;70,566
"chercher";-2,051;-9,698;-16,331;0,018;9,009;-0,314;9,272
"policier";54,541;-3,258;-15,575;-0,923;9,76;-0,169;-23,615
