"";"";"";"";"*postReposts_40";""
"171";"*i_0279";"-0.918875823810784";"0.0857272418916682";"0.828769859943083";"265"
"172";"*postLikes_27900";"-0.918875823810784";"0.0857272418916682";"0.828769859943083";"266"
"173";"*postReposts_156";"-0.918875823810784";"0.0857272418916682";"0.828769859943083";"267"
"174";"*i_0105";"1.60249779450005";"-0.0124224026683907";"0.828709236022655";"268"
"175";"*postComments_313";"1.60249779450005";"-0.0124224026683907";"0.828709236022655";"269"
"176";"*i_0948";"-1.32840012962065";"-1.06985081192644";"0.828646624432705";"271"
"177";"*postLikes_6000";"1.23122922440439";"0.694617298557791";"0.828038563198028";"273"
"178";"*postComments_50";"-0.677660259590815";"0.355701812204309";"0.827809815563844";"274"
"179";"-*armelledp";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"275"
"180";"-*lacremesoler";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"276"
"181";"-*okaformidable";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"277"
"182";"-*alricpalazy";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"278"
"183";"-*net_surfer99";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"279"
"184";"-*taxidri";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"280"
"185";"-*flo_hgrt";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"281"
"186";"-*supercookie163";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"282"
"187";"-*ogrmaxi";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"283"
"188";"-*_mosei";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"284"
"189";"-*ananitipam";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"285"
"190";"-*yvesmpt_18";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"286"
"191";"-*ando964";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"287"
"192";"-*pantani68";"-1.77590030324281";"0.17614102966236";"0.82756582912999";"288"
"193";"-*ch_worldnews";"2.31476508429517";"-0.162359614572656";"0.827325321117799";"289"
"194";"*i_0079";"1.61297111130712";"0.0114524263626809";"0.827193472372824";"290"
"195";"*postLikes_16400";"1.61297111130712";"0.0114524263626809";"0.827193472372824";"291"
"196";"*postComments_283";"1.61297111130712";"0.0114524263626809";"0.827193472372824";"292"
"197";"*postReposts_605";"1.61297111130712";"0.0114524263626809";"0.827193472372824";"293"
"198";"*postDate_21-10-2025";"-0.407392840130207";"0.557718127731055";"0.826942529095642";"294"
