"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"défendre";-18,758;-21,223;120,442;5,659;-3,173;-0,506;1,751;-2,921;-15,708
"israélien";-18,646;-26,672;2104,306;-13,726;-4,981;-86,553;-62,653;-56,085;-37,602
"perdre";-15,906;-19,892;-4,569;-5,17;-1,58;31,271;-0,443;32,826;-5,275
"prix";-18,139;-15,253;-0,243;-11,407;-4,845;-54,645;-44,244;409,672;15,668
"finir";-12,698;-11,595;-0,64;0,002;-3,116;4,443;-6,038;4,747;25,718
"écrire";-15,738;-8,123;-6,751;0,223;394,71;0,031;92,836;-46,655;-16,986
"emji_mains_en_prière";1436,921;-16,492;-5,932;-9,717;-3,705;-3,567;-18,086;-23,564;-19,74
"attendre";-8,957;-10,854;0,323;-0,152;0,019;0,223;40,477;-1,597;-6,239
"emji_visage_faisant_un_clin_d_oeil";-16,79;-3,224;-17,84;-2,336;3,044;102,128;-0,28;-10,126;0,527
"servir";-15,85;-23,451;-3,163;8,331;-0,616;31,692;-2,655;8,655;-1,821
"mort";-17,014;-16,599;460,678;-3,409;-4,545;-1,917;-12,541;-29,148;-1,159
"gouvernement";-15,402;-19,039;314,51;-1,204;-4,665;-10,723;-1,3;-2,179;-8,491
"otage";-9,308;-21,41;1753,848;-5,568;-4,47;-72,487;-61,126;-53,406;-31,543
"montrer";-17,52;-24,706;-0,072;1,177;-1,483;3,443;120,886;-24,535;-8,574
"emji_visage_en_pleine_réflexion";-11,383;-0,115;-0,26;-2,23;-0,665;-3,886;34,626;0,009;-0,224
"emji_drapeau_suisse";406,59;-5,952;-7,562;0,105;3,364;-4,356;-11,235;-4,24;-0,591
"jeune";-12,805;-17,906;-14,986;-3,27;-4,485;182,79;-3,399;-0,331;-4,672
"nouveau";-11,611;-14,094;-3,188;-4,782;-1,459;15,027;0,001;8,5;1,148
"gros";-16,846;-11,779;-21,072;-1,585;-1,339;1,237;-2,049;54,162;14,29
"côté";-17,352;-11,175;-0,527;-0,276;-1,447;52,869;-7,123;-1,634;10,084
"simplement";-13,192;-26,129;-4,991;-0,241;-0,505;-3,053;24,145;26,634;0
"service";-12,364;-26,733;-14,046;-1,355;-2,56;84,375;-25,435;61,885;-6,86
"meilleur";1,441;-6,038;-19,019;-6,789;1,296;4,839;0,034;1,788;6,981
"revenir";-16,846;-23,529;-13,767;-8,619;-2,687;-17,161;-5,32;390,427;-3,214
"oublier";-13,192;-16,877;10,042;-0,241;-4,59;-4,115;1,028;7,482;5,275
"europe";-11,606;-17,965;46,486;-1,505;-0,093;-0,448;-0,361;0,686;0,524
"espérer";-9,623;-10,759;-5,633;6,691;1,481;106,076;-3,88;-5,638;-6,873
"réalité";-16,677;-25,24;-2,952;-4,285;-2,645;4,868;110,684;-2,564;-9,582
"assurance";-15,891;-23,858;-40,179;-9,551;-4,245;-75,922;-62,12;1179,606;-12,147
"agir";-16,565;-29,3;4,188;19,62;-1,28;-0,026;44,116;-9,593;-1,75
"créer";-16,228;-24,45;-0,447;-1,305;-1,21;-0,073;-3,007;81,696;0,874
"ville";-6,299;-16,712;-10,185;16,929;-0,972;-14,63;-7,35;-0,307;263,399
"emji_visage_boudeur";0;37,384;0,335;19,402;-2,256;-1,34;-5,668;-3,87;-2,869
"manquer";-12,199;-13,646;-13,696;-3,948;-1,199;81,608;-0,664;1,616;-0,654
"pauvre";-13,11;-3,906;-14,3;-0,406;-0,994;-0,018;-5,291;124,622;-1,635
"animal";-2,55;-17,74;-19,15;-6,833;-2,125;271,902;-26,718;-33,147;16,484
"justice";-4,233;-23,267;89,717;0,538;-1,073;0,695;3,132;-7,301;-19,371
"fin";-13,892;-20,054;6,302;-3,8;-2,461;0,372;15,536;2,899;-3,685
"respecter";-15,554;-25,345;61,221;55,044;0,219;-1,911;-0,655;-15,807;3,222
"santé";-13,389;-23,07;-30,4;-4,644;-2,334;-19,7;-16,83;357,781;9,274
"situation";-15,554;-25,345;-0,356;1,729;-1,073;27,719;21,644;-5,682;-5,772
"protéger";-15,329;-24,948;-0,482;211,743;-2,306;26,314;-2,601;-12,769;-1,775
"justement";-15,498;-23,168;-4,17;0,027;-2,348;6,978;36,7;1,319;-7,768
"emji_visage_roulant_des_yeux";-13,815;302,97;-7,867;-0,907;0,543;-8,738;-5,289;-2,649;-1,567
"seulement";-15,217;-5,847;-0,424;3,983;0,268;-6,522;-0,11;5,876;26,72
"rapport";-14,824;-10,1;-0,471;-0,743;-3,96;0,926;60,81;-1,206;-4,809
"frontalier";-14,151;-11,951;-33,523;-9,952;-0,136;-50,969;-20,473;509,658;3,951
"appeler";-10,824;-6,33;12,02;3,363;-0,917;-4,782;39,522;-7,32;-3,12
"augmenter";-14,207;-17,067;-23,474;-12,014;-2,027;-49,044;-26,846;484,153;13,213
"école";-14,432;-25,527;-12,755;-10,187;23,035;142,294;-27,71;1,142;1,543
"extrême";-14,151;-10,473;-0,99;-0,171;-3,78;-40,518;398,161;-21,31;-15,024
"mot";-12,274;-10,733;8,672;-3,864;7,531;-0,334;129,279;-32,15;-18,773
"normal";-14,319;-12,22;-12,52;0,024;10,67;-0,785;-3,049;62,88;4,501
"heure";-9,62;-12,519;-7,36;22,198;-0,685;-7,956;-6,2;0,518;141,657
"dernier";-14,488;-12,489;2,344;1,733;-2,097;1,358;8,327;-0,885;-0,001
"mois";-13,815;-20,216;-18,988;-3,523;-3,69;-15,176;-25,343;433,677;-0,163
"essayer";-14,488;-14,08;-0,307;-0,036;-3,87;40,533;3,189;-2,56;-1,12
