"";"";"";"";"être";""
"182";"deux";"-0.178674435221775";"0.162596050295745";"0.847174821622371";"291"
"183";"trente";"-0.231541118869636";"0.200926483022168";"0.846639111460041";"293"
"184";"douze";"-0.286192732532261";"-0.748252024964624";"0.846639111460041";"294"
"185";"chacun";"-0.169873807316997";"-0.403654104992588";"0.846380492760986";"297"
"186";"31";"-0.317147361701255";"-0.34969376766261";"0.846126492252985";"300"
"187";"malgré";"-0.0346780141057733";"0.290324555251949";"0.845890964509202";"301"
"188";"partout";"-0.124051081638497";"0.148878659120772";"0.845466090932182";"302"
"189";"trois";"-0.0775040464274191";"-0.309380628733739";"0.844819544184543";"303"
"190";"devant";"-0.217983220577869";"0.395878756871726";"0.843882051400466";"304"
"191";"mille";"0.305131241002524";"-0.337737859609428";"0.842685939917334";"308"
"192";"madame";"0.197290420892652";"-0.0591526844550567";"0.84166993788533";"309"
"193";"lorsqu";"-0.274104639959758";"-0.0538912769964816";"0.84151753758053";"310"
"194";"1000";"0.104870383243239";"-0.528321463857856";"0.83929156949223";"313"
"195";"outre";"-0.294388955621877";"-0.157495575005491";"0.838991387073683";"314"
"196";"ouais";"0.0493412338343335";"-0.182919708170334";"0.838561895305609";"315"
"197";"comment";"-0.161878828202504";"0.128719400121348";"0.83765211166786";"316"
"198";"moi_même";"-0.253325794598896";"-0.23399164820119";"0.837319601911931";"319"
"199";"16";"-0.0886616478445761";"-0.47856683298746";"0.83653912762371";"320"
"200";"telle";"-0.24801297329875";"-0.0104818803080192";"0.83653912762371";"321"
"201";"pardon";"-0.12862257824559";"0.509313548333586";"0.8363774909368";"322"
"202";"ici";"-0.137846914633609";"-0.0540408870679707";"0.836359018172582";"323"
"203";"toutefois";"-0.320300490503158";"-0.639204762795257";"0.835892580876071";"324"
"204";"htag_caisseunique";"0.273811809463268";"0.648461665133682";"0.835846398965525";"327"
"205";"htag_genocide";"-0.230902504064091";"2.21422520446081";"0.835518507400651";"330"
"206";"voilà";"-0.113706529882116";"0.0922471324252451";"0.835393816242178";"337"
"207";"certes";"-0.26357813393903";"0.107374411748194";"0.835370725286905";"338"
"208";"sienne";"-0.201330895169591";"-0.137192252042142";"0.834520978132865";"339"
"209";"merde";"-0.168020828870389";"-0.875832474058847";"0.8341007227469";"340"
"210";"ceux_là";"-0.302621994244239";"-0.247666775186614";"0.833915995104717";"341"
"211";"siens";"-0.311514479094072";"-0.218155314824947";"0.83378668575519";"343"
"212";"ci_dessus";"-0.24880395414529";"0.0744028011803364";"0.83378668575519";"344"
"213";"tel";"-0.223722827932214";"0.0220892144263869";"0.833532685247189";"345"
"214";"lequel";"-0.243933863246085";"-0.178888539439245";"0.833223266446533";"346"
"215";"dedans";"-0.176478971114183";"-0.438391286098376";"0.831625372341654";"348"
"216";"ah";"0.00164376497584587";"0.0359892267579333";"0.831306717158889";"349"
"217";"moindre";"-0.220373494527151";"-0.256390175403988";"0.831168171427252";"350"
"218";"fort";"0.436553660324928";"-0.11771508974761";"0.831071189415106";"351"
"219";"lesquelles";"-0.250849711636973";"0.313588691046799";"0.829380931489136";"354"
"220";"sinon";"-0.0984594161456562";"-0.0319082221067733";"0.827441291246219";"357"
"221";"x";"0.452008226742186";"0.105118379570081";"0.825672524072321";"358"
"222";"oui";"-0.0352713031743312";"-0.0313016783385159";"0.824818158727227";"360"
"223";"40000";"-0.00142291208922845";"-0.958364631210939";"0.824481030780243";"361"
"224";"98";"-0.155637846976048";"-1.07879692473299";"0.822781536472164";"362"
"225";"1990";"-0.309420009135218";"0.444871752260503";"0.821285242570485";"364"
"226";"adieu";"-0.353971720823113";"-0.832781084333201";"0.821285242570485";"365"
"227";"703";"-0.348998069073555";"-1.44645433455897";"0.821285242570485";"366"
"228";"nôtres";"-0.348998069073555";"-1.44645433455897";"0.821285242570485";"367"
"229";"nulles";"-0.309420009135218";"0.444871752260503";"0.821285242570485";"368"
"230";"bye";"-0.217334198936561";"-0.406842778289195";"0.821086660355139";"370"
"231";"néanmoins";"-0.136653766295909";"-0.56154108875463";"0.820938878241393";"372"
"232";"2027";"-0.172110382122679";"-0.930721670526681";"0.820938878241393";"373"
"233";"chouette";"-0.244138951815913";"-0.714072851864923";"0.820938878241393";"374"
"234";"25";"-0.101392661880458";"-0.31839822504846";"0.819567275498187";"375"
"235";"43";"-0.190366902269262";"-0.428223601294502";"0.819147020112222";"379"
"236";"2030";"-0.216098987656968";"-1.24581810372399";"0.818084836169672";"380"
"237";"celles_ci";"-0.264068930306251";"0.0309163782878297";"0.818084836169672";"381"
"238";"excepté";"-0.236391894174837";"0.0489970192804466";"0.817142725194541";"383"
"239";"unes";"-0.28106648230709";"-0.463053103345765";"0.817142725194541";"384"
"240";"mi";"0.0426427832687344";"-0.795138344211248";"0.817142725194541";"385"
"241";"via";"-0.096665834208044";"-0.349929014277377";"0.81626065070312";"386"
"242";"35";"-0.149685574335921";"-0.305407111180466";"0.815216939524788";"388"
"243";"33";"-0.220709447676259";"-0.544326723925716";"0.814995266354169";"389"
"244";"94";"-0.142191942605132";"1.22502672827459";"0.814995266354169";"390"
"245";"72";"-0.00752581426628505";"0.668826639673402";"0.814575010968204";"391"
"246";"dommage";"0.118494240311373";"-0.236251099607279";"0.813988500704274";"392"
"247";"n_est_ce_pas";"0.148206079457044";"-0.0504656115336439";"0.812746207310596";"394"
"248";"voire";"-0.240275416147155";"-0.300377092656926";"0.812556861477359";"395"
"249";"chut";"-0.0904766361374603";"-1.29624964484834";"0.811430022860046";"397"
"250";"quatre";"-0.228773407618066";"-0.186454268599816";"0.81112060405939";"398"
"251";"b";"0.517486392549006";"-0.34593029257243";"0.81101900385619";"399"
"252";"14";"-0.0828387431337281";"-0.409288243436304";"0.810935876417207";"400"
"253";"68";"-0.0855545828137242";"-0.116382968153801";"0.810501766458078";"401"
"254";"dame";"0.782137385466091";"-0.0875200628190474";"0.809887547047821";"402"
"255";"htag_cqfd";"-0.0920409502378344";"-0.702982370522979";"0.809721292169857";"403"
"256";"71";"0.0202960431686742";"-0.378292657117776";"0.809227145727019";"404"
"257";"o";"0.200133832443039";"0.410153550059483";"0.808917726926363";"405"
"258";"2011";"-0.0862886371483891";"0.4128815585217";"0.808871545015817";"406"
"259";"bof";"0.46606195245945";"-0.431905463662565";"0.808174198166578";"408"
"260";"youpi";"0.0583252297673123";"-1.38846208741741";"0.807633869813194";"410"
"261";"hum";"0.00867698988550164";"-1.28683895981785";"0.807633869813194";"411"
"262";"franco";"0.092291023150545";"-0.896761471810807";"0.807633869813194";"412"
"263";"55";"-0.217538824667865";"-0.520299435975626";"0.807190523471956";"416"
"264";"pa";"-0.074613560624732";"-0.566481687074609";"0.807112014224028";"417"
"265";"puisque";"-0.233042705312917";"-0.118063623666121";"0.806871868289191";"418"
"266";"mouais";"-0.0581719749157317";"-0.970500983191225";"0.806520885769044";"419"
"267";"haha";"0.155027436970049";"-0.493810079799547";"0.805883575403515";"420"
"268";"pan";"-0.231418242425279";"-0.564676230945325";"0.805781975200314";"421"
"269";"huit";"-0.270480564002427";"0.322899117641335";"0.805781975200314";"422"
"270";"htag_hypocrisie";"-0.231418242425279";"-0.564676230945325";"0.805781975200314";"423"
"271";"hé";"-0.190579773871111";"-1.09932317510738";"0.805070773777911";"424"
"272";"ouf";"0.208372760377216";"-0.643814927154322";"0.804378045119727";"426"
"273";"2010";"-0.16270842944943";"-0.969297345771702";"0.80429029948969";"427"
"274";"mm";"0.571067756979948";"-0.215080581453825";"0.804253353961253";"428"
"275";"18";"0.0112445843940313";"-0.244199642431332";"0.803948553351652";"429"
"276";"1940";"-0.0716508670205869";"0.409746852781896";"0.803606807213614";"430"
"277";"hip";"-0.0277661111886778";"-1.00369152884306";"0.803348188514559";"431"
"278";"2016";"-0.024035872376509";"-1.46394646651239";"0.803348188514559";"432"
"279";"91";"-0.0315885073341144";"0.0307654443018909";"0.803348188514559";"433"
"280";"360";"-0.0278582685219457";"-0.429489493367438";"0.803348188514559";"434"
"281";"quiconque";"-0.191840182486942";"1.32664985587415";"0.803168079063431";"435"
"282";"versus";"-0.225805975870175";"0.834949240267548";"0.803168079063431";"437"
"283";"auprès";"-0.275454215751986";"0.936572367867107";"0.803168079063431";"438"
"284";"62";"-0.0496319718331854";"-0.83380307025818";"0.802549241462119";"441"
"285";"cinq";"-0.14678161443924";"-0.504496683808287";"0.802535386888956";"442"
"286";"ha";"-0.154829984301773";"-0.111718789578435";"0.802004294917681";"443"
"287";"13";"-0.143547798530267";"0.114003141783422";"0.801593275913825";"444"
"288";"eh";"0.0115487934240686";"-0.344461168755724";"0.801182256909968";"445"
"289";"61";"-0.111370626269889";"-0.925757595381589";"0.800858983536149";"446"
"290";"in";"0.146179470465579";"0.0369802786510052";"0.800438728150184";"447"
"291";"66";"-0.129602364597178";"-1.02627095071829";"0.800406400812802";"448"
"292";"vingt";"-0.27035768755807";"-0.442703596326157";"0.8";"449"
