matin;4;7;1;2;0;35;1;38;5
disparaître;3;16;1;8;10;36;4;7;10
corps;8;4;1;6;23;39;1;5;5
public;3;3;6;11;4;49;3;5;4
moitié;3;1;1;39;4;5;16;14;2
liberté;2;2;1;8;27;39;0;4;10
langage;0;1;1;64;1;2;4;6;13
impression;2;0;0;18;2;38;2;21;9
franchement;4;5;3;14;5;34;3;23;4
discours;0;6;1;30;8;28;4;6;11
culture;2;0;1;18;4;43;8;6;5
tirer;1;8;0;10;11;26;0;34;4
sagesse;0;0;0;2;4;3;0;1;85
plastique;7;63;0;0;0;10;2;4;2
plaindre;0;7;2;5;12;57;1;3;2
emji_visage_soulagé;0;1;0;12;5;16;1;8;27
riche;1;1;0;18;6;36;8;8;13
marier;1;0;1;3;32;11;4;28;10
libre;1;4;1;16;10;43;1;5;6
cest;4;3;1;25;5;9;5;32;3
valeur;0;1;1;14;14;40;0;5;16
peine;0;1;0;9;4;61;1;10;4
p;3;0;1;2;5;2;3;57;13
détester;0;3;2;5;5;15;2;39;18
couleur;0;4;0;22;1;18;1;41;5
capable;0;5;1;30;14;32;0;0;2
village;0;12;3;5;1;20;11;29;8
traiter;1;15;3;30;16;16;2;6;2
tourner;1;3;0;9;3;15;7;41;11
système;6;10;3;4;15;41;0;5;3
preuve;0;2;1;51;9;16;1;8;1
jésus;1;1;1;13;4;27;3;14;9
fier;3;1;1;7;2;22;4;12;31
chanson;4;2;0;4;1;13;5;20;39
totalement;0;5;3;27;12;29;1;9;2
mari;0;1;1;4;46;14;0;9;6
gosse;0;2;3;7;5;45;5;10;12
emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil;2;4;0;1;3;4;8;48;10
emji_visage_avec_un_léger_sourire;7;4;5;6;1;12;27;6;18
doute;0;5;1;30;4;28;2;6;12
bout;2;4;1;0;3;35;5;27;10
toucher;1;3;1;11;7;37;2;4;23
svp;1;1;4;4;5;22;1;34;14
souhaiter;0;4;1;13;6;36;0;0;27
rare;0;2;0;5;6;34;0;10;28
match;0;0;0;2;17;38;13;6;10
horreur;4;7;2;6;2;22;1;13;1
film;0;2;2;4;3;16;2;24;33
origine;3;2;0;40;1;10;11;10;7
endroit;2;4;1;2;3;45;5;12;6
emji_renard;0;14;1;1;0;2;0;0;51
doux;4;5;0;7;9;11;1;10;41
vacance;1;3;0;3;2;23;2;41;10
service;3;17;3;15;8;32;2;2;3
réfléchir;0;4;2;27;7;35;0;2;7
retour;6;3;1;4;2;37;2;9;22
fumer;0;4;4;5;3;28;0;37;2
violence;0;1;0;17;11;48;0;3;4
riz;0;75;0;1;0;2;0;1;2
pleurer;0;3;1;7;1;20;7;30;14
gauche;1;0;0;8;24;12;8;26;3
célestin;0;1;0;1;0;8;0;2;72
clairement;1;5;5;27;8;17;2;17;2
maladie;1;30;14;2;2;24;0;3;2
emji_visage_avec_une_main_sur_la_bouche;2;5;1;8;4;14;3;30;8
sérieux;3;2;1;12;3;11;1;45;5
retourner;1;3;0;11;4;29;2;26;7
marcher;0;4;2;3;8;40;2;21;3
hygiène;67;0;0;3;3;4;0;2;1
groupe;0;2;2;15;1;33;5;16;6
découvrir;3;1;3;4;4;31;6;9;21
clair;1;1;1;22;2;18;25;5;9
certainement;0;7;0;7;6;42;4;7;8
boulot;3;4;17;7;7;30;3;9;0
remarquer;1;0;1;40;3;15;4;9;6
prêt;0;2;0;2;8;27;2;28;6
oser;2;3;2;9;12;40;3;6;5
intelligence;0;3;0;52;1;5;0;1;18
emji_visage_qui_rougit;2;0;5;6;1;8;1;38;2
règle;10;0;2;2;4;48;0;5;4
rouler;1;4;1;6;0;14;2;38;10
raconter;0;2;2;25;4;28;9;5;6
qualité;0;10;2;6;4;45;1;7;5
période;3;1;0;4;0;35;0;12;22
interview;1;1;0;9;1;23;3;15;27
fermer;7;9;2;6;2;38;3;12;3
emji_visage_grimaçant;2;3;0;3;0;17;1;44;4
aide;1;6;0;0;24;33;0;5;8
train;1;2;2;3;7;31;3;24;5
sauter;1;1;1;2;1;16;2;12;39
ridicule;0;4;4;37;2;9;0;19;2
obliger;1;6;5;10;14;18;1;20;4
danse;0;3;0;4;8;12;1;37;9
course;0;1;5;3;33;13;4;5;5
carte;0;3;3;3;0;13;15;23;14
bouteille;22;30;1;1;0;6;4;11;1
évidemment;3;7;0;10;10;37;4;8;1
éduquer;0;2;0;15;10;32;1;6;9
ya;2;7;0;21;3;15;7;19;4
offrir;0;5;4;3;2;41;4;3;17
emji_chat_souriant_aux_yeux_en_coeurs;0;5;0;0;0;1;0;3;51
détruire;0;29;0;6;13;21;3;4;1
comparer;0;4;0;12;10;29;6;8;7
chou;0;1;1;0;0;2;0;3;72
bcp;5;3;0;9;3;33;2;10;9
réalité;0;2;0;26;2;36;1;2;7
plaire;2;2;1;26;10;13;1;10;12
papier;48;5;2;3;3;4;0;6;2
pain;2;42;0;2;0;0;2;20;1
grave;1;3;1;27;8;12;2;18;7
euro;0;1;1;0;11;6;50;4;3
ensemble;0;1;1;2;7;37;1;6;17
arbre;0;40;1;2;0;10;0;1;17
suffire;3;2;4;6;5;35;3;17;2
jean;3;1;0;4;1;3;2;56;2
humanité;1;6;1;9;6;42;0;2;9
féminin;3;1;0;8;39;4;6;6;3
foot;0;0;0;5;34;8;4;14;6
finalement;1;9;1;4;6;40;3;10;4
emji_visage_avec_un_sourire_malin;4;2;0;18;3;12;1;21;9
amuser;0;0;0;10;2;16;5;10;35
accepter;0;2;6;30;10;22;1;4;3
salle;60;1;0;1;0;6;1;4;1
mamie;0;10;0;4;2;1;1;10;49
forme;1;5;0;11;9;23;4;14;8
emji_visage_pensif;1;6;1;6;5;21;0;4;30
emji_visage_avec_lunettes_de_soleil;1;1;2;2;1;10;5;12;36
cerveau;3;3;1;19;3;39;0;1;2
résultat;0;1;1;23;2;35;2;3;5
protéger;1;7;1;6;4;36;0;6;12
intérêt;1;2;4;32;8;23;1;1;3
face;0;1;1;10;7;33;2;15;2
emji_visage_souriant_avec_une_larme;2;1;1;6;2;25;3;9;18
doigt;3;3;2;3;5;33;0;21;2
allemand;2;1;2;2;1;7;47;9;2
vendre;1;14;1;1;1;29;2;19;5
réflexion;0;1;1;43;4;7;2;6;8
police;0;3;0;6;2;41;2;11;5
passage;12;6;2;5;4;29;1;7;6
nuit;0;10;1;1;4;41;2;9;5
méchant;0;2;0;12;38;10;1;2;2
gant;61;0;0;0;0;2;0;2;1
changement;0;2;0;21;2;43;1;1;3
bois;1;16;1;2;3;15;2;14;19
blague;1;3;2;6;2;8;2;47;1
voler;0;2;17;6;2;28;1;12;2
soeur;2;5;0;5;10;25;0;5;20
situation;1;2;0;18;3;44;0;2;2
région;5;4;2;3;0;6;42;7;5
route;0;10;0;4;4;35;5;12;2
planète;0;8;1;5;25;25;0;4;1
nombre;0;13;1;10;7;30;0;3;5
humilité;0;0;0;2;1;14;1;0;55
expression;1;3;0;25;2;10;5;16;8
enseignant;0;0;1;11;3;51;1;0;3
chasseur;0;62;1;1;0;0;0;2;1
belgique;18;3;1;2;2;13;13;13;6
avance;2;2;1;10;9;28;2;9;10
éviter;1;10;2;10;6;26;1;15;2
primaire;0;1;2;5;1;30;1;4;16
