"";"";"";"";"emji_se_rouler_par_terre_de_rire";""
"190";"vosges";"5.28870902626183";"5.56947989594511";"0.857067390974787";"336"
"191";"dégoûtant";"5.35331540937846";"5.4930324221812";"0.857067390974787";"338"
"192";"espèce";"0.511019990796024";"-1.11440238416765";"0.856785440441822";"339"
"193";"emji_étincelles";"-2.03327742382562";"1.5908636825885";"0.856377139883925";"343"
"194";"apprendre";"0.142542125359087";"-0.521850416966596";"0.856214000591589";"344"
"195";"stériliser";"0.0607036052861532";"-0.989129326756005";"0.856143437570505";"345"
"196";"domestique";"0.491342568600631";"-1.51220772719901";"0.856143437570505";"346"
"197";"preuve";"0.363664375593592";"-0.997069815076371";"0.855733930807119";"347"
"198";"journaliste";"-0.0707659396246532";"-0.310907112230184";"0.855499625390955";"348"
"199";"frontière";"0.7359263646207";"0.349036014505332";"0.854925773129744";"350"
"200";"dissociation";"0.17399509947138";"-1.03236829721602";"0.854903458328205";"351"
"201";"tique";"0.552533175349973";"-1.65615468391662";"0.854766554005246";"352"
"202";"céréale";"0.552533175349973";"-1.65615468391662";"0.854766554005246";"353"
"203";"choquer";"0.401115543750265";"-0.867555239805888";"0.854082937044572";"355"
"204";"emji_visage_souriant_avec_yeux_rieurs";"-1.16813986137167";"1.06306418847042";"0.853925828779679";"356"
"205";"compagnie";"0.0317312569207078";"-0.870040352084556";"0.853845616114686";"357"
"206";"voler";"0.406454443048821";"-0.919445370971041";"0.852993130385605";"361"
"207";"célestin";"-2.24054130166165";"1.66760136279362";"0.852924678224126";"362"
"208";"maladie";"0.51072384929258";"-1.15151780526423";"0.852650568026837";"363"
"209";"droite";"0.381549034541118";"-0.832114205395209";"0.852540200224628";"364"
"210";"terme";"0.660087753906906";"-0.527812023429038";"0.852529344375231";"365"
"211";"prendre";"0.581931140334096";"-0.0593871814323723";"0.852344794935472";"366"
"212";"emji_visage_déconcerté";"0.842902875507372";"-1.3866742354899";"0.851398225178279";"369"
"213";"shui";"0.847106908719367";"-1.53827666224353";"0.851398225178279";"370"
"214";"phobie";"0.88461065108151";"-1.82065727200989";"0.851398225178279";"371"
"215";"vacciner";"0.831478254964463";"-1.79433685791497";"0.851241418464758";"373"
"216";"entraîneur";"0.705151257054778";"-1.44892376948925";"0.851241418464758";"374"
"217";"cygne";"0.307225368157229";"-1.24844197801048";"0.851141001857831";"375"
"218";"baignoire";"4.81484042453593";"5.15453999586215";"0.850873827342102";"376"
"219";"population";"0.358143534015894";"-0.996635119447299";"0.850358777598461";"378"
"220";"frontalier";"0.309056202758078";"0.50204712850267";"0.850153421114024";"379"
"221";"réflexion";"0.0778850804461967";"-0.681049259401453";"0.849939018088422";"380"
"222";"foi";"0.0941565969992817";"-0.745332413162233";"0.849731852295752";"381"
"223";"patois";"0.655316413429523";"0.543533788385031";"0.849685714935812";"382"
"224";"chasse";"0.510588569899033";"-0.540301555050323";"0.849672748226809";"383"
"225";"détruire";"0.373007120782569";"-1.10726038349294";"0.849500562393309";"384"
"226";"mégot";"0.552533175349974";"-1.65615468391662";"0.849279826788892";"387"
"227";"stérilisation";"0.153431577083924";"-1.11997559713391";"0.849268970939494";"388"
"228";"coudre";"0.336840067914754";"-1.12134307411183";"0.84925992439833";"390"
"229";"porteur";"1.03823921671625";"-0.922370734164222";"0.849233990980324";"391"
"230";"bêtise";"0.480718453156549";"-0.907427199273275";"0.849137796092607";"392"
