"";"";"";"";"emji_se_rouler_par_terre_de_rire";""
"231";"dose";"0.695466160731547";"-1.36787236910489";"0.849128749551442";"393"
"232";"salarial";"0.339374109115859";"-1.23074725155138";"0.848884492939997";"395"
"233";"viol";"0.339374109115859";"-1.23074725155138";"0.848884492939997";"396"
"234";"âme";"-1.82438654422656";"1.25298238030935";"0.848581735362354";"405"
"235";"malheureusement";"0.040978173462806";"-0.565287909055041";"0.848514790957735";"406"
"236";"recevoir";"-0.0391425710300772";"-0.344871160919023";"0.84844121242293";"407"
"237";"travailler";"0.103732827983267";"-0.458103208363558";"0.847837506575876";"408"
"238";"argument";"0.524578494533899";"-0.901568806782717";"0.847719901540736";"409"
"239";"jeune";"-0.0805283656426746";"-0.333922171484165";"0.847696078982335";"410"
"240";"cheveu";"0.151593500762104";"-0.0246171198198587";"0.847522988494719";"411"
"241";"micro";"0.107213693111898";"-0.83327334266961";"0.84722927745824";"412"
"242";"éducation";"0.196862126472873";"-0.666545538443486";"0.847181330790067";"413"
"243";"légal";"0.491726260376559";"-1.40797754790952";"0.847174093557136";"414"
"244";"mariage";"0.136894639780458";"-0.723175955974319";"0.846944914514298";"415"
"245";"emji_visage_souriant_avec_yeux_plissés";"0.380031567122406";"0.291726290168375";"0.846893650781032";"416"
"246";"cuisiner";"0.237822200482177";"-1.00942606086124";"0.846663265532706";"417"
"247";"chrétien";"0.392267557214965";"-0.763164582754271";"0.846444339236521";"418"
"248";"cause";"0.403062092966363";"-0.985536326128444";"0.846378902588764";"420"
"249";"garde";"0.280895468447799";"-1.09375413463953";"0.846328845060986";"421"
"250";"efficacité";"0.929843561396652";"-1.43739386422975";"0.846328845060986";"423"
"251";"contribuable";"0.861296449214451";"-1.66769103836823";"0.846328845060986";"424"
"252";"turc";"0.667872838676724";"-0.93326100974311";"0.846166911974139";"426"
"253";"économie";"1.0397031101966";"-0.574446126878406";"0.846062876750746";"427"
"254";"denner";"0.566989051742056";"-1.53141463784277";"0.845915418129762";"429"
"255";"écologique";"0.993262392404951";"-0.348508339147671";"0.845745644707239";"431"
"256";"emji_mains_en_prière_peau_claire";"-1.86983720977455";"1.5671835253659";"0.845623516401516";"432"
"257";"comparable";"0.354976028318486";"-1.09341040780006";"0.845494753965606";"433"
"258";"boulot";"0.688985942528459";"-0.754865567502159";"0.845176014165239";"434"
"259";"paix";"-1.76241191880314";"1.40641300364101";"0.844895269837763";"435"
"260";"patriarcat";"0.345706583156674";"-1.1204353431049";"0.844739066226987";"436"
"261";"empaillé";"0.516502635616663";"-1.54604998711588";"0.844626587565173";"437"
"262";"empailler";"0.258063184234833";"-1.27309218718561";"0.844626587565173";"438"
"263";"ps5";"0.745899441107828";"-1.39434368975466";"0.844590702951886";"440"
"264";"gagner";"0.239478170488907";"-0.656553708086359";"0.844524361650012";"442"
"265";"avis";"0.259671499285861";"-0.906961124303355";"0.844453497077556";"443"
"266";"prédateur";"0.471367354107481";"-1.4260455942224";"0.844280406589939";"444"
"267";"sentir";"0.179206356049051";"-0.409186971647126";"0.844247235939002";"445"
"268";"valaisan";"0.380303557114866";"0.583747211971495";"0.844116061092115";"446"
"269";"travail";"0.18436589723294";"-0.22525052980074";"0.844085604403527";"447"
"270";"jean";"0.550379831029917";"0.0885525010891198";"0.844051830649846";"448"
"271";"marier";"0.09703352740748";"-0.320054985516192";"0.843976141255435";"449"
"272";"gay";"0.330041524703122";"-1.19091767985147";"0.843886882049277";"451"
