"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16"
"futur";-1,776;-0,62;-1,987;-2,326;1,142;0;0,552;-0,044;28,404;-1,098;-0,183;1,161;-1,331;1,285;-0,909;0,101
"forme";-1,712;-2,194;-0,366;-0,592;-0,837;0,002;0,636;-0,737;-0,032;-1,058;-0,152;12,958;0,532;-0,21;10,365;-0,21
"figure";-0,203;-0,497;0,052;-2,159;3,727;2,659;3,326;-0,665;-1,206;-1,019;-1,492;-0,203;-1,235;-1,596;16,34;-1,596
"emji_balance_à_poids";-1,075;0,456;-1,203;-1,408;15,386;29,695;-0,768;-1,531;0,088;-0,665;-0,973;-1,075;-0,806;-1,041;-0,161;-1,041
"donnée";0,05;-2,358;5,398;-0,022;-2,76;-2,255;-0,052;14,499;2,448;-1,137;0,13;3,246;-1,379;-1,781;-2,752;0,071
"crime";-1,584;15,347;-1,773;-2,075;17,416;0,026;-1,132;-0,002;-0,01;-0,979;0,335;1,667;-1,187;-1,534;-2,37;-1,534
"confédération";-1,648;-0,497;-1,844;2,241;-0,029;5,729;-1,177;-0,01;-1,206;0,001;5,122;4,203;-1,235;-1,596;-2,465;1,621
"coeur";0,195;-2,031;-1,773;-0,468;1,731;-0,379;0,835;2,013;-0,01;-0,979;-1,434;-0,167;-0,015;-0,142;7,577;-0,142
"chaîne";-1,521;6,241;0,12;-0,409;-0,611;1,033;-1,086;0;-0,003;1,408;-0,071;-0,134;-1,139;-1,472;1,994;-0,111
"blesser";-0,24;155,653;-1,916;-0,592;-0,052;-2,098;-1,223;-0,737;-1,253;-1,058;-1,55;-1,712;-0,041;0,138;-2,56;-1,658
"arrêter";0,107;8,563;-0,366;-0,592;21,028;-2,098;-1,223;-0,024;0,582;-1,058;-1,55;-0,24;-0,041;-1,658;-0,05;-1,658
"évoquer";-1,648;9,227;0,052;0;11,1;0,011;-1,177;-0,01;-1,206;-1,019;-0,123;-0,203;-1,235;-0,175;-0,028;-1,596
"ère";-1,712;0,522;2,996;-0,592;-0,837;-2,098;-1,223;-0,024;-0,032;-1,058;22,468;-1,712;-1,283;-1,658;6,406;0,138
"source";-0,004;2,214;-1,274;-1,492;20,986;-1,396;0,069;-0,171;0,057;0,164;1,159;-1,139;-0,853;-1,103;-0,214;-1,103
"souhaiter";-1,712;-2,194;-0,366;0,471;3,368;-0,49;0,636;-2,437;-1,253;-1,058;15,094;7,738;-1,283;-1,658;0,217;-0,21
"skieur";0,147;-0,497;-0,319;0;-2,473;-2,02;-1,177;-0,01;-0,019;-1,019;-0,123;1,48;125,877;-1,596;-2,465;-1,596
"saluer";-1,584;-0,438;-0,273;-0,468;0,362;16,421;0,835;-0,002;-1,159;-0,979;-0,096;-0,167;-1,187;-1,534;7,577;-1,534
"principal";-0,203;-2,112;0,052;-2,159;16,259;0,753;0,73;4,196;-1,206;-1,019;-1,492;0,147;-0,027;-0,175;-0,754;-1,596
"new";0,147;-2,112;-1,844;-2,159;37,627;-2,02;0,73;-0,665;-1,206;0,001;-1,492;-1,648;0,617;-1,596;3,755;0,183
"mars";1,667;-2,031;-1,773;0,005;-2,377;10,721;-0,006;-2,256;-1,159;0,004;-1,434;4,583;3,283;4,883;-0,679;-1,534
"large";-1,584;-2,031;-1,773;21,243;-0,685;0,884;0,835;-2,256;-1,159;-0,979;-1,434;-1,584;-1,187;0,236;12,027;0,236
"fonction";-0,203;-2,112;-1,844;0,571;0,28;38,543;-1,177;-0,665;-1,206;0,001;-0,123;1,48;-1,235;-1,596;-0,754;0,183
"expert";-0,24;-2,194;0,907;-0,592;0,212;-0,49;-0,024;38,059;-0,032;0;0,216;-1,712;-1,283;-1,658;-0,05;-1,658
"député";-1,712;-2,194;-1,916;-2,243;-0,052;163,288;-1,223;-2,437;-1,253;-1,058;-1,55;12,958;-1,283;-1,658;-2,56;-1,658
"découverte";-0,134;-0,381;13,321;-0,409;-2,282;-0,326;-1,086;-0,527;24,322;0,012;-1,376;-1,521;-1,139;-1,472;8,248;-1,472
"conflit";-1,776;32,557;-0,416;-2,326;14,213;0,534;-1,268;0,231;-1,299;-0,002;-1,607;-1,776;-1,331;-1,719;-0,077;-1,719
"chute";36,647;-0,558;0,03;-2,243;-0,052;-0,49;-0,024;-0,024;-0,032;-1,058;-1,55;-1,712;19,828;-1,658;-0,831;-0,21
"chercheur";-1,648;-0,497;6,809;-2,159;-0,76;-0,433;-1,177;-2,346;129,207;0,001;0,271;0,147;-1,235;-1,596;-2,465;-1,596
"auteur";-0,24;0;-0,366;-0,592;-0,052;-0,49;0,636;0,299;-0,032;-1,058;0,216;3,856;-0,041;-1,658;1,332;0,138
"application";2,104;-1,867;-1,63;11,207;-2,186;-0,276;-1,04;15,109;-1,066;-0,901;-0,049;-0,103;-0,001;2,274;-2,179;-1,411
"al";-1,457;11,605;-0,188;-1,908;13,941;-0,276;1,083;0,007;0;1,571;-0,049;-1,457;-1,092;-1,411;-2,179;-1,411
"évolution";0,195;-2,031;12,413;0,005;-2,377;-0,379;-1,132;-0,596;-1,159;-0,979;10,523;-1,584;-1,187;-1,534;4,151;1,816
"véhicule";1,667;29,637;-0,273;-0,468;-0,685;-1,942;-0,006;-2,256;-1,159;-0,979;0,335;22,001;-1,187;-1,534;-2,37;-1,534
"village";0,726;-1,541;0,483;-1,575;-1,804;-1,473;22,461;-1,712;0,033;-0,743;4,045;-1,202;1,608;0,805;-0,271;-0,008
"valentin";-1,648;-2,112;-0,319;-2,159;-2,473;0,011;-1,177;-2,346;-1,206;4,406;-1,492;-1,648;-1,235;-1,596;-0,754;219,046
"transport";22,001;-2,031;-1,773;-0,468;-2,377;-1,942;-1,132;-0,596;-0,01;-0,979;34,914;4,583;-1,187;-1,534;-0,012;-0,142
"réponse";-1,712;2,123;0,907;-2,243;-0,052;0,002;-0,024;11,277;2,903;-1,058;-1,55;-1,712;-1,283;0,138;-0,05;-0,21
"quitter";-1,584;5,717;1,201;-2,075;1,731;0,884;-1,132;-0,596;-0,01;-0,979;-1,434;0,195;-1,187;4,883;-0,012;-1,534
"provoquer";1,48;9,227;0,052;-0,53;6,923;0,753;-1,177;1,775;-0,019;-1,019;-1,492;-1,648;-1,235;-1,596;-2,465;-1,596
"populaire";-0,167;-2,031;-0,273;-0,468;-0,013;0,026;-1,132;-2,256;-1,159;-0,979;5,549;22,001;-0,015;-1,534;4,151;-0,142
"piste";1,48;5,24;-1,844;-2,159;-2,473;-2,02;-1,177;0,38;3,163;-1,019;5,122;1,48;3,008;-1,596;-0,754;-0,175
"opération";0,147;27,911;-1,844;-0,53;-2,473;-0,433;-1,177;49,856;-1,206;-1,019;-0,123;-1,648;-1,235;-1,596;-2,465;-1,596
"naître";-0,134;-1,949;-0,229;-1,992;0,458;-1,864;-0,001;-2,165;0,885;-0,94;-0,071;1,874;-0,006;-1,472;12,974;5,316
"médical";-1,584;15,347;3,629;-2,075;-2,377;-1,942;-1,132;63,84;-1,159;-0,979;-1,434;-1,584;-1,187;-1,534;-0,679;-1,534
"milieu";0,107;-0,558;2,996;-2,243;0,212;-2,098;-0,024;3,813;-1,253;0;-1,55;0,107;-0,041;4,127;-0,05;-0,21
"garder";-1,393;-0,274;-0,149;-0,297;2,557;-1,707;-0,995;2,903;17,637;-0,861;7,093;-0,075;-1,044;-1,349;-0,464;-1,349
"froid";81,759;-0,224;2,038;-1,742;-1,995;-1,629;-0,949;-1,893;0,006;-0,822;-0,016;0,491;-0,996;-0,038;-1,988;-0,038
"fonds";-1,584;-2,031;-1,773;-0,468;1,731;0,026;8,357;4,618;3,446;0,004;5,549;-1,584;-1,187;-1,534;-2,37;-0,142
"durable";-1,457;1,041;-1,63;3,138;5,038;-1,785;-1,04;0,711;-1,066;-0,901;12,118;-0,103;-1,092;-0,084;-0,534;-1,411
"choisir";-1,329;-1,704;5,335;-0,245;6,165;-1,629;0,011;1,026;1,314;-0,822;-1,203;-1,329;-0,996;-0,038;0,865;-0,038
"article";0,147;-0,497;-0,319;0;-0,76;-0,433;-1,177;-0,01;-0,019;87,456;-0,123;-0,203;-1,235;-1,596;-0,028;-0,175
"acte";-0,203;0,627;-1,844;-2,159;37,627;21,925;-0,013;-2,346;-0,019;-1,019;-1,492;-1,648;-1,235;-0,175;-2,465;-1,596
"unique";-0,134;-0,381;1,375;-0,409;-0,611;-0,326;0,952;-0,527;-1,113;-0,94;-1,376;0,251;0,822;0,298;12,974;-1,472
"stratégie";-0,167;-2,031;0,082;5,477;-2,377;-1,942;-0,006;-0,596;3,446;0,004;5,549;8,944;-1,187;-1,534;-0,012;-1,534
"siège";-0,167;-0,438;-0,273;0,005;-0,013;63,077;-1,132;-2,256;-1,159;-0,979;10,523;-1,584;-1,187;-0,142;-2,37;-1,534
"réussir";-1,329;-1,704;-1,488;-0,245;-0,401;4,482;0,011;-1,893;1,314;-0,822;-1,203;-1,329;40,77;6,895;-0,397;-1,287
"route";1,667;0,748;3,629;-2,075;0,362;-1,942;-0,006;2,013;3,446;0,004;0,335;-0,167;-1,187;-1,534;-2,37;-1,534
"reprendre";0,195;2,65;-1,773;-0,468;-0,685;-1,942;3,618;-0,596;-1,159;-0,979;-1,434;0,195;7,724;1,816;0,368;-0,142
"possible";-0,167;0,01;3,629;21,243;7,532;0,026;-1,132;-2,256;-1,159;0,004;-1,434;-0,167;-1,187;-1,534;-2,37;-1,534
"position";-1,457;0,05;-1,63;-1,908;0,571;35,541;0;-0,461;0;0,023;-0,049;-1,457;-0,001;-1,411;-0,534;0,371
"positif";-1,393;-1,786;-1,559;0,068;-0,469;0,123;0,003;-0,397;4,477;-0,861;2,947;2,361;0;0,457;0,711;-1,349
"participation";-1,521;-0,381;-1,701;-0,409;-0,611;43,216;-1,086;-2,165;-0,003;0,012;-1,376;1,874;8,298;-0,111;-2,274;-0,111
"parler";-0,167;0,01;0,082;0,005;0,362;0,026;0,835;-0,596;8,032;0,004;-1,434;-1,584;-1,187;-0,142;-0,012;0,236
"opposition";-1,584;-2,031;-1,773;-2,075;49,433;16,421;-1,132;-2,256;-1,159;-0,979;0,335;4,583;-1,187;-1,534;-2,37;-1,534
"oms";-1,648;0,002;3,298;0;-2,473;-2,02;-1,177;128,987;-1,206;-1,019;-1,492;-1,648;-1,235;-1,596;-2,465;-1,596
"netflix";-0,758;-0,971;-0,848;11,305;-0,001;-0,929;-0,541;1,135;-0,555;-0,469;-0,686;-0,758;-0,568;-0,734;16,722;-0,734
"mouvement";0,319;6,818;-0,188;-0,352;-0,539;3,638;-1,04;-0,461;-1,066;-0,901;2,655;0,319;-1,092;-0,084;0;-1,411
"midi";132,01;0,01;-1,773;-2,075;-2,377;-0,379;-1,132;-0,002;-1,159;-0,979;-1,434;0,195;0,714;-1,534;-2,37;-0,142
"instagram";-1,266;-1,622;-1,416;0,162;-0,336;-0,142;0,024;-0,277;0,017;14,724;0,837;-1,266;-0,949;-1,226;17,799;-1,226
"inspirer";-1,139;-1,459;-1,274;-1,492;-1,709;0,423;0,069;-0,171;1,931;-0,704;-1,031;-0,004;-0,853;-1,103;63,364;-1,103
"genevois";-0,103;-1,867;-0,188;-1,908;-2,186;3,638;1,083;-0,461;0;0,023;6,529;-1,457;-1,092;0,371;5,071;-0,084
"football";-1,457;-1,867;-1,63;-1,908;0;-1,785;-1,04;-0,461;-1,066;-0,901;-1,319;-1,457;0,944;224,586;-2,179;-1,411
"extrême";-1,393;-0,274;-1,559;3,506;5,572;8,056;-0,995;0,857;0,001;-0,861;-0,031;-0,075;-1,044;-1,349;-0,464;-1,349
"employé";-0,167;0,01;1,201;21,243;-2,377;-0,379;-1,132;-0,002;-1,159;-0,979;5,549;1,667;-1,187;-1,534;-2,37;-0,142
"emji_gyrophare";0,195;9,95;0,082;-0,468;-0,685;10,721;-0,006;0,474;-1,159;-0,979;-0,096;-1,584;-1,187;-1,534;-0,012;-1,534
"degré";187,039;-1,704;-0,114;-1,742;-1,995;-1,629;-0,949;-0,336;0,006;-0,822;-0,016;-0,051;-0,996;-1,287;-1,988;-1,287
"danger";4,203;5,24;3,298;-2,159;-2,473;-2,02;-1,177;4,196;7,492;0,001;1,938;-1,648;-1,235;-1,596;-2,465;-1,596
"contenir";-1,457;-1,867;-1,63;0,967;0;-1,785;-1,04;48,042;4,1;-0,901;2,655;-0,103;-1,092;-1,411;-2,179;-1,411
"vigueur";8,944;0,748;-1,773;5,477;4,121;2,953;-1,132;-2,256;-1,159;-0,979;-0,096;-1,584;-1,187;-1,534;-2,37;0,236
"travers";1,874;-0,381;0,12;-0,409;-0,003;-1,864;3,939;5,081;-1,113;-0,94;-1,376;-1,521;-1,139;-0,111;8,248;-1,472
"traditionnel";-1,266;-1,622;-1,416;-0,196;-1,899;-1,551;1,584;0,084;1,494;0,088;0,837;-0,031;0,011;-0,021;11,694;-0,021
"texte";-1,521;-0,381;-1,701;-0,409;63,471;0,05;-0,001;-2,165;-0,003;0,012;-0,071;-0,134;-1,139;-1,472;-0,605;-0,111
"situer";18,092;0,084;0,226;1,137;-0,469;-1,707;-0,995;-1,983;0,001;-0,861;-0,031;-0,075;-1,044;2,542;-0,464;-0,059
"signer";-0,103;-0,326;-1,63;-1,908;45,054;-0,276;-1,04;-2,074;0;-0,901;-1,319;-0,103;8,926;2,274;-2,179;-1,411
"réduction";1,667;-2,031;-1,773;58,274;-0,013;0,884;-1,132;-0,596;-1,159;-0,979;-0,096;-1,584;-1,187;-0,142;-2,37;0,236
"reportage";-0,315;1,138;-0,353;-0,413;-0,473;-0,386;-0,225;0,919;-0,231;18,245;-0,285;-0,315;-0,236;-0,305;0,826;-0,305
"rencard";-0,189;-0,242;-0,212;-0,248;-0,284;-0,232;-0,135;-0,269;-0,138;-0,117;-0,171;-0,189;63,621;-0,183;-0,283;-0,183
"rejoindre";9,631;-1,949;-0,229;-1,992;1,976;0,05;0,952;-2,165;-1,113;0,012;-0,071;-0,134;-1,139;2,033;0,465;-0,111
"période";1,874;-1,949;20,029;0,817;-2,282;0,05;3,939;-2,165;-1,113;-0,94;-0,071;-1,521;-1,139;-0,111;0,465;-0,111
"promettre";-0,075;-0,274;-0,149;1,137;0,702;0,123;0,003;0,022;-1,019;0,039;-1,261;-1,393;-1,044;-1,349;15,151;-1,349
"négociation";-1,584;-0,438;-1,773;0,005;84,163;6,232;-1,132;-2,256;-1,159;-0,979;-1,434;-0,167;-1,187;-1,534;-2,37;-0,142
"nécessaire";0,195;-2,031;-1,773;0,005;1,731;2,953;-0,006;2,013;-1,159;0,004;0,335;-1,584;-0,015;-1,534;-0,679;1,816
"menacer";0,251;2,956;60,5;-1,992;-0,003;-1,864;-0,001;0;-1,113;-0,94;-1,376;0,251;-1,139;-1,472;-2,274;-1,472
"journaliste";-0,075;35,8;-1,559;-1,825;-2,09;-1,707;-0,995;10,627;-1,019;0,039;-0,031;-1,393;0;-0,059;0,007;-1,349
"inédit";-1,139;-0,096;-0,031;-0,11;0,141;-1,396;24,193;-1,621;6,456;-0,704;-1,031;0,873;0,046;-1,103;0,144;-1,103
"installer";11,208;-0,274;-0,149;0,068;0,702;-1,707;10,346;-0,397;-1,019;-0,861;-0,031;0,398;-1,044;-1,349;0,007;-1,349
"frontière";0,195;48,587;-1,773;-2,075;-2,377;-0,379;-0,006;8,289;-1,159;-0,979;-1,434;-0,167;-1,187;-0,142;-0,012;-1,534
"entrée";-0,167;0,748;-0,273;-0,468;11,964;2,953;-0,006;-2,256;-1,159;0,004;-0,096;-1,584;-0,015;-1,534;0,368;-0,142
"défense";-1,393;3,674;-1,559;-1,825;47,997;-1,707;0,003;-1,983;-1,019;-0,861;0,593;2,361;0;-1,349;-2,084;-1,349
"défendre";-1,521;0,026;-1,701;-1,992;4,557;0,05;-1,086;0;0,885;0,012;6,016;-0,134;-1,139;-0,111;1,994;-1,472
"dispositif";5;6,241;-1,701;2,807;-0,611;-1,864;0,952;-0,527;-1,113;-0,94;-0,071;5;-1,139;-1,472;-0,605;-0,111
"discussion";-1,584;-2,031;-0,273;-2,075;71,566;10,721;-1,132;-0,002;-1,159;0,004;-1,434;-1,584;-1,187;-1,534;-2,37;-0,142
"cyril";-1,584;-0,438;-1,773;-2,075;-2,377;0,884;0,835;-2,256;-1,159;1,262;-1,434;-0,167;-1,187;-1,534;-0,679;136,717
"culturel";-1,457;-1,867;-0,188;-0,352;-2,186;-1,785;128,72;0,007;-1,066;-0,901;0,495;-1,457;-1,092;-1,411;2,269;-0,084
"cour";-1,012;-0,035;-1,132;2,827;2,085;7,683;-0,723;0,388;-0,74;-0,625;1,591;0,003;-0,758;-0,98;-1,513;-0,98
"commencer";12,118;0,129;5,335;-1,742;-1,995;-1,629;-0,949;-1,893;-0,973;-0,822;-1,203;-1,329;0,003;0,556;16,407;-1,287
"beau";-1,457;-1,867;-0,188;-0,352;-2,186;-1,785;0;0,007;-1,066;0,023;0,495;-0,103;25,038;26,032;-0,534;-1,411
"alimentaire";-1,329;0,129;24,57;-0,245;0,021;-0,183;-0,949;-0,336;18,878;-0,822;-0,016;-0,051;-0,996;-1,287;-1,988;-1,287
"album";-1,329;-1,704;-1,488;-1,742;-1,995;-1,629;0,011;-1,893;-0,973;-0,822;-1,203;-1,329;4,692;-1,287;140,461;-1,287
"activité";-1,393;0,084;-0,149;-0,297;-2,09;-1,707;1,231;31,293;1,154;-0,861;-1,261;-0,075;-1,044;0,457;-0,464;-0,059
"étendre";5;0,026;0,12;-0,409;-0,611;-1,864;-0,001;-0,527;-0,003;5,13;0,409;9,631;-1,139;-1,472;-0,605;-1,472
"élire";-1,457;-1,867;-1,63;-1,908;2,25;154,969;-1,04;-2,074;-1,066;-0,901;-1,319;-1,457;-1,092;-1,411;0;-1,411
"travailleur";0,599;-1,622;0,382;14,302;-1,899;-1,551;-0,904;3,689;-0,926;-0,782;8,408;-0,031;-0,949;-1,226;-1,893;-0,021
"transformer";-1,202;-1,541;2,632;-1,575;-1,804;-1,473;13,004;0,134;1,699;-0,743;-0,001;-1,202;0,025;-1,164;12,806;-1,164
"trafic";138,683;-1,949;1,375;-1,992;-0,611;-1,864;-0,001;0,584;-1,113;-0,94;-1,376;-0,134;-1,139;-1,472;-2,274;-1,472
"tiers";-0,103;0,05;1,571;32,63;-2,186;-0,276;-1,04;5,593;-1,066;0,023;-1,319;-0,103;-1,092;-1,411;-2,179;-1,411
"supporter";-0,051;-1,704;-1,488;-0,245;0,855;-0,183;-0,949;-1,893;0,006;-0,822;-1,203;-1,329;-0,996;144,653;-1,988;-1,287
"super";-1,202;-0,134;0,483;-1,575;-1,804;-1,473;-0,859;-1,712;-0,88;-0,743;-1,088;-1,202;181,239;3,555;-1,798;-1,164
"solution";-1,393;-1,786;0,226;-1,825;5,572;-1,707;0,003;16,305;-1,019;0,039;-1,261;2,361;-1,044;-1,349;0,007;-0,059
"soin";-1,521;0,026;7,975;-1,992;-2,282;0,05;-1,086;45,223;-1,113;-0,94;-1,376;-0,134;-1,139;-1,472;-2,274;2,033
"septembre";-0,051;-1,704;2,038;7,86;-0,401;14,546;-0,949;-1,893;0,006;-0,822;-1,203;-1,329;0,003;-0,038;0,023;-1,287
"régime";-1,457;-0,326;1,571;-0,352;8,935;0,082;0;0,711;9,265;-0,901;-1,319;-1,457;-1,092;-1,411;0;-1,411
"réalité";-1,266;-0,177;2,316;-0,196;0,048;-1,551;1,584;3,689;0,017;-0,782;-1,146;-0,031;-0,949;-0,021;3,316;-1,226
"riche";-1,329;-1,704;-1,488;19,829;-0,401;-0,183;0,011;-0,336;18,878;-0,822;-1,203;-1,329;-0,996;-1,287;2,925;-0,038
"présent";-1,521;0,885;-1,701;-0,409;-0,003;0,05;3,939;5,081;-0,003;-0,94;0,409;-0,134;-1,139;5,316;-2,274;-1,472
"préparer";0,491;8,158;0,297;-0,245;-1,995;-1,629;5,108;-1,893;0,006;-0,822;0,706;-0,051;-0,996;-1,287;0,865;-0,038
"parcours";0,491;-1,704;-0,114;-0,245;-1,995;-1,629;5,108;-0,336;0,006;-0,822;-0,016;-1,329;72,158;0,556;-1,988;-1,287
"occasion";-1,329;-1,704;5,335;-0,245;-0,401;-1,629;-0,949;-0,336;-0,973;0,06;-0,016;-0,051;-0,996;6,895;10,696;-0,038
"moyen";-1,329;-0,224;-1,488;-0,245;0,855;-0,183;0,011;1,026;-0,973;0,06;-1,203;-1,329;-0,996;-1,287;16,407;2,842
"ministère";-1,457;6,818;-1,63;-1,908;55,605;3,638;-1,04;-2,074;-1,066;-0,901;-1,319;-1,457;-1,092;-1,411;-2,179;0,371
"lutte";1,874;-1,949;-0,229;0,017;4,557;-1,864;-0,001;0,584;-1,113;-0,94;0,409;9,631;-0,006;-1,472;-2,274;-0,111
"largement";-0,031;-0,177;0,382;-1,658;1,033;23,417;-0,904;-0,277;-0,926;-0,782;-0,006;-1,266;0,011;-0,021;-0,333;-0,021
"interdire";-1,521;-0,381;-0,229;-1,992;-0,611;-1,864;-1,086;35,757;-1,113;-0,94;11,285;15,766;-1,139;-1,472;-2,274;-1,472
"impliquer";-0,075;-0,274;-0,149;-0,297;38,028;0,123;-0,995;0,857;-1,019;0,039;-0,031;-0,075;-1,044;-1,349;-2,084;-1,349
"idée";0,398;-0,274;4,841;-1,825;-2,09;-0,228;0,003;-1,983;0,001;-0,861;-1,261;0,398;9,615;-1,349;5,607;-0,059
"fête";-0,015;-0,134;-1,345;4,893;-0,275;-1,473;0,043;4,159;-0,88;-0,743;0,986;-0,015;0,025;-0,008;-0,271;-0,008
"exposition";-0,103;-1,867;-0,188;-1,908;-2,186;-1,785;307,239;0,007;-1,066;0,023;-1,319;-1,457;-1,092;-1,411;-2,179;-1,411
"exemple";0,491;-1,704;-0,114;-0,245;-1,995;-1,629;1,397;-0,336;0,006;-0,822;14,037;19,43;-0,996;-1,287;-0,397;-0,038
"emji_symbole_d_avertissement";2,649;8,158;24,57;-1,742;-1,995;-1,629;-0,949;3,273;-0,973;-0,822;-1,203;-1,329;-0,996;-1,287;-0,397;-0,038
"emblématique";-1,329;-1,704;-1,488;-1,742;-0,401;-1,629;199,361;-1,893;-0,973;-0,822;-0,016;-1,329;0,003;-1,287;2,925;-1,287
"déposer";-0,103;0,05;-0,188;-1,908;-0,539;12,454;0;-0,461;-1,066;-0,901;19,421;2,104;-1,092;-1,411;-2,179;-0,084
"création";-1,457;-1,867;-1,63;-1,908;-0,539;-0,276;17,076;-0,461;-1,066;-0,901;0,495;-1,457;-1,092;-0,084;35,76;0,371
"coup";0,398;0,084;-1,559;-1,825;-0,469;0,123;18,232;-0,397;0,001;0,039;-1,261;-0,075;0;11,777;-2,084;-1,349
"classement";-1,457;-1,867;-1,63;0,038;-2,186;-1,785;0;0,007;-1,066;1,571;-1,319;0,319;81,653;0,371;0;-1,411
"clair";-1,457;-1,867;0,168;-0,352;0,571;0,082;0;0,711;16,507;-0,901;0,495;-0,103;-1,092;-1,411;0,579;-1,411
"citoyen";-1,329;-1,704;-1,488;-1,742;-0,401;40,438;-0,949;-1,893;-0,973;-0,822;-1,203;81,759;-0,996;-1,287;-1,988;-1,287
"carte";-1,329;-1,704;-1,488;7,86;-1,995;-0,183;5,108;-0,336;1,314;0,06;7,717;0,491;-0,996;-1,287;-1,988;0,556
"bernois";-0,015;16,06;-0,054;0,229;-1,804;-1,473;-0,859;-0,222;-0,88;-0,743;-1,088;3,334;-0,901;0,805;0,089;-0,008
"anthony";-1,521;-0,381;-1,701;-1,992;-2,282;-1,864;-1,086;-2,165;-1,113;1,408;-0,071;-1,521;-0,006;-1,472;-2,274;240,304
"alessandro";-1,393;-1,786;-1,559;-1,825;-2,09;-1,707;-0,995;-1,983;-1,019;-0,861;-0,031;-1,393;-1,044;-1,349;-2,084;328,687
"zingaro";-1,457;-0,326;-1,63;-1,908;-2,186;1,202;1,083;-2,074;-1,066;1,571;-1,319;-1,457;-1,092;-1,411;-2,179;151,058
"visiteur";3,334;-1,541;-1,345;1,81;-1,804;-1,473;13,004;-0,222;-0,88;0,122;-0,001;-0,015;-0,901;-1,164;3,759;-0,008
"violent";19,43;28,657;-1,488;-0,245;-1,995;-1,629;-0,949;0,047;-0,973;-0,822;-1,203;-1,329;0,003;-1,287;0,865;-1,287
"valeur";-0,075;-1,786;-1,559;1,137;0,702;0,123;28,339;-1,983;0,001;-0,861;-1,261;-0,075;-1,044;-0,059;0,711;-0,059
"tribunal";-0,758;-0,971;-0,848;-0,993;4,088;33,205;0,475;-1,079;-0,555;-0,469;-0,686;-0,758;-0,568;0,149;-0,001;-0,734
"subir";-0,103;0,05;-0,188;3,138;-2,186;-0,276;-1,04;29,259;-1,066;0,023;-1,319;-1,457;-0,001;-0,084;-2,179;0,371
"sentir";16,876;-1,867;0,168;3,138;-2,186;-0,276;0;0,007;-1,066;-0,901;-0,049;-0,103;-1,092;0,371;-0,534;0,371
"récemment";-1,329;0,129;0,297;0,109;2,903;-0,183;1,397;-1,893;0,006;-0,822;-0,016;6,524;-0,996;-1,287;0,023;-1,287
"relation";-0,051;-1,704;5,335;-1,742;23,234;-1,629;-0,949;6,788;-0,973;-0,822;-1,203;-1,329;-0,996;-1,287;0,023;-0,038
"pénal";-1,139;-0,096;-1,274;-1,492;-1,709;115,067;-0,813;-0,171;-0,833;-0,704;-1,031;-1,139;-0,853;-1,103;-0,214;0,961
"production";-1,329;-1,704;-1,488;7,86;-1,995;-0,183;-0,949;-1,893;18,878;0,06;3,273;-0,051;-0,996;-1,287;2,925;-0,038
"procédure";-1,329;-0,224;-1,488;-0,245;6,165;14,546;-0,949;1,026;-0,973;-0,822;-1,203;2,649;-0,996;-1,287;-0,397;-0,038
"presse";-1,329;0,129;-1,488;0,109;23,234;-0,183;-0,949;0,047;-0,973;-0,822;-1,203;-0,051;-0,996;-0,038;0,023;0,556
"pièce";-0,051;-1,704;0,297;19,829;-1,995;-0,183;19,503;-0,336;0,006;-0,822;-1,203;-0,051;-0,996;-1,287;0,023;-1,287
"personnel";-1,329;-0,224;-0,114;3,916;0,855;0,177;-0,949;17,623;-0,973;-0,822;0,706;-1,329;-0,996;-1,287;-1,988;-0,038
"ordre";-0,103;24,976;-0,188;-1,908;2,25;1,202;-1,04;0,007;-1,066;0,023;2,655;-1,457;-1,092;-1,411;-2,179;-1,411
"nécessiter";-1,457;-0,326;8,643;6,551;0;-1,785;-1,04;2,573;0;0,023;-0,049;-0,103;-1,092;-1,411;-0,534;-0,084
"nommer";0,873;-1,459;0,603;-0,11;0,141;2,455;-0,813;-0,171;-0,833;-0,704;0,001;-1,139;-0,853;0,961;4,261;-1,103
"nicolas";3,564;-0,809;-0,706;-0,827;5,803;7,86;-0,451;-0,899;-0,462;-0,39;0,417;-0,631;-0,473;-0,611;-0,944;0,335
"médecin";-0,075;-0,274;-1,559;-1,825;-2,09;-1,707;-0,995;105,314;4,477;-0,861;-1,261;-0,075;-1,044;-1,349;-2,084;-0,059
"modèle";-0,103;-1,867;-1,63;0,038;-2,186;0,082;-1,04;2,573;1,011;-0,901;0,495;16,876;-1,092;0,371;-2,179;0,371
"manifester";-1,393;46,194;-1,559;-1,825;-0,469;13,449;-0,995;-0,397;1,154;-0,861;-1,261;0,398;-1,044;-1,349;-2,084;-1,349
"juin";4,21;-1,378;-1,203;-0,073;-1,613;-0,042;2,308;0,283;0,088;-0,665;0,008;4,21;-0,806;0,001;-0,161;0,001
"gagner";-1,266;-1,622;-0,082;-0,196;-1,899;-1,551;0,024;-0,277;1,494;-0,782;-0,006;-1,266;19,619;43,542;-1,893;-1,226
"formation";-0,075;-1,786;1,79;0,068;-0,469;-0,228;-0,995;2,903;-1,019;0,039;0,593;0,398;0;-0,059;-0,464;0,457
