26;2;2;4;1;0;2;0;1;0;0;0;0;2;2;3;0
tels;2;0;2;1;0;0;1;5;2;0;3;0;1;0;1;0
maintenant;0;0;1;0;0;3;0;1;1;2;2;2;0;3;1;1
lorsque;1;2;1;1;0;1;1;3;2;0;0;0;1;1;4;0
autant;0;0;1;3;1;2;0;0;3;0;1;1;1;4;1;1
alerte;6;4;2;2;0;0;0;2;0;0;0;1;0;0;1;0
31;0;0;1;1;1;1;0;2;0;0;2;1;2;2;2;0
29;5;1;2;1;0;0;1;1;0;0;1;0;2;1;2;0
x;2;1;0;2;4;1;0;1;0;1;0;0;0;1;1;0
tard;0;2;1;0;4;3;0;1;2;0;0;1;0;2;1;0
parfois;1;0;2;4;1;0;0;2;2;1;1;0;0;0;1;1
lorsqu;1;1;1;1;2;1;2;3;2;0;0;1;0;2;1;0
48;1;2;1;0;1;1;0;2;0;0;1;1;0;5;0;1
ça;0;0;0;0;0;0;0;0;0;0;1;2;3;6;3;0
quelque;0;1;1;1;3;0;2;1;0;0;0;2;0;5;0;0
loin;1;0;1;0;2;0;0;0;1;1;1;0;3;4;1;1
39;0;0;2;0;5;0;1;0;0;0;0;1;2;1;0;0
34;0;2;1;1;0;1;2;0;0;0;1;1;5;1;1;0
32;1;1;4;4;1;1;0;0;2;0;1;0;1;1;0;0
2020;0;0;4;1;0;0;2;1;2;0;1;2;0;1;2;0
150;2;1;1;2;1;1;0;4;0;1;1;2;0;1;0;0
mal;1;0;1;2;0;0;0;2;2;0;1;2;0;0;2;0
juste;1;0;2;3;0;0;0;0;1;0;1;2;3;0;1;1
huit;1;1;1;3;2;0;1;0;0;0;0;0;1;2;1;0
2000;0;2;1;4;1;0;2;0;0;0;2;0;0;2;2;0
jusqu_au;2;1;1;2;2;0;3;1;1;0;1;1;0;0;0;0
htag_miseaupointrts;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
hors;0;1;2;3;0;0;2;0;0;0;1;1;0;1;0;0
gare;6;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0
g;0;0;0;0;0;0;0;0;0;0;1;0;12;1;0;0
envers;0;1;2;0;4;0;0;1;0;0;0;1;0;0;4;0
certain;1;1;0;1;1;0;1;1;0;0;3;0;0;2;1;1
400;0;1;1;5;1;1;0;1;0;0;0;1;0;0;4;0
2018;0;0;0;0;0;3;0;1;0;0;1;2;2;4;2;0
vite;1;0;0;0;0;0;0;1;1;1;2;1;1;1;2;1
neuf;0;3;0;2;0;1;0;3;1;0;1;1;0;0;1;0
me;0;0;1;1;0;1;0;2;0;0;2;0;3;1;1;0
d_abord;0;1;0;0;0;0;1;1;3;0;0;1;1;3;0;0
2017;0;1;1;1;1;3;0;0;1;0;1;1;0;2;1;0
1000;3;0;1;2;1;1;0;1;1;0;1;1;0;0;1;0
vingt;0;3;1;1;0;0;0;1;2;0;0;2;0;1;0;0
te;0;0;0;1;0;0;0;0;1;0;0;2;0;3;3;0
mon;0;0;0;0;2;0;1;0;1;0;3;0;2;2;2;0
htag_19h30rts;1;1;0;0;0;0;0;1;0;9;0;0;0;1;0;0
au_dessus;7;1;1;0;0;0;0;1;0;0;1;0;0;0;2;0
45;0;1;0;3;0;0;1;0;0;0;0;1;3;2;1;0
38;0;0;6;2;0;2;0;0;1;0;0;0;0;0;1;0
2028;0;0;0;5;0;0;0;1;0;0;4;1;0;0;1;1
2016;0;0;1;2;2;2;1;1;0;0;0;0;1;2;0;0
votre;0;0;3;0;0;0;0;1;2;0;0;1;0;0;0;1
toi;0;1;1;0;0;0;0;0;1;0;0;0;1;1;4;0
outre;2;1;0;2;1;0;0;2;1;0;1;0;0;0;1;0
longtemps;0;1;2;1;1;1;0;1;1;0;1;1;0;0;1;0
65;1;0;3;1;1;0;2;0;0;0;0;1;0;2;1;0
37;1;2;2;0;0;3;1;0;0;0;0;0;0;0;1;0
rien;0;1;0;1;1;0;1;1;0;0;1;1;2;1;1;0
dehors;0;0;1;1;0;2;0;3;0;0;0;0;0;1;1;0
chacun;0;0;2;1;1;1;0;1;0;0;0;0;0;1;2;1
anti;0;0;2;0;1;2;0;0;3;0;1;1;0;0;0;0
72;0;2;0;1;1;2;1;0;0;0;0;0;1;0;0;0
66;0;0;2;0;0;3;1;0;0;0;0;1;0;2;1;0
600;1;2;1;1;0;0;1;0;0;0;1;1;0;1;0;0
41;0;2;1;1;1;3;0;0;0;0;0;0;1;0;1;0
250;1;3;0;1;1;1;1;0;0;0;0;0;3;0;0;0
2030;0;0;4;2;0;0;0;2;0;0;1;1;0;0;0;1
laquelle;0;1;0;0;1;3;1;0;1;0;0;2;0;0;0;0
f;0;0;0;3;0;0;1;0;0;0;0;1;0;1;1;1
divers;0;0;0;1;0;1;1;0;1;0;2;1;0;0;2;0
différents;1;0;0;0;1;0;0;1;2;0;1;3;0;0;0;0
b;0;0;1;0;0;0;0;0;1;0;1;0;0;3;2;1
86;2;0;0;1;0;1;0;2;1;0;0;0;0;1;2;0
800;1;1;1;2;1;0;0;3;0;0;1;0;0;0;0;0
42;0;1;0;2;0;3;0;1;0;1;0;1;0;0;0;0
35;0;1;1;1;0;3;0;1;0;0;0;1;0;0;1;1
quoi;0;0;0;0;1;0;0;0;0;0;0;0;2;1;3;0
plupart;0;3;1;0;0;1;0;1;0;0;0;2;0;0;1;0
oui;0;0;1;0;0;1;1;0;0;1;1;3;0;1;0;0
auparavant;1;3;2;0;0;1;0;1;0;0;0;0;0;0;0;0
attention;0;0;0;0;1;0;0;3;2;0;0;1;1;0;1;0
85;0;0;1;3;1;0;0;1;0;0;1;0;1;0;0;0
75;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1
44;0;1;1;2;0;0;1;1;0;0;0;0;0;0;2;0
telles;0;0;0;0;0;0;1;4;0;0;0;2;0;0;1;0
mi;0;1;0;0;0;1;0;0;0;1;0;0;0;3;1;0
dommage;0;1;1;1;1;0;0;1;1;0;0;1;0;0;0;0
demi;0;1;0;2;0;0;0;2;1;0;1;0;0;1;0;0
celle_ci;0;0;3;0;1;0;0;0;0;0;2;1;0;0;1;0
assez;1;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0
92;0;0;0;0;0;3;1;0;1;0;0;0;1;1;0;1
58;1;0;0;1;2;2;0;0;0;0;0;0;0;1;1;0
57;2;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0
53;0;0;0;1;0;3;0;0;0;0;0;1;2;1;0;0
46;0;0;3;0;0;1;0;0;0;0;0;1;0;1;0;0
36;0;1;0;2;2;1;0;0;1;0;0;0;1;0;0;0
3000;1;0;2;3;0;0;0;0;0;0;0;1;0;0;0;1
2500;0;0;1;1;0;2;0;2;0;0;0;1;0;0;1;0
2029;0;0;0;2;0;1;0;1;1;1;0;0;0;1;1;0
2015;0;1;0;0;0;0;0;0;1;0;1;1;1;1;2;0
van;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;1
treize;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0
telle;0;0;2;0;1;0;0;0;1;0;0;0;0;1;0;0
tel;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1
soi;0;0;3;0;0;1;1;0;1;0;0;0;0;0;0;0
sauf;0;1;0;0;0;1;0;0;0;1;2;1;1;0;0;0
quinze;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0
partout;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;1
parce_que;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
nul;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0
lendemain;2;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0
douze;1;1;0;1;0;0;0;3;0;0;0;1;0;0;0;0
celui_ci;0;0;1;2;1;1;0;1;0;0;0;0;0;1;0;0
95;2;0;0;1;0;2;0;0;0;0;0;2;0;0;0;0
79;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1
78;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;0
