"";"";"";"";"klaunzer";""
"137";"bamonte";"-0.524601054537311";"0.387582319748548";"0.846195900560681";"430"
"138";"action";"-0.202590071563191";"-0.712224556855494";"0.846181093504317";"431"
"139";"stefan";"-1.04719024212854";"4.29295321156577";"0.845877196299903";"432"
"140";"médaille";"-1.2038220769963";"5.30724295765161";"0.845877196299903";"434"
"141";"élite";"-1.09391671180553";"4.27094771090677";"0.845877196299903";"435"
"142";"set";"-1.05722413808321";"4.64318485082252";"0.845877196299903";"436"
"143";"circuler";"-0.412144132500396";"-0.444588372770743";"0.84575732965315";"438"
"144";"perturber";"-0.443832670176516";"-0.504006558536804";"0.845608553991591";"439"
"145";"blessé";"-0.0869181029563896";"-0.993651783961534";"0.845463303819644";"440"
"146";"uefa";"-1.15284092052136";"4.05385872919051";"0.845429459119384";"442"
"147";"bañeza";"-1.15284092052136";"4.05385872919051";"0.845429459119384";"444"
"148";"éliminatoire";"-1.15284092052136";"4.05385872919051";"0.845429459119384";"445"
"149";"égaliser";"-1.15284092052136";"4.05385872919051";"0.845429459119384";"446"
"150";"penalty";"-1.15284092052136";"4.05385872919051";"0.845429459119384";"447"
"151";"ndoye";"-1.15284092052136";"4.05385872919051";"0.845429459119384";"448"
"152";"navarro";"-1.15284092052136";"4.05385872919051";"0.845429459119384";"449"
"153";"league";"-1.15284092052136";"4.05385872919051";"0.845429459119384";"450"
"154";"duel";"-1.15284092052136";"4.05385872919051";"0.845429459119384";"451"
"155";"trêve";"-0.717471759694859";"-1.16376241483571";"0.845402665398345";"453"
"156";"théâtre";"-0.539610031647192";"-0.509060329148958";"0.845387153244059";"454"
"157";"conseiller";"-0.0450349102404798";"-0.804681822002699";"0.845116395641982";"455"
"158";"bactérie";"-0.157486876671403";"-0.825691775499756";"0.84506492349367";"456"
"159";"taupe";"-0.157486876671403";"-0.825691775499756";"0.84506492349367";"457"
"160";"rat";"-0.157486876671403";"-0.825691775499756";"0.84506492349367";"458"
"161";"inflammation";"-0.157486876671403";"-0.825691775499756";"0.84506492349367";"459"
"162";"encre";"-0.157486876671403";"-0.825691775499756";"0.84506492349367";"460"
"163";"dépistage";"-0.157486876671403";"-0.825691775499756";"0.84506492349367";"461"
"164";"raciste";"-0.369681746182536";"-1.01759000123866";"0.844865380781723";"462"
"165";"irrégularité";"-0.369681746182536";"-1.01759000123866";"0.844865380781723";"463"
