"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16"
"niveau";0,005;1;0,003;1;1;0,001;1;0,781;1;1;1;0,104;1;0,598;1;1
"communiqué";1;0,982;0,161;0,307;1;0,086;0,241;0,005;1;1;1;1;1;1;1;1
"publier";1;1;0,057;0,002;0,869;1;1;0,781;0,016;1;0,509;1;1;1;1;1
"importance";1;1;0;1;1;1;0,015;0;0,702;1;1;1;1;1;1;1
"complet";1;1;1;1;1;0,746;1;1;1;0;0,403;1;0,047;1;1;1
"bott";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"utiliser";1;0,24;1;1;1;1;1;0;0,01;1;0,16;1;1;1;0,07;1
"train";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"renforcer";0,004;1;1;0,984;0,8;0,882;1;0,016;1;0,132;0,048;1;1;1;1;0,994
"proposer";1;1;1;0,034;1;0,882;1;0,382;1;1;0,904;0,587;1;1;0,024;1
"local";0,587;0,553;1;1;1;0,882;0,057;0,714;1;0,97;0,904;1;1;1;0;1
"habitant";0,559;0;1;1;1;1;0,576;1;1;0,947;0;1;1;0,517;1;1
"venir";0,04;1;1;1;0,988;1;0,456;1;1;1;1;0,001;1;0,006;0,108;1
"seulement";1;1;0,001;0,919;1;1;1;0,329;0,213;1;1;1;0;0,193;1;1
"seul";1;1;0,012;0,039;1;1;1;1;1;1;1;0,001;1;0,079;1;1
"réduire";0,005;1;0,424;0,136;1;1;1;0,006;0,002;1;0,509;1;1;1;1;1
"zurich";0;1;0,18;1;1;1;1;0,797;1;1;0,001;0,004;0,963;1;1;1
"zone";0,531;0;0,12;1;1;1;1;0,044;1;1;0,037;1;1;0,193;1;1
"voix";1;1;1;1;1;0;1;1;0,58;1;1;1;1;1;0,724;1
"revenir";0,769;1;1;0,319;1;1;1;1;0,937;1;0,069;0,111;0,024;0,02;1;1
"retour";0,067;0,886;1;1;1;1;1;1;1;1;1;0,067;0,001;0,012;1;1
"membre";1;0,001;1;1;1;0,018;0;0,355;1;1;1;1;1;1;1;0,967
"etats";1;1;1;0,952;0;0,067;1;1;1;0,947;1;1;1;1;1;1
"armée";1;0;1;1;0,694;1;1;1;1;1;1;1;1;1;1;1
"site";1;1;1;0,021;1;1;0,528;0,12;1;0,378;0,006;1;1;1;0,154;1
"juger";1;1;1;0,001;0,337;0;1;0,579;1;1;1;0,002;1;1;1;1
"entreprise";1;1;1;0;1;1;1;0,979;1;1;1;0;1;1;1;1
"emji_caméra";0,863;1;1;0,622;0,789;1;1;1;0,545;0,006;1;1;1;1;0,354;0,828
"directeur";1;1;0;0,885;1;1;0;0,612;1;1;1;0;1;1;1;1
"attaque";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"titre";1;1;1;1;0,951;1;0,432;0,871;1;1;1;1;0;0,028;0,006;1
"petit";1;1;0;1;1;1;0,799;1;0;1;1;1;1;0,224;1;1
"participer";0,477;1;1;1;0,337;1;1;1;1;0,358;0;1;1;0,162;1;1
"lier";1;1;1;0,919;0,394;0,818;1;0;0,58;1;1;0,982;1;1;1;1
"frapper";0,982;0;1;1;1;1;0,552;1;1;1;1;1;1;1;1;1
"famille";0,801;1;1;0,712;0,005;1;0,002;0,062;1;1;1;0,029;1;1;1;1
"soir";0;0,038;1;1;0,259;0,005;1;1;1;1;1;1;0,482;0,362;1;1
"poste";1;1;1;0;1;0,379;1;1;1;1;0,791;0,185;1;0,439;1;1
"michael";1;1;1;1;1;1;1;1;1;0,009;1;0,832;1;1;1;0
"image";1;1;0,44;1;1;0,551;1;1;0,104;0,005;1;1;1;1;0;1
"critique";1;1;1;0,493;0,003;1;0,528;0;1;1;1;1;1;1;1;1
"course";1;1;1;1;1;1;1;1;1;1;0,233;1;0;1;1;1
"conseiller";0,953;1;1;1;1;0;1;0,303;0,047;1;1;0,013;1;1;1;1
"confirmer";1;0,01;1;1;0,988;0,007;0,988;1;1;1;0,733;0,423;1;1;0,983;1
"affirmer";1;0;1;1;0,14;0,752;0,166;1;1;1;0,364;1;1;1;0,138;1
"élevé";0;0,646;0,18;0,006;1;1;1;1;0,002;0,754;1;1;1;0,314;1;1
"remporter";1;1;1;1;1;0,008;1;1;1;1;1;1;0;0,001;1;1
"présenter";0,893;1;1;1;1;1;0,48;0,255;0,168;1;0;0,168;1;1;1;1
"minute";0,423;1;1;1;1;1;1;1;1;1;1;1;0;0;0,983;1
"condition";1;1;1;1;1;0,618;1;0;0,128;1;0;1;1;1;1;1
"commun";1;1;1;1;1;0,001;0,988;1;1;0,319;0,003;0;1;1;1;0,82
"annonce";0,704;1;1;0;1;0,209;1;1;1;1;1;1;0,103;1;0,167;1
"affaire";1;0,92;0,743;1;0;0,038;0,77;1;0,292;1;1;0,605;1;1;1;1
"rencontre";1;1;1;1;0;0,231;0,362;1;1;1;1;1;1;0;1;1
"mètre";0;1;0,743;1;1;1;1;1;1;1;0,493;1;0,821;1;0,113;1
"manifestation";1;0;1;1;1;0;1;1;1;1;1;0,296;1;1;1;1
"laurent";1;1;1;1;1;1;0,988;1;1;0,001;0,733;1;1;1;1;0
"journée";0,32;1;0;1;0,016;1;1;1;1;0,005;1;0,021;1;1;1;1
"israël";1;0;1;1;0,006;0,107;1;1;1;1;1;1;1;1;1;1
"haut";1;1;1;1;0,836;1;0;1;1;1;1;1;0,115;1;1;1
"guerre";0,801;0,007;1;1;0;1;0,937;1;1;1;0,674;1;1;1;0,512;1
"donner";0,832;1;1;1;0,096;0,005;1;1;1;1;1;0,138;1;0,362;0,547;1
"compte";1;1;1;0,051;1;1;1;0;1;1;1;0,153;1;1;0,108;0,82
"augmenter";0,397;1;0;0;1;1;1;1;0,457;1;1;1;1;1;1;1
"ajouter";1;1;0,982;0,747;0,006;0,652;1;0,871;1;0,804;1;1;1;1;0,006;1
"âge";1;1;0;0,712;0,517;1;0,002;0,834;1;1;1;1;0,457;1;1;1
"professionnel";1;1;0,162;1;1;1;1;0;0,91;1;1;1;1;1;0,444;1
"poursuivre";0,863;1;1;0,782;1;0,033;1;0,083;1;0,319;0,318;1;0,507;0,82;0,983;1
"meilleur";1;1;1;1;1;1;1;0,871;1;1;1;1;0;0;0,946;1
"impact";1;1;1;1;1;0,685;0,14;0;0,482;1;0,318;0,863;1;1;0,281;1
"proche";0,638;0,506;1;1;0;1;1;0,294;0,315;1;1;1;1;1;1;1
"objectif";1;1;0,949;1;1;1;1;0,062;0,128;1;0,674;0;1;1;1;0,759
"marché";1;1;0,743;0,196;1;1;0,77;1;1;0,621;0;0,058;1;1;0,03;1
"espèce";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"dénoncer";1;0,001;1;0,319;0;0,254;1;0,797;1;1;1;1;1;1;1;1
"campagne";1;1;0,325;0,949;1;0,419;1;1;0,065;1;0,493;1;1;0,008;0,315;1
"assurer";1;0,297;1;0;0,875;1;1;0,169;1;1;1;0,345;1;1;1;0,728
"ap";1;1;1;1;1;1;1;1;1;0;0,651;1;1;1;1;0
"aide";1;0;1;1;0,073;0,254;1;0,169;0,409;1;1;1;1;1;1;1
"accueillir";0,029;0,118;1;0,712;1;1;0;1;1;1;1;0,124;1;1;1;1
"système";1;0,681;1;1;1;0,618;1;1;0,024;1;0;0;1;1;1;0,759
"réaliser";1;1;0,001;1;1;1;1;0,151;1;1;1;1;0;1;0,061;1
"précédent";1;1;0,18;0;1;1;1;1;0,937;1;0,069;1;0,963;0,728;0,87;1
"palestinien";1;0;1;1;0,836;1;1;1;1;1;1;1;1;1;1;1
"majeur";0,737;1;1;1;1;0,016;0,094;0,045;0,91;1;1;0,32;1;1;1;1
"janvier";0,769;1;1;1;0,004;0,254;0,91;1;1;1;0;0,004;0,963;1;0,87;1
"inscrire";1;1;1;0;0,913;1;0,02;1;1;1;1;1;1;0;1;0,759
"humain";1;1;0,883;1;1;1;1;0,002;0;1;0,614;1;1;1;0;1
"côté";1;0,201;1;1;0,131;0,898;0,295;1;1;0,648;0,039;1;0,012;0,6;0,346;1
"billet";0,572;0,882;1;0;1;1;1;1;1;1;1;1;1;0;1;1
"émission";1;1;0,016;1;1;1;1;1;1;0,342;0,037;0,784;1;1;0,282;0,75
"édition";1;1;1;1;1;1;0,71;1;1;1;0,965;1;0,006;0,035;0;1
"sortir";1;0,92;1;1;0,318;0,15;0,77;1;1;1;1;1;0,821;0,008;0;1
"recevoir";1;0,506;0,779;1;0,037;0,452;0,799;0,294;1;1;0,177;1;0,851;1;0,712;1
"histoire";1;1;1;1;1;1;0;1;1;1;1;1;0;0,224;0;1
"général";1;0,247;0,41;1;0,169;0,062;1;0,353;0,882;1;1;0,704;0,017;1;1;1
"di";1;1;1;1;1;1;1;1;1;0,001;1;1;1;1;1;0
"deuxième";1;1;0,743;1;1;0,007;1;1;1;1;1;1;0;0,568;1;1
"concerner";0,345;1;0,47;0;1;0,585;1;0,169;1;1;1;0,345;1;1;1;1
"but";1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
"éviter";1;1;1;0,604;1;0,209;0,855;0;0,001;1;1;1;0,908;1;1;1
"économique";1;1;0,325;0;0,031;0,419;0,058;1;0,796;0,621;1;1;1;1;1;0,568
"vert";1;1;1;1;0,797;0;1;1;1;1;0,053;0,704;1;0,268;1;1
"udc";1;1;1;1;1;0;1;1;1;1;1;0,272;1;1;1;1
"secteur";0,704;1;1;0,022;0,797;1;0,855;0,038;1;1;0,008;0,704;0,908;1;1;1
"produit";1;1;1;1;0,157;1;1;0,126;0;1;0;1;1;1;0,877;1
"pari";1;0,11;1;1;1;1;0,129;1;0,138;1;1;1;0;1;0,642;1
"majorité";1;1;1;0,006;1;0;1;0,797;0,937;1;1;1;1;1;1;1
"joueur";1;1;1;1;1;1;1;1;1;1;1;1;0,103;0;1;1
