"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12"
"emji_porte_documents";1;1;1;0,029;1;1;0,882;0,81;0;1;1;1
"emji_cerveau";1;1;1;1;1;1;1;1;0,713;1;1;0
"dévoiler";0,455;1;1;0,436;0,348;1;1;1;1;0,004;1;1
"découverte";1;0,268;1;0,436;0,348;1;1;1;1;1;0,318;0,258
"dollar";0,1;0,467;0,481;1;1;1;1;1;0,61;0,026;1;1
"course";0;1;0,825;1;1;1;1;1;1;0,792;1;0,792
"communiqué";1;1;1;1;0,572;0;1;0,534;0,61;1;1;1
"commun";0,705;1;1;0,091;0,572;0,682;0,06;1;1;1;1;1
"commencer";0,363;0,809;1;1;1;1;1;1;0,271;0,792;0,017;0,792
"climatique";1;1;1;1;1;1;0,7;1;0,713;1;0;1
"arriver";1;1;1;1;1;0,05;0,486;1;1;1;0;1
"accepter";1;1;0,481;0,682;0,572;1;0,001;0,534;1;1;1;1
"évolution";1;1;1;0,001;1;1;1;1;0;0,108;1;1
"étranger";1;0,467;1;0,682;1;0,682;0,06;0,534;0,61;1;1;1
"voter";1;1;0,086;1;1;1;0;0,724;1;1;1;1
"vin";1;1;1;0,436;1;1;1;1;0,377;1;0,318;0,004
"tête";0,219;1;1;0,887;1;1;0,147;1;0,809;0,634;0,724;0,634
"société";1;1;1;0,003;1;1;0,597;1;0,61;0,454;0,534;1
"seul";1;1;1;0,003;0,572;1;1;1;0,61;1;0,043;1
"réduction";1;1;0,381;0,05;1;1;0,486;0,428;0,497;1;1;1
"représenter";1;0,467;0,481;1;1;1;0,597;1;0,064;0,454;1;0,454
"reprendre";0,912;1;0,665;0,887;0,767;0,016;1;1;1;1;0,724;0,634
"relation";1;1;0;0,564;1;1;1;1;1;1;1;0,357
"procès";1;0;1;1;1;1;1;0,81;1;1;1;1
"porte";0,912;1;1;0;0,767;1;1;1;1;1;1;1
"populaire";1;0,809;1;1;1;1;0,027;1;0,03;0;1;1
"parlement";1;1;1;1;1;1;0,322;0;1;1;0,961;0,863
"oeuvre";1;1;1;1;1;1;0,7;1;1;0;1;1
"objectif";1;1;1;1;1;0,436;0,367;1;0,377;0,258;1;0,258
"naître";0,455;0;1;1;1;1;1;1;1;0,258;1;1
"média";0,912;0,649;0,003;0,887;1;0,887;0,795;1;1;1;1;0,634
"musée";1;0;1;0,682;0,572;1;1;1;1;0,026;1;1
"match";0;1;1;1;1;1;1;1;1;1;1;1
"manquer";1;1;1;0,016;1;1;0,795;0,724;0,154;0,634;1;0,634
"laisser";1;0,08;0,665;1;1;0,887;1;0,111;1;0,634;0,724;0,634
"journaliste";1;1;1;0;0,572;0,091;1;1;1;1;1;1
"israël";1;1;1;1;1;0;1;0,206;1;1;1;1
"inquiéter";1;0,561;1;0,142;1;0,789;0,004;1;1;0,547;1;1
"initialement";1;1;1;0,202;0,132;1;1;0,111;1;0,074;1;0,634
"grave";1;0,809;1;1;0,238;0;1;1;0,976;0,792;1;1
"fonds";1;0,116;1;0,976;1;0,976;1;0,81;0,896;1;0,81;0,004
"final";0;1;1;1;1;1;0,795;1;1;0,074;1;1
"faux";1;0,005;1;1;1;1;1;0,81;0,21;1;1;0
"expérience";1;0,649;0,665;1;1;0,887;0,795;1;1;0;0,724;1
"essentiel";1;1;0,748;0,976;0,854;0,976;0,882;1;1;0,108;1;0,004
"entrer";1;0,467;0,481;0,682;1;0,682;0,06;0,534;1;1;1;1
"emji_étincelles";0,586;1;1;1;1;0,564;1;1;1;0,357;0,021;0,357
"emji_montagne_enneigée";1;1;1;1;1;1;1;0,103;1;1;0;1
"emji_livres";1;1;0,055;0,789;1;1;0,7;1;0,105;0,047;1;1
"emji_graphique_en_baisse";1;1;1;1;1;1;1;1;0;1;1;0,792
"emji_avion";1;1;1;0,202;0,132;0,016;1;0,724;1;1;1;0,634
"emblématique";1;1;0,576;1;1;0,789;1;1;1;0;0,633;1
"déposer";1;0,202;0,213;1;1;1;0,043;0,26;1;0,863;1;0,863
"décéder";1;1;1;1;0;0,436;1;0,318;1;1;1;1
"déclarer";1;0,649;0,086;1;1;1;0,147;0,724;0,154;1;0,724;1
"débat";0,219;0,649;1;0,016;1;1;0,147;0,724;1;1;1;1
"droite";1;0,467;0,481;1;1;1;0;1;1;1;1;1
"donner";1;1;0,576;1;1;1;0;0,633;0,713;1;0,633;1
"diminuer";1;1;1;1;0,767;1;1;1;0;1;1;1
"croissant";1;1;1;0,166;1;1;1;0,103;1;1;1;0,075
"cour";1;0;1;1;1;0,976;1;0,81;0,896;1;1;1
"citoyen";1;0,732;1;1;1;1;0;1;1;1;1;1
"choisir";1;1;0,576;0,789;1;1;1;1;1;0,547;1;0
"charger";1;1;1;0,016;1;1;1;0,005;0,154;0,634;1;1
"but";0;1;0,576;1;1;1;1;1;1;0,547;1;1
"besoin";1;1;1;0,682;0,572;0;1;1;0,61;1;1;1
"aérien";1;0,649;1;1;0,767;0;1;1;0,809;1;1;1
"assurer";1;1;1;0;1;0,789;1;1;1;0,547;1;0,547
"appel";1;0;1;1;1;0,34;0,26;0,888;1;0,792;1;1
"vigueur";1;1;0,381;1;1;0,564;0,486;0,021;1;1;0,428;1
"venir";0,586;0,369;0,381;0,564;1;1;1;1;1;0,357;0,428;1
"tôt";0,814;1;1;1;0,674;0,008;1;1;0,713;1;0,073;1
"tribunal";1;0;0,576;1;1;1;0,099;1;1;1;1;1
"travers";1;1;0,576;1;0,674;0,142;1;1;1;0,547;0,073;0,547
"transport";1;1;1;0,436;1;1;0,367;1;0,014;0,258;1;1
"transformer";1;1;0,381;0,564;1;0,564;1;1;1;0;1;1
"traitement";1;1;1;1;1;0,564;0,486;1;1;1;1;0
"tendance";1;1;1;0,269;1;1;0,882;1;0;1;1;0,716
"tempête";1;1;1;1;0,238;1;0,962;1;1;1;0;1
"température";1;1;1;1;1;1;1;1;1;1;0;1
"sujet";0,912;1;0,665;0;1;1;0,795;0,724;1;1;1;1
"stratégie";1;1;1;0,008;1;1;0,7;0,633;1;0,547;0,633;0,547
"soin";1;0,809;1;1;0,933;0,003;0,26;1;0,976;1;1;0,792
"sentir";1;1;1;0,564;1;1;0,031;0,428;1;1;0,021;1
"répondre";1;1;1;0,003;1;0,682;0,597;1;0,61;0,454;1;1
"régime";1;0,369;1;1;1;0,564;1;0,428;1;1;1;0
"russe";1;0,116;0,006;1;0,182;0,029;1;1;1;1;1;1
"rices";1;1;1;0,564;1;1;1;0;1;1;0,428;0,357
"retraite";0,156;1;0,576;0,789;1;1;1;0,633;0,713;0,047;1;1
"rejeter";1;0,116;1;1;1;0,976;0;1;1;1;1;1
"quotidien";1;1;1;0;1;1;1;0,633;1;0,547;0,073;1
"position";1;0,467;1;0,682;1;0,682;0,06;0,534;1;1;1;0,454
"plateforme";0,912;0,08;0,665;1;1;1;1;1;0,809;0;1;1
"part";0,705;0,467;1;1;1;0,682;1;0,534;0,001;1;1;1
"parent";1;1;1;0,091;1;1;0,597;0,534;0,61;1;1;0,026
"officiellement";0,912;1;1;1;1;0,202;0,147;0,005;1;1;1;0,634
"obtenir";1;0,561;0,055;0,789;1;0,142;0,7;1;0,713;1;1;1
"nécessiter";1;1;1;0,05;1;0,05;1;0,428;1;1;1;0,357
"new";1;1;0;1;1;0,976;1;1;1;0,004;1;0,716
"naissance";1;1;1;1;1;1;1;1;0;1;1;0,012
"motion";1;1;1;1;1;1;0;0,073;0,713;1;1;1
"moment";1;1;0,176;1;0,23;1;0,245;1;1;0,161;1;1
"ministère";1;0,01;0,166;1;0,023;0,048;1;1;1;1;1;1
"midi";1;1;1;0,564;0,027;1;0,031;1;1;1;0,428;1
"meilleur";0,009;1;1;0,008;1;1;1;1;0,713;0,547;1;1
"manifester";1;1;1;1;0,001;0,682;0,597;0,534;1;1;1;0,454
"long";0,705;1;0,481;1;1;1;1;0,534;1;1;1;0
"jouer";0,814;1;1;1;0,674;0,789;1;1;0,713;0,547;0,633;0,047
"interroger";0,317;1;1;0,301;1;0,301;0,245;1;1;1;1;1
"installer";1;1;0,481;0,091;1;1;1;0,534;1;0,454;0,043;1
"image";1;1;1;1;1;0,142;1;1;1;1;1;0
"garder";1;0,116;1;1;0,854;1;0,201;0,009;1;1;1;0,108
"fête";1;1;1;1;0,23;1;1;1;0,253;0,161;0,206;1
"froid";1;1;1;1;0,767;1;1;1;1;1;0;0,634
"football";0;1;1;0,976;1;1;0,882;1;1;1;1;1
"fan";0,008;1;1;1;1;1;1;1;1;0,001;1;1
"exprimer";0,219;1;0,665;0,202;1;0,887;1;0,111;1;1;0,724;1
"environnement";1;0,369;1;0,564;0,027;1;1;1;1;1;1;0,012
"entraîner";1;0,732;1;0,269;0,854;1;1;0,156;0,896;1;0,81;0,108
"emji_feu";1;1;1;1;0;1;1;0,534;1;1;0,043;1
"dénoncer";1;0,649;1;0,887;1;1;0,147;0,111;0,809;0,634;1;0,634
"difficile";0,317;0,168;1;0,301;1;0,301;1;1;1;1;1;1
"culturel";1;1;0,381;1;1;1;1;1;1;0;1;1
"continuer";1;1;1;1;0,572;0,682;1;0,043;0,61;0,454;1;0,454
"conserver";1;1;0,665;0,016;0,767;0,887;1;0,724;1;0,634;0,724;1
"conflit";1;1;0,123;1;1;0;1;0,81;1;1;1;1
"concevoir";1;0,561;1;1;1;1;1;1;0,713;0,047;0,633;0,001
"comprendre";1;1;1;0,682;1;0,091;0,06;1;0,61;1;0,534;1
"comité";1;1;1;1;0,674;0,008;0,099;0,633;0,713;1;1;1
"carrière";0;1;1;1;1;1;1;1;0,713;0,547;0,633;1
"bilan";1;1;1;0,202;0,007;0,202;1;1;0,154;1;1;1
"augmentation";1;0,649;1;0,202;1;1;0,795;0,724;0,009;1;1;0,634
"arrivée";0,705;1;1;0,682;0,053;1;1;1;1;0,026;0,534;1
"appeler";1;0,561;1;1;0,003;0,789;0,7;1;0,713;1;1;0,547
"adopter";1;0,561;1;1;1;1;0;0,002;1;1;1;1
"actuel";1;1;0,825;0,003;1;1;0,001;0,888;1;1;1;1
"accès";1;1;1;0,022;0,348;1;1;1;1;1;1;0,004
"étudiant";1;1;1;1;1;1;1;0,103;0,134;0,075;1;1
"établir";1;1;1;1;0,053;0,091;1;1;1;0,026;0,534;1
"électronique";1;0,013;1;0,564;1;1;0,031;1;1;1;0,428;1
"voiture";0,705;1;1;1;0,572;1;1;0,043;0,61;0,454;1;0,454
"visible";1;0,561;0,576;0,789;1;1;1;1;0,713;0,547;0,073;0,547
"union";1;0,561;0,576;1;1;1;0,7;0,002;0,713;1;1;0,547
"traditionnel";1;1;0,576;1;1;1;1;1;0,105;0,047;1;0,001
"terme";1;1;0,055;0,142;1;0,789;1;1;1;1;1;0,001
"sud";1;1;0,086;1;0,132;0;1;1;1;1;0,724;1
"ssr";1;1;1;1;1;0,682;0;0,534;0,61;1;1;1
"spécial";1;1;1;0,436;0;0,436;1;1;1;1;1;1
"siège";1;0,268;0,278;1;1;0,436;1;0,318;0,377;1;1;1
"scientifique";1;1;1;1;1;1;0,7;0,633;1;0,547;1;0
"réponse";1;0,051;1;1;0,674;1;0,7;0,633;1;1;1;0,001
"récemment";1;1;1;1;1;0,682;0,06;0,534;1;0,026;1;0,454
"réaction";1;1;1;1;1;1;0;0,156;1;1;1;0,004
"romain";1;1;1;1;0,118;1;1;1;1;0,075;1;0,075
"rapide";0,814;1;1;0,142;1;0,008;0,7;1;1;1;1;0,547
"programme";1;0,369;0,381;0,564;1;1;0,486;0,428;0,497;1;1;1
"privé";1;1;0,481;1;1;0,091;0,597;0,534;0,064;1;1;1
"positif";0,705;1;1;0,682;1;1;1;1;0,064;1;0,534;0,026
"parlementaire";1;1;0,123;1;0,854;0,976;0,882;0;1;1;0,81;1
"oms";1;1;1;1;1;0;1;1;1;1;1;1
"occasion";1;1;1;0,436;1;1;1;1;0,014;0,258;1;0,258
"objet";1;1;1;1;0;1;0,7;1;1;0,001;1;1
"nord";1;1;1;1;0,027;0,001;1;1;1;1;0,428;1
"nom";0,056;1;0,381;0,564;1;1;1;0,021;1;1;1;1
"médical";1;0,561;1;0,789;1;0,008;1;1;0,004;1;1;1
"mouvement";1;1;1;0,789;1;0,789;0,004;0,073;1;0,547;1;1
"maison";1;1;0,278;1;0,011;1;1;0,318;1;1;1;0,258
"liberté";1;0,028;1;0;1;1;1;1;1;1;1;0,454
"juin";1;0,268;1;0,436;0,348;1;1;1;1;0,258;0,318;1
"italien";0,317;0,168;1;1;1;1;1;1;1;1;1;0,001
"intelligence";1;1;1;1;1;1;1;1;1;0,634;1;0
"inspirer";1;1;1;0,301;1;1;1;1;1;0;1;1
"inscrire";0,705;1;0,031;1;1;1;0,597;1;1;0,454;1;0,026
"initier";1;1;0,576;1;0,674;1;0;1;1;0,547;0,633;1
"information";1;0,08;1;0,887;1;1;0,147;1;1;1;0,724;0,002
"imposer";0;1;0,576;1;1;1;0,7;0,633;0,713;1;1;1
"hamas";1;1;1;1;1;0;1;1;1;1;1;1
"h";1;0,561;1;0,789;0,003;1;1;1;1;1;0,002;1
"futur";0,912;1;0,665;0,202;1;0,202;0,795;1;1;0,634;1;0,634
"explorer";1;1;1;1;1;1;1;1;1;0;1;0,454
"emji_voiture";1;0,649;0,665;0,887;1;1;1;0,005;0,154;1;1;0,634
"emji_symbole_d_interdiction";1;1;0,576;0,789;1;0,789;0,099;1;1;0,547;1;0,047
"emji_stéthoscope";1;0,561;1;1;0,674;0,789;0,7;0,633;0,105;1;1;0,547
"emji_micro";1;1;0,278;1;1;0,436;1;1;0,377;0,004;1;1
"emji_hôpital";1;1;1;1;0,182;0,269;0,016;0,156;0,896;1;1;1
"emji_graphique_en_hausse";1;1;1;0;1;1;0,367;1;0,377;1;1;1
"emji_drapeau_ukraine";1;1;0;1;0,854;0,029;1;1;1;1;1;1
"emji_drapeau_royaume_uni";1;1;0,084;1;1;0,166;1;1;1;0,075;1;1
"départ";1;1;1;0,682;0,572;1;1;0,043;0,064;0,454;1;1
"durable";1;1;1;1;1;0;0,367;1;1;1;1;1
"double";0,814;1;1;0,789;1;1;0,7;0,002;0,713;1;1;0,547
"dossier";1;0;0,001;1;1;1;0,7;1;1;1;1;1
"domaine";1;1;0,381;1;1;1;1;0,428;1;0,357;0,021;0,357
"culture";1;0,369;1;0,05;1;1;1;1;1;0,012;1;0,357
"coût";1;1;1;0,091;1;1;0,597;0,534;0,001;1;1;1
"considérer";1;0;1;0,789;0,674;1;0,7;0,633;1;1;1;1
"coeur";1;0,561;1;1;0,088;1;0,7;1;0,105;0,547;1;0,547
"climat";1;1;1;0,016;1;1;0,795;1;0,809;1;0;1
"chaîne";1;1;1;1;1;0;0,7;1;1;1;1;0,547
"chanson";1;1;1;1;1;1;1;0,318;1;0,004;0,318;0,258
"centaine";1;1;1;1;0;1;0,597;0,534;1;1;1;1
"beau";0,004;0,028;1;1;1;1;1;1;1;0,026;1;1
"avril";1;0,467;0,481;1;0,572;0,003;1;1;1;1;0,534;1
"avenir";1;1;0,576;0,142;1;1;0;1;0,713;1;1;1
"arrêter";1;0,002;0,665;1;0,767;0,202;1;0,111;1;1;1;1
"application";0,455;1;1;0,436;0,348;1;1;0,318;0,377;1;1;1
"adulte";1;1;1;1;1;1;1;1;0,134;1;1;0
"adolescent";1;1;1;0,789;1;1;1;1;1;0,547;1;0
"adapter";1;1;1;0;1;1;1;1;0,713;0,547;0,633;0,547
"actuellement";0,586;1;0;1;1;0,564;1;1;1;1;1;1
"activité";1;1;1;0,016;1;0,887;1;1;0,809;1;0,111;0,074
"étendre";1;1;1;1;1;0,564;0,486;1;0,497;1;0,021;0,357
"étape";0,814;0,561;1;1;1;0,789;0,7;0,633;1;0,047;0,633;1
"élève";1;1;1;1;1;1;0,06;0,043;0,001;1;1;1
"york";1;1;0;1;1;1;1;1;1;0,001;1;1
"violent";1;1;1;1;0,572;0,682;1;1;0,61;0,454;0,001;1
"ukrainien";1;1;0;1;0,053;0,682;1;1;1;1;1;1
"trouver";1;1;1;1;1;0,436;1;1;0,014;1;1;0,004
"troisième";0,317;1;1;0,301;1;1;1;1;0,004;1;1;1
"travailleur";1;1;1;0,564;1;1;0,486;1;0,034;1;1;0,012
"tester";0,586;1;1;0,001;1;1;0,486;1;1;0,357;1;1
"test";1;1;0,176;0,301;1;1;1;1;1;1;1;0,001
"séduire";1;0,08;1;0,166;1;1;1;1;1;0,075;1;1
"streaming";1;1;1;1;1;1;1;1;0,134;0;1;1
"sport";0,156;1;1;0;1;1;1;1;1;0,547;1;0,547
"scène";1;1;0,278;0,436;0,348;1;1;1;1;0,004;1;1
"scrutin";1;1;0,001;1;1;1;0,003;1;1;1;1;1
"règle";1;1;0,031;0,682;0,572;1;1;0,534;0,61;1;1;0,454
"russie";1;1;0;1;1;0,202;1;1;1;1;1;1
"romands";1;1;1;0,022;1;1;0,367;1;1;0,258;0,318;1
"renoncer";1;1;0,481;0,682;1;1;1;0;1;1;1;1
"remplacer";1;1;1;0,142;0,088;0,789;0,099;1;1;0,547;1;1
"qualifié";0,156;1;1;0,789;0,088;0,142;1;1;0,713;1;1;1
"présent";0,705;0,467;1;0,682;0,001;1;1;1;1;1;1;0,454
"propriétaire";1;1;1;0;1;1;1;1;1;1;1;1
"promettre";1;0,004;1;1;1;0,436;1;1;0,377;0,258;1;1
"poursuivre";1;1;1;0,564;1;0,564;0,486;0,021;1;0,357;1;1
"possible";1;1;0,576;1;1;0,789;1;0;1;1;0,633;0,547
"plaindre";1;0;1;1;1;1;0,004;1;1;1;1;1
"pilote";1;1;1;0;1;0,564;1;1;1;1;1;1
"personnel";1;0,051;0,576;0,789;0,088;1;1;0,633;0,713;1;1;1
"performance";1;1;1;0,001;1;1;1;1;1;1;1;0,075
"patient";1;0,561;1;0,789;0,088;0,142;0,7;1;1;1;1;0,547
"ouverture";1;1;1;0,001;1;1;0,129;1;1;1;1;1
"origine";1;1;1;0,682;0,572;1;1;1;0,61;0,454;0,534;0,026
"opposition";1;1;0,055;1;1;0,789;0;0,633;1;1;1;1
"onu";1;1;0,665;1;1;0;0,008;1;0,809;1;1;1
"négociation";1;1;0,014;1;1;0,564;0,486;0,021;1;1;1;1
"musique";1;1;1;1;1;1;1;1;1;0;0,206;1
"musical";1;1;0,176;1;1;1;1;1;1;0;1;1
"militaire";1;1;0,481;1;0,001;0,682;0,597;0,534;1;1;1;1
"milieu";0,317;1;1;1;0,23;1;0,245;1;1;0,161;1;1
"lutte";1;0,001;1;1;1;1;0,245;1;0,253;1;1;1
"londres";0,317;0,168;1;1;1;0,301;1;1;1;0,161;1;1
"largement";1;0,168;1;1;1;1;0,245;1;1;1;0,206;0,161
"large";0,178;0,08;1;1;1;1;1;1;1;0,075;1;1
"jean";1;1;1;0,436;1;0,436;0,367;1;1;0,258;0,318;1
"intervention";1;1;1;1;0;0,887;1;1;1;1;1;1
"instagram";1;1;1;1;1;0,789;1;1;1;0,047;0,633;0
"individu";1;0,561;1;1;0,088;1;1;1;1;1;0,073;0,001
"incident";1;1;1;1;0;0,202;0,795;1;1;1;1;1
"importance";1;1;1;1;1;1;1;0,428;0,034;0,012;0,428;1
"genevoise";1;1;1;1;0;1;0,06;1;0,61;1;1;1
"forme";0,586;0,369;1;1;1;1;0,486;1;0,497;0,357;1;0,357
"fonction";1;0,561;0,576;1;1;1;1;0;1;1;1;1
"emji_voiture_de_police_de_face";1;0,08;1;1;0;1;1;0,724;1;1;1;1
"emji_robot";1;1;1;1;1;1;1;1;1;1;1;0
"emji_explosion";1;1;1;1;0,003;0,008;1;1;1;1;0,073;1
"emji_drapeau_brésil";0,705;0;1;1;0,053;1;1;1;0,61;1;1;1
"emji_billet_avec_des_ailes";0,317;1;1;1;1;1;1;0,206;0,004;1;1;1
"détention";1;0;1;1;0,674;1;1;1;1;1;1;1
"dérouler";0,705;1;1;1;0,053;0,682;0,597;1;1;0,454;0,534;1
"député";1;1;1;1;1;1;0;0,021;1;1;1;1
"dépasser";0,586;1;1;1;0,027;1;0,486;1;0,034;1;1;1
"décrire";1;1;0,381;1;0,027;0,564;1;1;0,497;1;1;0,357
"décennie";1;1;0,278;0,436;1;1;1;1;1;0,258;0,318;0,258
"débuter";0,705;1;1;1;0,572;1;0,597;0,001;1;1;0,534;1
"domicile";0,056;1;0,381;0,564;1;1;1;0,428;0,497;1;1;1
"dizaine";1;1;1;1;0,088;0,008;1;1;0,105;1;0,633;1
"delémont";1;1;1;1;0,348;1;1;0,318;1;1;0;1
"crime";1;0,467;1;1;0,572;0,091;0,06;1;0,61;1;1;1
"coup";0,814;0,051;1;0,789;1;0,789;1;1;0,713;0,547;0,633;1
"contrôle";1;0,051;0,576;0,142;0,674;0,789;1;1;1;1;1;0,547
"confédération";1;0,369;0,381;0,564;1;1;1;1;0,034;1;1;0,357
"complexe";1;1;1;1;0;0,682;0,06;1;1;1;1;1
"communauté";1;0,369;1;1;1;1;0,031;1;1;0,012;1;0,357
"chine";1;1;0;1;1;1;0,486;1;0,497;1;1;0,357
"budgétaire";1;1;0,005;1;1;1;1;0,008;0,377;1;1;1
"brésilien";0,1;0;1;1;0,572;1;1;1;0,61;1;1;1
"blesser";0,156;1;1;1;0,003;0,142;0,7;1;1;1;1;1
"benjamin";1;1;1;1;1;0,091;1;0,534;1;1;0;1
"base";1;1;1;0,091;0,572;1;1;1;1;1;1;0
"bas";1;1;1;1;1;0,789;1;0,633;0;1;0,633;0,547
"attribuer";1;1;0,381;0,564;1;0,564;1;1;0,034;1;1;0,357
"artificiel";1;1;1;1;1;1;1;1;1;1;1;0
"apporter";1;1;1;1;0,23;1;1;1;1;0,161;0,206;0,161
"améliorer";1;0,467;1;0,003;1;1;1;0,534;1;1;1;0,026
"amende";1;0,168;1;1;0,23;0,301;1;0,206;1;1;1;1
"allemand";0,705;1;1;1;0,572;1;1;1;1;0;1;1
"aider";0,317;1;1;0,301;1;1;1;1;0,004;1;1;1
"évoquer";1;1;1;1;0,572;0,682;0,597;0,534;1;0,454;0,043;1
"écrire";0,1;1;0,481;0,091;1;1;0,597;0,534;1;1;1;1
"visiteur";1;1;1;0,166;1;1;1;1;1;1;0;1
"version";1;1;1;1;1;1;0,486;0,428;1;0;1;0,357
"trouble";1;1;1;1;0,118;1;1;1;1;1;1;0
"traverser";1;1;1;1;1;1;1;0,534;1;0,026;0;1
"transférer";1;0,467;1;0,682;0,572;0,003;0,597;1;1;1;1;1
"territoire";1;1;1;1;1;0;1;1;1;1;1;1
"série";1;1;1;0,166;0;1;1;1;1;1;1;1
"swiss";0,001;1;1;1;1;1;1;1;1;0,075;1;1
"super";0;1;1;1;0,674;1;1;1;1;1;0,073;1
"st";0,317;1;1;0,301;1;0,301;1;1;1;1;0,206;1
"sortie";0,317;1;1;1;1;1;1;0,206;1;1;1;0,001
"sommeil";1;1;1;1;1;1;1;1;1;1;1;0
"solution";1;0,467;0,031;0,682;1;1;1;1;0,61;1;0,534;0,454
"siècle";1;1;1;0,301;1;1;1;1;0,253;1;0,002;1
"signer";1;1;0;0,682;0,572;0,682;1;1;1;1;1;0,454
"sarkozy";1;0;1;1;1;1;1;1;1;1;1;1
"régional";0,317;1;1;0,301;0,23;0,301;1;1;1;1;1;1
"récent";1;1;1;1;0,463;0,564;1;0,428;1;1;0,428;0,012
"remonter";1;1;1;1;1;1;1;1;0,497;1;0;0,357
"rejoindre";0,455;0,268;1;1;1;1;0,367;1;1;0,004;1;1
"refuser";1;1;0,576;1;0,088;0,789;0;1;1;1;1;1
"reconnaître";1;0,013;0,381;1;1;1;0,486;1;1;0,357;1;0,357
"rare";1;0,369;0;1;1;1;1;1;1;1;0,021;1
"rapporter";1;1;0,014;1;0,463;0,05;0,486;1;1;1;1;1
"pénal";1;1;0,576;0,789;0,674;1;0;0,633;1;1;1;1
"prévention";1;1;1;0,564;0,463;1;1;1;0;1;0,428;1
"production";1;1;1;0,001;1;1;1;1;0,134;1;1;1
"procédure";1;0,561;1;0,142;1;0,789;0,7;0,073;0,713;1;1;1
"pression";1;1;0,014;0,564;1;1;1;0,428;1;1;1;0,012
"pousser";1;1;1;1;1;0,436;0,367;0,008;1;1;1;0,258
"pluie";0,814;1;1;1;0,088;1;1;1;1;1;0;0,547
"piste";0,455;0,268;1;1;0,011;1;1;1;1;1;1;0,258
"perturber";1;1;1;1;0,348;1;0,367;0,318;1;1;0,318;0,258
"patrimoine";1;1;1;1;1;0,301;0,245;1;1;0,161;0,206;1
"passage";1;1;1;0,436;0,348;0,436;1;1;1;0,258;0,318;1
"outil";1;1;1;0,301;1;1;1;1;1;1;1;0
"noir";1;1;0,481;0,682;1;0,682;1;0,534;1;0,454;1;0,026
"nes";1;1;1;1;1;0;0,06;1;1;1;1;1
"médecin";1;1;1;1;1;0,564;1;0,428;0;1;1;0,357
"modèle";0,317;1;0,176;0,006;1;1;1;1;1;1;1;1
"mars";1;1;1;1;1;1;1;0,103;0,134;1;0,103;1
"manière";0,455;1;1;1;1;1;1;1;0;1;0,318;1
"magasin";1;1;0,278;0,436;1;1;0,367;0,318;1;1;0,318;1
"louvre";1;0;1;1;1;1;1;1;1;0,454;1;1
"livre";1;0,001;1;1;1;1;1;0,206;1;0,161;1;1
"limiter";1;0,168;1;0,006;1;1;1;0,206;1;1;1;1
"inviter";0,705;1;1;1;1;0,091;1;0,534;1;0,454;0,534;0,454
"introduire";1;1;1;1;1;1;0,129;1;1;0;1;1
"interrompre";0,455;0,268;1;0,436;1;0,436;1;1;0,377;1;1;1
"impliquer";1;0,467;0,481;0,682;0,572;1;1;0,534;0,064;1;1;1
"gros";0,317;0,168;1;1;1;1;1;1;0,253;1;1;0,161
"geste";1;1;1;1;1;1;0,129;0,103;1;1;1;0,075
"gall";0;1;1;0,564;1;0,564;1;1;1;1;1;1
"frontière";1;1;0,481;1;1;0;0,597;1;1;1;0,534;1
"fribourgeois";0,586;1;1;0,05;1;1;0;1;1;1;1;1
"fm";1;1;1;1;1;1;1;0;1;1;1;1
"fille";1;0,268;0,278;1;0,348;1;1;1;0,377;1;1;0,258
"festival";1;1;1;0,301;0,23;1;0,245;1;1;1;0,206;1
"extrême";1;0,168;1;1;1;1;0,003;1;1;1;0,206;1
"entrée";0,455;1;0,278;1;0,348;1;1;0,008;1;1;1;1
"engager";1;0,467;0,031;0,682;1;0,682;0,06;1;1;1;1;1
"emji_téléviseur";1;1;1;1;1;1;0,367;1;0,014;0,004;1;1
"emji_palette_de_peinture";1;1;1;0,436;1;1;1;1;1;0;1;1
"emji_ordinateur_portable";1;0,268;1;1;1;1;0,367;1;0,377;1;1;0,004
"emji_monument_classique";1;0,369;1;0,05;0,463;1;0,486;1;1;1;1;0,357
"emji_maison";1;1;1;0,564;1;1;1;1;0;1;1;1
"emji_loupe_orientée_à_gauche";1;0,051;0,576;0,789;1;1;0,7;0,633;0,713;1;1;0,547
"emji_drapeau_russie";1;0,561;0,055;1;0,088;0,008;1;1;1;1;1;1
"démocrate";1;1;0;1;1;1;1;1;1;1;1;1
"défi";1;1;1;0;1;1;1;1;1;1;0,008;1
"défendre";1;1;0,381;1;1;1;0,031;0,428;1;1;1;0,012
"dédier";1;1;1;1;1;1;1;1;1;0;1;1
"décès";1;1;1;1;0;1;1;0,318;0,377;1;1;1
"déclencher";1;1;1;1;0,463;0,05;1;1;1;1;0,428;0,012
"donnée";1;1;1;0,682;1;1;0,597;1;0,61;1;0,043;0,026
"condamner";1;0;0,576;1;1;1;1;0,633;1;1;1;1
"commission";0,814;1;0,576;1;1;1;0,099;0;1;1;1;1
"commercial";1;1;0,005;1;0,348;1;0,367;1;1;1;1;0,258
"cible";1;0,028;1;1;0,053;0,003;1;1;1;1;1;1
"chinois";1;0,004;0,278;1;0,348;1;1;1;1;1;1;0,258
