km;0;1;0;0;4;0;0;0;1;0;5;0
identifier;0;3;1;0;1;0;0;0;2;1;0;1
enregistrer;0;0;0;3;0;0;1;0;1;1;6;0
emji_notes_de_musique;0;0;0;0;1;0;0;0;0;7;1;0
eau;0;0;0;1;5;0;0;0;0;1;2;0
décider;1;1;1;3;0;0;6;1;0;1;0;0
danger;0;0;0;0;1;0;2;1;1;0;2;2
compte;0;0;0;2;1;0;1;1;0;1;1;3
civil;1;1;0;1;0;7;3;0;1;0;0;0
chercheur;0;1;0;1;0;0;0;0;0;0;1;1
changement;0;0;1;1;0;0;1;0;0;0;5;0
cause;0;0;1;2;0;0;0;2;1;1;2;0
bâle;1;0;0;1;0;1;0;0;1;0;1;1
battre;10;0;0;2;0;0;0;0;0;1;0;0
affirmer;0;2;1;0;1;3;0;0;0;2;0;1
vol;0;4;0;1;0;2;0;0;0;0;0;0
vert;1;0;2;1;1;0;4;0;2;1;0;0
urgence;0;1;0;0;2;4;0;1;0;0;2;0
ukraine;0;0;7;0;0;4;0;0;0;0;0;0
tiers;0;0;0;1;1;0;0;2;3;0;0;1
réunir;0;0;1;1;1;1;1;0;0;3;2;0
rouge;1;0;0;0;0;1;0;1;1;0;0;3
riche;0;0;0;4;0;0;0;0;0;0;0;2
quitter;1;0;1;1;1;3;1;1;1;1;0;0
protéger;0;1;1;0;1;1;0;0;3;1;0;1
professionnel;0;1;0;0;0;0;3;0;4;1;0;0
produire;0;0;0;1;2;1;1;0;1;2;0;3
porter;1;3;0;0;1;0;1;0;2;0;1;0
nouvel;0;0;0;0;0;0;0;1;0;5;0;2
millier;0;1;0;0;7;0;1;2;1;0;1;0
marché;0;0;0;7;0;0;1;0;1;0;1;0
loi;0;1;3;1;0;0;3;1;0;0;0;1
inédit;0;2;2;1;0;0;1;0;3;1;0;2
impact;0;0;0;0;0;0;1;0;0;4;0;2
humanitaire;0;1;0;0;0;7;1;1;0;0;0;0
frapper;0;0;0;0;3;8;0;0;0;0;2;0
figure;0;1;3;0;1;0;0;0;0;2;0;1
ferroviaire;0;0;0;1;0;0;2;0;0;0;0;0
emji_sapin_de_noël;0;0;0;0;0;0;0;0;0;1;2;1
degré;0;0;0;0;0;0;0;0;1;0;6;0
contenir;0;2;0;1;1;0;0;1;0;0;0;5
consommation;0;0;0;7;0;0;0;0;0;1;0;0
chute;4;1;0;0;0;1;0;0;2;0;5;0
bernois;1;0;0;1;4;0;0;0;1;1;0;0
