"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"*postLikes_10100";-0,365;8,531;-0,374;-0,503;-0,362;-0,461;-0,371;-0,26;6,209;-0,402;-0,443
"*postComments_48";-0,456;0,793;-0,467;-0,629;-0,453;-0,576;6,439;1,702;0,412;-0,503;-0,554
"*postReposts_46";-0,091;10,421;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_23-6-2025";-0,091;10,421;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0877";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_5000";0,091;0,063;2,179;-1,135;0,095;5,187;-0,837;-0,586;-1,121;0,043;-1
"*postComments_51";-0,456;0,793;0,847;-0,629;-0,453;4,781;-0,464;-0,325;-0,621;0,717;-0,554
"*postDate_22-6-2025";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0876";0;0;0;0;0;0;0;0;0;0;0
"*postComments_106";-0,365;-0,385;-0,374;-0,503;-0,362;0,936;8,931;-0,26;-0,497;1,22;-0,443
"*postDate_20-6-2025";0;0;0;0;0;0;0;0;0;0;0
"*a_0875";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*postDate_18-6-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*a_0874";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_723";-0,182;-0,192;4,419;3,053;-0,181;-0,23;-0,185;-0,13;-0,248;-0,201;-0,221
"*postComments_15";0,369;-0,473;-0,002;0;1,521;-0,899;-0,401;-0,018;7,324;-0,563;-2,113
"*postDate_16-6-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0873";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postLikes_709";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postDate_15-6-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*a_0872";-0,091;10,421;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_581";-0,091;10,421;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_13-6-2025";-0,182;20,855;-0,187;-0,251;-0,181;-0,23;-0,185;-0,13;-0,248;-0,201;-0,221
"*a_0871";-0,091;10,421;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_46900";-0,091;10,421;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postComments_110";-0,365;1,323;-0,374;-0,503;1,475;-0,461;-0,371;-0,26;0,798;1,22;-0,443
"*postReposts_394";-0,091;10,421;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0870";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postLikes_972";4,544;-0,192;-0,187;-0,251;-0,181;-0,23;-0,185;-0,13;3,101;-0,201;-0,221
"*postDate_11-6-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*a_0869";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_5100";-0,916;1,59;-0,937;-0,013;1,818;1,022;6,024;-0,651;-1,247;-1,009;-1,112
"*postComments_255";-0,182;-0,192;-0,187;3,053;-0,181;-0,23;-0,185;-0,13;-0,248;4,039;-0,221
"*postDate_9-6-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0868";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*postLikes_927";-0,274;-0,289;-0,28;-0,377;-0,271;-0,345;-0,278;3,91;-0,372;-0,302;10,787
"*postComments_49";-0,732;-0,772;-0,749;5,639;-0,726;0,042;-0,743;-0,52;-0,996;0,111;6,807
"*postDate_8-6-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*a_0867";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*postComments_37";1,095;-0,003;-1,126;0,372;1,118;-0,051;-1,117;2,373;-1,498;-1,213;0,608
"*postDate_6-6-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*a_0866";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_4-6-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0865";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_2-6-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0864";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postComments_14";0,11;0,059;0,907;2,419;-0,105;-0,003;-1,037;-0,403;-0,033;-0,222;-0,368
"*postDate_31-5-2025";-0,182;-0,192;4,419;-0,251;-0,181;-0,23;-0,185;-0,13;-0,248;4,039;-0,221
"*a_0863";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;9,973;-0,111
"*a_0862";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postLikes_7600";-0,548;-0,578;-0,561;-0,755;0,557;-0,692;0,523;-0,39;3,055;4,261;-0,666
"*postComments_67";-0,548;4,549;-0,561;-0,755;0,557;-0,692;0,523;-0,39;3,055;-0,604;-0,666
