"";"";"";"";"humanitaire";""
"279";"fonction";"0.939043135228358";"0.250680080276111";"0.873633778270151";"672"
"280";"berner";"0.829863931334359";"0.456743922755619";"0.872444878272853";"673"
"281";"film";"-0.875593825621238";"-0.86538063698386";"0.87164980139966";"675"
"282";"secours";"-0.0868841672767344";"-0.94733983053796";"0.870936461401281";"676"
"283";"infrastructure";"0.973265237825665";"0.146065669209038";"0.870936461401281";"677"
"284";"couvrir";"-0.0711530959332533";"-0.131071543591868";"0.870936461401281";"678"
"285";"beau";"-1.38576132662721";"-0.592246156957061";"0.870423748277446";"679"
"286";"projet";"0.64505783868859";"-0.339548411731813";"0.870316004215191";"680"
"287";"renforcer";"0.850853845333218";"-0.526529921572509";"0.870304858277716";"681"
"288";"lausannois";"-1.59661790281814";"-0.492918412401499";"0.869721554216542";"683"
"289";"regard";"-1.06715606912523";"-0.28762564551279";"0.869431759842201";"685"
"290";"thomas";"-0.611291005721066";"-1.54622798034532";"0.868859601718501";"686"
"291";"évoluer";"-0.423652297342707";"-0.842700076439159";"0.868859601718501";"687"
"292";"référence";"-0.604556914873357";"-1.18802012474752";"0.868859601718501";"688"
"293";"foule";"-0.53563566813107";"-0.923986301892955";"0.868859601718501";"689"
"294";"conquérir";"-1.45770305895302";"-1.37166435225296";"0.868859601718501";"691"
"295";"soeur";"-1.54004867820995";"-0.534672954351396";"0.868584668594126";"692"
"296";"finalement";"-1.54004867820995";"-0.534672954351396";"0.868584668594126";"695"
"297";"bien_être";"-0.944324864093992";"-0.704011903432343";"0.868584668594126";"696"
"298";"vallon";"-0.944324864093992";"-0.704011903432343";"0.868584668594126";"698"
"299";"dormir";"-1.27885219727376";"-0.90629668684667";"0.867897335783188";"703"
"300";"esprit";"-1.34770569775983";"-0.0929082327415641";"0.867785876408441";"704"
"301";"chanter";"-1.25499081260232";"-0.428835435298114";"0.867785876408441";"705"
"302";"compétition";"-0.874111552628356";"-1.08208523071517";"0.86620686859953";"706"
"303";"neige";"-0.995359817329471";"-1.37408368021138";"0.86491765516496";"715"
"304";"preuve";"-0.665083151913953";"-0.568855879279614";"0.864156016104191";"716"
"305";"plage";"-1.2432980796163";"-0.317354122815045";"0.864156016104191";"718"
"306";"monter";"-0.853146518882242";"-1.36367329567837";"0.864156016104191";"719"
"307";"avenir";"0.60216108583166";"-0.0714668737056722";"0.86379563079251";"720"
"308";"message";"-0.386833532305965";"-0.241720441098095";"0.86379563079251";"721"
"309";"soigner";"-0.472153460466611";"-0.369396246103654";"0.863145451106488";"725"
"310";"cher";"-0.809373344066366";"-0.708058297847248";"0.863145451106488";"727"
"311";"actif";"-0.517032206957223";"-0.859961994118098";"0.863145451106488";"728"
"312";"secteur";"0.879353786837562";"-0.653100742385276";"0.862967116106893";"729"
"313";"meilleur";"-0.91210527621789";"-0.550130762080153";"0.86288909454457";"730"
"314";"demander";"0.831795011738331";"0.0301263972230493";"0.861800507984544";"731"
"315";"camp";"-1.38457762867334";"-1.22761867664285";"0.861585019860034";"732"
"316";"humeur";"-1.36824187986547";"-1.35543207416015";"0.861585019860034";"734"
"317";"dépendre";"-1.36066192316083";"-1.38264542307892";"0.861585019860034";"735"
"318";"tête";"-1.04439158951807";"-0.607387339068604";"0.861484706422762";"736"
"319";"voiture";"-0.975241449681739";"-0.533402669376097";"0.860544732362398";"737"
"320";"collection";"-0.748561658386903";"-1.47229699610017";"0.860403550487719";"739"
"321";"seconde";"-0.778456290277545";"-1.27851356305509";"0.860403550487719";"740"
"322";"tournoi";"-0.50709936398157";"-0.760533490592552";"0.860403550487719";"741"
"323";"programmation";"-0.783506858413327";"-1.54716945475344";"0.860403550487719";"743"
"324";"formule";"-0.898290061615339";"-1.55415409760938";"0.860403550487719";"744"
"325";"discothèque";"-1.35376041838366";"-1.26894136087077";"0.860403550487719";"745"
"326";"seigneur";"-1.53738318460763";"-1.03350376106187";"0.85959361236456";"747"
"327";"imaginer";"-1.53738318460763";"-1.03350376106187";"0.85959361236456";"748"
"328";"doigt";"-1.59098918650119";"-0.752451243954837";"0.85959361236456";"749"
"329";"spa";"-0.985790426504424";"-0.955806879184241";"0.85959361236456";"751"
"330";"envahir";"-1.72010014640844";"-1.04706198958165";"0.85959361236456";"752"
"331";"cueillette";"-1.59098918650119";"-0.752451243954837";"0.85959361236456";"753"
"332";"vd";"0.403429969848181";"-1.00978125615177";"0.858486449242076";"755"
"333";"débuter";"0.645870584980539";"-0.226432084822804";"0.858486449242076";"756"
"334";"nécessaire";"0.222542824443252";"0.204077507243915";"0.858486449242076";"757"
"335";"montant";"0.565624275309125";"-0.35815286657641";"0.858486449242076";"759"
"336";"mesure";"1.05394243675265";"-0.106686680167935";"0.857825123618579";"762"
"337";"titre";"-0.208934163960713";"-0.941296806047006";"0.857271542057337";"763"
"338";"saison";"-0.944198249250689";"-0.996471531839102";"0.856517333621552";"766"
"339";"plateau";"-1.52683941912481";"-0.223617427592283";"0.856368721121889";"767"
"340";"défi";"-0.448492198205451";"-1.44805810341924";"0.856127225809938";"768"
