"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"218";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"219";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"220";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"221";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"222";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"223";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"224";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"225";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"226";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"227";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"228";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"229";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"230";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"231";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"232";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"233";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"234";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;33;33;33;33
"235";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"236";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"237";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"238";3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"239";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"240";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"241";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;34;34;34
"242";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"243";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"244";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"245";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"246";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"247";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"248";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"249";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"250";3;4;6;6;6;12;14;16;16;16;16;16;16;16;16;16;16;16;16
"251";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"252";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
