"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13"
"lecornu";-0,461;-0,202;-0,621;-0,366;-0,333;-0,603;-0,592;-0,206;-0,547;-0,192;-0,387;82,471;-0,672
"lavaux";-0,554;-0,243;18,936;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;2,831;-0,465;-0,365;0,135
"kit";-0,461;17,464;0,41;-0,366;-0,333;-0,603;0,471;3,383;-0,547;-0,192;-0,387;-0,304;-0,672
"jérôme";-0,554;-0,243;-0,745;-0,439;-0,4;0,218;-0,71;-0,248;-0,656;106,813;-0,465;-0,365;-0,806
"jurassienne";-0,461;-0,202;-0,621;8,681;1,62;4,458;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;-0,672
"joseph";-0,369;-0,162;-0,497;-0,293;-0,266;-0,483;6,582;-0,165;-0,437;-0,154;11,006;-0,243;-0,537
"john";0,526;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;0,314;2,831;-0,465;-0,365;8,389
"jo";0,865;-0,202;0,41;-0,366;-0,333;-0,603;0,471;-0,206;-0,547;-0,192;-0,387;-0,304;3,807
"jelassi";-0,554;-0,243;-0,745;-0,439;-0,4;0,218;-0,71;62,065;-0,656;-0,231;-0,465;1,334;-0,806
"jan";43,582;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;1,334;-0,806
"jambe";-0,554;-0,243;0,194;-0,439;-0,4;0,218;0,236;13,617;-0,656;-0,231;-0,465;-0,365;0,135
"islande";6,447;17,464;-0,621;-0,366;-0,333;-0,603;-0,592;-0,206;0,581;-0,192;-0,387;-0,304;-0,672
"islamiste";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;52,238;1,334;-0,806
"invoquer";-0,554;-0,243;0,194;-0,439;1,116;0,218;0,236;-0,248;-0,656;-0,231;0,81;1,334;-0,806
"intituler";0,526;-0,243;-0,745;0,918;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;0,81;-0,365;8,389
"intercontinental";43,409;-0,162;-0,497;-0,293;-0,266;-0,483;-0,473;-0,165;-0,437;-0,154;-0,31;-0,243;-0,537
"insécurité";-0,554;-0,243;-0,745;-0,439;-0,4;0,218;3,291;13,617;-0,656;-0,231;0,81;-0,365;-0,806
"instable";-0,461;-0,202;-0,621;-0,366;-0,333;0,445;-0,592;-0,206;-0,547;3,728;8,083;1,892;-0,672
"indispensable";-0,461;-0,202;24,246;-0,366;-0,333;-0,603;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;0,32
"indice";-0,554;34,177;-0,745;-0,439;-0,4;-0,724;0,236;-0,248;-0,656;2,831;-0,465;1,334;-0,806
"inceste";-0,277;-0,121;-0,372;-0,219;-0,2;1,594;9,99;-0,124;-0,328;-0,115;-0,232;-0,182;-0,403
"incertitude";-0,554;-0,243;-0,745;-0,439;-0,4;0,218;-0,71;-0,248;3,73;-0,231;0,81;1,334;0,135
"inacceptable";-0,554;-0,243;-0,745;-0,439;1,116;0,218;-0,71;2,548;0,314;-0,231;6,16;-0,365;-0,806
"immunitaire";-0,554;2,625;-0,745;-0,439;-0,4;-0,724;33,636;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"immortaliser";-0,554;-0,243;0,194;6,653;-0,4;-0,724;-0,71;-0,248;0,314;-0,231;-0,465;-0,365;2,662
"immersion";0,526;-0,243;0,194;0,918;-0,4;-0,724;-0,71;2,548;-0,656;-0,231;-0,465;-0,365;2,662
"ii";4,814;-0,243;0,194;-0,439;-0,4;-0,724;-0,71;-0,248;0,314;-0,231;-0,465;8,491;-0,806
"hériter";0,526;-0,243;-0,745;-0,439;1,116;-0,724;9,877;2,548;-0,656;-0,231;-0,465;-0,365;-0,806
"hébergements";-0,277;-0,121;-0,372;-0,219;3,766;1,594;-0,355;6,805;-0,328;-0,115;-0,232;-0,182;-0,403
"hybride";-0,554;-0,243;-0,745;-0,439;-0,4;3,189;-0,71;-0,248;0,314;-0,231;-0,465;-0,365;8,389
"huître";-0,277;-0,121;-0,372;-0,219;3,766;9,774;-0,355;-0,124;-0,328;-0,115;-0,232;-0,182;-0,403
"humeur";-0,554;-0,243;18,936;-0,439;-0,4;-0,724;0,236;-0,248;0,314;-0,231;-0,465;-0,365;-0,806
"htag_photo";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;10,904;-0,231;-0,465;-0,365;8,389
"htag_odermatt";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;21,836;14,789;-0,465;-0,365;-0,806
"house";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;3,73;-0,231;-0,465;-0,365;17,315
"hockey";65,138;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"henriette";-0,369;-0,162;-0,497;-0,293;2,408;0,846;-0,473;4,656;-0,437;-0,154;1,906;-0,243;-0,537
"haineux";-0,554;2,625;-0,745;-0,439;-0,4;-0,724;19,991;-0,248;0,314;-0,231;-0,465;-0,365;-0,806
"gérard";-0,461;-0,202;40,348;-0,366;-0,333;-0,603;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;-0,672
"guérir";-0,554;-0,243;-0,745;33,891;-0,4;-0,724;3,291;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"guitariste";-0,554;-0,243;-0,745;-0,439;-0,4;0,218;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;29,44
"guider";-0,554;-0,243;-0,745;-0,439;-0,4;0,218;0,236;2,548;0,314;-0,231;-0,465;-0,365;2,662
"guide";-0,554;-0,243;3,042;-0,439;7,537;-0,724;0,236;-0,248;-0,656;-0,231;-0,465;-0,365;0,135
"grégory";-0,554;-0,243;-0,745;-0,439;7,537;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;41,364;-0,806
"gruyère";-0,369;-0,162;-0,497;2,085;-0,266;-0,483;0,881;-0,165;-0,437;-0,154;-0,31;-0,243;5,591
"gouvernemental";-0,554;-0,243;-0,745;-0,439;-0,4;9,636;0,236;-0,248;0,314;-0,231;0,81;-0,365;-0,806
"george";-0,554;-0,243;0,194;-0,439;-0,4;-0,724;-0,71;-0,248;0,314;-0,231;-0,465;1,334;8,389
"genèse";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;44,763
"gallois";13,42;-0,243;-0,745;-0,439;-0,4;3,189;-0,71;-0,248;-0,656;-0,231;-0,465;1,334;-0,806
"félin";-0,554;2,625;-0,745;6,653;-0,4;0,218;3,291;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"fée";13,42;-0,243;-0,745;-0,439;7,537;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;0,135
"frisson";0,526;-0,243;3,042;0,918;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;2,662
"freshfocus";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;54,975;-0,231;-0,465;-0,365;-0,806
"francophone";-0,461;-0,202;-0,621;-0,366;9,75;-0,603;-0,592;3,383;-0,547;-0,192;-0,387;1,892;0,32
"franchise";-0,554;-0,243;0,194;-0,439;-0,4;-0,724;-0,71;-0,248;0,314;-0,231;-0,465;-0,365;17,315
"fragile";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;31,874;1,334;0,135
"fr";-0,369;-0,162;-0,497;-0,293;2,408;6,421;-0,473;-0,165;-0,437;-0,154;-0,31;-0,243;0,665
"fouiller";0,526;2,625;-0,745;-0,439;-0,4;19,558;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"forum";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;0,236;-0,248;0,314;2,831;6,16;1,334;-0,806
"formidable";0,526;-0,243;0,194;0,918;1,116;-0,724;-0,71;-0,248;0,314;2,831;-0,465;-0,365;-0,806
"fléchette";43,409;-0,162;-0,497;-0,293;-0,266;-0,483;-0,473;-0,165;-0,437;-0,154;-0,31;-0,243;-0,537
"floride";0,526;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;31,874;1,334;-0,806
"fischer";26,342;-0,243;-0,745;-0,439;-0,4;-0,724;0,236;-0,248;-0,656;-0,231;-0,465;-0,365;0,135
"fiscal";-0,554;-0,243;-0,745;-0,439;37,491;3,189;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"fabricant";-0,554;-0,243;3,042;-0,439;-0,4;-0,724;0,236;-0,248;-0,656;-0,231;-0,465;8,491;0,135
"exportation";-0,461;-0,202;-0,621;-0,366;-0,333;12,641;-0,592;-0,206;-0,547;-0,192;1,233;-0,304;0,32
"exigence";-0,554;-0,243;-0,745;0,918;7,537;-0,724;0,236;2,548;-0,656;-0,231;-0,465;-0,365;0,135
"excellent";26,342;-0,243;-0,745;0,918;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;0,81;-0,365;-0,806
"estimation";-0,461;3,476;-0,621;-0,366;24,724;-0,603;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;0,32
"espagnol";-0,554;-0,243;-0,745;-0,439;1,116;-0,724;-0,71;2,548;-0,656;-0,231;-0,465;-0,365;17,315
"entraînement";43,582;-0,243;0,194;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"enregistrement";-0,554;-0,243;-0,745;-0,439;-0,4;3,189;3,291;-0,248;-0,656;-0,231;-0,465;-0,365;2,662
"engin";-0,554;-0,243;0,194;-0,439;-0,4;9,636;-0,71;-0,248;-0,656;-0,231;6,16;-0,365;-0,806
"enchère";-0,554;-0,243;-0,745;-0,439;19,662;-0,724;0,236;-0,248;-0,656;-0,231;-0,465;1,334;0,135
"empreinte";0,526;-0,243;3,042;-0,439;-0,4;-0,724;0,236;-0,248;-0,656;-0,231;0,81;1,334;-0,806
"emji_visage_faisant_un_clin_d_oeil";-0,554;-0,243;31,982;-0,439;-0,4;-0,724;-0,71;-0,248;0,314;-0,231;-0,465;-0,365;-0,806
"emji_vague";-0,554;63,348;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;0,81;-0,365;0,135
"emji_tennis";43,582;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;2,831;-0,465;-0,365;-0,806
"emji_spectacle_vivant";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;3,291;-0,248;-0,656;-0,231;-0,465;-0,365;17,315
"emji_projecteur_cinématographique";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;21,836;2,831;-0,465;-0,365;0,135
"emji_nuage_avec_pluie";1,42;-0,162;-0,497;11,758;-0,266;-0,483;0,881;-0,165;-0,437;-0,154;-0,31;-0,243;-0,537
"emji_manette_de_jeu";-0,369;-0,162;0,795;-0,293;-0,266;-0,483;-0,473;-0,165;-0,437;5,092;-0,31;-0,243;5,591
"emji_journal";-0,554;-0,243;-0,745;-0,439;-0,4;0,218;-0,71;2,548;-0,656;-0,231;0,81;-0,365;8,389
"emji_haut_parleur";-0,554;-0,243;-0,745;-0,439;-0,4;0,218;-0,71;2,548;-0,656;-0,231;0,81;21,834;-0,806
"emji_drapeau_union_européenne";-0,554;-0,243;-0,745;-0,439;-0,4;9,636;0,236;2,548;-0,656;-0,231;0,81;-0,365;-0,806
"emji_drapeau_australie";-0,554;2,625;-0,745;-0,439;-0,4;-0,724;0,236;-0,248;-0,656;-0,231;31,874;-0,365;-0,806
"emji_colombe";0,526;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;0,81;8,491;2,662
"emji_coeur_rouge";0,526;-0,243;-0,745;-0,439;-0,4;-0,724;0,236;33,457;-0,656;2,831;-0,465;-0,365;-0,806
"emji_chaînes";-0,554;-0,243;-0,745;-0,439;-0,4;3,189;0,236;-0,248;-0,656;36,105;-0,465;-0,365;-0,806
"emji_billet_en_euros";0,526;-0,243;-0,745;-0,439;1,116;9,636;-0,71;-0,248;-0,656;-0,231;-0,465;1,334;-0,806
"dérober";-0,554;-0,243;-0,745;-0,439;7,537;-0,724;0,236;2,548;-0,656;-0,231;0,81;1,334;-0,806
"dépense";-0,461;-0,202;-0,621;-0,366;24,724;-0,603;0,471;-0,206;0,581;-0,192;-0,387;-0,304;-0,672
"dépendant";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;9,877;2,548;-0,656;-0,231;-0,465;8,491;-0,806
"démocratique";0,865;-0,202;-0,621;-0,366;-0,333;-0,603;-0,592;-0,206;-0,547;-0,192;8,083;10,902;-0,672
"dégager";-0,554;-0,243;-0,745;-0,439;1,116;-0,724;-0,71;-0,248;-0,656;-0,231;6,16;1,334;2,662
"déforestation";-0,461;42,166;-0,621;-0,366;-0,333;-0,603;0,471;-0,206;-0,547;-0,192;1,233;-0,304;-0,672
"défilé";-0,554;-0,243;3,042;-0,439;1,116;-0,724;-0,71;2,548;0,314;-0,231;-0,465;1,334;-0,806
"déficit";-0,554;-0,243;-0,745;-0,439;37,491;-0,724;0,236;-0,248;-0,656;-0,231;-0,465;1,334;-0,806
"déclin";-0,554;34,177;0,194;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;2,662
"déception";4,814;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;2,548;-0,656;-0,231;-0,465;8,491;0,135
"débourser";0,526;-0,243;-0,745;-0,439;61,023;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"débarquer";-0,369;-0,162;-0,497;-0,293;-0,266;-0,483;0,881;-0,165;-0,437;-0,154;1,906;-0,243;5,591
"draguer";-0,369;-0,162;16,683;2,085;-0,266;-0,483;-0,473;-0,165;-0,437;-0,154;-0,31;-0,243;-0,537
"douceur";-0,369;4,774;0,795;2,085;-0,266;-0,483;-0,473;-0,165;1,035;-0,154;-0,31;-0,243;-0,537
"doré";-0,554;-0,243;3,042;-0,439;-0,4;0,218;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;8,389
"doigt";0,865;-0,202;0,41;8,681;-0,333;-0,603;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;0,32
"division";6,447;-0,202;-0,621;-0,366;-0,333;0,445;-0,592;-0,206;0,581;-0,192;-0,387;1,892;-0,672
"diversifier";-0,461;3,476;0,41;-0,366;-0,333;-0,603;0,471;-0,206;0,581;-0,192;-0,387;-0,304;0,32
"distributeur";-0,461;17,464;-0,621;-0,366;1,62;-0,603;4,584;-0,206;-0,547;-0,192;-0,387;-0,304;-0,672
"disney";-0,554;-0,243;-0,745;-0,439;1,116;-0,724;-0,71;-0,248;3,73;-0,231;-0,465;-0,365;8,389
"design";-0,461;-0,202;0,41;-0,366;-0,333;-0,603;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;22,295
"demeure";-0,554;-0,243;-0,745;0,918;7,537;-0,724;-0,71;2,548;0,314;-0,231;-0,465;-0,365;0,135
"danser";-0,554;-0,243;9,289;6,653;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;0,135
"cuisiner";-0,554;-0,243;31,982;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;0,135
"crier";1,42;-0,162;0,795;2,085;-0,266;-0,483;-0,473;-0,165;-0,437;-0,154;-0,31;2,758;-0,537
"coéquipier";65,138;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"coréen";0,865;-0,202;-0,621;-0,366;1,62;0,445;4,584;-0,206;-0,547;-0,192;-0,387;-0,304;-0,672
"convenir";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;77,607;-0,365;-0,806
"controverse";-0,369;-0,162;-0,497;-0,293;-0,266;0,846;-0,473;22,296;-0,437;-0,154;-0,31;2,758;-0,537
"contribuable";-0,554;-0,243;0,194;-0,439;1,116;19,558;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"contrairement";-0,554;2,625;0,194;-0,439;1,116;-0,724;0,236;-0,248;0,314;-0,231;-0,465;1,334;-0,806
"contraindre";0,865;17,464;0,41;-0,366;-0,333;-0,603;-0,592;-0,206;-0,547;-0,192;-0,387;1,892;-0,672
"contraignant";-0,554;-0,243;-0,745;-0,439;1,116;3,189;-0,71;-0,248;0,314;2,831;0,81;-0,365;-0,806
"continent";26,342;-0,243;-0,745;0,918;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;0,81;-0,365;-0,806
"consulter";-0,554;2,625;-0,745;-0,439;-0,4;0,218;9,877;-0,248;0,314;-0,231;-0,465;-0,365;-0,806
"constant";13,42;-0,243;-0,745;-0,439;1,116;-0,724;-0,71;2,548;-0,656;-0,231;-0,465;-0,365;0,135
"considérable";-0,461;17,464;-0,621;-0,366;1,62;-0,603;0,471;-0,206;-0,547;-0,192;-0,387;1,892;-0,672
"commerçant";-0,554;-0,243;-0,745;-0,439;-0,4;32,957;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;0,135
"commenter";-0,554;-0,243;0,194;-0,439;-0,4;0,218;-0,71;-0,248;3,73;-0,231;0,81;-0,365;0,135
"commandant";-0,554;-0,243;-0,745;-0,439;-0,4;32,957;-0,71;-0,248;-0,656;-0,231;0,81;-0,365;-0,806
"combiner";0,865;-0,202;-0,621;-0,366;-0,333;-0,603;4,584;-0,206;-0,547;-0,192;-0,387;-0,304;3,807
"com";-0,277;-0,121;-0,372;-0,219;-0,2;-0,362;-0,355;6,805;-0,328;-0,115;-0,232;-0,182;8,653
"circonstance";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;0,236;13,617;3,73;-0,231;-0,465;-0,365;0,135
"cinématographique";-0,554;-0,243;-0,745;-0,439;1,116;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;29,44
"chômage";-0,461;-0,202;0,41;-0,366;46,542;-0,603;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;-0,672
"chf";13,42;-0,243;-0,745;-0,439;7,537;0,218;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"chauffer";-0,554;-0,243;9,289;-0,439;-0,4;3,189;0,236;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"chasseur";-0,554;-0,243;0,194;-0,439;-0,4;0,218;-0,71;-0,248;0,314;-0,231;0,81;-0,365;2,662
"chasser";-0,554;2,625;0,194;6,653;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;6,16;-0,365;-0,806
"cesser";-0,554;-0,243;-0,745;-0,439;1,116;0,218;0,236;2,548;-0,656;-0,231;0,81;-0,365;0,135
"cathédrale";-0,554;-0,243;-0,745;0,918;-0,4;-0,724;-0,71;2,548;-0,656;-0,231;-0,465;-0,365;17,315
"catherine";-0,554;-0,243;0,194;6,653;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;0,81;1,334;0,135
"cassis";0,526;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;16,515;8,491;-0,806
"carrefour";-0,461;-0,202;24,246;-0,366;-0,333;-0,603;-0,592;3,383;-0,547;-0,192;-0,387;-0,304;-0,672
"carac";-0,461;-0,202;-0,621;1,371;-0,333;0,445;0,471;-0,206;-0,547;-0,192;-0,387;-0,304;3,807
"canon";-0,554;-0,243;0,194;-0,439;-0,4;0,218;-0,71;-0,248;-0,656;-0,231;16,515;-0,365;0,135
"cannabis";-0,554;-0,243;9,289;-0,439;-0,4;9,636;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"canadien";0,865;-0,202;-0,621;-0,366;-0,333;-0,603;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;22,295
"calcul";-0,554;-0,243;-0,745;-0,439;7,537;3,189;0,236;-0,248;0,314;-0,231;-0,465;-0,365;-0,806
"cabine";-0,369;-0,162;0,795;2,085;-0,266;-0,483;6,582;-0,165;-0,437;-0,154;-0,31;-0,243;-0,537
"bô";-0,554;-0,243;-0,745;-0,439;-0,4;0,218;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;29,44
"british";-0,554;-0,243;0,194;-0,439;-0,4;0,218;-0,71;-0,248;0,314;-0,231;-0,465;1,334;2,662
"briser";-0,554;-0,243;-0,745;-0,439;1,116;-0,724;3,291;2,548;0,314;-0,231;0,81;-0,365;-0,806
"brigade";-0,554;-0,243;-0,745;-0,439;1,116;19,558;-0,71;2,548;-0,656;-0,231;-0,465;-0,365;-0,806
"bpa";-0,554;2,625;-0,745;-0,439;1,116;0,218;3,291;2,548;-0,656;-0,231;-0,465;-0,365;-0,806
"bns";-0,461;-0,202;-0,621;-0,366;9,75;4,458;0,471;-0,206;-0,547;-0,192;-0,387;-0,304;-0,672
"blocus";-0,554;-0,243;-0,745;-0,439;-0,4;0,218;-0,71;2,548;-0,656;-0,231;31,874;-0,365;-0,806
"blatten";-0,554;13,936;-0,745;-0,439;-0,4;3,189;-0,71;2,548;-0,656;-0,231;0,81;-0,365;-0,806
"birdlife";-0,554;148,479;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"bienvenue";-0,554;-0,243;3,042;17,644;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;0,135
"berger";0,526;-0,243;-0,745;55,393;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"belgique";17,209;-0,202;-0,621;-0,366;-0,333;-0,603;-0,592;-0,206;-0,547;-0,192;8,083;-0,304;-0,672
"be";-0,461;3,476;-0,621;-0,366;1,62;0,445;0,471;-0,206;-0,547;-0,192;-0,387;-0,304;0,32
"barbie";0,526;-0,243;-0,745;-0,439;-0,4;-0,724;0,236;-0,248;-0,656;-0,231;-0,465;-0,365;17,315
"barbecue";2,406;-0,121;-0,372;-0,219;-0,2;-0,362;-0,355;6,805;-0,328;-0,115;-0,232;4,243;-0,403
"baptiser";-0,461;-0,202;-0,621;-0,366;-0,333;41,519;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;-0,672
"balle";0,526;2,625;-0,745;-0,439;-0,4;3,189;-0,71;2,548;-0,656;-0,231;0,81;-0,365;-0,806
"balcon";-0,369;-0,162;0,795;2,085;-0,266;0,846;-0,473;4,656;-0,437;-0,154;-0,31;-0,243;-0,537
"bactérie";-0,369;-0,162;-0,497;-0,293;-0,266;-0,483;33,86;-0,165;-0,437;-0,154;-0,31;-0,243;-0,537
"axer";-0,554;2,625;-0,745;-0,439;7,537;-0,724;0,236;2,548;0,314;-0,231;-0,465;-0,365;-0,806
"avortement";-0,461;-0,202;-0,621;-0,366;-0,333;4,458;4,584;3,383;-0,547;-0,192;-0,387;-0,304;-0,672
"aviation";-0,554;-0,243;-0,745;0,918;7,537;-0,724;0,236;-0,248;0,314;-0,231;-0,465;-0,365;0,135
"avc";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;99,444;-0,656;2,831;-0,465;-0,365;-0,806
"avancer";0,526;2,625;-0,745;-0,439;-0,4;3,189;0,236;-0,248;-0,656;-0,231;0,81;-0,365;-0,806
"autonomie";-0,554;2,625;-0,745;-0,439;-0,4;0,218;0,236;-0,248;-0,656;-0,231;0,81;1,334;0,135
"automatiquement";-0,554;2,625;-0,745;-0,439;1,116;3,189;3,291;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"automatique";-0,369;4,774;-0,497;-0,293;-0,266;0,846;6,582;-0,165;-0,437;-0,154;-0,31;-0,243;-0,537
"attitude";0,526;-0,243;18,936;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;0,81;-0,365;-0,806
"atterrir";-0,461;-0,202;-0,621;-0,366;-0,333;4,458;0,471;-0,206;0,581;-0,192;1,233;-0,304;-0,672
"astuce";-0,554;2,625;9,289;6,653;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"assureur";-0,554;63,348;-0,745;-0,439;7,537;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;-0,806
"assumer";-0,554;-0,243;0,194;-0,439;-0,4;0,218;3,291;-0,248;0,314;-0,231;-0,465;1,334;-0,806
"associé";-0,461;3,476;-0,621;-0,366;-0,333;-0,603;12,932;-0,206;-0,547;-0,192;-0,387;-0,304;0,32
"assistant";8,943;4,774;-0,497;-0,293;-0,266;-0,483;0,881;-0,165;-0,437;-0,154;-0,31;-0,243;-0,537
"asie";-0,554;-0,243;-0,745;-0,439;1,116;-0,724;-0,71;-0,248;-0,656;-0,231;31,874;-0,365;0,135
"artifice";-0,461;-0,202;0,41;-0,366;-0,333;12,641;-0,592;-0,206;-0,547;-0,192;1,233;-0,304;-0,672
"architecture";-0,461;3,476;-0,621;-0,366;-0,333;-0,603;4,584;-0,206;-0,547;3,728;-0,387;-0,304;0,32
"aquatique";-0,461;3,476;4,277;-0,366;-0,333;0,445;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;0,32
"appuyer";-0,461;3,476;-0,621;-0,366;-0,333;4,458;0,471;3,383;-0,547;-0,192;-0,387;-0,304;-0,672
"approbation";-0,461;-0,202;-0,621;-0,366;-0,333;0,445;0,471;3,383;0,581;-0,192;-0,387;1,892;-0,672
"appellation";-0,554;-0,243;-0,745;-0,439;1,116;19,558;-0,71;-0,248;0,314;-0,231;-0,465;-0,365;-0,806
"antonio";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;2,548;0,314;-0,231;-0,465;21,834;0,135
"alpiniste";4,814;-0,243;0,194;6,653;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;0,135
"aire";-0,554;2,625;-0,745;-0,439;1,116;3,189;-0,71;2,548;-0,656;-0,231;-0,465;-0,365;0,135
"afghanistan";-0,554;-0,243;-0,745;-0,439;-0,4;-0,724;-0,71;-0,248;3,73;-0,231;31,874;-0,365;-0,806
"ados";-0,461;-0,202;24,246;1,371;-0,333;-0,603;-0,592;-0,206;-0,547;-0,192;-0,387;-0,304;-0,672
"additionnel";4,814;-0,243;-0,745;-0,439;-0,4;0,218;-0,71;-0,248;-0,656;-0,231;6,16;-0,365;0,135
"accusé";-0,554;-0,243;-0,745;-0,439;1,116;-0,724;0,236;2,548;-0,656;-0,231;0,81;8,491;-0,806
"accessoire";-0,554;-0,243;9,289;-0,439;-0,4;-0,724;-0,71;-0,248;-0,656;-0,231;-0,465;-0,365;8,389
"étendue";-0,461;-0,202;-0,621;-0,366;9,75;0,445;0,471;3,383;-0,547;-0,192;-0,387;-0,304;-0,672
"équitable";0,865;-0,202;-0,621;-0,366;-0,333;0,445;0,471;-0,206;0,581;-0,192;-0,387;1,892;-0,672
"épuiser";0,865;-0,202;-0,621;-0,366;-0,333;-0,603;4,584;17,081;-0,547;-0,192;-0,387;-0,304;-0,672
"énergétique";-0,461;-0,202;-0,621;-0,366;-0,333;24,995;-0,592;-0,206;-0,547;-0,192;1,233;-0,304;-0,672
"émerger";-0,461;-0,202;-0,621;-0,366;-0,333;-0,603;12,932;3,383;-0,547;-0,192;-0,387;1,892;-0,672
"élevage";-0,369;22,776;-0,497;2,085;-0,266;-0,483;0,881;-0,165;-0,437;-0,154;-0,31;-0,243;-0,537
"éditeur";-0,461;-0,202;-0,621;-0,366;-0,333;0,445;-0,592;-0,206;5,123;-0,192;-0,387;-0,304;3,807
