"";"classe 1";"classe 2"
"restaurant";-13,71;13,71
"respectueux";-10,41;10,41
"ramasser";-13,71;13,71
"période";-5,172;5,172
"psychologique";1,122;-1,122
"précédent";6,189;-6,189
"programme";5,205;-5,205
"professionnel";-0,136;0,136
"presse";15,337;-15,337
"pk";-9,661;9,661
"négatif";15,337;-15,337
"nettoyer";-2,684;2,684
"naïf";-1,747;1,747
"mécanisme";6,189;-6,189
"musulman";-2,162;2,162
"moquer";-0,715;0,715
"matin";-7,564;7,564
"libéral";6,603;-6,603
"lettre";9,454;-9,454
"lamentable";-3,233;3,233
"institution";-0,136;0,136
"installer";2,432;-2,432
"hypocrite";0,659;-0,659
"honnête";-1,747;1,747
"grandir";-5,172;5,172
"gamin";-7,564;7,564
"fuir";0,103;-0,103
"froid";-1,747;1,747
"financier";11,834;-11,834
"ficher";11,834;-11,834
"fenêtre";-1,747;1,747
"faim";-6,855;6,855
"excuse";-5,172;5,172
"exception";8,785;-8,785
"entreprise";3,209;-3,209
"emji_femme_avec_la_paume_sur_le_visage";-3,446;3,446
"creuser";-0,715;0,715
"courageux";-10,41;10,41
"contrôler";-0,136;0,136
"consulter";19,294;-19,294
"consommer";-1,747;1,747
"conservateur";15,337;-15,337
"concours";-7,564;7,564
"combat";-3,233;3,233
"code";12,815;-12,815
"cinéma";1,112;-1,112
"brûler";-6,855;6,855
"bruit";-6,153;6,153
"blague";-7,564;7,564
"ba";-13,71;13,71
"arabe";2,432;-2,432
"anglais";3,209;-3,209
"éthique";7,681;-7,681
"établir";10,636;-10,636
"énormément";-1,319;1,319
"énorme";-2,684;2,684
"émotionnel";10,636;-10,636
"voyage";-9,661;9,661
"tt";-9,661;9,661
"tradition";-1,673;1,673
"technique";0,659;-0,659
"surveiller";16,685;-16,685
"subjectif";0,659;-0,659
"réaliser";-0,434;0,434
"romance";12,791;-12,791
"remise";5,205;-5,205
"r";-4,775;4,775
"qqn";-8,914;8,914
"projet";3,209;-3,209
"privilégié";4,263;-4,263
"possibilité";-4,53;4,53
"pitié";-8,914;8,914
"parfaire";-2,684;2,684
"opposer";0,659;-0,659
"occidental";-2,684;2,684
"négociation";-3,903;3,903
"nier";10,636;-10,636
"louvre";14,072;-14,072
"journal";5,205;-5,205
"jalousie";0,103;-0,103
"isolé";5,205;-5,205
"intellectuel";5,205;-5,205
"instant";0,659;-0,659
"identité";5,205;-5,205
"générer";22,385;-22,385
"fortune";-1,673;1,673
"entrer";-6,855;6,855
"encourager";-0,434;0,434
"emji_visage_souriant_avec_coeurs";-4,103;4,103
"emji_visage_sans_expression";3,912;-3,912
"emji_visage_bâillant";-1,081;1,081
"emji_visage_avec_un_léger_sourire";-5,459;5,459
"emji_personne_avec_la_paume_sur_le_visage";15,384;-15,384
"démocrate";8,29;-8,29
"dégât";0,103;-0,103
"drame";-6,855;6,855
"don";-0,028;0,028
"description";22,385;-22,385
"critère";5,205;-5,205
"criminalité";2,432;-2,432
"couvrir";-0,028;0,028
"convaincre";-4,53;4,53
"constat";22,385;-22,385
"condition";-0,028;0,028
"cognitif";22,385;-22,385
"catastrophe";-6,855;6,855
"caméra";1,728;-1,728
"bot";14,072;-14,072
"ancien";-0,063;0,063
"afrique";-6,855;6,855
"adapter";-0,212;0,212
"écran";0,302;-0,302
"échapper";-11,422;11,422
"âme";-0,063;0,063
"ya";-6,153;6,153
"véritable";-6,153;6,153
"virer";0,002;-0,002
"vert";0,074;-0,074
"usage";0,264;-0,264
"urgence";-0,596;0,596
"ukraine";-1,222;1,222
"terminer";-8,914;8,914
"stop";-3,903;3,903
"stats";10,325;-10,325
"soir";-12,185;12,185
"siècle";0,002;-0,002
"serafe";16,685;-16,685
"semblant";0,302;-0,302
"renforcer";-0,063;0,063
"ravir";1,112;-1,112
"psy";-6,153;6,153
"prévention";3,371;-3,371
"pression";-6,153;6,153
"observer";1,112;-1,112
"nouvel";-3,903;3,903
"note";15,384;-15,384
"norme";1,728;-1,728
"nan";-0,32;0,32
"méchant";0,074;-0,074
"moral";-2,162;2,162
"minimiser";1,112;-1,112
"mental";9,454;-9,454
"limiter";9,454;-9,454
"journalisme";12,815;-12,815
"hiver";-6,153;6,153
"fasciste";19,748;-19,748
"fan";6,603;-6,603
"espoir";-0,932;0,932
"enjeu";1,112;-1,112
"enfance";-3,903;3,903
"démarche";0,302;-0,302
"discrimination";15,384;-15,384
"diffuser";16,685;-16,685
"convenir";0,002;-0,002
"compétition";-3,903;3,903
"collègue";-2,162;2,162
"chute";-3,903;3,903
"chine";-3,903;3,903
"centaine";-6,153;6,153
"cambriolage";12,815;-12,815
"cadre";12,815;-12,815
"bizarre";1,112;-1,112
"balancer";0,074;-0,074
"argumenter";6,603;-6,603
"application";12,815;-12,815
"amour";-8,914;8,914
"accuser";-2,162;2,162
"abe";-6,153;6,153
"1er";0,002;-0,002
"égoïste";-5,459;5,459
"église";-3,294;3,294
"télé";1,728;-1,728
"troll";15,384;-15,384
"transmettre";8,29;-8,29
"the";14,086;-14,086
"stade";-1,673;1,673
"signifier";19,748;-19,748
"sensible";-0,596;0,596
"rêve";-8,169;8,169
"réchauffement";11,565;-11,565
"route";-4,775;4,775
"refléter";0,074;-0,074
"rabaisser";-0,476;0,476
"qqun";-2,147;2,147
"purement";15,384;-15,384
"punir";-1,673;1,673
"proposition";8,29;-8,29
"produit";-0,119;0,119
"procédure";19,748;-19,748
"portugal";-4,775;4,775
"poil";-1,673;1,673
"pcq";0,629;-0,629
"parlement";3,371;-3,371
"panier";-11,422;11,422
"nation";-4,775;4,775
"multiple";3,371;-3,371
"mensonge";14,086;-14,086
"marketing";15,384;-15,384
"manipulation";7,147;-7,147
"maladie";0,629;-0,629
"lutter";11,565;-11,565
"lune";-1,621;1,621
"juge";8,29;-8,29
"joyeux";-5,951;5,951
"israël";0,264;-0,264
"ironie";-3,294;3,294
"interpréter";18,43;-18,43
"injustice";0,629;-0,629
"ignorant";15,384;-15,384
"heureux";-1,222;1,222
"hamas";-5,459;5,459
"foyer";-1,222;1,222
"fondamental";11,565;-11,565
"fascisme";8,29;-8,29
"espagne";-0,596;0,596
"employé";5,558;-5,558
"emji_ok";-1,673;1,673
"eau";-4,775;4,775
"détresse";-2,707;2,707
"dépasser";0,074;-0,074
"décidément";-5,459;5,459
"diriger";-1,673;1,673
"corriger";3,371;-3,371
"cool";-8,169;8,169
"conviction";1,728;-1,728
"constitution";10,325;-10,325
"conclure";3,371;-3,371
"compétence";11,565;-11,565
"communication";8,29;-8,29
"colère";-3,294;3,294
"coin";-5,459;5,459
"chambre";-0,063;0,063
"billet";-7,426;7,426
"biaisé";15,384;-15,384
"berner";-3,294;3,294
"bel";5,558;-5,558
"beauté";-11,422;11,422
"bandit";-10,66;10,66
"apprécier";0,074;-0,074
"affect";19,748;-19,748
"adopter";-2,707;2,707
"adn";4,552;-4,552
"absurde";0,074;-0,074
"évolution";-5,951;5,951
"étrange";2,54;-2,54
"étonnant";-0,001;0,001
"épisode";-5,951;5,951
"égal";-0,119;0,119
"écologique";2,54;-2,54
"échelle";2,54;-2,54
"viol";6,032;-6,032
"utilisation";9,098;-9,098
"tjrs";-2,147;2,147
"tjr";-10,66;10,66
"théâtre";1,111;-1,111
"taire";14,086;-14,086
"surprenant";10,325;-10,325
"strictement";14,086;-14,086
"spécial";-1,222;1,222
"soulever";18,43;-18,43
"sondage";-0,011;0,011
"signature";-1,222;1,222
"section";3,594;-3,594
"sang";-0,001;0,001
"roi";-4,775;4,775
"riponne";-4,775;4,775
"rigueur";10,325;-10,325
"revanche";18,43;-18,43
"religion";7,147;-7,147
"rejoindre";4,552;-4,552
"quasiment";-0,001;0,001
"préciser";0,264;-0,264
"principal";10,325;-10,325
"polémique";7,147;-7,147
"pencher";-0,32;0,32
"patrimoine";7,147;-7,147
"pathétique";-4,775;4,775
"passage";-0,001;0,001
"parcours";-0,001;0,001
"organiser";-2,707;2,707
"occasion";-0,001;0,001
"objectivité";10,325;-10,325
"nu";-0,819;0,819
"navrer";-0,32;0,32
"naturel";-2,707;2,707
"milei";14,477;-14,477
"migrant";-2,707;2,707
"menace";2,54;-2,54
"masse";9,098;-9,098
"lula";0,264;-0,264
"largement";14,086;-14,086
"jai";-8,373;8,373
"inscrire";-0,001;0,001
"inquiétant";14,086;-14,086
"inconnu";2,54;-2,54
"illustre";18,43;-18,43
"hésiter";-2,707;2,707
"hasard";-0,001;0,001
"hab";1,111;-1,111
"féminin";-4,103;4,103
"frapper";-0,819;0,819
"fournir";2,54;-2,54
"forcer";0,601;-0,601
"finance";-7,426;7,426
"extrémiste";17,112;-17,112
"entraîner";-0,476;0,476
"ennuyer";1,111;-1,111
"enfer";-7,426;7,426
"encadrer";10,325;-10,325
"employer";6,032;-6,032
"emji_visage_qui_fait_un_câlin";-1,138;1,138
"emji_visage_avec_un_sourire_malin";-0,32;0,32
"emji_mains_qui_forment_un_coeur_peau_claire";-5,951;5,951
"ego";-1,222;1,222
"déterminer";4,552;-4,552
"crever";-10,66;10,66
"couple";-4,103;4,103
"condamnation";18,43;-18,43
"concrètement";4,552;-4,552
"communisme";11,5;-11,5
"club";0,226;-0,226
"chf";14,086;-14,086
"chatgpt";-0,819;0,819
"chat";-5,22;5,22
"bouche";-2,707;2,707
"blesser";-7,426;7,426
"bienne";-9,135;9,135
"attente";-1,222;1,222
"asf";-9,898;9,898
"argentin";10,325;-10,325
"annoncer";-4,775;4,775
"agent";10,325;-10,325
"accorder";9,098;-9,098
"abandonner";-6,687;6,687
"youtube";15,794;-15,794
"woke";9,098;-9,098
"vêtement";-5,951;5,951
"version";-0,011;0,011
"trouble";1,784;-1,784
"trafic";9,098;-9,098
"territoire";-6,687;6,687
"tentative";0,046;-0,046
"suffisamment";9,098;-9,098
"sortie";1,784;-1,784
"similaire";1,784;-1,784
"rond";-6,687;6,687
"représentatif";12,791;-12,791
"renvoyer";1,784;-1,784
"rapporter";9,098;-9,098
"quartier";0,046;-0,046
"publiquement";14,477;-14,477
"précieux";-2,147;2,147
"promesse";1,874;-1,874
"pompier";-9,898;9,898
"polluer";0,046;-0,046
"orienter";11,5;-11,5
"opération";0,046;-0,046
"onu";0,046;-0,046
"obligatoire";0,226;-0,226
"noël";-3,446;3,446
"mélange";0,046;-0,046
"manipuler";3,594;-3,594
"mandat";-0,819;0,819
"malhonnête";6,032;-6,032
"machine";0,046;-0,046
"lobby";14,477;-14,477
"langage";9,098;-9,098
"juridique";17,112;-17,112
"journalistique";17,112;-17,112
"jeunesse";-9,135;9,135
"italie";-0,011;0,011
"interpeller";1,784;-1,784
"impôt";6,032;-6,032
"immigré";1,784;-1,784
"illégal";-0,119;0,119
"i";-0,011;0,011
"hâte";-0,819;0,819
"humaniste";-3,446;3,446
"hollywood";7,885;-7,885
"guillemet";10,214;-10,214
"grève";-2,147;2,147
"football";-9,898;9,898
"folie";-4,103;4,103
"fifa";3,594;-3,594
"favoriser";3,594;-3,594
"extreme";12,791;-12,791
"expert";12,791;-12,791
"emji_visage_qui_fait_un_salut_militaire";-0,119;0,119
"emji_visage_boudeur";-3,779;3,779
"efficace";-3,446;3,446
"détourner";12,791;-12,791
"défaut";9,098;-9,098
"déclarer";9,098;-9,098
"doux";-4,103;4,103
"dirigeant";-0,119;0,119
"dignité";-2,147;2,147
"dark";11,843;-11,843
"culpabilité";7,885;-7,885
"crime";2,696;-2,696
"court";-4,103;4,103
"contradiction";12,791;-12,791
"consommateur";-1,621;1,621
"commettre";0,601;-0,601
"coller";-0,819;0,819
"cercle";-0,011;0,011
"censé";-0,819;0,819
"calmer";-0,119;0,119
"autorité";9,098;-9,098
"apres";-5,951;5,951
"alimenter";6,032;-6,032
"actualité";4,951;-4,951
"énergie";1,874;-1,874
"éclairer";11,5;-11,5
"wokisme";10,214;-10,214
"votation";7,885;-7,885
"voleur";1,121;-1,121
"vague";1,121;-1,121
"tv";0,189;-0,189
"tranquille";-5,951;5,951
"tordre";-1,621;1,621
"tjs";-3,446;3,446
"taxer";4,389;-4,389
"sélectif";2,696;-2,696
"succès";-0,011;0,011
"substance";3,912;-3,912
"stupide";4,951;-4,951
"strict";1,121;-1,121
"stratégie";-0,011;0,011
"sportif";-0,042;0,042
"sport";-2,808;2,808
"spectacle";-2,808;2,808
"salaire";7,885;-7,885
"régler";1,121;-1,121
"référence";11,5;-11,5
"réduire";7,885;-7,885
"richesse";0,023;-0,023
"remplacer";7,885;-7,885
"rapidement";-0,011;0,011
"rajouter";-0,011;0,011
"précisément";11,5;-11,5
"privilège";11,843;-11,843
"pr";-2,195;2,195
"pleurer";-1,621;1,621
"pièce";-0,476;0,476
"pierre";-3,446;3,446
"pia";-8,373;8,373
"percevoir";10,214;-10,214
"patron";1,121;-1,121
"passion";-3,446;3,446
"paquet";1,121;-1,121
"ouverture";1,121;-1,121
"ouvert";-0,011;0,011
"ofs";11,5;-11,5
"nez";-3,446;3,446
"narratif";7,885;-7,885
"mission";-1,621;1,621
"investir";-9,135;9,135
"importance";4,951;-4,951
"harcèlement";2,696;-2,696
"génial";-1,621;1,621
"féliciter";-1,621;1,621
"exercer";-0,011;0,011
"estimer";6,692;-6,692
"emji_visage_très_souriant_aux_yeux_rieurs";-5,22;5,22
"emji_feu";-2,808;2,808
"détriment";0,226;-0,226
"déplaire";4,951;-4,951
"départ";7,885;-7,885
"déconnecter";-5,951;5,951
"double";-0,476;0,476
"dos";-0,011;0,011
"dictateur";1,874;-1,874
"curieux";4,951;-4,951
"crise";-0,21;0,21
"coucher";-1,621;1,621
"contenter";0,226;-0,226
"connait";-0,476;0,476
"concentrer";7,885;-7,885
"comporter";-0,476;0,476
"commerce";1,121;-1,121
"cohérent";4,951;-4,951
"cliché";-0,011;0,011
"cesser";-0,711;0,711
"catholique";7,885;-7,885
"bio";11,5;-11,5
"bin";-3,446;3,446
"balcon";-5,951;5,951
"armer";-3,446;3,446
"approcher";1,121;-1,121
"apparaître";11,5;-11,5
"anonyme";7,885;-7,885
"alcool";-0,21;0,21
"ajouter";11,5;-11,5
"agréable";1,121;-1,121
"agressif";0,226;-0,226
"agresser";-9,135;9,135
"affronter";-3,446;3,446
"affiche";7,885;-7,885
"accessible";0,226;-0,226
"étape";-0,21;0,21
"équité";-5,22;5,22
"énerver";-5,22;5,22
"électeur";3,912;-3,912
"écologie";0,023;-0,023
"çà";-0,21;0,21
"zone";-2,195;2,195
"tiktok";0,023;-0,023
"systématiquement";6,692;-6,692
"suicide";-5,22;5,22
"statut";1,874;-1,874
"sommeil";-8,373;8,373
"slogan";0,578;-0,578
"sensibilité";-8,373;8,373
"secret";-6,85;6,85
"saisir";1,874;-1,874
"sac";-8,373;8,373
"réflexe";1,151;-1,151
"récent";0,578;-0,578
"romand";1,151;-1,151
"retard";3,912;-3,912
"représentant";6,692;-6,692
"rencontrer";-5,22;5,22
"recommander";6,692;-6,692
"pédophilie";13,16;-13,16
"prôner";10,214;-10,214
"préserver";0,578;-0,578
"promotion";-0,21;0,21
"promener";-5,22;5,22
"plateau";-2,195;2,195
"photographe";1,874;-1,874
"personnalité";-0,21;0,21
"pacifique";0,023;-0,023
"organisation";0,006;-0,006
"obligation";-4,495;4,495
"novembre";0,023;-0,023
"no";-2,808;2,808
"neige";-0,106;0,106
"mr";6,692;-6,692
"modifier";2,93;-2,93
"miracle";-8,373;8,373
"ministre";6,692;-6,692
"insupportable";-2,195;2,195
"injuste";0,189;-0,189
"inadmissible";0,578;-0,578
"impact";-0,21;0,21
"immense";0,023;-0,023
"idéal";5,524;-5,524
"honnêteté";3,912;-3,912
"hey";1,874;-1,874
"gouverner";-1,138;1,138
"global";14,477;-14,477
"former";-1,138;1,138
"fondement";14,477;-14,477
"fil";3,912;-3,912
"faible";6,692;-6,692
"exiger";0,578;-0,578
"emji_visage_retenant_ses_larmes";-0,711;0,711
"emji_homme_qui_hausse_les_épaules";-2,808;2,808
"emji_femme_avec_la_paume_sur_le_visage_peau_moyennement_claire";-1,097;1,097
"détester";-2,808;2,808
"démonstration";3,912;-3,912
"drone";-5,22;5,22
"douteux";14,477;-14,477
"documenter";3,912;-3,912
"dinguerie";-5,22;5,22
"diminuer";-0,21;0,21
"descendre";-0,711;0,711
"coter";-0,042;0,042
"correspondre";10,214;-10,214
"com";-2,808;2,808
"coca";6,692;-6,692
"clavier";-4,495;4,495
"champion";0,578;-0,578
"carrière";-5,22;5,22
"bâtiment";-7,612;7,612
"bien_être";1,874;-1,874
"basique";2,93;-2,93
"avérer";10,214;-10,214
"aveugle";1,874;-1,874
"autoritaire";3,912;-3,912
"auto";-2,808;2,808
"auprès_de";-1,138;1,138
"artificiel";8,934;-8,934
"ancêtre";-5,22;5,22
"adresse";1,874;-1,874
"activité";0,578;-0,578
"absolu";6,692;-6,692
"évidence";2,93;-2,93
"égalité";-3,075;3,075
"écraser";1,151;-1,151
"visiter";1,151;-1,151
"vent";-0,357;0,357
"université";1,151;-1,151
"totalitaire";8,934;-8,934
"tolérant";8,934;-8,934
"toit";-7,612;7,612
"tiers";-7,612;7,612
"symbole";-0,357;0,357
"surprise";4,389;-4,389
"suggérer";8,934;-8,934
"soumettre";-0,042;0,042
"soucier";-0,042;0,042
"sioniste";8,934;-8,934
"second";3,941;-3,941
"scénario";1,151;-1,151
"saint";-6,85;6,85
"réserver";-2,195;2,195
"régulièrement";8,934;-8,934
"référendum";2,93;-2,93
"récolter";-4,495;4,495
"roman";0,189;-0,189
"relativiser";1,151;-1,151
"regard";1,151;-1,151
"rationnel";2,93;-2,93
"racial";8,934;-8,934
"ptn";-0,711;0,711
"présence";-0,711;0,711
"précision";13,16;-13,16
"prononcer";1,151;-1,151
"promettre";5,524;-5,524
"procès";0,189;-0,189
"poche";-4,495;4,495
"persuader";-0,042;0,042
"pauvreté";2,93;-2,93
"option";2,93;-2,93
"opposé";0,189;-0,189
"négocier";1,151;-1,151
"mêler";-4,495;4,495
"ménage";-1,615;1,615
"my";2,93;-2,93
"mtn";-7,612;7,612
"montage";11,843;-11,843
"moin";-0,711;0,711
"modification";2,022;-2,022
"minoritaire";13,16;-13,16
"mdrr";-4,495;4,495
"maître";0,189;-0,189
"matière";-0,357;0,357
"matelas";-6,088;6,088
"marquer";5,524;-5,524
"manifestement";13,16;-13,16
"malin";-2,195;2,195
"majoritaire";5,524;-5,524
"magnifique";-0,711;0,711
"large";0,189;-0,189
"jsp";-7,612;7,612
"joie";-4,495;4,495
"inégalité";5,524;-5,524
"interprétation";5,524;-5,524
"insécurité";0,006;-0,006
"insultant";7,663;-7,663
"impressionnant";13,16;-13,16
"illusion";-0,042;0,042
"héritage";1,151;-1,151
"haineux";13,16;-13,16
"hahaha";-0,711;0,711
"habituer";-4,495;4,495
"habit";0,189;-0,189
"geste";-4,495;4,495
"genevoise";-0,042;0,042
"fumeur";-6,85;6,85
"frustration";0,189;-0,189
"fossé";6,403;-6,403
"fléau";-4,495;4,495
"figure";0,189;-0,189
"familial";13,16;-13,16
"faiblesse";-0,042;0,042
"facilité";-2,195;2,195
"extérieur";-2,195;2,195
"etes";-6,85;6,85
"etais";-1,722;1,722
"espion";7,663;-7,663
"emporter";1,151;-1,151
"emploi";-4,495;4,495
"emojis";-0,042;0,042
"emji_visage_pensif";-6,088;6,088
"emji_visage_avec_les_sourcils_relevés";2,93;-2,93
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";-1,081;1,081
"embêter";-0,711;0,711
"développement";1,151;-1,151
"désormais";-2,195;2,195
"dérive";2,93;-2,93
"dépendre";-2,195;2,195
"dénigrer";2,93;-2,93
"délinquant";0,189;-0,189
"dizaine";0,189;-0,189
"diviser";-0,042;0,042
"diversité";-0,711;0,711
"direction";-7,612;7,612
"cuisine";-4,495;4,495
"crainte";1,151;-1,151
"couteau";-7,612;7,612
"contact";2,93;-2,93
"complotiste";0,555;-0,555
"compatriote";-7,612;7,612
"comparaison";-0,357;0,357
"communiquer";0,189;-0,189
"clown";0,189;-0,189
"clope";-7,612;7,612
"choquant";-2,195;2,195
"cheveu";0,189;-0,189
"cheval";-3,779;3,779
"cff";0,189;-0,189
"catégorie";13,16;-13,16
"carte";-3,779;3,779
"cambrioler";-3,779;3,779
"boîte";-3,779;3,779
"bisou";13,16;-13,16
"assister";0,189;-0,189
"assaut";-2,195;2,195
"arrêt";-7,612;7,612
"arrogance";-7,612;7,612
"appuyer";5,524;-5,524
"annonce";2,93;-2,93
"amuser";-4,495;4,495
"agresseur";-0,711;0,711
"admettre";1,151;-1,151
"abus";4,389;-4,389
"aborder";-0,042;0,042
"élève";-1,081;1,081
"égard";4,389;-4,389
"édition";-0,106;0,106
"échec";-0,357;0,357
"âgé";-6,85;6,85
"wow";-0,357;0,357
"wikipedia";11,843;-11,843
"votations";11,843;-11,843
"voiture";-3,779;3,779
"vivement";0,006;-0,006
"valable";-1,615;1,615
"unique";1,215;-1,215
"tôt";-1,615;1,615
"témoignage";4,389;-4,389
"tristesse";-6,85;6,85
"traîner";-6,088;6,088
"trafiquant";-0,357;0,357
"trace";3,299;-3,299
"tas";-1,081;1,081
"talentueux";-1,615;1,615
"taille";-6,85;6,85
"table";0,006;-0,006
"sélection";0,56;-0,56
"supposition";7,663;-7,663
"supporter";-6,85;6,85
"stérile";4,389;-4,389
"stopper";-6,088;6,088
"souligner";7,663;-7,663
"solitude";-3,779;3,779
"solidaire";-6,85;6,85
"sol";-0,357;0,357
"simpliste";7,663;-7,663
"silence";-6,85;6,85
"secours";-6,85;6,85
"salon";-6,85;6,85
"révéler";2,275;-2,275
"réfugié";-3,779;3,779
"réclamer";0,006;-0,006
"réaliste";2,022;-2,022
"roue";-6,85;6,85
"rigolo";0,006;-0,006
"rencontre";0,56;-0,56
"remonter";-0,357;0,357
"refus";-1,615;1,615
"reconnaissance";0,56;-0,56
"rechercher";-1,615;1,615
"raser";-3,779;3,779
"radio";4,389;-4,389
"racine";-1,615;1,615
"questionner";4,389;-4,389
"quantité";0,151;-0,151
"préjugé";2,022;-2,022
"protéine";-0,106;0,106
"propriété";4,389;-4,389
"probleme";-6,85;6,85
"priorité";-1,615;1,615
"potentiel";0,56;-0,56
"plat";-6,85;6,85
"piquer";-1,615;1,615
"peinture";-3,779;3,779
"patient";-6,088;6,088
"partisan";11,843;-11,843
"particulier";0,56;-0,56
"pair";11,843;-11,843
"ouvrage";10,526;-10,526
"ouvertement";0,56;-0,56
"orient";-3,779;3,779
"oreille";-6,85;6,85
"ombre";-6,85;6,85
"objectivement";11,843;-11,843
"nuancé";11,843;-11,843
"nationaliste";2,022;-2,022
"naissance";-3,075;3,075
"mépris";0,006;-0,006
"médecin";-6,088;6,088
"mobiliser";-3,779;3,779
"milliardaire";3,299;-3,299
"militer";0,56;-0,56
"masque";-1,615;1,615
"mascarade";-6,85;6,85
"malheur";-6,85;6,85
"majeur";2,022;-2,022
"maintenir";0,56;-0,56
"légitime";-0,357;0,357
"là_dessus";0,56;-0,56
"lourd";-0,357;0,357
"librement";2,022;-2,022
"invention";2,022;-2,022
"interroger";4,389;-4,389
"intellectuellement";0,56;-0,56
"insulte";0,006;-0,006
"influencer";0,56;-0,56
"indépendant";4,389;-4,389
"indispensable";0,56;-0,56
"hygiène";3,299;-3,299
"hallucinant";-6,85;6,85
"habiller";-3,075;3,075
"généralité";10,526;-10,526
"google";-3,779;3,779
"genevois";11,843;-11,843
"gaucho";4,389;-4,389
"garçon";-3,779;3,779
"francais";-1,081;1,081
"faveur";0,56;-0,56
"favela";-1,081;1,081
"emmener";-6,85;6,85
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";-3,779;3,779
"emji_visage_souriant_avec_auréole";-0,611;0,611
"emji_visage_souriant";0,006;-0,006
"emji_visage_avec_un_monocle";2,022;-2,022
"ect";-3,075;3,075
"dériver";11,843;-11,843
"délit";4,389;-4,389
"drapeau";-1,615;1,615
"dormir";-6,85;6,85
"difficulté";0,006;-0,006
"dialogue";2,022;-2,022
"destruction";-1,615;1,615
"design";-6,85;6,85
"cultiver";-0,357;0,357
"créateur";-3,075;3,075
"croyance";-3,779;3,779
"coûter";-6,088;6,088
"couche";4,389;-4,389
"corrompu";0,56;-0,56
"contradictoire";7,663;-7,663
"confusion";4,389;-4,389
"confronter";0,006;-0,006
"condescendant";4,389;-4,389
"concevoir";0,006;-0,006
"classer";0,555;-0,555
"chercheur";6,403;-6,403
"champ";0,56;-0,56
"ch";-1,615;1,615
"causer";-1,081;1,081
"business";-3,779;3,779
"braquer";-1,615;1,615
"boire";-1,615;1,615
"biensur";-0,106;0,106
"banaliser";-0,357;0,357
"bad";4,389;-4,389
"avocat";4,389;-4,389
"autoriser";-0,357;0,357
"auteur";11,843;-11,843
"artifice";-6,088;6,088
"archi";-1,615;1,615
"ambulancier";-6,85;6,85
"ahah";-6,85;6,85
"agenda";7,663;-7,663
"agence";0,151;-0,151
"affligeant";-3,779;3,779
"affirmation";2,022;-2,022
"ados";-1,615;1,615
"adhérer";-0,357;0,357
"actif";11,843;-11,843
"accusation";4,389;-4,389
"accident";-1,615;1,615
"aboutir";2,022;-2,022
"aberrant";-0,357;0,357
"étouffer";-3,075;3,075
"éternel";3,299;-3,299
"équivalent";1,215;-1,215
"équilibre";6,403;-6,403
"émettre";6,403;-6,403
"élite";6,403;-6,403
"égo";-6,088;6,088
"échouer";-1,081;1,081
"voyager";-6,088;6,088
"volontaire";0,151;-0,151
"visuel";0,151;-0,151
"vice";6,403;-6,403
"vaud";3,299;-3,299
"valider";9,21;-9,21
"trier";10,526;-10,526
"tribune";-0,611;0,611
"transformer";-0,106;0,106
"torture";-0,611;0,611
"toilette";-6,088;6,088
"thune";-1,081;1,081
"terroriste";-1,081;1,081
"taxe";-3,075;3,075
"taux";-1,081;1,081
"systémique";1,215;-1,215
"surement";-1,081;1,081
"suffisant";0,151;-0,151
"states";-6,088;6,088
"spécialiste";0,151;-0,151
"souveraineté";0,151;-0,151
"soleil";-6,088;6,088
"sociologique";9,21;-9,21
"silencieux";-3,075;3,075
"scandaleux";-1,081;1,081
"sauveur";-3,075;3,075
"saluer";-0,106;0,106
"salle";0;0
"réforme";-0,106;0,106
"récit";1,215;-1,215
"rouge";-3,075;3,075
"rhétorique";6,403;-6,403
"reposer";0,151;-0,151
"rendez_vous";-5,327;5,327
"religieux";1,215;-1,215
"relayer";6,403;-6,403
"redire";-0,106;0,106
"redescendre";-6,088;6,088
"reconnaissant";-3,075;3,075
"rdv";0,555;-0,555
"rarement";-0,106;0,106
"rapprocher";1,215;-1,215
"qualifié";0,151;-0,151
"père";-0,106;0,106
"publicité";6,403;-6,403
"prévoir";-0,106;0,106
"présomption";10,526;-10,526
"possession";0,151;-0,151
"pleurnicher";-0,238;0,238
"pleinement";6,403;-6,403
"performance";-0,106;0,106
"pedo";-0,611;0,611
"patriote";-6,088;6,088
"parfait";3,299;-3,299
"parer";-3,075;3,075
"opposition";3,941;-3,941
"occurrence";10,526;-10,526
"normalement";-6,088;6,088
"neurone";-3,075;3,075
"net";-0,106;0,106
"naturalisé";3,299;-3,299
"mépriser";0,151;-0,151
"musk";10,526;-10,526
"moche";-6,088;6,088
"misère";-3,075;3,075
"militantisme";10,526;-10,526
"meurtre";-3,075;3,075
"mesurer";3,299;-3,299
"massacre";-3,075;3,075
"magique";0,151;-0,151
"luxe";-0,106;0,106
"licenciement";6,403;-6,403
"libérer";-6,088;6,088
"lgbt";10,526;-10,526
"lausannoise";-5,327;5,327
"langue";2,275;-2,275
"judicieux";3,299;-3,299
"judiciaire";0,151;-0,151
"joueur";-6,088;6,088
"issue";0,151;-0,151
"is";3,299;-3,299
"interview";3,299;-3,299
"innocent";-1,081;1,081
"innocence";0,151;-0,151
"inde";6,403;-6,403
"incompétent";1,215;-1,215
"inclure";6,403;-6,403
"imagination";0,151;-0,151
"idiot";-1,081;1,081
