"";"";"";"";"camp";""
"90";"venir";"-0.256233755499648";"0.0517926148025821";"0.865637564707271";"346"
"91";"montreux";"-0.155447628162896";"-1.65504874107857";"0.865357295997315";"347"
"92";"animal";"-0.419522282871762";"0.685723095955043";"0.864619027200358";"351"
"93";"difficile";"-0.265805197042631";"-1.01204164424693";"0.864417370445633";"353"
"94";"signe";"-0.540502052847689";"0.327305164200349";"0.864140519646774";"354"
"95";"interdiction";"-0.540502052847689";"0.327305164200349";"0.864140519646774";"355"
"96";"vallon";"-0.540502052847689";"0.327305164200349";"0.864140519646774";"356"
"97";"jurassien";"-0.540502052847689";"0.327305164200349";"0.864140519646774";"357"
"98";"horizon";"-0.540502052847689";"0.327305164200349";"0.864140519646774";"358"
"99";"principalement";"-0.420650645722096";"-0.64853274403781";"0.863880758403401";"361"
"100";"international";"-0.564250014800396";"0.551118697649225";"0.863347564272265";"362"
"101";"chaussette";"-0.417108799118993";"-0.961173620415629";"0.863347564272265";"363"
"102";"notamment";"-0.482769161340407";"0.340552616963779";"0.863251862761548";"365"
"103";"échauffement";"-0.615970281470603";"0.622452505731688";"0.863190340361802";"367"
"104";"automobiliste";"-0.615970281470603";"0.622452505731688";"0.863190340361802";"368"
"105";"voiture";"-0.343552850362732";"0.219117406934795";"0.862971594051592";"369"
"106";"portrait";"-0.389650299414729";"0.472625993566601";"0.862971594051592";"370"
"107";"indispensable";"-0.620935520387992";"0.559735065137083";"0.862240161076828";"372"
"108";"passage";"-0.415264947433849";"-0.0973600301717188";"0.862062429699783";"373"
"109";"ouvrier";"-0.543894665592903";"0.849852736661357";"0.861809504278603";"374"
"110";"bidet";"-0.543894665592903";"0.849852736661357";"0.861809504278603";"375"
"111";"barbe";"-0.543894665592903";"0.849852736661357";"0.861809504278603";"376"
"112";"saurer";"-0.543894665592903";"0.849852736661357";"0.861809504278603";"377"
"113";"lunette";"-0.543894665592903";"0.849852736661357";"0.861809504278603";"378"
"114";"enseignant";"-0.543894665592903";"0.849852736661357";"0.861809504278603";"379"
"115";"cycle";"-0.543894665592903";"0.849852736661357";"0.861809504278603";"380"
"116";"moment";"-0.292410161957555";"-2.10398233587081";"0.861754817701051";"382"
"117";"vin";"-0.53900022562285";"0.254432756601336";"0.860927683215571";"384"
"118";"peur";"-0.537767290828599";"0.314876487365311";"0.860927683215571";"385"
"119";"cours";"-0.54321614304386";"0.745343222169156";"0.860767041394011";"386"
"120";"tourner";"-0.485483251536579";"0.758590674932586";"0.860767041394011";"387"
"121";"bruit";"-0.571737722639697";"0.24199877344601";"0.857386727319053";"393"
"122";"comprendre";"-0.34287076685111";"0.450769947446045";"0.857202160119813";"394"
"123";"helvète";"-0.272920584245253";"-0.694917227738324";"0.857202160119813";"395"
"124";"matière";"-0.324851862881685";"0.507620005178463";"0.857202160119813";"396"
"125";"danse";"-0.452570872656455";"0.256609557452732";"0.857133801897873";"397"
"126";"armailli";"-0.722791279574398";"2.82369540882385";"0.856928727232051";"412"
"127";"phénomène";"-0.23913170311299";"-1.05313193643404";"0.856915055587663";"415"
"128";"quotidien";"-0.461151331860002";"0.711195260473333";"0.856812518254752";"417"
"129";"adolescent";"-0.397187607903048";"0.517188067847226";"0.853500562401735";"421"
"130";"retour";"-0.540464268471664";"0.0550814493266957";"0.853490308668444";"422"
"131";"année";"-0.311900626304043";"0.231141844544974";"0.853233965336167";"423"
"132";"mort";"-0.476092117538713";"-0.210252545957302";"0.852933189159629";"424"
"133";"fond";"-0.563276657183641";"0.0172888036232467";"0.852933189159629";"425"
"134";"aller";"-0.490090031339531";"-0.0277782973164776";"0.852294039784485";"427"
"135";"parole";"-0.347329894782585";"-0.0980601442304401";"0.852170994984992";"428"
"136";"vaud";"-0.377004911146261";"0.589103988864866";"0.852170994984992";"429"
"137";"journaliste";"-0.21858326139368";"-0.876266067961627";"0.851754009831155";"431"
"138";"descente";"-0.677874781630862";"1.32801841059616";"0.850937129078966";"433"
"139";"sentiment";"-0.418678737834088";"-1.35824470382188";"0.850937129078966";"434"
"140";"championnat";"-0.219623365610361";"-1.32465642353208";"0.849939099038635";"436"
"141";"joyeux";"-0.170590342266754";"-1.1863762897529";"0.849939099038635";"437"
"142";"devenir";"-0.417689475083789";"-0.279389971853923";"0.849655412417582";"440"
"143";"berger";"-0.583338088298543";"0.383531712110947";"0.848264322601093";"441"
"144";"campagne";"-0.38945602912164";"0.0251209459433677";"0.848264322601093";"442"
"145";"bonheur";"-0.49295674538249";"0.425435970246709";"0.848192546468055";"443"
"146";"arriver";"-0.505482758750432";"0.548449660356322";"0.848192546468055";"444"
"147";"paysan";"-0.49295674538249";"0.425435970246709";"0.848192546468055";"445"
