"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"florilège";1;1;1;1;0;1;1;1;1;0,092;1
"film";1;1;0,457;1;1;1;1;1;1;1;0
"esprit";1;1;0,228;0,153;0,002;1;1;1;1;0,848;1
"drôle";0,798;0,758;0,598;1;1;1;1;1;1;0;0,624
"difficile";1;1;1;1;1;1;1;0,561;1;1;0
"cuisine";1;0,13;0,598;0,029;1;1;1;0,665;1;0,201;1
"créer";1;0,758;1;1;0,077;1;0,653;1;0,026;1;0,624
"coup";1;0,603;0,457;1;0,976;0,395;0,037;1;1;0,473;1
"chance";1;0;1;1;1;1;0,083;1;1;1;1
"bonheur";1;1;1;1;0,642;1;1;1;0;0,848;1
"attendre";0,077;1;1;1;1;1;1;1;1;0,008;1
"adolescent";1;1;1;1;0;1;1;1;0,549;0,142;1
"éviter";1;1;0;1;1;1;0,022;1;1;0,366;1
"vélomoteur";1;0,067;1;1;1;1;1;1;0,316;0,333;1
"val";1;0,13;1;0,467;1;0,527;1;1;0,026;1;0,624
"tv";1;1;1;0,405;1;1;0,058;1;1;1;0
"soir";1;0,683;0;1;1;1;1;1;1;1;1
"réussir";1;1;0,382;1;0;1;0,022;1;1;1;1
"rétro";1;0,758;1;1;0;1;1;1;1;1;1
"route";1;1;1;1;1;1;0,653;1;0;1;1
"rassembler";1;1;1;0,011;1;0,395;1;0,456;0,445;1;0,422
"programme";1;0,009;0,228;1;0,642;1;1;1;1;1;0,144
"profiter";1;1;1;1;1;0,462;1;1;0;1;1
"parent";1;1;1;1;1;1;1;1;0,127;0,001;1
"oeil";1;1;1;0,405;1;0,462;1;1;0,014;1;0,523
"national";1;0,603;1;1;0,976;1;0,037;1;1;0,473;0,073
"mondial";1;1;1;1;1;1;0,263;1;1;1;0
"marier";0,261;1;1;0,096;1;0,121;1;1;0,672;1;0,652
"juin";0,721;1;1;1;1;1;0,001;1;1;1;0
"journal";1;0,009;1;1;0,642;1;1;1;0,822;1;0,144
"jouer";1;0,517;1;1;0,194;1;1;1;1;0,003;1
"helvétique";1;0;1;1;0,268;1;1;1;1;1;1
"fou";0,639;1;1;1;1;1;0,037;1;1;1;0
"cours";1;1;1;1;1;1;1;1;0,672;0;1
"club";1;1;0,228;0,153;1;1;0,004;0,161;1;1;1
"claude";1;1;1;1;1;1;1;1;1;1;0
"chien";1;1;0,153;1;0,506;1;1;1;1;0,003;1
"chanter";0,639;1;1;0,342;1;1;0;1;0,445;1;0,422
"cas";1;1;1;1;1;0,024;1;1;0,316;1;0,302
"émotion";0,077;0,064;1;1;0,976;1;1;1;1;1;0,422
"âgé";0,721;1;1;1;1;1;1;1;0,549;0,142;0,115
"vrai";1;0,003;1;1;1;1;1;1;0,001;1;0,523
"vidéo";1;1;1;1;1;0,462;0;1;1;0,58;1
"valaisan";1;0,333;1;0;1;1;1;1;1;0,848;1
"table";1;0,064;0,027;1;0,029;0,395;1;1;1;1;1
"société";1;1;1;1;1;1;1;1;0;1;1
"salle";1;0,021;0,007;1;1;1;1;1;0,954;1;0,228
"rêver";1;0,094;1;1;0,346;1;1;1;0,014;1;1
"répondre";1;0,683;1;1;1;1;1;1;1;0;0,523
"réaliser";1;1;1;1;0,015;1;1;1;1;1;0,002
"réalisateur";1;1;1;1;0,976;1;1;1;1;1;0
"retraite";1;1;1;0,214;0,765;1;1;0,965;0,001;1;1
"préférer";1;0,001;1;1;1;1;1;1;1;0;1
"portrait";1;1;1;0,342;0;1;1;1;1;1;1
"peur";1;1;1;1;1;1;1;0;0,549;1;1
"penser";1;1;1;1;0,976;1;0,037;1;1;0;1
"passage";1;1;1;1;1;1;1;1;0;1;0,523
"paléo";1;1;1;1;1;1;1;1;1;1;0
"offrir";1;1;0,305;1;1;0,255;1;0,025;0,244;1;1
"occuper";1;1;1;1;0;1;1;1;1;0,264;1
"nouvelle";1;1;1;1;1;1;1;0,965;0,954;1;0
"milieu";1;1;1;0;1;1;1;1;1;1;0,652
"marquer";1;1;1;0,405;1;0,462;0;1;1;1;0,115
"manger";1;0,517;1;0,278;0,876;1;0,428;1;1;0,366;1
"lever";1;1;1;1;0,359;1;1;1;0;1;1
"installer";1;1;1;1;0,506;0;1;1;1;1;1
"génération";0,552;1;1;1;1;1;1;1;0;1;1
"garçon";1;0,427;1;1;1;1;1;1;0,023;0,027;1
"fédéral";1;1;1;0;1;1;0,037;1;1;1;1
"fondue";1;0,517;1;0;0,194;1;1;1;1;1;1
"fond";1;1;0;1;1;1;0,428;1;1;0,054;1
"exister";1;1;1;1;1;1;1;1;1;0;0,422
"envie";1;1;0;1;0,876;0,325;1;1;1;1;1
"décembre";0,005;1;1;1;1;1;0,001;1;1;1;0,012
"couple";0,639;1;1;1;0;0,395;1;1;1;1;1
"concours";1;0;1;1;1;1;0,507;1;1;1;1
"compagnie";0,459;1;1;0,214;0,765;1;1;1;1;0,981;0,02
"classe";1;1;1;1;1;1;0,001;1;1;0;1
"chaussette";1;1;0;0,214;1;1;0,346;1;1;1;0,228
"caméra";1;1;1;1;0,976;1;1;1;1;0;0,422
"cadeau";1;1;1;1;1;1;1;0,965;0;1;1
"bel";1;1;0,086;1;1;1;1;1;1;1;0
"arrêter";1;1;1;1;1;1;0,507;1;0;1;0,422
"air";1;0,427;1;0,002;1;1;1;1;0,001;1;1
"actualité";1;1;1;1;1;1;0;1;1;1;0,523
"épisode";1;1;1;1;1;1;0;1;1;1;0,073
"également";1;1;1;1;0,194;1;0,428;1;0,047;1;1
"écolier";0,459;1;1;0,214;1;0,255;1;1;1;0,001;1
"véritable";1;1;1;1;1;0,325;1;1;1;0;1
"travers";0,459;1;1;1;1;0,255;0,346;1;0,001;1;1
"travailler";1;1;1;1;0,876;1;1;1;0,047;0,003;1
"tell";1;1;1;1;0,001;1;0,507;1;1;0,092;1
"succès";1;1;1;0,214;1;1;1;0,965;0;1;1
"sportif";1;1;1;0,278;1;1;1;1;1;1;0
"solution";1;1;1;1;1;1;1;1;1;0;1
"siècle";1;1;1;1;0,765;0,255;1;1;0,001;0,981;1
"seulement";1;0;1;1;0,976;1;1;1;1;1;1
"salon";1;0,238;1;1;0,035;1;0,181;1;1;1;0,652
"réunir";1;1;1;0,153;1;1;1;1;0,155;0,17;0,801
"roi";1;1;1;1;0,976;1;0,507;1;0;1;1
"repos";1;1;1;0,153;1;1;1;0,01;1;0,848;0,801
"rencontrer";0,639;0,603;1;1;0,976;1;1;1;1;0;1
"rappeler";1;0,603;1;1;1;1;0,507;1;0;1;1
"père";1;1;1;1;1;1;1;1;1;0;1
"près_de";1;1;1;1;0,765;0,255;1;1;0,023;1;0,228
"philippe";1;1;1;1;1;1;1;1;1;1;0
"passant";1;0,001;1;0,049;1;1;1;1;1;0,524;1
"partie";1;1;0,305;1;0,129;0,255;0,346;1;0,244;1;1
"pari";1;0,517;1;0;1;1;1;1;1;1;0,322
"naître";1;1;1;1;0,006;1;1;1;1;1;0,001
"nati";1;1;1;1;1;1;0;1;1;1;1
"mythique";1;1;1;1;0,208;1;1;1;1;1;0,006
"montreux";1;1;1;1;1;0,121;1;1;1;1;0
"masculin";1;1;1;1;0,876;1;0,022;1;0,342;1;0,042
"manière";1;1;1;1;1;1;0,011;0,965;0,244;0,981;0,932
"main";1;0,603;0;1;0,001;1;1;1;1;1;1
"légendaire";0,639;1;0,457;0,342;1;0,395;1;1;0,081;1;1
"look";1;1;0,382;1;0,876;1;1;1;1;0,003;1
"jacques";1;1;1;1;1;1;1;1;1;1;0
"invention";0,361;1;1;1;1;1;0,263;1;1;0,848;0,008
"idée";1;0,427;1;1;0,765;1;1;0,965;0,001;1;1
"humour";0;1;1;1;0,002;1;1;1;1;1;1
"guerre";1;0,238;0,153;1;1;0,121;1;1;0,672;1;0,652
"georges";1;1;1;0,016;0,208;1;0,044;1;1;1;1
"fromage";1;0;1;1;0,765;1;1;1;1;0,264;1
"franc";0,361;1;0,228;1;1;0,186;1;1;1;0,011;1
"finir";1;0,517;1;1;0,876;0,325;1;0,352;0,047;1;1
"expérience";0,261;1;0,153;0,096;1;1;1;1;0,672;0,697;1
"document";0;1;1;1;1;0,395;1;1;1;1;0,422
"côté";1;1;0;0,214;1;1;0,346;1;0,954;1;0,932
"commun";1;1;1;0;0,876;1;1;1;1;1;1
"chemin";1;1;1;1;1;1;1;1;0;1;0,422
"avion";1;0,039;0,382;1;0,876;1;1;0,352;1;1;1
"appétit";1;0;0,382;1;1;1;1;1;1;1;1
"apprendre";1;1;1;0,342;0,268;1;1;1;1;0;1
"ami";1;1;1;1;1;0;1;1;0,502;1;1
"accent";1;1;1;1;1;0,065;0,105;1;1;1;0,029
"abri";1;1;1;1;1;0;1;1;0,672;1;1
"écouter";0,552;1;0,015;1;1;0,325;1;1;0,047;1;1
"vivant";1;0,517;0,382;1;0;1;1;1;0,342;1;1
"vert";1;1;1;1;0,359;1;1;1;1;1;0
