"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"rejoindre";-0,462;-0,438;1,455;-0,287;-0,73;1,747;-0,379;1,963;0,05;0,037;-0,917
"regarder";-0,307;-0,291;-0,233;-0,191;-0,486;-0,21;63,871;-0,638;-0,629;-0,652;-0,61
"prévoir";-0,307;-0,291;2,949;-0,191;-0,486;-0,21;2,629;-0,638;-0,629;-0,652;4,746
"professeur";-0,462;-0,438;-0,35;2,045;0,216;-0,315;-0,379;-0,958;0,05;6,516;-0,917
"problème";-0,384;1,393;-0,291;-0,239;0,442;-0,263;-0,316;9,095;-0,786;-0,815;-0,763
"preuve";-0,23;3,363;-0,175;-0,143;1,586;5,123;-0,189;-0,478;-0,471;-0,488;-0,457
"pratique";-0,384;-0,365;-0,291;65,952;-0,608;-0,263;1,791;-0,798;-0,786;-0,815;-0,763
"poser";-0,462;-0,438;1,455;2,045;-0,73;1,747;-0,379;1,963;-0,944;0,037;-0,917
"pont";6,277;-0,438;-0,35;-0,287;-0,73;-0,315;40,016;-0,958;-0,944;-0,979;-0,917
"plage";-0,23;-0,218;-0,175;-0,143;-0,364;24,241;-0,189;-0,478;-0,471;-0,488;1,065
"pièce";-0,384;-0,365;-0,291;-0,239;12,622;-0,263;-0,316;-0,798;-0,786;0,152;0,203
"pionnier";-0,384;-0,365;-0,291;-0,239;4,446;2,402;10,488;-0,798;-0,786;-0,815;-0,763
"paraître";-0,384;-0,365;-0,291;-0,239;24,969;-0,263;-0,316;-0,798;-0,786;-0,815;0,203
"organiser";-0,384;1,393;-0,291;65,952;-0,608;-0,263;-0,316;-0,798;-0,786;-0,815;-0,763
"officiellement";-0,307;-0,291;-0,233;-0,191;-0,486;-0,21;2,629;-0,638;4,558;-0,652;0,488
"oeuvre";-0,384;-0,365;-0,291;-0,239;24,969;-0,263;-0,316;-0,798;0,179;-0,815;-0,763
"nu";-0,307;-0,291;-0,233;19,132;-0,486;-0,21;2,629;0,432;-0,629;-0,652;-0,61
"nouvel";-0,462;-0,438;-0,35;-0,287;-0,73;-0,315;21,072;0,045;-0,944;-0,979;2,135
