"";"V1"
"1496";0
"1497";0
"1498";1
"1499";0
"1500";0
"1501";0
"1502";0
"1503";0
"1504";0
"1505";0
"1506";1
"1507";0
"1508";3
"1509";0
"1510";0
"1511";0
"1512";0
"1513";0
"1514";0
"1515";1
"1516";0
"1517";0
"1518";0
"1519";0
"1520";0
"1521";1
"1522";1
"1523";0
"1524";0
"1525";3
"1526";1
"1527";1
"1528";0
"1529";1
"1530";0
"1531";2
"1532";0
"1533";1
"1534";0
"1535";2
"1536";0
"1537";3
"1538";0
"1539";0
"1540";0
"1541";0
"1542";3
"1543";0
"1544";0
"1545";0
"1546";0
"1547";0
"1548";0
"1549";0
"1550";0
"1551";0
"1552";0
"1553";0
"1554";0
"1555";0
"1556";0
"1557";0
"1558";0
"1559";2
"1560";2
"1561";2
"1562";0
"1563";0
"1564";0
"1565";0
"1566";0
"1567";0
"1568";0
"1569";0
"1570";2
"1571";0
"1572";0
"1573";0
"1574";0
"1575";2
"1576";3
"1577";2
"1578";0
"1579";3
"1580";0
"1581";0
"1582";0
"1583";0
"1584";1
"1585";0
"1586";0
"1587";0
"1588";0
"1589";2
"1590";0
"1591";0
"1592";0
"1593";0
"1594";0
"1595";3
"1596";0
"1597";0
"1598";0
"1599";0
"1600";0
"1601";0
"1602";0
"1603";0
"1604";0
"1605";0
"1606";0
"1607";0
"1608";0
"1609";0
"1610";0
"1611";0
"1612";0
"1613";0
"1614";0
"1615";0
"1616";1
"1617";0
"1618";0
"1619";1
"1620";0
"1621";0
"1622";0
"1623";0
"1624";0
"1625";0
"1626";0
"1627";0
"1628";0
"1629";0
"1630";1
"1631";0
"1632";0
"1633";0
"1634";0
"1635";0
"1636";0
"1637";0
"1638";1
"1639";0
"1640";0
"1641";0
"1642";0
"1643";3
"1644";3
"1645";3
"1646";0
"1647";0
"1648";2
"1649";2
"1650";3
"1651";0
"1652";1
"1653";0
"1654";0
"1655";3
"1656";3
"1657";0
"1658";0
"1659";2
"1660";0
"1661";1
"1662";3
"1663";0
"1664";0
"1665";3
"1666";0
"1667";3
"1668";0
"1669";1
"1670";3
"1671";0
"1672";1
"1673";0
"1674";3
"1675";2
"1676";2
"1677";3
"1678";0
"1679";2
"1680";0
"1681";3
"1682";3
"1683";0
"1684";0
"1685";2
"1686";3
"1687";0
"1688";0
"1689";0
"1690";1
"1691";2
"1692";1
"1693";0
"1694";3
"1695";3
