"";"*rts_a";"*rts_i"
"cordialement";4;9
"brillant";8;4
"inutile";21;20
"vide";9;21
"méchant";58;21
"constater";14;27
"30";18;22
"quels";4;13
"critère";3;19
"avantage";6;14
"complètement";63;60
"malheureusement";62;63
"baser";8;21
"apparence";12;4
"couverture";1;9
"mensonge";5;16
"hypocrisie";6;16
"objet";10;30
"haut";26;35
"50";26;29
"prêt";7;13
"attirer";4;11
"humour";15;18
"précédent";11;20
"message";43;70
"chez";84;97
"fille";17;18
"ignorer";9;28
"jusqu_au";3;11
"mariage";18;7
"emji_mains_en_prière";48;21
"millier";8;10
"remercier";8;9
"madame";55;25
"souffrir";6;7
"citation";3;19
"cultivé";7;3
"capable";40;45
"autant";47;74
"pitié";19;24
"certainement";11;25
"elle_même";5;9
"persuader";9;8
"finalement";13;22
"journée";18;50
"abe";1;11
"préjugé";4;8
"nez";6;12
"absolu";7;10
"derrière";20;43
"pseudo";7;14
"partie";42;75
"arrogance";13;8
"aveugle";10;17
"certitude";10;7
"perso";19;24
"gratuitement";10;6
"soleil";9;3
"tourner";18;21
"autour";17;18
"terre";36;36
"chercher";72;87
"entourer";5;11
"marcher";6;29
"confusion";5;8
"hab";5;10
"emji_visage_souriant_avec_coeurs";17;7
"emji_mains_en_prière_peau_claire";13;13
"bêtise";27;36
"hier";13;13
"loin";40;55
"actualité";34;15
"certaine";13;19
"bruit";7;5
"pareil";62;61
"lequel";9;12
"fil";12;10
"résultat";22;32
"creuser";4;11
"talent";9;11
"numéro";5;18
"entrer";6;10
"politique";19;170
"film";24;42
"centaine";6;8
"référence";12;18
"libre";45;67
"merveilleux";10;5
"joli";24;25
"série";7;23
"hésiter";13;11
"total";11;31
"humilité";8;4
"acquérir";5;10
"désir";7;10
"d_abord";7;15
"bourgeois";13;15
"solution";14;44
"idéologie";13;37
"combat";31;33
"emji_visage_roulant_des_yeux";51;56
"mépris";17;12
"user";4;22
"évolution";16;8
"secret";12;2
"haine";21;73
"limite";16;28
"8";8;9
"10";20;37
"divorce";5;9
"initiative";2;53
"dommage";42;47
"craindre";13;9
"justifier";12;43
"statistique";4;55
"signification";13;3
"heureux";15;14
"condition";6;12
"patriarcat";14;15
"créer";54;59
"laquelle";17;20
"famille";14;43
"argument";49;157
"construire";14;13
"imaginer";25;49
"rigoler";10;5
"raciste";129;109
"certaines";30;62
"communauté";11;13
"rôle";7;28
"public";17;41
"musique";19;7
"uns";12;8
"avancer";16;47
"100";19;37
"jusqu_à";14;20
"racisme";94;98
"bonheur";24;4
"démocratie";2;37
"enlever";12;7
"aucun";82;133
"emji_visage_qui_vomit";6;8
"agir";27;82
"féminisme";24;49
"estimer";9;11
"soi";20;26
"minimum";18;36
"défaut";7;15
"emji_pouce_vers_le_haut_peau_claire";5;8
"étonner";7;26
"telle";10;11
"contraire";69;88
"autrui";8;4
"habit";5;9
"emji_visage_avec_un_léger_sourire";16;9
"artiste";2;15
"jeu";10;14
"café";10;6
"noir";121;38
"festival";5;7
"village";11;3
"finir";22;40
"corriger";8;17
"emji_homme_qui_hausse_les_épaules_peau_claire";19;11
"cohérent";6;12
"pathétique";13;13
"aise";8;7
"comporter";11;9
"étrange";6;12
"sourire";7;3
"empêcher";28;58
"rajouter";8;13
"connait";5;9
"dessus";24;37
"afin";9;19
"légitime";8;9
"heureusement";21;29
"position";9;14
"maîtriser";2;19
"ouais";16;26
