"";"X.rts_a";"X.rts_i"
"rien";0,5548;-0,5548
"harcèlement";-0,5332;0,5332
"activité";1,0132;-1,0132
"deux";-0,863;0,863
"thème";1,0431;-1,0431
"commencer";-4,0379;4,0379
"ressentir";2,7284;-2,7284
"relation";-3,2523;3,2523
"amour";2,59;-2,59
"rencontre";2,2954;-2,2954
"simple";1,5125;-1,5125
"mari";2,7584;-2,7584
"offrir";-1,1451;1,1451
"âme";2,0866;-2,0866
"partager";-0,5515;0,5515
"coeur";2,0053;-2,0053
"riche";-0,3397;0,3397
"fou";1,0298;-1,0298
"tant";-1,6413;1,6413
"travailler";-0,985;0,985
"salaire";-1,5887;1,5887
"lire";-2,8559;2,8559
"part";-1,2448;1,2448
"absolument";-0,307;0,307
"emji_mains_levées";2,2048;-2,2048
"péjoratif";12,9187;-12,9187
"préférer";0,909;-0,909
"aborder";-1,1957;1,1957
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";9,3219;-9,3219
"info";-1,6994;1,6994
"côté";-1,1494;1,1494
"supposer";0,9083;-0,9083
"pire";-0,9546;0,9546
"banaliser";-0,585;0,585
"bonjour";8,8849;-8,8849
"sinon";-0,3451;0,3451
"tellement";4,4477;-4,4477
"résumer";-0,2819;0,2819
"saint";1,8997;-1,8997
"normal";0,9679;-0,9679
"ménage";-0,9081;0,9081
"éduquer";0,4881;-0,4881
"laisser";-1,4119;1,4119
"tranquille";-0,4168;0,4168
"seul";0,4981;-0,4981
"emji_visage_souriant_avec_une_goutte_de_sueur";2,9277;-2,9277
"évoluer";8,6079;-8,6079
"sentir";0,3717;-0,3717
"obtenir";-0,9258;0,9258
"égalité";-14,8619;14,8619
"salarial";-0,78;0,78
"misogyne";1,6494;-1,6494
"époque";37,8852;-37,8852
"principe";-0,7611;0,7611
"moral";-1,3895;1,3895
"inventer";1,354;-1,354
"débat";-3,3413;3,3413
"stérile";-0,5597;0,5597
"vie";0,6252;-0,6252
"déplaire";0,5731;-0,5731
"partisan";-0,9317;0,9317
"fameux";-1,3895;1,3895
"progrès";1,0431;-1,0431
"mêmes";-0,6565;0,6565
"heure";-0,548;0,548
"actuel";1,523;-1,523
"nous";-0,2973;0,2973
"cette";7,8962;-7,8962
"ici";-3,3696;3,3696
"sûr";-0,5022;0,5022
"partout";0,8228;-0,8228
"internet";1,7578;-1,7578
"extrême";-12,7842;12,7842
"simplement";0,4423;-0,4423
"raisonnement";-0,2599;0,2599
"débattre";-2,2391;2,2391
"insultant";0,7499;-0,7499
"moindre";-0,4328;0,4328
"leçon";1,4466;-1,4466
"morale";-2,0121;2,0121
"recevoir";-0,5436;0,5436
"story";0,9953;-0,9953
"boomer";3,1991;-3,1991
"excellence";-0,2767;0,2767
"1";-2,2725;2,2725
"euh";-0,4886;0,4886
"2";-1,1244;1,1244
"source";-4,8255;4,8255
"légal";-0,2854;0,2854
"sérieusement";-1,749;1,749
"rarement";1,6634;-1,6634
"réseau";0,3692;-0,3692
"social";-0,8207;0,8207
"monsieur";10,5301;-10,5301
"particulièrement";3,3268;-3,3268
"toucher";0,4492;-0,4492
"personnel";-1,2206;1,2206
"vice";-0,201;0,201
"interdire";0,554;-0,554
"pur";1,0403;-1,0403
"endroit";-0,7256;0,7256
"ensemble";-0,5687;0,5687
"discussion";-0,5534;0,5534
"honnête";0,4388;-0,4388
"possible";-1,0888;1,0888
"celle";2,1637;-2,1637
"ci";0,321;-0,321
"site";1,2876;-1,2876
"ailleurs";-0,4142;0,4142
"subtil";1,8997;-1,8997
"journaliste";2,7266;-2,7266
"humain";0,3284;-0,3284
"touchant";4,2098;-4,2098
"temps";-0,8225;0,8225
"écouter";5,3915;-5,3915
"journalisme";-0,7065;0,7065
"qualité";-0,4586;0,4586
"forcément";-0,2692;0,2692
"lui";13,8051;-13,8051
"puissance";1,5236;-1,5236
"propos";-1,4456;1,4456
"vrai";3,0884;-3,0884
"alcool";-0,2288;0,2288
"4";-0,4204;0,4204
"paix";-2,6387;2,6387
"appel";-0,2425;0,2425
"aide";-1,3797;1,3797
"clair";-0,3156;0,3156
"psy";-0,6774;0,6774
"effet";-1,0037;1,0037
"interroger";1,2727;-1,2727
"fin";0,7146;-0,7146
"respectueux";0,2852;-0,2852
"bel";0,9083;-0,9083
"souligner";0,3551;-0,3551
"force";-3,4037;3,4037
"respect";1,2675;-1,2675
"empathie";-1,2628;1,2628
"dingue";1,2328;-1,2328
"facilité";-1,6516;1,6516
"répondre";2,266;-2,266
"quelqu_un";-0,3166;0,3166
"instruit";0,4313;-0,4313
"soigner";-0,5179;0,5179
"partir";-6,8574;6,8574
"boire";0,816;-0,816
"probablement";0,4724;-0,4724
"conseiller";-0,4983;0,4983
"consulter";-0,5436;0,5436
"emji_visage_qui_fait_un_câlin";1,2727;-1,2727
"mort";0,6904;-0,6904
"revenir";-0,9504;0,9504
"état";-2,0215;2,0215
"second";1,2362;-1,2362
"dimension";0,3269;-0,3269
"lumière";0,4192;-0,4192
"blanc";8,8308;-8,8308
"cerveau";0,9145;-0,9145
"privé";-0,2425;0,2425
"5";-0,9763;0,9763
"permettre";-3,3566;3,3566
"réalité";-7,3478;7,3478
"esprit";0,8999;-0,8999
"erreur";-1,1197;1,1197
"ironie";-0,7859;0,7859
"mâle";1,2328;-1,2328
"apparaître";-0,6326;0,6326
"meurtre";-1,5286;1,5286
"violent";-3,509;3,509
"élément";-0,8387;0,8387
"sexuel";-0,4477;0,4477
"autrement";-0,2425;0,2425
"concept";-0,2767;0,2767
"vivant";1,663;-1,663
"début";0,9292;-0,9292
"description";-1,3042;1,3042
"suite";0,5934;-0,5934
"emji_visage_en_pleine_réflexion";4,8207;-4,8207
"vivre";-0,4235;0,4235
"lausanne";0,2473;-0,2473
"date";6,3711;-6,3711
"journal";0,5919;-0,5919
"tribune";0,4313;-0,4313
"oser";-0,8945;0,8945
"mentionner";-3,2563;3,2563
"chaque";-1,8243;1,8243
"nombreux";-1,1837;1,1837
"mériter";-0,9836;0,9836
"grand";0,933;-0,933
"marquer";-1,7485;1,7485
"cinéma";-0,3918;0,3918
"durant";-0,7256;0,7256
"6";-1,8792;1,8792
"retrouver";0,3779;-0,3779
"toutes";1,9585;-1,9585
"porte";-0,5973;0,5973
"droite";-20,8499;20,8499
"gauche";-16,3422;16,3422
"vision";0,9466;-0,9466
"emji_applaudissements";2,1654;-2,1654
"effectivement";0,3883;-0,3883
"rapport";-0,6461;0,6461
"rendre";0,5766;-0,5766
"anonyme";-0,7963;0,7963
"mignon";3,0104;-3,0104
"peine";-2,0293;2,0293
"hallucinant";0,321;-0,321
"créateur";4,7385;-4,7385
"appeler";6,6947;-6,6947
"eh";-0,6326;0,6326
"condescendant";0,4388;-0,4388
"patriarcal";-0,3163;0,3163
"air";1,462;-1,462
"90";0,6041;-0,6041
"situation";-4,2148;4,2148
"dame";17,1727;-17,1727
"plein";0,2994;-0,2994
"fort";-1,8992;1,8992
"responsabilité";-3,9415;3,9415
"sous";-2,4694;2,4694
"forme";-0,332;0,332
"depuis";1,9713;-1,9713
"quelques";-0,4547;0,4547
"masculin";-0,3151;0,3151
"ouvrir";-0,5982;0,5982
"surprise";-0,6326;0,6326
"commettre";-1,7361;1,7361
"inconnu";0,5348;-0,5348
"domestique";-3,0967;3,0967
"schéma";0,3269;-0,3269
"extrêmement";0,3342;-0,3342
"différent";0,3218;-0,3218
"battre";3,4205;-3,4205
"conjoint";-1,3042;1,3042
"défendre";-5,9781;5,9781
"agresser";-0,4217;0,4217
"face";-3,0599;3,0599
"danger";-1,3757;1,3757
"multiple";-0,2854;0,2854
"place";-3,3181;3,3181
"emji_visage_avec_des_symboles_dans_la_bouche";-3,2989;3,2989
"livre";2,7689;-2,7689
"étonnant";-0,3157;0,3157
"valoir";-0,2799;0,2799
"or";-1,1677;1,1677
"julien";5,5499;-5,5499
"magnifique";1,1359;-1,1359
"raconter";2,0828;-2,0828
"accent";7,7364;-7,7364
"désolé";1,1523;-1,1523
"obliger";-0,5572;0,5572
"emji_visage_souriant";2,5527;-2,5527
"pub";-0,7825;0,7825
"émission";3,7124;-3,7124
"idée";-2,2613;2,2613
"meme";0,7351;-0,7351
"vieux";9,3974;-9,3974
"publication";-1,4814;1,4814
"marier";2,5233;-2,5233
"complet";0,4213;-0,4213
"âge";1,6851;-1,6851
"totalement";0,7207;-0,7207
"accord";-0,9315;0,9315
"formation";-0,7065;0,7065
"obligatoire";-5,3894;5,3894
"uniquement";-1,7793;1,7793
"jeune";2,7195;-2,7195
"service";-5,9489;5,9489
"militaire";-3,8662;3,8662
"hey";-0,201;0,201
"reportage";4,755;-4,755
"nouveau";-1,1383;1,1383
"santé";-0,5534;0,5534
"récent";-0,3174;0,3174
"puis";1,328;-1,328
"rejoindre";-0,653;0,653
"issue";0,3551;-0,3551
"voici";1,4466;-1,4466
"entier";-0,5371;0,5371
"titre";-1,3185;1,3185
"youtube";1,4791;-1,4791
"contexte";1,0172;-1,0172
"égo";0,6343;-0,6343
"puisqu";0,816;-0,816
"annonce";-0,201;0,201
"fond";1,7443;-1,7443
"bref";0,3003;-0,3003
"exemple";-1,3432;1,3432
"tenir";-0,986;0,986
"emji_visage_qui_rougit";2,0956;-2,0956
"sacré";0,9083;-0,9083
"personnage";0,3625;-0,3625
"forcer";-0,4911;0,4911
"emji_visage_pensif";-0,4217;0,4217
"choix";-0,5115;0,5115
"difficile";-0,8539;0,8539
"consommation";-0,3864;0,3864
"apparemment";-0,9883;0,9883
"espérer";-1,1383;1,1383
"individu";-0,9208;0,9208
"liberté";-5,4388;5,4388
"fortune";-1,3419;1,3419
"expression";-0,4753;0,4753
"témoignage";0,7769;-0,7769
"niveau";-0,4333;0,4333
"emji_tête_qui_explose";0,3269;-0,3269
"60";3,6454;-3,6454
"réfléchir";-0,841;0,841
"facile";-1,3636;1,3636
"grâce";2,6578;-2,6578
"cadre";-0,7065;0,7065
"encadrer";-0,9317;0,9317
"suivre";-1,0993;1,0993
"éviter";-2,2473;2,2473
"ainsi";0,2873;-0,2873
"tentative";-1,6516;1,6516
"dramatique";0,9953;-0,9953
"illégal";-1,3419;1,3419
"france";2,8134;-2,8134
"dieu";27,9734;-27,9734
"encore";0,4616;-0,4616
"anglais";0,7146;-0,7146
"exact";-0,6774;0,6774
"travail";-5,933;5,933
"instagram";1,2279;-1,2279
"similaire";-0,253;0,253
"père";0,9048;-0,9048
"énormément";0,7223;-0,7223
"énerver";1,4408;-1,4408
"demain";0,5066;-0,5066
"frustration";-0,2288;0,2288
"chose";0,4787;-0,4787
"malgré";0,8984;-0,8984
"parfois";-0,299;0,299
"départ";-0,5597;0,5597
"conscience";-0,2784;0,2784
"valeur";-0,534;0,534
"existence";3,5284;-3,5284
"supporter";1,5236;-1,5236
"transmettre";-0,4725;0,4725
"gérer";-0,5954;0,5954
"israël";-0,9317;0,9317
"dose";-0,5332;0,5332
"contrairement";-0,439;0,439
"affirmer";-0,7201;0,7201
"trois";-0,7859;0,7859
"fake";-1,1451;1,1451
"new";-0,3535;0,3535
"décider";0,3108;-0,3108
"bloquer";-1,1495;1,1495
"inviter";-0,4095;0,4095
"revoir";-0,398;0,398
"code";0,508;-0,508
"éthique";-1,2462;1,2462
"journalistique";-0,9317;0,9317
"censure";-3,0117;3,0117
"fait";-8,2477;8,2477
"celui";0,7571;-0,7571
"illustre";-0,9132;0,9132
"droit";-3,1338;3,1338
"poster";0,3376;-0,3376
"comparer";0,9534;-0,9534
"opinion";-1,3562;1,3562
"base";0,3383;-0,3383
"obligation";-1,8272;1,8272
"proposition";-0,9132;0,9132
"tordre";0,6913;-0,6913
"train";-0,253;0,253
"tuer";-5,0065;5,0065
"feu";-0,7963;0,7963
"individuel";-2,9929;2,9929
"emji_tête_à_l";0,4792;-0,4792
"envers";1,2044;-1,2044
"gouvernement";-1,3627;1,3627
"année";2,3502;-2,3502
"jugement";0,2875;-0,2875
"pourtant";0,6836;-0,6836
"sauver";-2,1994;2,1994
"néanmoins";-0,2767;0,2767
"saisir";-0,4886;0,4886
"nuance";-0,699;0,699
"gare";0,4313;-0,4313
"incroyable";3,6195;-3,6195
"cause";-2,5066;2,5066
"actuellement";-0,3397;0,3397
"faible";0,5407;-0,5407
"emji_visage_souriant_avec_de_grands_yeux";0,6027;-0,6027
"discours";0,3371;-0,3371
"président";-1,1524;1,1524
"moquerie";0,4313;-0,4313
"cependant";0,3125;-0,3125
"rentrer";-0,3864;0,3864
"couper";2,2519;-2,2519
"vite";3,0221;-3,0221
"attribuer";0,5066;-0,5066
"neige";0,7939;-0,7939
"pied";2,458;-2,458
"corps";-0,8279;0,8279
"emji_visage_envoyant_un_bisou";1,3187;-1,3187
"vers";0,8483;-0,8483
"15";-0,2425;0,2425
"hahaha";-0,5332;0,5332
"voisin";-0,2472;0,2472
"fantasme";-1,2462;1,2462
"aspect";-1,8866;1,8866
"plupart";0,3663;-0,3663
"voiture";0,3667;-0,3667
"sexualité";1,0132;-1,0132
"lâcher";-1,6516;1,6516
"recherche";-0,8579;0,8579
"personnellement";0,762;-0,762
"comm";0,3667;-0,3667
"matelas";-0,9132;0,9132
"rire";1,3393;-1,3393
"masque";-0,9132;0,9132
"paraître";-0,315;0,315
"ouf";0,3173;-0,3173
"pk";-0,2591;0,2591
"sentiment";0,3108;-0,3108
"physique";-1,2058;1,2058
"surtout";-0,766;0,766
"standard";1,2532;-1,2532
"beauté";3,8193;-3,8193
"stupide";3,4863;-3,4863
"adresser";-0,3163;0,3163
"directement";-0,8091;0,8091
"portée";-0,201;0,201
"excuse";-1,039;1,039
"sincèrement";0,6172;-0,6172
"agressif";-0,2637;0,2637
"cordialement";-0,457;0,457
"brillant";1,2328;-1,2328
"inutile";1,001;-1,001
"vide";-0,7639;0,7639
"méchant";8,6858;-8,6858
