"";"X.rts_a";"X.rts_i"
"ni";2,3614;-2,3614
"fille";1,4617;-1,4617
"13";-1,4543;1,4543
"17";-1,4964;1,4964
"journaliste";0,9509;-0,9509
"choisir";0,6745;-0,6745
"rêve";2,7773;-2,7773
"htag_voiture";5,2577;-5,2577
"matin";0,33;-0,33
"préparer";0,4344;-0,4344
"avant";0,7973;-0,7973
"appétit";2,5867;-2,5867
"star";0,2794;-0,2794
"plateau";3,0732;-3,0732
"également";-1,9994;1,9994
"puis";0,892;-0,892
"vers";-1,9415;1,9415
"dizaine";-1,0311;1,0311
"art";0,3841;-0,3841
"humour";2,5867;-2,5867
"légendaire";1,112;-1,112
"blanc";2,3184;-2,3184
"bas";-0,265;0,265
"faux";-0,8953;0,8953
"éviter";-0,264;0,264
"htag_mode";3,7554;-3,7554
"helvétique";2,2017;-2,2017
"certains";1,001;-1,001
"préférer";2,3536;-2,3536
"madame";7,1359;-7,1359
"tête";1,1033;-1,1033
"1966";4,8821;-4,8821
"htag_vieillesse";4,1309;-4,1309
"deux";-5,5581;5,5581
"durant";-0,2771;0,2771
"60";1,4361;-1,4361
"revenir";-0,686;0,686
"lieu";-1,337;1,337
"chercheur";-2,6982;2,6982
"or";0,4604;-0,4604
"bord";-0,2163;0,2163
"rêver";3,7554;-3,7554
"travail";-0,7609;0,7609
"vitesse";0,2794;-0,2794
"garantir";0,2794;-0,2794
"malade";0,6907;-0,6907
"presque";0,3111;-0,3111
"porter";-0,4264;0,4264
"couper";-0,7508;0,7508
"mythique";2,0516;-2,0516
"valaisan";2,9236;-2,9236
"vélomoteur";4,1309;-4,1309
"génération";0,9006;-0,9006
"htag_eighties";8,6385;-8,6385
"jeu";2,4868;-2,4868
"parler";3,8944;-3,8944
"autorité";-3,5584;3,5584
"policier";-1,3344;1,3344
"vaudois";0,3979;-0,3979
"1974";4,5065;-4,5065
"lac";2,0165;-2,0165
"accueillir";-1,2008;1,2008
"haut";0,3841;-0,3841
"couleur";0,5529;-0,5529
"pierre";0,6907;-0,6907
"radio";2,4408;-2,4408
"vert";-0,4264;0,4264
"geste";-0,4211;0,4211
"coeur";1,0899;-1,0899
"saint";-0,2771;0,2771
"journée";1,7633;-1,7633
"lever";1,3109;-1,3109
"passage";0,596;-0,596
"niveau";-3,4838;3,4838
"8";-0,9133;0,9133
"habitant";-1,2008;1,2008
"htag_geneve";7,8872;-7,8872
"participer";-0,9653;0,9653
"concours";0,9006;-0,9006
"premier";-6,0427;6,0427
"tenter";0,3111;-0,3111
"témoigner";1,2759;-1,2759
"changement";-0,8248;0,8248
"village";0,7111;-0,7111
"e";-2,4437;2,4437
"soleil";6,2218;-6,2218
"peu";3,8097;-3,8097
"santé";-1,9949;1,9949
"70";1,0853;-1,0853
"frère";-0,4807;0,4807
"carte";-0,2251;0,2251
"terminer";-0,4807;0,4807
"htag_vacances";7,1359;-7,1359
"national";-4,1444;4,1444
"florilège";4,5065;-4,5065
"revoir";0,5298;-0,5298
"final";-1,1769;1,1769
"euro";-3,1259;3,1259
"féminin";0,8948;-0,8948
"2025";-9,1649;9,1649
"café";0,892;-0,892
"pain";0,892;-0,892
"difficile";0,4174;-0,4174
"cas";-0,6178;0,6178
"chaud";-0,3238;0,3238
"montagne";2,4866;-2,4866
"passion";7,4827;-7,4827
"htag_valaiswallis";4,1309;-4,1309
"paléo";2,5867;-2,5867
"festival";3,526;-3,526
"new";-0,5708;0,5708
"york";-0,5279;0,5279
"fois";-0,3981;0,3981
"marque";-1,6625;1,6625
"dès";-3,3051;3,3051
"oublier";4,6473;-4,6473
"homme";1,0902;-1,0902
"tell";1,7564;-1,7564
"quel";3,9864;-3,9864
"jusqu_à";-4,2577;4,2577
"évoquer";3,0279;-3,0279
"sentiment";-0,2372;0,2372
"fermer";-1,7801;1,7801
"montreux";1,6531;-1,6531
"the";-2,5412;2,5412
"installer";0,4174;-0,4174
"amateur";0,2373;-0,2373
"football";0,3174;-0,3174
"juin";0,3931;-0,3931
"aucun";-0,4211;0,4211
"ici";-0,3525;0,3525
"htag_football";4,8821;-4,8821
"départ";-0,4692;0,4692
"10";-1,2772;1,2772
"servir";2,095;-2,095
"beaucoup";1,2759;-1,2759
"1990";3,777;-3,777
"car";0,5298;-0,5298
"surtout";0,9085;-0,9085
"28";-1,457;1,457
"musique";3,1962;-3,1962
"chaîne";-0,8778;0,8778
"vive";2,5867;-2,5867
"milieu";0,6165;-0,6165
"scolaire";0,5529;-0,5529
"bois";0,7164;-0,7164
"besoin";-1,5512;1,5512
"pied";0,892;-0,892
"non";-0,9667;0,9667
"26";-1,8617;1,8617
"route";1,0828;-1,0828
"rire";6,3846;-6,3846
"jouer";0,5305;-0,5305
"chemin";2,5867;-2,5867
"physique";0,5749;-0,5749
"important";-0,7818;0,7818
"sportif";0,5529;-0,5529
"prêt";4,9297;-4,9297
"édition";-0,9653;0,9653
"dérouler";-1,0311;1,0311
"vendredi";-4,3928;4,3928
"toutes";0,9392;-0,9392
"celles";1,112;-1,112
"période";-1,0308;1,0308
"réussir";1,0953;-1,0953
"soin";-0,7659;0,7659
"étudiant";-0,6431;0,6431
"sol";0,6907;-0,6907
"aider";-0,3758;0,3758
"moi";9,0142;-9,0142
"jardin";0,8939;-0,8939
