"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"musulman";1;1;0;1;1;1;1
"millier";1;1;0;1;0;0,511;1
"capable";1;0,737;1;1;1;0;0,002
"pro";1;1;0;1;1;0,291;1
"neige";0;1;1;0;1;1;1
"ensemble";1;1;0,505;1;0,389;0;1
"emji_mains_en_prière_peau_claire";0;1;1;1;1;1;1
"coûter";1;1;1;0;0;1;1
"proposer";1;0;1;1;0;0,108;1
"prison";1;1;0;1;0,626;0;1
"prime";1;1;1;1;0;1;1
"ordre";1;1;0,188;1;1;0;1
"impression";1;1;1;1;1;0,044;0
"dangereux";1;0,759;1;0;1;0;1
"comparer";1;0,436;1;0,148;0,028;0,031;1
"client";1;0,408;1;0,004;0,022;1;0
"proche";1;1;1;0,293;0,005;0;1
"intéresser";1;1;0,491;1;0,012;0;1
"gamin";1;1;1;1;1;1;0
"final";1;0,221;1;0,651;0;1;1
"coût";1;1;1;1;0;1;1
"renseigner";1;1;0,724;1;1;0;1
"date";1;1;1;1;1;1;0
"charger";1;1;0,842;1;0;0;1
"réussir";1;1;1;1;0;0,006;1
"marché";1;0,001;1;1;0;1;1
"jeunesse";0;1;1;1;1;1;1
"commettre";1;1;0;1;1;0,028;1
"imposer";1;1;1;1;0;0;1
"évoluer";1;1;1;1;1;0;0
"emploi";1;1;1;1;0;1;1
"obligatoire";1;1;1;0,705;0;0;1
"massacre";1;1;0;1;1;1;1
"réduire";1;1;1;1;0;0;1
"ridicule";1;1;1;1;0,824;0,274;0
"planète";1;0,408;1;1;0;0;1
"participer";1;1;0,006;1;0;0;1
"beauté";0;1;1;1;1;1;1
"témoignage";0;1;1;1;1;1;1
"militaire";1;1;0;1;0;0;1
"message";1;1;1;1;1;0;1
"limite";1;1;1;0,195;0,007;0;1
"chien";1;0;1;1;1;1;1
"titre";1;1;1;1;0,447;0;1
"souci";1;1;1;1;1;0;1
"horreur";1;0,606;0;1;1;1;0
"choquer";1;1;1;1;1;1;0
"prof";1;1;1;1;1;1;0
"internet";1;0,682;1;0,22;1;1;0
"film";0,044;1;1;1;1;1;0
"disparaître";1;0,605;1;1;0,033;0;1
"émission";0,004;1;1;1;0;1;1
"unir";1;1;0;1;0;0,492;1
"erreur";1;1;1;1;0,021;0;1
"considérer";1;0,023;0,108;1;0,943;0;1
"accueillir";1;1;0;1;0;1;1
"matin";1;0,058;1;0;1;1;1
"fils";0,006;1;1;0,69;1;1;0
"certainement";1;1;1;1;1;0,021;0,001
"téléphone";1;1;1;0;1;1;0
"pleurer";1;1;1;1;1;1;0
"match";1;1;1;1;0;1;0
"justifier";1;1;0;1;0,71;0;1
"italie";1;1;0,427;0,274;0;1;1
"climatique";1;1;1;1;0;0;1
"apporter";1;0,988;1;1;1;0;1
"projet";1;1;1;1;0;0;1
"pensée";0,093;1;1;1;1;0,005;0,409
"monter";1;1;1;0;0,71;0,008;1
"mental";1;1;1;1;0,318;0;1
"maman";0;1;1;1;1;1;0,018
"expression";1;1;1;1;1;0;1
"emji_visage_qui_hurle_de_peur";1;1;1;0,006;1;1;0
"déranger";1;1;0,618;0,417;1;0;1
"calcul";0,271;1;1;1;0;1;1
"retraite";1;1;1;1;0;1;1
"pain";1;0;1;1;1;1;1
"opinion";1;1;1;1;1;0;1
"fête";0;1;1;0,137;1;1;1
"fier";0;1;1;1;1;0,521;1
"emji_visage_souriant";0;1;1;1;1;1;1
"conscience";1;0,594;0,937;1;1;0;1
"attaquer";1;0,05;0;1;1;0;1
"courir";1;1;1;1;1;0,001;0,022
"commun";1;1;1;0,001;0;0;1
"plaire";1;1;1;1;1;0,025;0,004
"finalement";1;0,311;1;1;1;0;1
"course";1;1;1;0;0,708;1;0,125
