attention;0;0;0;1;3;2;1;2;0;0;0;1;1;0;1;0;0;1;0;1;0
60;0;0;0;0;0;0;1;1;1;0;0;0;4;0;1;3;0;2;0;2;1
htag_jeunesse;0;0;0;0;0;0;2;0;1;1;2;0;0;1;0;0;0;1;0;3;0
htag_hiver;0;0;0;0;0;0;1;2;2;1;0;6;2;0;1;0;0;0;0;0;1
htag_femme;0;3;0;0;0;0;0;1;1;0;3;0;3;0;0;0;0;0;0;0;3
elles;1;1;0;0;1;0;0;0;0;1;1;0;3;0;0;1;0;0;0;1;2
3;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;1;2;1;0;2;1
personne;0;1;0;2;0;0;1;1;0;1;1;0;1;0;1;1;2;0;0;2;0
htag_switzerland;1;2;1;1;2;1;0;0;1;0;0;1;0;0;0;0;1;0;2;1;0
htag_enfants;1;0;1;2;0;0;0;1;0;2;1;0;2;0;0;0;0;0;0;0;2
toutes;0;0;0;0;1;0;1;0;0;1;0;2;0;1;0;0;1;1;0;3;0
quelque;0;0;0;0;0;0;0;0;0;2;0;0;2;2;1;0;0;1;0;0;0
non;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;1
htag_voiture;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;3;1;0;1;0
htag_neige;0;0;0;2;0;0;0;2;0;0;0;5;2;0;1;0;0;0;0;0;1
htag_culte;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;2;1;0
htag_christmas;0;0;0;0;0;0;2;0;0;0;0;0;1;0;2;0;1;1;0;0;0
durant;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0
chaque;1;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;1;0;3;0;2
50;1;0;0;0;1;0;1;1;0;0;1;0;0;0;3;1;1;0;0;1;0
2000;3;0;0;0;0;0;0;1;1;1;2;0;0;0;1;0;1;0;1;0;2
20;1;0;0;0;0;0;0;1;0;0;1;0;3;1;1;1;1;1;1;0;1
1972;0;1;0;0;0;0;1;0;1;0;2;0;3;0;1;0;1;0;0;1;2
1968;0;1;0;0;0;1;0;0;0;0;2;0;1;1;1;1;0;1;0;2;0
ni;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0
htag_vaud;0;1;0;0;1;0;0;0;1;3;1;0;0;1;0;0;0;0;1;0;1
htag_seventies;0;0;2;0;0;0;1;0;0;0;1;3;1;0;0;0;0;1;0;0;2
htag_football;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;1;0;1
htag_enfant;1;0;0;0;0;0;0;0;0;1;1;1;5;0;1;0;0;0;0;0;0
htag_ecole;0;0;2;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0
70;0;0;0;0;0;0;1;2;0;1;0;1;0;0;4;0;0;0;0;0;2
2;0;0;0;0;1;0;0;0;1;1;2;0;1;0;0;0;1;0;1;1;0
1987;1;1;0;2;2;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1
1971;0;0;2;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1;0;5;0
1966;0;0;0;2;0;0;1;0;1;0;0;0;0;0;2;0;0;1;1;1;2
parfois;1;2;0;1;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0
me;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
htag_commeunlundi;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;1
dès;0;2;0;0;1;1;0;0;0;0;1;1;0;0;1;0;2;0;0;1;1
cela;1;1;0;1;0;0;2;0;1;0;1;1;0;0;0;0;0;0;1;1;0
beaucoup;0;1;0;1;0;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0
1974;0;1;0;0;0;0;0;1;1;2;0;2;0;0;0;1;0;1;1;1;0
000;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;2;0;1;1
surtout;0;1;1;1;0;0;0;2;0;2;0;3;0;0;0;0;0;0;0;0;0
pendant;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;2;1;0;0;0;2
loin;0;2;0;0;0;1;0;0;1;1;0;0;0;2;0;0;0;0;1;0;0
htag_vieillesse;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;2
htag_valaiswallis;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;1;0;1
