"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21"
"cassette";1;1;1;1;1;1;1;1;1;0,117;1;1;1;1;1;1;0,022;1;1;0,085;0,091
"cacher";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0,034;1
"bureau";1;0,012;1;1;1;1;1;1;1;0,05;0,016;1;1;1;1;1;1;1;1;1;1
"bruit";1;1;1;1;0,11;1;1;1;1;0,117;1;1;1;1;1;1;1;1;0;1;1
"bouteille";1;1;1;1;0,047;0,004;1;1;1;0,05;1;1;1;1;1;1;1;1;1;1;1
"bientôt";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"beurre";1;1;0,003;1;1;1;1;1;1;1;1;1;0,037;1;1;1;0,006;1;1;1;1
"base";1;1;1;1;0,047;1;1;1;0,016;1;1;1;1;1;1;1;1;1;1;0,034;1
"aéroport";0;1;1;1;1;0,004;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"auprès_de";1;1;1;1;0,047;1;1;0,007;1;1;1;1;1;1;1;1;0,006;1;1;1;1
"article";1;1;1;1;1;1;1;1;1;1;0,016;1;0,037;1;1;1;1;1;1;1;0,037
"architecte";1;1;1;1;1;1;1;1;1;0,05;0,016;1;1;1;1;1;1;1;1;0,034;1
"appel";0,052;1;1;0,079;0,11;0,016;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"anzère";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
"angoisse";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"amener";1;1;1;1;1;1;1;1;1;0,117;1;1;0;1;1;1;1;1;1;1;1
"adapter";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,019;1;1;1
"actif";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0,025;1;1
"été";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001;1;1;1;0;1
"éternel";1;1;1;1;0,047;1;1;1;1;0,05;1;0,054;1;1;1;1;1;1;1;1;1
"érotique";1;1;1;1;1;1;1;1;0,016;0;1;1;1;1;1;1;1;1;1;1;1
"élastique";1;1;1;0,031;1;0,004;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,037
"écrivain";1;1;1;1;1;1;1;1;0,016;1;1;1;1;1;1;0,001;0,006;1;1;1;1
"échauffement";1;1;1;1;0,047;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"walkman";1;0,012;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,034;0,037
"véhicule";1;0,012;1;1;1;0,004;1;1;1;1;0,016;1;1;1;1;1;1;1;1;1;1
"visionner";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"vigneron";1;1;1;1;1;1;1;1;1;0,05;1;1;1;1;0;1;1;1;1;1;1
"vertu";1;1;1;1;1;1;1;1;1;0,05;1;1;0,037;1;1;1;1;1;0,025;1;1
"vacancier";0,018;1;1;1;1;1;1;0,007;1;1;1;0,054;1;1;1;1;1;1;1;1;1
"union";1;1;1;1;1;1;1;1;1;1;0,016;1;0;1;1;1;1;1;1;1;1
"tunnel";1;1;1;1;1;0,004;0,043;1;1;1;1;1;1;1;1;1;0,006;1;1;1;1
"tuer";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,037
"traverser";1;1;1;1;1;1;1;1;1;0,05;0,016;1;1;1;1;1;1;0,005;1;1;1
"transporter";1;0,012;1;1;1;1;1;0,007;1;1;1;1;0,037;1;1;1;1;1;1;1;1
"tranche";1;1;1;1;1;1;1;1;1;0,05;1;1;0,037;0,028;1;1;1;1;1;1;1
"tj";1;1;0,003;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
"tirer";1;1;1;1;1;1;1;1;1;0,05;1;1;0,037;0,028;1;1;1;1;1;1;1
"tinder";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0,037
"théâtre";1;1;1;1;1;1;1;1;1;0,05;0,016;1;1;1;1;1;1;1;1;0,034;1
"terminer";0,018;1;1;1;1;0,004;1;1;1;1;0,016;1;1;1;1;1;1;1;1;1;1
"tenue";1;1;1;1;1;1;1;0,007;1;1;1;0,054;0,037;1;1;1;1;1;1;1;1
"tendance";1;1;0,003;1;1;0,004;1;1;1;1;1;1;0,037;1;1;1;1;1;1;1;1
"tarauder";1;1;1;0,031;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"tabou";1;1;1;1;1;1;1;1;0,016;1;1;1;1;1;1;0,001;1;1;1;1;0,037
"séduire";1;1;1;0,031;1;1;1;1;1;1;0,016;1;1;1;1;1;0,006;1;1;1;1
"sympa";1;1;1;1;1;1;1;1;1;1;0,016;1;1;1;0,025;1;0,006;1;1;1;1
"surnommer";1;1;1;0,031;1;1;1;0,007;1;1;1;1;1;1;1;1;0,006;1;1;1;1
"stress";0,018;1;1;1;1;0,004;1;1;1;1;1;1;0,037;1;1;1;1;1;1;1;1
"souffrir";1;1;1;1;1;0,004;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
"solaire";1;1;1;0,031;1;1;1;1;1;1;1;1;1;1;1;1;0,006;1;1;1;0,037
"sensation";1;1;1;0;1;1;1;0,007;1;1;1;1;1;1;1;1;1;1;1;1;1
"secours";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,025;1;0
"salaire";1;0,012;0,003;1;1;1;1;1;1;1;0,016;1;1;1;1;1;1;1;1;1;1
"sain";1;1;1;1;0,047;1;1;1;1;1;1;1;1;0,028;1;1;1;1;1;1;0,037
"roulette";1;0,012;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"risque";1;1;1;1;1;0,004;1;1;1;0,05;0,016;1;1;1;1;1;1;1;1;1;1
"revivre";1;1;1;1;1;1;1;1;1;1;1;1;1;0,028;0,025;1;1;1;0,025;1;1
"revendiquer";1;1;1;1;1;1;1;1;0,016;0,05;1;1;1;1;1;0,001;1;1;1;1;1
"rené";1;1;1;1;1;1;1;1;1;1;0,016;1;0,037;1;1;0,001;1;1;1;1;1
"remplir";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,006;0,005;1;1;0,037
"recevoir";1;1;1;1;1;1;1;1;1;1;1;1;0,037;1;1;1;0,006;1;1;0,034;1
"rare";1;1;1;1;1;0,004;1;1;0,016;1;1;1;1;1;1;1;1;1;1;1;0,037
"ranger";1;0,012;1;1;1;0,004;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,037
"quartier";1;1;1;1;1;1;1;1;1;1;0,016;1;1;0,028;1;1;1;0,005;1;1;1
"pénible";1;1;1;1;1;1;1;1;1;1;1;1;0,037;1;1;0,001;1;0,005;1;1;1
"préparation";1;1;1;1;1;1;1;1;1;1;1;0,054;1;1;1;0,001;0,006;1;1;1;1
"projet";1;1;1;1;1;1;1;1;1;1;1;1;1;0,028;1;1;0,006;1;0,025;1;1
"privé";1;0,012;1;1;1;0,004;1;1;1;1;1;1;1;1;1;1;0,006;1;1;1;1
"principalement";0,018;0,012;1;1;0,047;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"polémique";1;1;1;0,031;1;1;1;1;1;0,05;1;1;0,037;1;1;1;1;1;1;1;1
"policier";1;0,012;1;1;1;1;1;1;1;0,05;1;1;1;1;1;0,001;1;1;1;1;1
"pluie";1;1;1;1;1;1;0;1;1;1;1;0,054;1;1;1;1;1;1;1;1;1
"play";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"planète";1;1;1;1;1;0,004;1;1;0,016;1;1;1;0,037;1;1;1;1;1;1;1;1
"personnel";1;1;1;1;1;1;1;0,007;0;1;1;1;1;1;1;1;1;1;1;1;1
"personnalité";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,025;1;0,006;1;1;0,034;1
"perdre";1;1;1;1;1;1;1;1;1;0,05;0,016;1;1;1;1;1;0,006;1;1;1;1
"patiner";1;0;1;1;1;1;1;1;1;0,05;1;1;1;1;1;1;1;1;1;1;1
"patient";1;1;1;1;1;1;1;1;1;1;1;1;1;0,028;1;1;0,006;1;1;1;0,037
"parcours";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0,037
"paradis";1;1;0,003;1;1;1;1;1;0,016;1;1;1;1;0,028;1;1;1;1;1;1;1
"normal";1;1;1;0,031;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"nocturne";1;1;1;1;1;1;1;1;0,016;1;1;1;1;0,028;1;1;1;1;0,025;1;1
"mouton";1;1;1;1;0;1;1;1;1;1;1;1;1;0,028;1;1;1;1;1;1;1
"moustache";1;1;1;1;1;1;1;1;1;1;0,016;1;1;1;1;0,001;1;1;1;0,034;1
"mosses";1;1;1;1;1;1;1;0,007;1;1;1;0;1;1;1;1;1;1;1;1;1
"moderne";1;1;1;1;1;1;0,043;0,007;1;1;1;1;1;1;1;1;1;0,005;1;1;1
"menacer";1;1;1;1;1;1;1;1;1;0,05;0,016;1;0,037;1;1;1;1;1;1;1;1
"menace";1;0,012;1;1;1;1;1;1;1;1;1;1;0,037;0,028;1;1;1;1;1;1;1
"matière";0;1;0,003;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"légèreté";0,018;0,012;1;1;0,047;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"ligne";1;1;1;1;1;1;1;1;0,016;1;1;1;1;1;1;1;1;1;1;0,034;0,037
"jurassienne";1;0,012;1;1;0,047;1;1;1;1;1;0,016;1;1;1;1;1;1;1;1;1;1
"jurassien";1;1;1;1;0;1;1;1;0,016;1;1;1;1;1;1;1;1;1;1;1;1
"jambon";1;0,012;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"intéresser";1;1;1;1;1;1;1;1;1;0,05;0,016;1;0,037;1;1;1;1;1;1;1;1
"institution";1;1;1;1;0,047;1;1;1;1;1;1;0,054;0,037;1;1;1;1;1;1;1;1
"inspiration";0,018;1;1;0,031;1;1;0,043;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"inscription";1;1;1;1;1;1;1;1;1;1;0,016;1;1;1;1;1;1;1;1;0;1
"information";1;1;1;1;1;1;1;1;1;1;0,016;1;1;1;1;0,001;1;1;1;0,034;1
"infirmier";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,025;1;1;1;1;1;0
"humilité";1;1;1;1;1;1;1;0,007;1;1;1;1;0,037;1;0,025;1;1;1;1;1;1
"humain";1;0,012;1;1;1;1;1;1;0,016;1;1;1;1;0,028;1;1;1;1;1;1;1
"htag_sécurité";1;0,012;1;1;1;1;1;0,007;1;1;1;1;1;1;1;0,001;1;1;1;1;1
"htag_securité";1;1;1;1;1;0;1;1;1;1;1;1;1;0,028;1;1;1;1;1;1;1
"horizon";1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,025;1;1;1;1;1;1
"hall";1;1;1;1;1;1;1;1;1;1;0,016;1;0,037;1;1;1;1;1;0,025;1;1
"habituer";1;1;1;1;0,047;1;1;1;0,016;1;1;1;1;1;1;1;1;1;0,025;1;1
"gêner";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,037
"génie";1;1;1;1;1;1;1;0,007;1;1;1;1;1;0,028;1;1;1;1;1;0,034;1
"guide";1;1;1;1;1;1;0,043;1;1;1;1;1;1;1;1;1;1;0,005;1;0,034;1
"grave";1;1;1;1;1;1;0,043;1;1;1;1;1;0,037;1;1;1;1;0,005;1;1;1
"gentil";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0,005;1;1;1
"gens";1;0,012;1;1;1;1;1;1;1;1;1;1;1;0,028;1;1;1;1;1;0,034;1
"gars";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,005;1;1;1
"félin";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,037
"frère";1;1;1;0,031;1;1;1;1;1;1;1;1;1;1;0,025;1;1;1;1;0,034;1
"foyer";1;1;1;1;1;1;1;1;1;1;1;1;0,037;1;1;1;1;0,005;1;1;0,037
"flamme";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"fil";1;1;1;1;0,047;1;1;1;1;1;1;1;1;0,028;1;1;1;0,005;1;1;1
"etre";1;1;1;0;1;1;1;1;1;1;0,016;1;1;1;1;1;1;1;1;1;1
"estimer";1;0,012;1;0,031;1;1;1;1;1;1;1;1;1;1;1;1;1;0,005;1;1;1
"espoir";1;1;1;1;1;1;1;1;1;1;0,016;1;1;1;1;1;0,006;1;1;0,034;1
"espace";0,018;1;1;1;1;1;1;1;1;1;1;1;1;0,028;1;1;1;1;1;0,034;1
"enquête";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,005;1;0,034;0,037
"engouement";1;1;1;0,031;1;1;1;1;1;1;1;1;1;1;1;1;1;0,005;1;1;0,037
"emploi";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0,001;1;1;1;1;1
"eighties";1;1;1;1;1;0,004;1;1;1;1;1;1;1;1;1;1;0,006;1;1;1;0,037
"dévaler";1;1;1;1;0,047;1;1;1;1;1;1;0,054;1;1;0,025;1;1;1;1;1;1
"détour";1;1;1;1;0,047;0,004;1;1;1;0,05;1;1;1;1;1;1;1;1;1;1;1
"désormais";1;0,012;1;1;1;1;1;1;1;0,05;1;1;1;1;1;1;1;1;0,025;1;1
"déferler";1;1;1;1;1;1;1;1;1;0,05;1;1;1;1;1;1;1;1;0,025;1;0,037
"décider";1;0,012;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"débarquer";1;1;1;1;0,047;1;1;1;1;1;1;1;1;1;1;1;0,006;1;1;0,034;1
"docteur";1;1;1;1;1;1;1;0,007;1;1;1;1;1;1;0,025;1;1;1;1;1;0,037
"disparaître";0,018;1;1;1;0,047;1;1;1;1;1;1;1;1;1;1;1;1;1;0,025;1;1
"diligence";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
"difficulté";1;1;1;1;1;1;1;1;1;1;0,016;0,054;0,037;1;1;1;1;1;1;1;1
"dessiner";1;1;1;1;1;1;1;1;1;1;1;1;1;0,028;0,025;1;0,006;1;1;1;1
"dessin";1;1;1;1;1;1;1;1;1;1;0,016;1;0,037;1;1;1;0,006;1;1;1;1
"cycle";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"cuit";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,006;1;1;1;1
"cuire";1;1;1;1;1;1;1;1;1;0,05;1;1;1;1;1;1;0,006;1;1;1;0,037
"croiser";0,018;1;1;1;0,047;1;1;1;1;1;1;1;0,037;1;1;1;1;1;1;1;1
"corvée";1;1;1;1;1;1;0,043;0,007;1;1;1;1;1;1;1;1;1;1;1;1;0,037
"convivialité";1;0,012;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"convaincre";1;1;1;1;1;1;1;0,007;1;1;1;1;1;1;1;1;0,006;1;0,025;1;1
"consommateur";0,018;1;1;1;1;1;1;1;1;0,05;1;1;1;1;1;1;1;1;1;1;0,037
"conscience";0,018;1;0,003;1;1;0,004;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"conquérir";1;1;1;1;1;1;1;1;1;1;0,016;1;0,037;1;1;1;0,006;1;1;1;1
"conjugal";1;1;1;1;1;1;1;1;1;1;0,016;1;0;1;1;1;1;1;1;1;1
"cointrin";0;1;1;1;1;0,004;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"code";1;1;1;1;1;1;1;1;1;1;0,016;0,054;0,037;1;1;1;1;1;1;1;1
"cliché";1;1;1;0,031;0,047;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,037
"cheval";1;1;1;0,031;1;1;1;1;0,016;1;1;1;1;1;0,025;1;1;1;1;1;1
"chauffer";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,025;1;1
"chasseur";1;1;1;1;0,047;1;0,043;1;1;0,05;1;1;1;1;1;1;1;1;1;1;1
"chasser";0;1;1;1;1;1;1;1;1;1;1;1;1;0,028;1;1;1;1;1;1;1
"centimètre";1;1;1;0;1;1;1;1;1;1;1;0,054;1;1;1;1;1;1;1;1;1
"catherine";1;1;1;1;1;1;0,043;1;1;1;1;1;1;1;1;1;1;1;1;0,034;0,037
"casser";1;1;1;1;1;1;1;1;1;0,05;1;1;1;1;0,025;1;1;1;1;1;0,037
"caractère";0,018;1;1;1;0,047;1;1;1;1;1;1;1;1;1;1;1;1;1;0,025;1;1
"capitaine";1;1;1;0,031;1;1;1;1;1;1;1;1;1;1;1;1;0,006;1;1;0,034;1
"canon";1;1;1;1;0,047;1;1;1;1;1;0,016;1;1;1;1;1;1;1;1;1;0,037
"camarade";1;0,012;1;1;1;1;1;1;1;1;1;1;0,037;0,028;1;1;1;1;1;1;1
"bricoler";1;1;1;1;1;1;1;1;1;0,05;1;1;0,037;1;1;1;1;0,005;1;1;1
"boucle";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,006;1;1;1;1
"boisson";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,005;1;0,034;0,037
"bateau";1;1;1;1;1;1;0,043;1;1;1;0,016;1;1;1;1;1;0,006;1;1;1;1
"baigner";1;1;1;1;1;1;0,043;1;1;1;1;1;1;1;1;0,001;1;1;1;1;0,037
"aérien";1;0,012;1;1;0,047;1;1;1;1;1;0,016;1;1;1;1;1;1;1;1;1;1
"avenir";1;1;1;1;1;1;1;0,007;1;0,05;0,016;1;1;1;1;1;1;1;1;1;1
"atterrissage";0,018;1;1;1;1;1;1;1;1;1;1;0,054;1;1;1;1;1;1;1;0,034;1
"attacher";1;1;1;1;1;0,004;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"association";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,034;1
"armailli";1;1;1;1;0;1;1;1;1;1;1;1;1;1;0,025;1;1;1;1;1;1
"approcher";1;1;1;1;0,047;1;1;1;1;1;1;1;1;1;1;0,001;1;1;1;0,034;1
"apprenti";1;1;1;1;1;1;1;1;1;1;1;1;0,037;1;1;1;1;1;1;0;1
"anthologie";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,025;1;1;1;0;1;1
"animateur";1;1;1;1;1;1;1;1;0,016;1;1;1;0,037;1;1;0,001;1;1;1;1;1
"alarme";1;1;1;1;1;1;1;1;1;0,05;1;1;1;0,028;1;1;1;1;1;0,034;1
"aguerri";1;1;1;1;0,047;1;0,043;1;1;1;1;1;1;1;1;1;1;1;0,025;1;1
"affectueux";1;1;0,003;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"actuel";0,018;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"accro";1;1;1;1;1;1;0,043;1;1;1;1;1;1;1;0,025;0,001;1;1;1;1;1
"accident";1;1;1;0,031;1;0,004;1;1;1;1;1;1;1;1;1;1;1;0,005;1;1;1
"*rts_a";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_1000";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_1700";0,101;1;1;1;0,188;1;1;1;1;0,198;1;1;0,161;1;1;1;0,05;1;1;1;1
"*postComments_22";0,031;1;1;0,577;1;1;0,651;1;1;0,096;0,458;0,703;0,614;0,558;1;1;1;1;1;0,596;1
"*postReposts_12";0,018;1;1;1;1;1;1;1;1;0,05;1;0,054;1;1;1;1;1;1;1;1;1
"*postDate_31-12-2025";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*commentDate_";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*commentLikes_";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*lang_fr";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"-*rts_a_description";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0999";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_2700";1;1;1;1;1;0,039;1;1;0;1;1;1;1;0,134;1;0,02;1;1;1;1;1
"*postComments_35";1;1;0,096;1;1;0,108;0,344;1;0,209;1;1;1;1;1;0,263;1;0,132;1;1;0,303;1
"*postReposts_131";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_29-12-2025";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0998";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"*postLikes_3000";1;0,038;1;1;1;1;1;1;1;0,117;1;1;0,091;1;0,068;1;1;1;1;1;1
"*postComments_94";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"*postReposts_68";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"*postDate_28-12-2025";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"*a_0997";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_382";1;1;1;1;0,047;1;0,043;1;1;1;1;0,054;1;1;1;1;1;1;1;1;1
"*postComments_9";0,135;1;0,254;0,039;0,843;1;0,816;0,372;0,524;0,342;1;0,896;1;1;1;1;1;1;1;0,24;1
"*postReposts_1";0,133;0,352;1;1;1;1;0,757;1;0,959;0,38;0,959;0,855;1;1;1;1;1;0,033;0,19;0,067;0,69
"*postDate_26-12-2025";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0996";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"*postLikes_2600";1;1;1;1;1;1;0,579;0,301;1;1;0,397;1;0,047;0,034;0,472;0,166;1;1;0,472;1;1
"*postComments_70";0,018;1;1;1;1;1;1;1;0,016;1;1;1;0,037;1;1;1;1;1;1;1;1
"*postReposts_42";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"*postDate_24-12-2025";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"*a_0995";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*postLikes_431";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*postReposts_9";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
"*postDate_22-12-2025";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*a_0994";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_3300";1;1;1;1;1;1;0;1;0,016;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_155";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postReposts_40";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_21-12-2025";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0993";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*postLikes_320";1;1;1;1;1;1;1;1;1;1;1;1;1;0,004;1;1;1;1;1;0,006;1
"*postDate_19-12-2025";1;1;1;1;1;1;0,008;1;1;1;1;1;1;1;1;1;1;1;1;0,006;1
"*a_0992";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_874";0,018;1;1;1;1;1;0,043;1;0,016;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_16";1;1;1;1;0,026;0,171;0,607;0,236;1;1;0,356;0,68;1;0,481;0,456;1;0,891;1;1;1;1
"*postReposts_7";1;1;1;1;1;1;0,008;1;1;0,01;1;1;1;1;1;1;1;1;1;1;1
"*a_0991";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postLikes_43200";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postComments_136";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postReposts_816";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postDate_17-12-2025";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*a_0990";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_71200";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_372";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postReposts_1700";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_15-12-2025";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0989";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"*postLikes_17200";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"*postComments_45";1;1;1;0,079;0,11;1;1;1;1;1;0,047;1;0,091;1;1;1;1;1;1;1;1
"*postReposts_362";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"*postDate_14-12-2025";1;1;1;1;1;1;1;1;1;1;0,002;1;1;1;1;1;1;1;1;0,006;1
"*a_0988";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*postLikes_10200";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*postComments_142";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*postReposts_167";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*a_0987";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_6200";1;1;1;1;1;1;1;1;1;1;0,002;1;1;0,004;1;1;1;1;1;1;1
"*postComments_46";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postReposts_92";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_13-12-2025";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0986";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*postLikes_8900";1;1;1;0,005;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,006;1
"*postComments_134";1;1;1;1;1;1;1;1;1;1;1;1;0,006;1;1;1;1;1;1;0,006;1
"*postReposts_114";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*postDate_12-12-2025";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"*a_0985";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_538";1;1;1;0,031;1;0,004;1;1;0,016;1;1;1;1;1;1;1;1;1;1;1;1
"*postReposts_6";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
