"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21"
"fin";5,002;-0,905;-0,687;-1,16;0,569;2,776;-1,29;0,082;11,526;0,518;-0,968;-0,061;0,745;-1,128;0;-0,595;-0,78;0,135;-1,096;-0,009;-1,225
"âge";-0,795;-0,72;-0,546;1,662;-1,052;-0,571;0,004;33,824;-0,77;0;-0,77;-1,104;0,012;-0,897;-0,872;-0,473;0,314;-0,596;13,562;0,019;-0,974
"vacance";22,744;-0,537;1,017;-0,688;-0,785;0,923;-0,765;-0,481;4,213;0,098;-0,574;2,207;-0,727;-0,669;0,273;-0,353;-0,463;-0,444;-0,65;-0,707;-0,727
"journée";0;-0,999;-0,758;-1,28;-1,459;-0,792;-1,423;-0,895;-1,068;0,332;88,732;-0,121;-1,351;-1,244;-1,209;-0,656;-0,86;-0,826;33,869;-1,316;-0,049
"ski";-1;-0,905;-0,687;-1,16;-1,323;-0,718;-0,03;-0,811;-0,968;-1,355;-0,968;215,155;-1,225;-0,002;-1,096;-0,595;-0,78;-0,749;-1,096;-1,192;-0,015
"public";-1,207;-1,093;-0,829;-1,4;-1,596;-0,866;9,98;0,01;-1,169;-0,174;0,853;-1,676;0,345;-1,361;-1,323;-0,718;32,173;0,031;-1,323;18,283;-1,478
"jean";0,502;-0,491;-0,373;-0,63;-0,718;-0,39;-0,7;-0,44;0,55;0,163;-0,526;-0,754;-0,665;0,344;37,983;-0,323;-0,423;-0,407;-0,595;3,483;-0,665
"découvrir";-1,052;0,016;-0,722;-0,014;0,463;-0,755;-1,356;0,056;-1,018;-0,075;0,004;-0,089;-1,288;-0,008;-1,152;-0,625;-0,82;-0,787;-0,004;91,941;-1,288
"vivre";0,097;0,168;-0,546;-0,923;-1,052;0,417;0,004;0,271;2,444;-1,078;0,118;-1,104;-0,974;6,103;6,394;0,71;-0,62;-0,596;-0,872;-0,949;0,012
"vaudois";-0,745;0,228;-0,512;-0,864;-0,985;-0,535;-0,961;-0,604;-0,721;19,486;-0,721;-1,034;0,032;2,059;7,128;0,835;0,396;0,45;-0,816;-0,888;-0,912
"mode";-0,004;-1,046;26,047;-1,34;-1,528;-0,829;0,335;1,566;-1,118;-1,566;-1,118;0,227;-1,415;-1,303;-1,266;0,206;-0,901;-0,865;-1,266;-0,059;50,342
"connaître";-0,898;0,082;10,665;0,002;-1,187;-0,644;-1,158;0,157;0,048;3,503;0,048;-0,018;0;-1,012;5,186;-0,534;0,19;-0,672;-0,983;-1,07;0
"école";-0,795;-0,72;-0,546;-0,923;-1,052;0,417;-1,026;-0,645;0,118;-1,078;0,118;4,271;44,885;-0,897;0,049;-0,473;-0,62;-0,596;-0,872;-0,949;1,462
"voiture";-0,593;-0,537;1,017;-0,688;-0,785;0,923;-0,765;-0,481;0,419;0,098;-0,574;-0,823;-0,727;-0,669;-0,65;-0,353;50,134;0,838;-0,65;2,951;-0,727
