"";"";"";"";"htag_suisse";""
"221";"faire";"0.509430766184029";"-0.146520894325138";"0.810705991782628";"450"
"222";"htag_rtsxarchives";"0.209043854529848";"0.0602284334055441";"0.810584024787636";"451"
"223";"htag_rtsarchives";"0.387547868239064";"-0.0189791270456949";"0.810008069533507";"452"
"224";"1977";"0.451913065225188";"-0.20779981203702";"0.809642168548531";"453"
"225";"htag_invention";"0.464968769772835";"-0.32449137320436";"0.809642168548531";"454"
"226";"htag_paysan";"0.312800402365068";"-0.350131579746575";"0.809012005741073";"455"
"227";"beaucoup";"-0.137276517755834";"-0.8949205697213";"0.808761295806923";"456"
"228";"durant";"-0.283905970326041";"0.830831791264407";"0.808761295806923";"457"
"229";"1974";"0.264850498591978";"-0.265309678743232";"0.808713864197759";"458"
"230";"1975";"0.190777903068432";"0.751302711874873";"0.808131132999464";"459"
"231";"ses";"0.217146887035216";"0.227481937969401";"0.808117581111132";"460"
"232";"aux";"0.493551686156817";"0.0269188288726994";"0.807609385298665";"461"
"233";"donc";"0.874730342019775";"0.326354206412797";"0.807426434806177";"462"
"234";"vouloir";"0.638084145300367";"-0.338119111298929";"0.806653977171228";"463"
"235";"quand";"0.284528541608417";"-0.022618206957204";"0.805908623312944";"464"
"236";"non";"0.785326127641168";"-0.528983528787901";"0.804973543018006";"466"
"237";"croire";"1.06372988945988";"-0.79214562025593";"0.804058790555566";"467"
"238";"monsieur";"0.452870790490702";"0.0684241053852332";"0.803855512230579";"469"
"239";"aussi";"0.193754179982059";"0.122804597533137";"0.803645457961426";"470"
"240";"htag_insolite";"0.588991513570584";"0.00781150893460815";"0.80141617233074";"471"
"241";"htag_innovation";"0.471661848134723";"-0.332990771243959";"0.800853768964944";"472"
"242";"1999";"0.308105362717121";"0.120426330887334";"0.8";"473"
