o;1;2;1;2;1;1;0;0;3;1;0;2;1;0;0;1;3;3;1
anti;1;1;5;0;0;0;0;2;0;4;2;2;0;1;0;1;2;4;0
200;1;1;0;0;1;1;0;3;1;1;1;0;0;0;1;0;2;11;0
1987;0;0;0;0;0;3;0;0;0;2;6;0;2;3;2;1;0;3;0
pseudo;3;0;1;0;0;1;0;0;5;2;1;2;0;0;0;0;1;3;3
ho;1;1;0;1;1;2;0;1;0;2;5;1;0;0;1;1;0;1;1
concernant;6;0;1;0;0;0;0;0;6;3;3;0;0;0;0;0;2;1;1
950;0;0;1;0;0;0;1;6;0;3;1;0;0;0;3;1;1;4;1
45;0;3;0;0;0;0;0;0;5;4;1;3;0;0;3;0;3;1;0
300;0;0;0;0;0;0;0;1;2;3;1;1;1;0;0;2;1;8;0
voici;1;0;1;0;0;0;0;0;3;5;1;4;1;0;0;1;0;1;2
via;2;0;0;0;0;1;0;0;3;2;1;2;3;0;0;0;0;4;0
v;0;1;0;0;0;0;0;2;6;2;2;3;0;0;1;1;1;2;0
g;2;1;0;0;1;0;0;5;2;0;0;1;0;0;1;0;0;4;0
98;0;5;0;1;0;3;0;1;4;0;2;0;0;0;0;0;0;0;1
2006;0;0;2;0;0;0;0;0;3;0;3;0;0;0;1;3;0;7;0
18;1;1;1;0;0;1;0;1;1;0;1;2;0;0;0;0;3;6;1
septante;0;1;0;0;0;2;0;8;0;0;0;1;1;1;1;0;1;3;1
quatre;0;2;0;0;0;1;1;4;1;1;3;2;0;0;0;1;0;4;0
neuf;2;0;0;0;0;1;0;1;0;1;3;1;0;0;2;0;1;9;0
dessous;2;2;1;1;0;1;0;0;4;4;0;1;0;0;1;0;1;2;0
b;1;2;0;2;0;0;0;0;0;2;3;1;1;0;0;3;2;1;2
