"";"V1"
"1347";8
"1348";6
"1349";0
"1350";6
"1351";16
"1352";8
"1353";4
"1354";16
"1355";16
"1356";12
"1357";16
"1358";15
"1359";8
"1360";16
"1361";19
"1362";0
"1363";2
"1364";6
"1365";6
"1366";16
"1367";6
"1368";8
"1369";6
"1370";16
"1371";7
"1372";6
"1373";15
"1374";16
"1375";6
"1376";19
"1377";10
"1378";10
"1379";18
"1380";16
"1381";11
"1382";12
"1383";0
"1384";11
"1385";12
"1386";18
"1387";0
"1388";0
"1389";0
"1390";18
"1391";0
"1392";11
"1393";11
"1394";0
"1395";11
"1396";0
"1397";17
"1398";12
"1399";3
"1400";18
"1401";9
"1402";9
"1403";17
"1404";10
"1405";12
"1406";16
"1407";12
"1408";6
"1409";18
"1410";19
"1411";8
"1412";18
"1413";9
"1414";0
"1415";16
"1416";8
"1417";18
"1418";10
"1419";6
"1420";18
"1421";16
"1422";10
"1423";9
"1424";10
"1425";3
"1426";6
"1427";19
"1428";16
"1429";10
"1430";13
"1431";13
"1432";17
"1433";0
"1434";0
"1435";6
"1436";0
"1437";8
"1438";0
"1439";6
"1440";6
"1441";16
"1442";1
"1443";16
"1444";9
"1445";13
"1446";3
"1447";12
"1448";0
"1449";0
"1450";6
"1451";9
"1452";19
"1453";6
"1454";12
"1455";19
"1456";19
"1457";6
"1458";1
"1459";16
"1460";0
"1461";8
"1462";6
"1463";16
"1464";6
"1465";19
"1466";9
"1467";10
"1468";12
"1469";19
"1470";14
"1471";12
"1472";19
"1473";12
"1474";12
"1475";10
"1476";11
"1477";11
"1478";19
"1479";19
"1480";7
"1481";16
"1482";18
"1483";15
"1484";0
"1485";9
"1486";16
"1487";10
"1488";10
"1489";9
"1490";9
"1491";10
"1492";10
"1493";18
"1494";10
"1495";19
"1496";19
"1497";10
"1498";6
"1499";0
"1500";10
"1501";0
"1502";8
"1503";16
"1504";9
"1505";16
"1506";16
"1507";9
"1508";16
"1509";16
"1510";16
"1511";16
"1512";9
"1513";0
"1514";16
"1515";16
"1516";5
"1517";5
"1518";0
"1519";6
"1520";6
"1521";17
"1522";6
"1523";8
"1524";18
"1525";13
"1526";6
"1527";6
"1528";1
"1529";0
"1530";0
"1531";14
"1532";6
"1533";16
"1534";16
"1535";11
