naturel;22;1;1;0;0;0;1;1;10;50;6;7;0;0;0;1;4;3;39
emji_visage_très_souriant_aux_yeux_rieurs;6;8;1;4;22;17;1;8;7;3;12;6;2;0;3;2;1;21;8
foutre;10;2;4;0;0;1;0;3;6;5;9;5;1;1;4;23;5;69;2
essayer;7;4;3;3;0;0;0;0;21;37;10;6;2;1;3;5;2;46;0
emji_visage_souriant;1;4;0;3;1;29;2;12;3;3;9;35;2;1;6;3;7;13;5
intéressant;2;0;1;0;0;7;0;1;61;11;12;11;1;0;1;0;6;17;17
battre;7;2;25;1;0;0;2;5;7;37;14;7;1;0;2;4;14;9;1
éducation;5;0;3;3;0;1;0;0;15;39;62;11;0;0;0;1;0;1;4
tuer;78;1;2;0;0;2;0;1;3;11;9;17;0;0;2;8;1;7;1
seulement;8;5;3;7;0;3;3;6;15;32;17;17;1;0;3;3;1;19;4
imaginer;7;1;6;6;0;1;0;8;10;10;28;25;0;0;4;9;6;25;2
gamin;2;10;7;1;0;5;1;1;9;6;65;9;2;0;3;6;4;14;4
continuer;13;5;6;1;0;6;0;0;8;27;13;26;0;0;1;4;7;25;5
faux;9;4;4;1;0;2;0;4;80;20;1;3;1;1;6;4;2;7;1
commencer;8;6;2;1;1;2;0;1;17;12;11;14;1;1;2;4;8;53;1
élève;1;24;1;0;0;0;0;0;23;13;44;12;0;0;0;1;2;9;4
terre;25;0;1;0;0;2;2;0;6;61;2;10;0;0;2;2;5;19;6
main;9;8;0;31;0;1;0;1;4;7;8;9;0;1;1;10;2;46;2
lieu;13;1;2;6;0;0;2;1;14;23;4;12;6;0;0;0;8;50;0
chance;4;2;3;1;0;6;1;2;2;6;46;25;0;0;0;1;4;16;24
tomber;11;12;2;1;1;5;1;3;9;27;18;15;0;0;3;2;5;28;2
jeunesse;3;5;1;0;0;29;0;1;9;5;57;9;0;4;1;4;2;13;0
reconnaître;2;1;5;0;0;4;0;9;9;10;3;10;1;0;11;5;4;61;6
peur;15;3;3;0;0;1;1;0;9;17;25;33;0;0;5;3;0;24;1
italien;1;0;0;69;0;0;1;12;3;3;2;1;0;7;4;15;2;6;6
image;1;3;2;0;0;6;1;0;23;9;32;9;3;0;2;1;10;19;17
guerre;5;1;1;0;0;1;0;3;10;18;20;23;1;1;0;4;31;7;0
prof;2;12;7;1;0;2;0;0;7;5;61;8;0;1;1;4;3;16;0
emji_visage_boudeur;39;2;1;1;0;1;4;1;2;2;1;2;0;1;2;0;1;12;1
emji_ok;4;0;0;2;1;72;0;0;3;3;7;6;0;1;5;3;1;5;20
emji_notes_de_musique;0;0;0;1;0;63;0;0;0;0;0;0;0;0;0;2;0;7;6
raciste;0;0;91;0;0;0;0;0;15;11;2;3;0;2;0;0;1;3;0
drôle;3;2;1;0;1;2;0;4;15;11;13;6;1;2;6;60;1;8;2
rapport;10;1;10;3;0;0;0;4;59;17;6;2;1;1;1;4;8;9;2
envie;7;3;2;2;0;1;2;0;7;10;6;67;0;1;5;7;5;10;2
revoir;2;3;2;0;1;23;2;2;7;10;18;11;1;1;1;6;5;14;29
créer;17;3;5;1;0;5;0;2;13;51;3;3;1;0;3;3;5;17;3
actuel;2;4;2;2;0;1;0;3;23;20;43;16;1;0;0;4;8;8;2
froid;6;1;0;1;0;7;88;2;3;6;2;2;1;0;1;4;1;8;3
âme;7;1;0;0;0;0;1;0;8;9;5;12;0;0;2;0;0;9;83
franc;8;1;0;0;0;1;1;59;10;4;7;5;1;0;0;3;9;12;2
métier;4;0;3;0;0;0;0;0;10;27;6;41;1;1;1;1;3;24;5
effectivement;5;3;1;2;0;1;1;6;16;21;23;17;0;1;4;5;9;19;2
montrer;3;3;3;1;0;3;0;2;11;28;40;7;0;2;1;3;1;26;2
gars;5;0;3;2;0;2;0;2;16;8;30;0;4;3;2;27;2;20;4
voix;3;2;0;0;1;7;0;1;11;1;7;34;1;3;26;2;1;3;28
argent;9;1;3;2;0;0;0;0;7;9;7;13;0;2;0;3;47;27;3
absolument;7;1;4;1;0;8;0;1;4;62;5;9;0;0;3;5;3;9;11
top;1;3;0;11;0;41;0;3;3;5;10;5;2;0;8;13;4;21;0
social;3;4;2;0;0;2;0;0;10;53;27;11;0;0;0;0;6;11;3
haut;0;9;3;2;0;3;1;18;18;12;7;6;1;0;3;6;5;31;1
emji_mains_en_prière_peau_claire;1;0;0;1;2;19;0;0;5;7;4;6;3;1;0;0;1;3;62
possible;9;6;1;1;0;0;1;3;12;10;12;18;5;0;2;3;6;36;1
langue;0;3;5;3;0;3;0;15;37;14;6;9;0;0;4;6;3;4;3
porter;4;3;3;1;0;0;3;0;4;6;11;53;0;4;3;4;7;13;1
faute;3;5;1;1;0;0;0;0;32;66;4;4;0;0;0;2;2;7;0
rue;19;1;1;3;0;2;0;3;3;0;7;5;1;0;3;5;6;62;0
