"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"44";3;4;7;9;9;12;15;17;18;21;23;23;27;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;77;77;77;77;77;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117
"45";3;4;7;9;9;12;15;17;18;21;23;23;27;29;29;32;32;37;37;37;43;44;46;46;46;53;53;53;53;53;62;62;62;62;62;62;62;62;62;81;81;81;81;81;91;91;91;91;91;91;91;91;107;107;107;107;107;107;107;120;120;125;125;125;125;125;125;125;125;125;125;125;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146
"46";3;4;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;39;39;39;39;39;39;39;39;55;55;55;55;55;65;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;129;129;132;132;132;132;141;141;141;141;149;149;149;149;149;149;149;149;149;149;149;149;173;173;173;173;173;173;173;173;173;173;173;173;173;173
"47";3;4;7;9;9;12;15;17;18;21;23;23;27;29;29;32;32;37;37;37;43;44;46;46;46;53;53;53;53;53;62;62;62;62;62;62;62;62;62;81;81;81;81;81;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90
"48";3;4;7;9;9;12;15;17;18;21;23;23;27;29;29;32;32;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;112;112;112;112;112;123;123;126;126;126;126;126;126;126;126;126;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;192;192;192;192
"49";3;4;7;9;9;12;15;17;18;21;23;23;27;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;77;77;77;77;77;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;160;160;160;160;160;160;160;160;160;160;160;182;182;182;182;182;182;182;182;182
"50";3;4;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;39;39;39;39;39;39;39;39;55;55;55;55;55;65;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;129;129;132;132;132;132;141;141;141;141;149;149;149;149;149;149;149;149;149;149;149;149;173;173;173;173;173;173;173;173;173;173;173;173;173;173
"51";3;4;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;39;39;39;39;39;39;39;39;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54
"52";3;4;7;9;9;12;15;17;18;21;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;57;57;60;60;60;60;60;60;60;60;60;60;60;60;85;85;85;85;85;85;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;188;188;188;188;188;188
"53";3;4;7;9;9;12;15;17;18;21;23;23;27;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;77;77;77;77;77;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117
