"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29";"classe 30";"classe 31";"classe 32";"classe 33";"classe 34";"classe 35";"classe 36";"classe 37";"classe 38";"classe 39";"classe 40";"classe 41";"classe 42";"classe 43";"classe 44";"classe 45";"classe 46";"classe 47";"classe 48";"classe 49";"classe 50";"classe 51";"classe 52";"classe 53"
"réunion";-0,115;-0,12;-0,136;6,399;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;-0,179;-0,163;-0,157;3,575;-0,173;-0,168;-0,2;-0,104;-0,141;-0,136;-0,173;-0,206;-0,163;-0,189;-0,168;-0,147;-0,136;-0,173;-0,141;-0,163;-0,125;-0,163;-0,173;-0,104;-0,136;-0,131;-0,222;-0,131;-0,131;21,14;-0,152;-0,104;-0,115;-0,136;-0,195;39,396;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;3,44
"réparation";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;-0,179;-0,163;-0,157;-0,195;4,203;-0,168;-0,2;-0,104;-0,141;5,777;-0,173;3,311;-0,163;3,719;4,385;-0,147;-0,136;-0,173;-0,141;-0,163;-0,125;21,929;-0,173;-0,104;5,777;-0,131;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;-0,115;-0,136;-0,195;-0,211;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"régulièrement";-0,1;-0,105;-0,119;-0,11;-0,128;-0,1;-0,119;-0,091;-0,119;-0,17;-0,156;-0,142;-0,138;-0,17;-0,152;-0,147;-0,175;-0,091;-0,124;-0,119;-0,152;-0,18;-0,142;-0,166;-0,147;-0,128;-0,119;-0,152;6,538;-0,142;7,566;-0,142;-0,152;-0,091;-0,119;-0,114;-0,194;-0,114;-0,114;5,256;-0,133;-0,091;-0,1;-0,119;-0,17;-0,185;-0,152;-0,189;23,04;-0,128;-0,128;-0,124;20,27
"régulier";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;4,032;-0,163;-0,157;-0,195;-0,173;-0,168;-0,2;-0,104;-0,141;-0,136;20,398;-0,206;4,579;-0,189;-0,168;-0,147;-0,136;-0,173;-0,141;-0,163;-0,125;-0,163;-0,173;-0,104;-0,136;6,076;-0,222;-0,131;-0,131;4,385;-0,152;-0,104;-0,115;-0,136;-0,195;3,19;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;3,44
"rural";-0,086;-0,09;-0,102;-0,094;-0,11;-0,086;-0,102;-0,078;-0,102;-0,146;-0,134;-0,122;-0,118;-0,146;6,179;-0,126;-0,15;-0,078;-0,106;-0,102;-0,13;-0,154;-0,122;-0,142;-0,126;-0,11;-0,102;6,179;-0,106;-0,122;-0,094;-0,122;-0,13;-0,078;-0,102;-0,098;-0,166;-0,098;-0,098;-0,126;-0,114;-0,078;10,113;-0,102;25,007;-0,158;-0,13;-0,162;5,949;-0,11;-0,11;-0,106;-0,15
"ruetschi";-0,129;-0,135;-0,153;-0,141;-0,165;-0,129;-0,153;-0,117;-0,153;-0,219;17,108;-0,183;-0,177;-0,219;-0,195;-0,189;-0,225;-0,117;-0,159;4,944;-0,195;2,765;-0,183;-0,213;-0,189;-0,165;-0,153;-0,195;-0,159;-0,183;-0,141;19,087;-0,195;-0,117;-0,153;-0,147;-0,25;-0,147;-0,147;-0,189;-0,171;-0,117;6,147;-0,153;-0,219;-0,238;-0,195;-0,244;17,108;-0,165;-0,165;-0,159;-0,225
"roman";-0,1;-0,105;-0,119;-0,11;-0,128;-0,1;6,854;-0,091;-0,119;-0,17;-0,156;-0,142;-0,138;-0,17;-0,152;-0,147;-0,175;-0,091;-0,124;-0,119;5,047;4,021;-0,142;-0,166;-0,147;-0,128;-0,119;-0,152;-0,124;-0,142;-0,11;5,479;-0,152;9,423;-0,119;-0,114;-0,194;-0,114;-0,114;-0,147;-0,133;-0,091;-0,1;-0,119;-0,17;-0,185;-0,152;-0,189;-0,156;-0,128;28,683;-0,124;-0,175
"rive";-0,072;-0,075;-0,085;-0,078;-0,091;-0,072;10,318;-0,065;-0,085;-0,122;-0,111;-0,101;-0,098;-0,122;7,773;-0,105;-0,125;-0,065;-0,088;-0,085;-0,108;-0,128;-0,101;-0,118;-0,105;-0,091;-0,085;-0,108;-0,088;-0,101;-0,078;-0,101;7,773;-0,065;10,318;10,799;-0,138;-0,081;-0,081;-0,105;-0,095;-0,065;-0,072;-0,085;-0,122;-0,132;-0,108;-0,135;-0,111;-0,091;-0,091;-0,088;-0,125
"retrait";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;-0,179;-0,163;-0,157;3,575;-0,173;-0,168;-0,2;-0,104;-0,141;-0,136;4,203;-0,206;-0,163;-0,189;-0,168;-0,147;5,777;4,203;5,501;-0,163;-0,125;-0,163;4,203;-0,104;-0,136;-0,131;-0,222;-0,131;-0,131;21,14;-0,152;-0,104;-0,115;-0,136;-0,195;-0,211;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"restauration";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;-0,179;-0,163;-0,157;-0,195;89,288;-0,168;-0,2;-0,104;-0,141;-0,136;-0,173;-0,206;-0,163;-0,189;-0,168;-0,147;-0,136;-0,173;5,501;-0,163;-0,125;-0,163;-0,173;-0,104;-0,136;6,076;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;-0,115;-0,136;-0,195;-0,211;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;17,279
"respectivement";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;35,842;-0,136;-0,195;4,032;-0,163;-0,157;-0,195;-0,173;-0,168;-0,2;-0,104;-0,141;-0,136;-0,173;-0,206;-0,163;-0,189;-0,168;-0,147;63,174;4,203;-0,141;-0,163;-0,125;-0,163;-0,173;-0,104;-0,136;6,076;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;-0,115;-0,136;-0,195;-0,211;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"respect";-0,086;-0,09;-0,102;-0,094;-0,11;-0,086;-0,102;-0,078;-0,102;5,333;-0,134;-0,122;-0,118;-0,146;-0,13;-0,126;-0,15;-0,078;-0,106;-0,102;-0,13;-0,154;6,685;-0,142;-0,126;-0,11;-0,102;-0,13;-0,106;6,685;-0,094;-0,122;-0,13;-0,078;-0,102;8,694;-0,166;-0,098;-0,098;-0,126;-0,114;-0,078;44,268;-0,102;-0,146;-0,158;-0,13;-0,162;-0,134;-0,11;-0,11;-0,106;-0,15
"requin";-0,043;-0,045;-0,051;-0,047;-0,055;-0,043;-0,051;-0,039;-0,051;-0,073;-0,067;-0,061;-0,059;-0,073;-0,065;-0,063;-0,075;-0,039;-0,053;-0,051;-0,065;-0,077;-0,061;12,871;-0,063;-0,055;-0,051;-0,065;-0,053;-0,061;-0,047;-0,061;-0,065;-0,039;-0,051;-0,049;-0,083;19,245;-0,049;-0,063;-0,057;-0,039;-0,043;-0,051;-0,073;-0,079;-0,065;-0,081;13,723;-0,055;-0,055;-0,053;-0,075
"religieux";-0,1;-0,105;-0,119;-0,11;28,683;-0,1;-0,119;-0,091;-0,119;-0,17;-0,156;-0,142;-0,138;-0,17;-0,152;-0,147;4,169;-0,091;-0,124;-0,119;-0,152;-0,18;-0,142;-0,166;-0,147;-0,128;6,854;-0,152;6,538;-0,142;7,566;-0,142;-0,152;-0,091;-0,119;-0,114;-0,194;7,196;-0,114;-0,147;-0,133;-0,091;-0,1;-0,119;-0,17;-0,185;-0,152;-0,189;-0,156;-0,128;-0,128;-0,124;-0,175
"rechercher";-0,086;-0,09;-0,102;-0,094;-0,11;-0,086;-0,102;-0,078;-0,102;-0,146;-0,134;-0,122;-0,118;-0,146;6,179;-0,126;-0,15;-0,078;-0,106;-0,102;-0,13;-0,154;-0,122;-0,142;-0,126;-0,11;-0,102;-0,13;7,925;-0,122;-0,094;-0,122;-0,13;-0,078;-0,102;-0,098;-0,166;-0,098;38,565;-0,126;-0,114;11,297;-0,086;-0,102;-0,146;-0,158;6,179;-0,162;-0,134;-0,11;-0,11;-0,106;-0,15
"présidence";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;-0,179;-0,163;-0,157;-0,195;-0,173;-0,168;-0,2;-0,104;-0,141;5,777;-0,173;-0,206;-0,163;-0,189;-0,168;-0,147;26,79;48,76;-0,141;-0,163;-0,125;4,579;-0,173;-0,104;-0,136;-0,131;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;-0,115;-0,136;-0,195;3,19;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"prudence";-0,129;-0,135;-0,153;-0,141;-0,165;-0,129;-0,153;-0,117;-0,153;15,452;17,108;-0,183;-0,177;-0,219;-0,195;-0,189;-0,225;-0,117;-0,159;-0,153;-0,195;14,49;-0,183;-0,213;-0,189;-0,165;-0,153;-0,195;-0,159;-0,183;-0,141;-0,183;-0,195;-0,117;-0,153;5,208;-0,25;-0,147;5,208;3,712;-0,171;-0,117;-0,129;-0,153;-0,219;-0,238;-0,195;-0,244;-0,201;-0,165;-0,165;-0,159;-0,225
"provenance";-0,129;-0,135;-0,153;-0,141;-0,165;-0,129;-0,153;-0,117;-0,153;-0,219;-0,201;-0,183;-0,177;-0,219;3,551;-0,189;-0,225;-0,117;-0,159;4,944;-0,195;-0,231;-0,183;-0,213;-0,189;-0,165;-0,153;-0,195;-0,159;3,883;-0,141;-0,183;-0,195;-0,117;101,348;-0,147;-0,25;5,208;-0,147;-0,189;-0,171;-0,117;-0,129;-0,153;-0,219;-0,238;-0,195;-0,244;3,4;-0,165;-0,165;-0,159;-0,225
"profond";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;4,032;-0,163;-0,157;3,575;-0,173;-0,168;-0,2;-0,104;-0,141;-0,136;-0,173;16,752;-0,163;3,719;-0,168;-0,147;-0,136;-0,173;-0,141;-0,163;-0,125;-0,163;4,203;-0,104;-0,136;-0,131;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;7,135;-0,136;-0,195;3,19;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"principe";-0,115;6,751;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;-0,179;-0,163;-0,157;-0,195;4,203;-0,168;17,279;-0,104;-0,141;-0,136;-0,173;-0,206;-0,163;-0,189;-0,168;-0,147;-0,136;-0,173;-0,141;-0,163;-0,125;-0,163;-0,173;-0,104;-0,136;-0,131;-0,222;-0,131;6,076;4,385;-0,152;-0,104;-0,115;-0,136;3,575;3,19;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"pratiquer";-0,086;-0,09;-0,102;-0,094;-0,11;-0,086;-0,102;11,297;-0,102;-0,146;-0,134;-0,122;-0,118;-0,146;-0,13;-0,126;-0,15;-0,078;-0,106;-0,102;-0,13;4,976;-0,122;-0,142;-0,126;-0,11;-0,102;-0,13;7,925;-0,122;-0,094;-0,122;-0,13;-0,078;-0,102;8,694;-0,166;-0,098;-0,098;-0,126;-0,114;-0,078;-0,086;-0,102;-0,146;-0,158;6,179;-0,162;-0,134;-0,11;-0,11;-0,106;5,15
"pourparlers";-0,086;-0,09;-0,102;-0,094;-0,11;-0,086;-0,102;-0,078;-0,102;-0,146;-0,134;-0,122;-0,118;107,817;-0,13;-0,126;-0,15;-0,078;-0,106;-0,102;-0,13;-0,154;-0,122;-0,142;-0,126;-0,11;-0,102;-0,13;-0,106;-0,122;-0,094;-0,122;-0,13;-0,078;-0,102;-0,098;-0,166;-0,098;-0,098;29,419;-0,114;-0,078;-0,086;-0,102;-0,146;-0,158;-0,13;-0,162;-0,134;-0,11;-0,11;-0,106;-0,15
"potter";-0,072;-0,075;-0,085;-0,078;-0,091;-0,072;-0,085;-0,065;-0,085;-0,122;-0,111;-0,101;-0,098;-0,122;-0,108;-0,105;-0,125;-0,065;-0,088;-0,085;-0,108;-0,128;-0,101;-0,118;-0,105;-0,091;-0,085;-0,108;-0,088;-0,101;-0,078;8,382;-0,108;-0,065;-0,085;-0,081;-0,138;-0,081;-0,081;-0,105;-0,095;-0,065;-0,072;-0,085;-0,122;-0,132;-0,108;-0,135;-0,111;9,46;41,652;-0,088;6,532
"posséder";-0,129;-0,135;-0,153;-0,141;-0,165;-0,129;-0,153;-0,117;-0,153;-0,219;-0,201;-0,183;-0,177;-0,219;3,551;-0,189;2,878;6,932;-0,159;-0,153;-0,195;-0,231;-0,183;3,124;-0,189;-0,165;-0,153;-0,195;-0,159;-0,183;-0,141;3,883;-0,195;-0,117;-0,153;-0,147;-0,25;-0,147;-0,147;-0,189;-0,171;-0,117;6,147;-0,153;-0,219;-0,238;3,551;-0,244;-0,201;-0,165;-0,165;-0,159;14,958
"poisson";-0,1;7,97;-0,119;-0,11;-0,128;-0,1;-0,119;-0,091;-0,119;4,325;23,04;-0,142;-0,138;-0,17;-0,152;-0,147;-0,175;-0,091;-0,124;-0,119;-0,152;-0,18;-0,142;-0,166;-0,147;-0,128;-0,119;-0,152;6,538;-0,142;-0,11;-0,142;-0,152;9,423;-0,119;-0,114;-0,194;-0,114;-0,114;-0,147;-0,133;-0,091;-0,1;-0,119;-0,17;-0,185;-0,152;-0,189;-0,156;-0,128;-0,128;-0,124;4,169
"plastique";-0,1;-0,105;-0,119;-0,11;-0,128;8,41;-0,119;-0,091;-0,119;-0,17;-0,156;-0,142;-0,138;-0,17;5,047;-0,147;-0,175;-0,091;6,538;-0,119;23,837;-0,18;-0,142;-0,166;-0,147;-0,128;-0,119;-0,152;-0,124;-0,142;-0,11;-0,142;5,047;-0,091;-0,119;-0,114;-0,194;-0,114;-0,114;-0,147;-0,133;-0,091;-0,1;-0,119;-0,17;-0,185;5,047;-0,189;-0,156;-0,128;-0,128;-0,124;-0,175
"pionnier";-0,1;-0,105;-0,119;-0,11;-0,128;-0,1;-0,119;-0,091;-0,119;-0,17;-0,156;-0,142;-0,138;-0,17;-0,152;5,256;-0,175;-0,091;-0,124;-0,119;-0,152;-0,18;-0,142;-0,166;-0,147;-0,128;-0,119;-0,152;-0,124;5,479;-0,11;-0,142;-0,152;-0,091;-0,119;-0,114;3,621;-0,114;-0,114;-0,147;5,971;-0,091;-0,1;-0,119;-0,17;-0,185;5,047;-0,189;-0,156;-0,128;-0,128;-0,124;20,27
"pic";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;17,835;-0,179;-0,163;-0,157;-0,195;-0,173;-0,168;-0,2;-0,104;-0,141;-0,136;4,203;3,311;-0,163;-0,189;-0,168;-0,147;-0,136;-0,173;5,501;21,929;-0,125;4,579;-0,173;-0,104;-0,136;-0,131;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;-0,115;-0,136;-0,195;-0,211;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"phare";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;-0,179;-0,163;4,786;-0,195;4,203;-0,168;-0,2;-0,104;-0,141;-0,136;-0,173;-0,206;-0,163;-0,189;-0,168;-0,147;-0,136;-0,173;-0,141;-0,163;-0,125;4,579;20,398;-0,104;-0,136;6,076;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;7,135;5,777;-0,195;-0,211;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"paysan";-0,072;-0,075;10,318;-0,078;-0,091;-0,072;-0,085;-0,065;-0,085;-0,122;-0,111;-0,101;-0,098;-0,122;-0,108;-0,105;-0,125;-0,065;-0,088;-0,085;-0,108;-0,128;-0,101;-0,118;-0,105;-0,091;-0,085;-0,108;-0,088;-0,101;-0,078;-0,101;-0,108;-0,065;-0,085;-0,081;5,754;10,799;-0,081;-0,105;-0,095;13,926;-0,072;-0,085;6,753;-0,132;-0,108;-0,135;-0,111;-0,091;-0,091;-0,088;-0,125
"paysage";-0,1;7,97;-0,119;-0,11;-0,128;-0,1;-0,119;-0,091;-0,119;4,325;-0,156;-0,142;5,717;-0,17;5,047;-0,147;-0,175;-0,091;-0,124;-0,119;-0,152;-0,18;-0,142;-0,166;-0,147;-0,128;31,145;-0,152;6,538;-0,142;-0,11;-0,142;-0,152;-0,091;-0,119;-0,114;-0,194;-0,114;-0,114;-0,147;-0,133;-0,091;-0,1;-0,119;-0,17;-0,185;-0,152;-0,189;-0,156;-0,128;-0,128;-0,124;-0,175
"passant";-0,086;-0,09;8,295;-0,094;7,581;-0,086;-0,102;-0,078;-0,102;-0,146;-0,134;-0,122;-0,118;-0,146;-0,13;6,424;-0,15;-0,078;7,925;-0,102;-0,13;-0,154;-0,122;-0,142;-0,126;-0,11;-0,102;-0,13;-0,106;-0,122;-0,094;-0,122;-0,13;-0,078;-0,102;-0,098;-0,166;-0,098;-0,098;-0,126;-0,114;49,023;-0,086;-0,102;-0,146;-0,158;-0,13;-0,162;-0,134;-0,11;-0,11;-0,106;-0,15
"parvenir";-0,129;-0,135;-0,153;-0,141;-0,165;-0,129;-0,153;-0,117;-0,153;-0,219;-0,201;-0,183;4,066;2,997;3,551;-0,189;2,878;-0,117;-0,159;-0,153;-0,195;-0,231;3,883;-0,213;-0,189;-0,165;4,944;3,551;-0,159;-0,183;-0,141;-0,183;-0,195;-0,117;-0,153;-0,147;-0,25;-0,147;-0,147;3,712;-0,171;-0,117;-0,129;-0,153;-0,219;-0,238;-0,195;-0,244;-0,201;-0,165;4,473;-0,159;-0,225
"parfaire";-0,1;-0,105;-0,119;-0,11;-0,128;-0,1;-0,119;9,423;-0,119;-0,17;-0,156;-0,142;-0,138;-0,17;-0,152;-0,147;-0,175;-0,091;-0,124;-0,119;-0,152;-0,18;-0,142;21,578;-0,147;-0,128;-0,119;-0,152;-0,124;-0,142;-0,11;5,479;-0,152;-0,091;-0,119;-0,114;-0,194;-0,114;-0,114;-0,147;-0,133;-0,091;-0,1;-0,119;-0,17;-0,185;-0,152;-0,189;-0,156;28,683;-0,128;6,538;-0,175
"pape";-0,1;-0,105;-0,119;-0,11;-0,128;-0,1;6,854;-0,091;-0,119;-0,17;-0,156;-0,142;-0,138;4,325;-0,152;-0,147;-0,175;-0,091;-0,124;-0,119;-0,152;4,021;-0,142;-0,166;-0,147;-0,128;6,854;5,047;-0,124;-0,142;-0,11;5,479;-0,152;-0,091;-0,119;-0,114;3,621;-0,114;-0,114;-0,147;-0,133;-0,091;-0,1;-0,119;-0,17;-0,185;-0,152;-0,189;-0,156;-0,128;-0,128;-0,124;-0,175
"panne";-0,057;-0,06;-0,068;-0,062;-0,073;-0,057;-0,068;-0,052;-0,068;-0,097;-0,089;-0,081;11,356;-0,097;10,173;-0,084;-0,1;-0,052;12,804;-0,068;-0,086;-0,103;-0,081;-0,094;-0,084;-0,073;-0,068;-0,086;-0,07;-0,081;-0,062;10,936;-0,086;-0,052;-0,068;-0,065;-0,111;-0,065;-0,065;-0,084;-0,076;-0,052;-0,057;-0,068;-0,097;-0,105;-0,086;-0,108;-0,089;-0,073;-0,073;-0,07;-0,1
"original";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;26,79;-0,104;-0,136;3,575;-0,179;-0,163;-0,157;-0,195;-0,173;-0,168;-0,2;-0,104;5,501;-0,136;-0,173;-0,206;-0,163;-0,189;-0,168;-0,147;-0,136;-0,173;-0,141;-0,163;-0,125;-0,163;-0,173;8,02;-0,136;-0,131;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;-0,115;-0,136;-0,195;3,19;-0,173;-0,216;-0,179;-0,147;24,637;-0,141;-0,2
"originaire";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;-0,179;-0,163;-0,157;3,575;-0,173;-0,168;-0,2;-0,104;-0,141;5,777;-0,173;-0,206;4,579;-0,189;-0,168;-0,147;26,79;4,203;-0,141;-0,163;-0,125;-0,163;-0,173;-0,104;-0,136;-0,131;-0,222;6,076;-0,131;-0,168;-0,152;-0,104;-0,115;-0,136;-0,195;-0,211;-0,173;-0,216;-0,179;-0,147;-0,147;5,501;-0,2
"opérer";-0,115;-0,12;-0,136;-0,125;-0,147;7,135;-0,136;83,568;-0,136;3,575;-0,179;-0,163;-0,157;-0,195;-0,173;-0,168;-0,2;-0,104;-0,141;-0,136;-0,173;-0,206;-0,163;-0,189;-0,168;-0,147;-0,136;-0,173;-0,141;21,929;-0,125;-0,163;-0,173;-0,104;-0,136;-0,131;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;-0,115;-0,136;-0,195;3,19;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"opposant";-0,086;-0,09;-0,102;-0,094;-0,11;-0,086;-0,102;-0,078;-0,102;-0,146;-0,134;-0,122;-0,118;25,007;6,179;-0,126;5,15;-0,078;-0,106;-0,102;-0,13;-0,154;-0,122;-0,142;-0,126;-0,11;-0,102;-0,13;-0,106;-0,122;-0,094;-0,122;-0,13;-0,078;-0,102;-0,098;-0,166;8,694;-0,098;-0,126;-0,114;-0,078;10,113;-0,102;-0,146;-0,158;-0,13;-0,162;-0,134;-0,11;-0,11;-0,106;-0,15
"opportunité";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;63,174;-0,104;-0,136;-0,195;-0,179;-0,163;-0,157;-0,195;-0,173;-0,168;-0,2;-0,104;-0,141;-0,136;-0,173;-0,206;-0,163;-0,189;-0,168;-0,147;-0,136;-0,173;5,501;-0,163;-0,125;-0,163;-0,173;-0,104;-0,136;-0,131;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;7,135;-0,136;-0,195;-0,211;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;41,719
"normal";-0,1;-0,105;-0,119;-0,11;-0,128;-0,1;-0,119;-0,091;-0,119;-0,17;-0,156;-0,142;-0,138;-0,17;23,837;-0,147;-0,175;-0,091;-0,124;-0,119;-0,152;-0,18;-0,142;-0,166;-0,147;-0,128;-0,119;-0,152;-0,124;-0,142;-0,11;-0,142;-0,152;-0,091;6,854;7,196;-0,194;-0,114;-0,114;-0,147;-0,133;-0,091;-0,1;-0,119;-0,17;-0,185;5,047;3,748;4,85;-0,128;-0,128;-0,124;-0,175
"métal";8,41;-0,105;-0,119;-0,11;-0,128;-0,1;-0,119;-0,091;-0,119;-0,17;-0,156;-0,142;-0,138;-0,17;-0,152;-0,147;4,169;-0,091;-0,124;-0,119;5,047;4,021;-0,142;-0,166;-0,147;6,244;-0,119;-0,152;6,538;-0,142;-0,11;5,479;-0,152;-0,091;-0,119;-0,114;-0,194;-0,114;-0,114;-0,147;-0,133;-0,091;-0,1;-0,119;-0,17;-0,185;-0,152;-0,189;-0,156;-0,128;-0,128;-0,124;-0,175
"médaille";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;8,02;-0,136;-0,195;-0,179;-0,163;4,786;-0,195;-0,173;-0,168;-0,2;-0,104;-0,141;-0,136;-0,173;-0,206;95,432;-0,189;-0,168;-0,147;-0,136;-0,173;-0,141;-0,163;-0,125;-0,163;4,203;-0,104;-0,136;-0,131;-0,222;-0,131;-0,131;-0,168;-0,152;-0,104;-0,115;-0,136;-0,195;-0,211;4,203;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"mécanique";-0,057;-0,06;-0,068;-0,062;-0,073;-0,057;13,361;-0,052;-0,068;-0,097;-0,089;-0,081;-0,078;-0,097;10,173;-0,084;-0,1;-0,052;-0,07;-0,068;-0,086;-0,103;-0,081;-0,094;-0,084;-0,073;-0,068;-0,086;-0,07;10,936;-0,062;10,936;-0,086;-0,052;-0,068;-0,065;-0,111;-0,065;-0,065;-0,084;-0,076;-0,052;-0,057;-0,068;-0,097;-0,105;-0,086;-0,108;-0,089;-0,073;-0,073;-0,07;-0,1
"mini";-0,086;-0,09;-0,102;-0,094;-0,11;-0,086;-0,102;-0,078;-0,102;-0,146;-0,134;6,685;-0,118;-0,146;-0,13;-0,126;-0,15;11,297;-0,106;-0,102;-0,13;-0,154;-0,122;-0,142;-0,126;-0,11;-0,102;-0,13;-0,106;-0,122;-0,094;-0,122;-0,13;-0,078;8,295;8,694;-0,166;-0,098;-0,098;-0,126;7,262;-0,078;-0,086;-0,102;-0,146;-0,158;6,179;-0,162;-0,134;-0,11;-0,11;-0,106;-0,15
"militant";-0,115;-0,12;-0,136;-0,125;-0,147;-0,115;-0,136;-0,104;-0,136;-0,195;-0,179;-0,163;-0,157;3,575;-0,173;-0,168;-0,2;-0,104;-0,141;-0,136;-0,173;-0,206;-0,163;-0,189;-0,168;-0,147;-0,136;48,76;-0,141;-0,163;-0,125;-0,163;-0,173;-0,104;-0,136;-0,131;-0,222;6,076;6,076;4,385;-0,152;-0,104;-0,115;-0,136;-0,195;3,19;-0,173;-0,216;-0,179;-0,147;-0,147;-0,141;-0,2
"menu";-0,1;-0,105;-0,119;-0,11;-0,128;-0,1;6,854;-0,091;6,854;-0,17;-0,156;-0,142;-0,138;-0,17;-0,152;-0,147;-0,175;-0,091;-0,124;-0,119;-0,152;-0,18;-0,142;-0,166;-0,147;-0,128;-0,119;-0,152;-0,124;-0,142;-0,11;-0,142;-0,152;-0,091;-0,119;-0,114;-0,194;-0,114;-0,114;-0,147;-0,133;-0,091;-0,1;6,854;-0,17;-0,185;56,523;3,748;-0,156;-0,128;-0,128;-0,124;-0,175
"medwed";-0,129;-0,135;-0,153;-0,141;-0,165;-0,129;-0,153;31,452;-0,153;-0,219;-0,201;-0,183;4,066;-0,219;-0,195;-0,189;-0,225;-0,117;-0,159;-0,153;-0,195;-0,231;133,727;3,124;-0,189;-0,165;-0,153;-0,195;-0,159;-0,183;-0,141;-0,183;-0,195;-0,117;-0,153;-0,147;-0,25;-0,147;-0,147;-0,189;-0,171;-0,117;-0,129;-0,153;-0,219;-0,238;-0,195;-0,244;-0,201;-0,165;-0,165;-0,159;-0,225
"marquant";-0,129;-0,135;-0,153;-0,141;-0,165;-0,129;4,944;-0,117;-0,153;-0,219;-0,201;-0,183;47,485;2,997;-0,195;-0,189;-0,225;-0,117;-0,159;-0,153;3,551;-0,231;3,883;-0,213;-0,189;-0,165;-0,153;-0,195;-0,159;-0,183;-0,141;-0,183;-0,195;-0,117;-0,153;-0,147;-0,25;-0,147;-0,147;-0,189;-0,171;6,932;-0,129;-0,153;-0,219;-0,238;-0,195;-0,244;-0,201;-0,165;4,473;-0,159;-0,225
"marin";-0,072;-0,075;-0,085;-0,078;-0,091;-0,072;-0,085;-0,065;-0,085;-0,122;-0,111;-0,101;8,717;-0,122;-0,108;-0,105;-0,125;-0,065;-0,088;-0,085;-0,108;6,323;-0,101;-0,118;-0,105;-0,091;-0,085;-0,108;-0,088;-0,101;-0,078;-0,101;-0,108;-0,065;-0,085;-0,081;-0,138;-0,081;10,799;-0,105;-0,095;-0,065;-0,072;-0,085;-0,122;6,124;-0,108;-0,135;-0,111;-0,091;-0,091;-0,088;6,532
