"";"";"";"";"htag_christmas";""
"271";"voire";"0.223804383237181";"0.504420477272123";"0.817613366333087";"572"
"272";"autrefois";"0.186703917999016";"0.430662381010849";"0.817613366333087";"573"
"273";"htag_telephone";"-2.26958600832736";"2.21880737552602";"0.817613366333087";"574"
"274";"elle_même";"0.957772000378451";"-0.0451907177321417";"0.817613366333087";"575"
"275";"7000";"1.07409297035904";"0.153414176372448";"0.817613366333087";"576"
"276";"86";"-0.470921877661084";"0.350286510697191";"0.817590598732179";"577"
"277";"dehors";"0.48718528023747";"-0.317342509913523";"0.817590598732179";"578"
"278";"150";"0.826546075677617";"-0.0924840525575308";"0.817436479587572";"579"
"279";"elles";"0.33013188270722";"0.301203965092919";"0.817259592842057";"580"
"280";"17";"-0.314935154623967";"-0.548714448648887";"0.817198295454998";"582"
"281";"déjà";"-0.125039189674101";"-0.285207202510358";"0.817179030561922";"583"
"282";"200";"0.211460315396668";"-0.0885957604736932";"0.816991635692911";"584"
"283";"aussi";"-0.585339902200929";"0.0193200427304449";"0.816979376215499";"585"
"284";"htag_femme";"-1.28868226989592";"1.6830700077449";"0.816802489469985";"586"
"285";"htag_geneve";"-1.8276929231284";"0.869062924141282";"0.816524024197343";"587"
"286";"cinq";"0.614984537992091";"-0.134853281690815";"0.816438207855459";"588"
"287";"autre";"0.198266162183978";"-0.318551696861054";"0.816438207855459";"589"
"288";"parce_que";"-1.1069814420978";"0.666697578776745";"0.816431202439795";"590"
"289";"70";"-0.54394408447176";"0.846177578100037";"0.81634188339008";"592"
"290";"15";"0.174396791029252";"-0.505940987860293";"0.816329623912668";"593"
"291";"être";"-0.350002156574274";"0.491919168351387";"0.81631561308134";"595"
"292";"toutes";"-0.660697106398155";"-0.0589034848146404";"0.816254315694281";"596"
"293";"1983";"-2.04616061269852";"2.1418010267984";"0.816112456027085";"598"
"294";"1400";"1.12893502786707";"0.0617279816342577";"0.816112456027085";"599"
"295";"pendant";"-0.306893168078087";"-0.193152502164938";"0.815946077405067";"602"
"296";"ils";"-0.337030248819492";"0.587177953083101";"0.81579195826046";"604"
"297";"2014";"-0.545251097296528";"0.909983852114684";"0.815732412227316";"606"
"298";"htag_internet";"-2.61154131111611";"2.53213405458307";"0.815732412227316";"608"
"299";"debout";"-0.792008551768186";"0.124299495689787";"0.815732412227316";"609"
"300";"1954";"-2.23333539878444";"2.3037791488783";"0.815732412227316";"610"
"301";"alias";"-1.26308906786477";"1.29396895237688";"0.815732412227316";"611"
"302";"pas";"-0.694968088410957";"0.527863939889853";"0.815725406811652";"612"
"303";"davantage";"0.2544987045217";"-0.232474776532299";"0.815532757880894";"614"
"304";"parfois";"-0.234027113750637";"0.983479910794937";"0.815284065624823";"617"
"305";"chacun";"-0.37366706379406";"0.554169616321439";"0.815277060209159";"618"
"306";"80";"-1.20625829584641";"1.28566495163036";"0.815200000636856";"619"
"307";"htag_neuchatel";"-2.15547514213344";"2.31749058122726";"0.815030119307005";"621"
"308";"au";"-0.226822120478196";"0.0614704243801788";"0.814497707716545";"624"
"309";"htag_coursedelescalade";"-2.64015651576233";"0.129198491813623";"0.814101901731532";"626"
"310";"arrière";"0.0566135898516211";"-0.124262271929062";"0.814101901731532";"627"
"311";"vive";"-1.75540943576081";"2.09416078230813";"0.813998571850489";"628"
"312";"1961";"-2.04071402411492";"2.23371453143426";"0.813998571850489";"629"
"313";"durant";"-0.378235304359851";"0.0196200555423132";"0.813818182397142";"632"
"314";"jusqu_au";"0.499846962234281";"-0.0664809653882645";"0.8135835009724";"634"
"315";"900";"0.900861955329929";"0.186827286528063";"0.813366333086817";"635"
"316";"2000";"-1.19106972949383";"1.00389117918171";"0.813105381353335";"638"
"317";"quatre";"0.5528256055657";"-0.30672248558522";"0.813038829904527";"639"
"318";"32";"0.502146951124431";"-0.18871948821434";"0.813005554180124";"640"
"319";"envers";"0.296649130105098";"0.117786859563488";"0.813005554180124";"641"
"320";"1987";"-1.75932835273848";"0.628205200802745";"0.812615002256858";"645"
"321";"htag_foodporn";"-2.68962090728602";"1.89811098211721";"0.812283996366737";"646"
"322";"les";"-0.352160431994188";"0.5033645590891";"0.812283996366737";"647"
"323";"4000";"0.152883310053148";"0.59952252507995";"0.812283996366737";"648"
"324";"en";"-0.381397029205637";"0.454088644057114";"0.812005531094095";"649"
"325";"1986";"-2.54678589157293";"1.38530192643917";"0.811924968813959";"650"
"326";"dire";"-0.363735369958903";"-0.00185379625001481";"0.81156243855335";"652"
"327";"1979";"-1.61408068161438";"1.96924959204942";"0.811504643874122";"653"
"328";"tandis_que";"0.751948265319498";"-0.30181989002563";"0.811418827532239";"654"
"329";"beaucoup";"-0.730757467671068";"-0.223665034844352";"0.811338265252104";"655"
"330";"30";"-0.159129073224672";"0.468447468470612";"0.811220924539732";"656"
"331";"1972";"-1.14951799622968";"1.43159487076664";"0.811075562164705";"657"
"332";"htag_chanteuse";"-2.45674751220044";"1.32979892668147";"0.810781334706819";"659"
"333";"suivant";"0.999865902506709";"-0.0162562353219059";"0.810769075229408";"660"
"334";"htag_vacances";"-2.15100144683864";"2.28097317694697";"0.810716534611928";"661"
"335";"htag_meteo";"-2.17107314182108";"2.09959816113512";"0.810716534611928";"662"
"336";"hors";"0.431114050974858";"0.11263693085772";"0.810334739458243";"668"
