"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"attendre";-1,995;5,298;-1,804;-0,003;-0,435;67,169;1,218;-72,476
"commencer";-3,13;17,573;2,263;-1,803;-6,466;1,639;49,576;-82,296
"servir";185,056;5,798;35,153;-3,846;-2,619;0,448;-0,017;-102,691
"tuer";-4,514;770,554;-36,525;93,95;-11,822;0,99;-32,197;-100,529
"hamas";-5,926;4073,357;-123,046;-8,289;-25,642;-118,879;-55,051;-134,614
"lieu";-0,306;2,18;51,591;-1,74;-2,25;2,302;15,179;-128,374
"emji_visage_avec_bouche_ouverte";0,464;-4,626;-9,908;0,812;0,104;-0,12;-6,517;39,973
"faux";-4,591;0,55;-8,272;-3,944;-13,564;-46,439;827,34;-125,048
"super";3,587;-17,857;-0,669;1,23;-0,688;-19,024;-8,597;99,238
"tête";-0,845;-19,122;-32,861;-2,634;1974,055;-18,847;-10,117;-54,206
"pareil";-0,266;-26,619;-0,818;-3,863;118,744;30,478;-1,445;-26,134
"moyen";0,522;12,837;211,51;-0,322;-11,621;-1,98;-9,644;-119,584
"dieu";-1,526;-7,288;-79,458;-0,675;-3,367;15,038;4,056;43,992
"violence";-5,82;74,248;-48,483;-8,14;-8,414;142,285;18,325;-127,001
"aider";-6,046;1,977;16,256;-0,195;-4,861;117,235;-10,95;-119,928
"simple";-0,745;-7,875;1,146;-3,652;-6,404;47,755;-0,002;-14,153
"système";0,002;-20,809;512,781;-6,494;-10,425;-4,242;-12,608;-134,229
"simplement";-0,737;-4,649;30,798;-1,469;-8,598;1,243;51,869;-76,419
"classe";-5,675;-33,629;62,539;-4,369;-0,776;1,462;-2,601;-3,619
"manifestation";-5,741;1889,234;-39,414;-8,029;-17,066;-19,527;-22,68;-132,836
"droite";-5,728;0,022;-2,63;-8,011;-0,005;-84,774;815,651;-122,301
"prix";-3,923;-0,006;880,731;-6,166;-22,931;-96,819;-40,064;-104,315
"triste";-4,153;-14,068;-44,318;-0,006;-9,123;321,902;-34,369;-3,071
"public";-0,537;3,945;324,782;-4,594;-8,508;-43,913;0,85;-115,277
"chat";-0,007;-25,228;-43,516;271,276;4,398;7,593;-17,082;18,092
"vieux";-0,55;-15,668;-20,373;-0,133;1,15;2,537;-3,004;44,626
"montrer";-5,953;4,045;-13,036;-6,403;-0,459;16,097;95,792;-63,412
"ville";-2,285;-2,466;390,064;1,471;-4,543;-23,089;-28,52;-63,592
"palestine";-5,728;3362,893;-113,753;-8,011;-24,782;-80,609;-41,228;-117,344
"fille";-0,062;-20,012;-49,261;-4,386;-0,001;49,585;-22,155;56,3
"entreprise";-0,017;-13,917;1035,779;-5,639;-17,412;-88,327;-48,697;-119,563
"emji_drapeau_suisse";-4,709;-0,537;-0,261;-3,13;-11,143;-51,37;-20,433;214,883
"pire";-1,07;2,691;1,191;-1,658;4,478;108,434;-26,975;-75,764
"emji_visage_roulant_des_yeux";-0,286;-5,967;-9,013;-5,512;1689,625;-31,376;-20,997;-49,993
"impôt";-5,423;-27,983;1177,616;-4,043;-21,389;-95,692;-43,184;-125,342
"salaire";-5,423;-39,872;1027,405;-7,585;-19,408;-60,563;-34,288;-115,139
"loi";-0,407;32,596;36,487;-1,764;-6,434;1,375;6,779;-123,929
"emji_visage_qui_pleure_à_chaudes_larmes";-2,27;-10,466;-2,713;10,276;5,782;-0,035;-10,45;22,534
"créer";-3,782;0,864;132,699;-0,065;-1,638;-3,329;0,016;-79,305
"nouveau";-2,354;0;81,014;-3,013;-3,887;0,854;-0,449;-51,44
"répondre";-3,654;-9,871;-41,144;-2,779;-4,198;-34,821;893,506;-62,878
"chercher";-3,769;-0,157;7,741;-0,957;-1,111;6,717;49,524;-87,345
"normal";-0,025;-14,338;7,73;0,883;-0,862;127,08;-4,168;-88,037
"maison";197,617;-4,399;4,228;1,07;-0,639;26,049;-22,344;-29,419
"emji_visage_souriant_avec_yeux_rieurs";-1,007;-24,197;-53,622;-7,529;-10,796;-49,297;-23,15;586,731
"façon";-3,641;-10,888;-2,754;-1,671;-5,097;130,565;-0,632;-21,846
"seulement";0,455;1,094;51,846;0,276;-3,458;0,009;0,474;-60,105
"retrouver";-3,667;-7;1,859;0,826;-8,574;10,109;-3,336;0,347
"blanc";-1,823;-2,857;-56,661;-3,6;1705,378;-17,281;-18,786;-23,223
"article";-3,501;0,378;0,029;-0,742;0,003;-84,96;586,641;-108,338
"accent";-5,079;-37,208;-68,32;-7,104;-17,934;-74,882;-25,743;817,184
"acheter";1,524;-8,766;434,466;-0,22;-5,53;-34,098;-29,711;-49,993
"rapport";-1,043;0,025;0,335;-1,619;-4,01;-1,487;208,481;-89,618
"jeu";-3,31;-16,31;-29,306;-5,295;-12,91;-2,224;-14,595;247,321
"essayer";-2,114;-0,462;-8,807;-2,686;-0,459;116,773;16,192;-87,13
"réponse";-3,349;-7,154;-48,096;-3,736;-4,185;-15,791;623,693;-31,241
"propre";198,267;-0,033;1,256;-2,533;-4,497;18,522;3,274;-77,755
"manifester";-1,779;1588,466;-24,836;-5,132;-17,708;-17,549;-28,253;-110,835
"gaza";-5,132;3233,719;-88,983;-5,277;-18,161;-96,193;-41,646;-121,093
"mauvais";-0,858;-12,421;-3,582;7,014;0;89,442;14,412;-76,858
"armée";-5,119;402,232;-0,121;-5,259;-8,416;10,769;-13,264;-115,576
"soutenir";-5,145;618,996;-7,419;-5,295;-8,513;-1,275;-0,776;-91,884
"préférer";0,596;-7,04;-0,45;8,31;0,874;49,259;-10,13;-12,214
