"";"";"";"";"vous";""
"160";"92";"0.289707187023195";"0.525874071026147";"0.815836773489554";"289"
"161";"ah";"-0.261885350475246";"0.178507496831984";"0.815531823312326";"290"
"162";"ainsi";"0.381791049059689";"0.0481944657544126";"0.815082423051149";"292"
"163";"35";"0.10860596582634";"-0.245632781986067";"0.814967780127379";"293"
"164";"ouais";"0.0208415848118138";"0.0381282842882378";"0.814107958199106";"297"
"165";"2001";"0.367421009497366";"0.304204830631638";"0.813862622342238";"298"
"166";"hé";"-0.463840333911497";"-0.176871077039029";"0.813704415107436";"300"
"167";"44";"0.104946613867358";"-0.107370961471146";"0.813241257695406";"302"
"168";"dix";"0.38588732464949";"-0.218576334877978";"0.8129156717919";"306"
"169";"ho";"-1.10901196593024";"0.251799955388795";"0.812748293123196";"307"
"170";"60";"-0.325175833858508";"-0.191807356794151";"0.812411242927313";"308"
"171";"près";"-0.0290372531864449";"-0.351438097378387";"0.812005406977168";"309"
"172";"7000";"0.691831996211446";"-0.519817091374987";"0.811980185533939";"310"
"173";"c_est_à_dire";"0.247289474507619";"-0.438964471082012";"0.811599571027024";"311"
"174";"nuls";"0.235255049492647";"-0.842285902348375";"0.811519320980385";"312"
"175";"da";"0.147999830871269";"-0.853963991952106";"0.811519320980385";"313"
"176";"lequel";"0.11072998970421";"-0.211649337678263";"0.811434485216795";"314"
"177";"ouh";"-1.26980819005303";"0.244802631427104";"0.811390920905762";"316"
"178";"celui_là";"-0.166690621464899";"0.251367863116496";"0.811051577851404";"318"
"179";"tiens";"0.117127266761747";"-0.0119264244057241";"0.811044699275978";"319"
"180";"nul";"0.164593332601725";"-0.386263847982805";"0.810776434834357";"320"
"181";"2021";"0.315124004649036";"0.196936865012004";"0.810609056165653";"321"
"182";"eh";"-0.313227844459356";"-0.134460477866221";"0.810581541863948";"322"
"183";"néanmoins";"0.151259039483025";"-0.466202022897688";"0.810427920346097";"323"
"184";"ha";"-0.317490389262838";"-0.317840991719574";"0.810194048781606";"325"
"185";"hein";"0.127775458946154";"-0.0579373670161044";"0.810150484470574";"327"
"186";"hi";"0.155423698408741";"-0.175873306416834";"0.810100041584115";"329"
"187";"à_l_instar";"0.40273474760323";"-0.627886245429557";"0.810100041584115";"330"
"188";"tiennes";"-1.18346611979537";"0.222208972456613";"0.810100041584115";"331"
"189";"htag_hypocrisie";"0.289396818908872";"-0.679077830016857";"0.810100041584115";"332"
"190";"six";"0.230047880985324";"-0.00637338946461308";"0.809909734330657";"334"
"191";"excepté";"0.213495712942166";"-0.0786638398338177";"0.809627712738184";"336"
"192";"jusqu_au";"-0.139737768615306";"-0.0131817948670636";"0.809334226853333";"338"
"193";"youpi";"0.199622659721746";"-0.540063992822292";"0.809178312477006";"339"
"194";"90";"-0.54132232730995";"-0.125293107277237";"0.808912340893861";"340"
"195";"haha";"-0.68528118838819";"-0.208615996735533";"0.808662419320042";"341"
"196";"hier";"-0.534029732670978";"0.606575256801419";"0.808607390716633";"342"
"197";"quiconque";"0.492512272606998";"0.639495276129645";"0.808467526349634";"343"
"198";"heu";"-0.231590655283259";"-0.0690436227545703";"0.808339126275012";"344"
"199";"1983";"-1.32344549672313";"0.283118305302342";"0.808229069068193";"345"
"200";"23";"-0.167933425310443";"-0.065985581303862";"0.80789201887231";"347"
"201";"diverses";"0.803619115830725";"0.435420841417115";"0.807834697410425";"348"
"202";"arrière";"-0.731541707435317";"-0.104231416714639";"0.807823233118048";"350"
"203";"29";"-0.112990194094865";"-0.30949280568427";"0.807772790231589";"352"
"204";"pis";"-0.11534005529961";"-0.0861390223336068";"0.807644390156967";"353"
"205";"tels";"0.477085163208167";"0.0434093766495054";"0.807153718443232";"355"
"206";"zut";"-0.650590743006505";"-0.240897563909874";"0.807089518405921";"357"
"207";"quels";"-0.426589995831553";"0.516797072353422";"0.807073468396594";"358"
"208";"miens";"-1.32381152247201";"0.229403120036982";"0.806919846878742";"359"
"209";"1962";"-1.68917850600318";"0.463426522561301";"0.806582796682859";"360"
"210";"gna_gna";"-0.76624996678249";"0.147237704693532";"0.806465860900614";"363"
"211";"jadis";"0.764777451111349";"0.518172103991916";"0.806465860900614";"364"
"212";"850";"0.950260738007216";"0.179162399732374";"0.806465860900614";"365"
"213";"1800";"0.25339379072492";"-0.567121085602046";"0.806465860900614";"366"
"214";"celle_là";"-0.52144866564692";"-0.318619620804386";"0.806424589448057";"367"
"215";"70";"-0.471889926023212";"-0.0128646780010978";"0.806399368004828";"368"
"216";"mme";"-0.614394004660393";"0.309059815838513";"0.806220525043747";"369"
"217";"97";"-1.09824328656718";"0.28408399547828";"0.806174667874239";"370"
"218";"95";"0.371635956847386";"0.511842462968983";"0.80586513198006";"371"
