"";"*rts_a";"*rts_i"
"arriver";363;469
"européen";39;193
"situer";8;28
"coeur";263;128
"coucher";34;23
"fonctionner";52;171
"langue";135;207
"pur";66;58
"tendre";29;28
"micro";35;7
"adolescent";15;13
"confiance";37;67
"émouvoir";18;3
"emji_papillon";21;2
"emji_notes_de_musique";146;14
"emji_coeur_bleu";39;20
"page";30;50
"svp";94;113
"céder";3;23
"médiocrité";1;12
"oups";13;17
"désolé";73;81
"doute";92;131
"pluie";34;14
"cerveau";77;72
"journée";206;190
"détendre";16;11
"jean";79;58
"michel";24;8
"utiliser";383;446
"pression";18;66
"jet";15;42
"envoyer";99;152
"décevoir";27;20
"prêt";83;75
"armoire";10;3
"fondue";65;32
"savoyard";14;11
"haut";136;181
"montagne";70;51
"descente";19;11
"ski";64;39
"louper";21;17
"emji_visage_roulant_des_yeux";252;287
"recette";14;44
"emji_fondue";22;10
"cher";211;368
"posts";4;12
"trouver";654;728
"intégralité";8;4
"version";37;31
"long";123;184
"larme";28;6
"oeil";170;196
"bio";23;52
"heure";265;270
"emji_visage_souriant_avec_une_larme";127;90
"emji_miam";46;10
"saison";57;48
"envie";144;147
"empêcher";66;155
"emji_visage_souriant_avec_de_grands_yeux";87;26
"sourire";70;23
"froid";142;78
"dos";63;65
"george";42;3
"emji_deux_coeurs";179;23
"moment";308;434
"manquer";299;298
"célèbre";7;9
"culte";18;7
"radio";47;28
"grimper";6;12
"pilier";7;23
"pont";11;19
"mur";32;49
"fribourg";41;45
"escalade";4;11
"artificiel";22;22
"créatif";15;7
"faible";21;62
"marcher";85;177
"champion";42;55
"emji_gâteau_d";8;2
"happy";8;4
"roger";17;1
"chapeau";57;19
"artiste";32;67
"tennis";7;3
"éternité";10;2
"emji_coeur_vert";43;20
"we";23;4
"lover";17;8
"you";14;22
"magique";60;26
"réussite";8;37
"sympa";118;49
"emji_tête_à_l";64;61
"léger";27;13
"crier";36;65
"scandale";18;61
"direct";55;100
"tour";65;76
"chien";109;69
"mauvais";181;232
"singe";16;6
"recevoir";165;157
"amour";232;53
"quotidien";38;75
"cuisinier";8;3
"client";119;61
"demander";438;662
"pousser";46;92
"aberrant";10;25
"exprimer";179;84
"bêtement";7;9
"pauvre";297;295
"servir";185;332
"bière";24;10
"métier";140;122
"sacrifier";5;5
"déplacement";6;23
"foutre";155;224
"lier";37;113
"crever";28;40
"ohh";14;4
"emji_coeur_brisé";70;140
"numéro";16;36
"étonner";64;139
"maltraiter";22;22
"signature";2;25
"quitter";51;97
"inoubliable";25;1
"honteux";25;108
"cure";8;6
"emji_visage_qui_vomit";70;49
"politesse";7;8
"epoque";51;8
"emji_tête_de_fou";77;63
"beurre";17;18
"horrifier";3;9
"maman";125;44
"quantité";19;51
"sucre";23;14
"secret";35;32
"grand_mère";60;6
"émission";116;53
"emji_étoile";34;19
"emji_visage_qui_bave";8;4
"régal";15;6
"enfance";225;28
"famille";231;396
"mec";210;145
"mdrrrr";15;11
"emji_tête_de_chat";13;2
"tuer";151;369
"xd";18;7
"justement";118;287
"marier";96;46
"vendredi";26;8
"chiffre";32;183
"humilité";76;6
"daron";27;3
"voix";138;78
"répondre";216;225
"menace";11;60
"pertinent";28;54
"mdrrr";41;26
"simple";245;247
"efficace";24;50
"chanceux";17;5
"couille";32;12
"emji_drapeau_belgique";9;1
"patate";19;3
"pourri";47;29
"attentat";6;35
"banane";18;3
"emji_cerveau";6;6
"chou";96;31
"emji_visage_qui_pleure_à_chaudes_larmes";538;402
"wsh";15;1
"vrmt";8;13
"veille";13;8
"signe";29;41
"hauteur";24;30
"précision";26;20
"tjr";13;20
"loto";7;3
"mo";4;7
"mdr";200;189
"typiquement";12;4
"père";279;75
"fois";466;676
"jouer";481;203
"hahahaha";11;9
"intervention";13;60
"présent";55;80
"satisfaire";26;22
"connerie";45;78
"présenter";57;97
"insta";31;37
"tort";30;32
"men";5;12
"mdrr";30;19
"porte";114;147
"malheur";13;12
"perso";117;97
"bonheur";184;43
"janvier";13;16
"emji_poignée_de_main";25;29
"bernard";33;21
"lunette";48;16
"soleil";104;34
"protéger";77;287
"profondeur";8;7
"diversité";11;18
"attitude";13;11
"facile";115;186
"emji_ok_peau_légèrement_mate";8;8
"refaire";52;39
"interview";86;21
"passionnant";13;9
"envisager";6;15
"auprès_de";11;22
"avis";118;238
"esprit";121;88
"nostalgie";85;3
"état";116;690
"catastrophique";13;21
"normalement";22;26
"scandaleux";7;55
"tiers";12;20
"what";11;12
"innocent";23;92
"2e";9;11
"réparer";6;16
"traumatisme";20;12
"terrible";52;35
"cacher";55;151
"développer";43;71
"1ere";13;5
"main";149;170
"méthode";68;45
"emji_visage_étourdi";21;9
"emji_visage_qui_rougit";94;62
"qd";38;6
"violer";10;51
"bébé";49;59
"réflexe";6;13
"naturel";156;61
"balancer";25;54
"choquer";109;62
"moyen";128;372
"cool";79;69
"fille";370;96
"nageur";9;1
"tôt";39;44
"film";93;81
"résumé";29;21
"rapport";144;278
"association";28;54
"plainte";2;14
"cul";65;37
"enlever";51;97
"gosse";92;51
"rythme";23;29
"doré";10;2
"chalet";15;11
"emji_biceps_contracté_peau_légèrement_mate";11;26
"emji_biceps_contracté_peau_moyennement_claire";22;33
"noyer";4;11
"aîné";16;9
"cours";176;167
"répéter";50;78
"objectif";22;79
"atteindre";33;124
"preuve";92;161
"vivant";112;82
"inutile";52;88
"peur";147;193
"océan";5;13
"également";124;217
"marin";4;6
"participer";49;124
"spécialiste";12;24
"barbare";4;8
"confondre";25;79
"poisson";39;18
"emji_visage_boudeur";146;301
"condamner";17;116
"insécurité";3;26
"naissance";30;27
"phénomène";24;39
"moteur";36;13
"qq";21;9
"imposer";36;139
"propre";176;238
"idiot";26;13
"technique";50;32
"jeter";51;76
"nager";9;2
"flotte";13;4
"parfaitement";47;53
"mode";180;114
"terrifiant";11;5
"bateau";14;45
"mer";23;26
"env";4;11
"violence";86;405
"brutal";13;15
"liquide";17;9
"instruire";14;4
"arrêt";21;58
"emji_singe_ne_rien_voir";84;50
"bb";11;21
"traumatiser";25;9
"seul";472;655
"grandir";47;35
"buzz";3;11
"renoncer";7;14
"heureux";303;80
"paradis";49;20
"gentil";159;60
"leçon";109;38
"joli";181;92
"dignité";15;23
"célestin";91;0
"reposer";64;69
"paix";128;429
"sûr";266;378
"place";204;521
"emji_visage_soulagé";132;28
"p";97;72
"tit";43;8
"emji_mains_en_prière_peau_moyennement_claire";86;70
"emji_colombe";45;127
"content";99;130
"tendresse";27;1
"ptit";11;7
"bonhomme";24;3
"définir";19;24
"type";106;149
"emji_visage_implorant";75;19
"émouvant";120;2
"linge";20;5
"salutation";12;10
"simplicité";116;2
"stresser";27;8
"malade";57;77
"finir";205;341
"personnage";51;29
"partager";163;140
"cadeau";121;103
"charme";40;5
"emji_coeur_blanc";98;61
"emji_abeille";23;2
"parisien";35;11
"cour";32;21
"conversation";19;15
"excuser";54;79
"mélanger";21;46
"appeler";424;276
"boule";17;15
"moto";28;28
"tomber";148;164
"nan";56;43
"chui";5;5
"intéresser";66;115
"blâmer";11;27
"énergie";45;147
"dégager";17;22
"connaissance";66;60
"agression";19;39
"meme";119;160
"siffler";10;2
"normal";170;270
"insulter";65;52
"réciproque";6;4
"société";187;400
"insulte";14;12
"sexisme";10;12
"conjugal";3;19
"viol";10;47
"etc";262;468
"bcp";82;122
"télé";55;26
"réalité";79;307
"tik";13;3
"tok";13;3
"droit";231;836
"debut";10;7
"gant";76;8
"pétard";8;2
"brun";20;1
"féministe";51;54
"vierge";12;14
"vide";48;48
"propos";106;167
"vérité";117;137
"accepter";78;183
"courage";79;194
"emji_visage_faisant_un_bisou_avec_les_yeux_fermés";13;4
"réussir";49;128
"adapter";36;96
"irrespectueux";7;8
"vulgaire";14;6
"franchise";8;18
"retrouver";224;208
"sublime";23;5
"draguer";30;4
"reprocher";13;42
"déranger";57;106
"agréable";54;17
"expliquer";118;253
"discuter";27;69
"waw";10;3
