"";"X.rts_a";"X.rts_i"
"seulement";0,63;0,95
"nord";0,24;0,2
"résultat";0,32;0,5
"identique";0,05;0,04
"férié";0,05;0,02
"façon";0,81;0,79
"politiquement";0,03;0,08
"diviser";0,07;0,12
"habiter";0,45;0,34
"peuple";0,19;1,66
"accorder";0,05;0,12
"enrichir";0,05;0,15
"immigration";0,08;0,3
"arriver";1,51;1,59
"européen";0,16;0,65
"situer";0,03;0,09
"coeur";1,09;0,43
"coucher";0,14;0,08
"fonctionner";0,22;0,58
"langue";0,56;0,7
"pur";0,27;0,2
"tendre";0,12;0,09
"micro";0,15;0,02
"adolescent";0,06;0,04
"confiance";0,15;0,23
"émouvoir";0,07;0,01
"emji_papillon";0,09;0,01
"emji_notes_de_musique";0,61;0,05
"emji_coeur_bleu";0,16;0,07
"page";0,12;0,17
"svp";0,39;0,38
"céder";0,01;0,08
"médiocrité";0;0,04
"oups";0,05;0,06
"désolé";0,3;0,27
"doute";0,38;0,44
"pluie";0,14;0,05
"cerveau";0,32;0,24
"journée";0,86;0,64
"détendre";0,07;0,04
"jean";0,33;0,2
"michel";0,1;0,03
"utiliser";1,59;1,51
"pression";0,07;0,22
"jet";0,06;0,14
"envoyer";0,41;0,51
"décevoir";0,11;0,07
"prêt";0,34;0,25
"armoire";0,04;0,01
"fondue";0,27;0,11
"savoyard";0,06;0,04
"haut";0,57;0,61
"montagne";0,29;0,17
"descente";0,08;0,04
"ski";0,27;0,13
"louper";0,09;0,06
"emji_visage_roulant_des_yeux";1,05;0,97
"recette";0,06;0,15
"emji_fondue";0,09;0,03
"cher";0,88;1,24
"posts";0,02;0,04
"trouver";2,72;2,46
"intégralité";0,03;0,01
"version";0,15;0,1
"long";0,51;0,62
"larme";0,12;0,02
"oeil";0,71;0,66
"bio";0,1;0,18
"heure";1,1;0,91
"emji_visage_souriant_avec_une_larme";0,53;0,3
"emji_miam";0,19;0,03
"saison";0,24;0,16
"envie";0,6;0,5
"empêcher";0,27;0,52
"emji_visage_souriant_avec_de_grands_yeux";0,36;0,09
"sourire";0,29;0,08
"froid";0,59;0,26
"dos";0,26;0,22
"george";0,17;0,01
"emji_deux_coeurs";0,74;0,08
"moment";1,28;1,47
"manquer";1,24;1,01
"célèbre";0,03;0,03
"culte";0,07;0,02
"radio";0,2;0,09
"grimper";0,02;0,04
"pilier";0,03;0,08
"pont";0,05;0,06
"mur";0,13;0,17
"fribourg";0,17;0,15
"escalade";0,02;0,04
"artificiel";0,09;0,07
"créatif";0,06;0,02
"faible";0,09;0,21
"marcher";0,35;0,6
"champion";0,17;0,19
"emji_gâteau_d";0,03;0,01
"happy";0,03;0,01
