"";"";"";"";"emji_visage_souriant_avec_coeurs";""
"177";"conjoint";"-0.477597866976251";"0.246672486025297";"0.828999648885948";"367"
"178";"masculinistes";"-0.385755862708108";"0.287481964965192";"0.828978533129565";"369"
"179";"polluer";"-0.676243595734687";"-0.0646604870875038";"0.828842092857554";"370"
"180";"caissier";"-0.685667652070827";"-0.0957563494480005";"0.828796511248824";"371"
"181";"budget";"-0.734011693500823";"0.0806636945264321";"0.828760167783511";"372"
"182";"voisin";"-0.137536892462311";"-0.296617188062963";"0.828373383976694";"375"
"183";"moyen";"-0.596092106111622";"0.235479579400366";"0.828307295719939";"376"
"184";"idée";"-0.226257612718555";"-0.24170734074188";"0.828269835555971";"377"
"185";"histoire";"-0.28422508642305";"0.265738882750317";"0.828251765341375";"378"
"186";"énergie";"-0.402828025701712";"0.037162625324062";"0.828064363003478";"379"
"187";"foot";"0.0782090205491172";"-0.590412100231855";"0.828036039464869";"380"
"188";"etc";"-0.511769423627368";"0.0463248913719648";"0.828023654261606";"381"
"189";"essayer";"-0.457446591310728";"0.0264349967519278";"0.827749657018929";"382"
"190";"conjugal";"-0.402359600643414";"0.204042597601953";"0.827238513589184";"387"
"191";"sanglier";"-0.153155914358629";"-0.360720260295981";"0.827064511635146";"388"
"192";"vrai";"0.011853818404353";"-8.09467652830655e-05";"0.827030198531024";"389"
