"";"";"";"";"emji_visage_souriant_avec_coeurs";""
"297";"exister";"-0.263635313972416";"-0.0169173867826735";"0.817525671725388";"522"
"298";"nom";"-0.207010140730396";"-0.25734563880279";"0.817455421228192";"524"
"299";"homicide";"-0.546431164994516";"0.255412421651402";"0.817421412678249";"525"
"300";"profil";"-0.407175813667025";"-0.133587827451764";"0.817386287429651";"527"
"301";"corps";"-0.360012213690331";"0.110285689500995";"0.817371973383257";"529"
"302";"éduquer";"-0.0347979213193105";"-0.0959489986445212";"0.817332381340039";"530"
"303";"emji_applaudissements_peau_claire";"3.02511789795131";"1.37160173085138";"0.81730395628337";"531"
"304";"emji_coeur_violet";"3.7800718290743";"1.28788658269624";"0.817216244679935";"534"
"305";"intéressant";"0.0736809314447567";"0.156551954899618";"0.817164470469573";"535"
"306";"emji_fleur_de_cerisier";"4.32639080571975";"1.77975747070316";"0.817161831000025";"536"
"307";"connerie";"-0.400623229942112";"0.0129739637860806";"0.817143963821548";"537"
"308";"emji_coeur_avec_ruban";"4.22229126708015";"1.72476644341865";"0.817103965706092";"539"
"309";"emji_drapeau_brésil";"4.05947259783814";"1.77217808106207";"0.817073510288232";"540"
"310";"primitif";"-0.408143913577197";"0.34117221092813";"0.816906310044183";"542"
"311";"pill";"-0.408143913577197";"0.34117221092813";"0.816906310044183";"543"
"312";"oreille";"0.31951255035764";"-0.689206791221443";"0.816903873610754";"544"
"313";"scolaire";"-0.129525342364515";"-0.481456135460265";"0.816878900168109";"545"
"314";"réflexion";"-0.121138584464597";"0.00110886703460643";"0.816778194253053";"547"
"315";"écran";"-0.00493459861309428";"-0.250811887969184";"0.816725404862097";"549"
"316";"prostitué";"-0.426198530220345";"0.402096473545847";"0.816677691374117";"550"
"317";"prostituer";"-0.400955681300592";"0.398676707438482";"0.816677691374117";"551"
"318";"science";"-0.450198753688957";"-0.100882053724778";"0.816615562321683";"552"
"319";"esprit";"-0.145201304581884";"-0.0205087860119049";"0.816580031000847";"553"
"320";"téléphone";"-0.0334381513460183";"-0.448864717922587";"0.816558813726404";"554"
"321";"moment";"-0.00498558551304558";"0.10833497044901";"0.8164687672076";"557"
"322";"emji_mains_qui_forment_un_coeur_peau_moyennement_claire";"3.48144471107441";"1.29958335150052";"0.816450900029122";"558"
"323";"vulgaire";"-0.339238078542652";"0.0739473931006629";"0.816431205525573";"559"
"324";"destructeur";"-0.432463745523475";"0.193467203184275";"0.816413338347095";"560"
"325";"ami";"0.237248516018865";"-0.0747858472351776";"0.816404404757856";"561"
"326";"obliger";"-0.392152729665978";"-0.15450687445169";"0.816377096399842";"562"
"327";"égal";"-0.515885602345377";"0.114561144977332";"0.816340854452589";"563"
"328";"faute";"-0.49501135823695";"0.107218206924418";"0.816090307881664";"566"
"329";"donner";"-0.314510499904497";"0.0235527193767412";"0.815969805944999";"567"
"330";"juger";"-0.469197045164909";"0.481459676646064";"0.815915087710911";"569"
"331";"emji_coeur_enflammé";"3.90023106309236";"1.57252546200668";"0.815913463421959";"570"
"332";"collège";"0.105415772759731";"-0.85954246112867";"0.815880876124849";"571"
"333";"draguer";"-0.228215908812796";"-0.0368448189582682";"0.815518659688438";"573"
"334";"emji_coeur_avec_bandages";"3.59003563159457";"1.69997766230972";"0.815507594219949";"574"
