mental;15;0;1;22;0;119
maman;75;0;3;14;2;64
expression;11;0;7;4;1;135
emji_visage_qui_hurle_de_peur;24;4;9;17;3;70
déranger;3;2;14;18;2;118
calcul;18;0;3;29;0;107
retraite;23;0;1;105;0;29
pain;23;2;1;86;13;16
opinion;2;0;15;19;0;124
fête;102;0;3;20;0;30
fier;54;2;10;19;2;65
emji_visage_souriant;109;2;4;11;0;32
conscience;7;0;14;26;4;107
attaquer;3;0;56;35;7;56
courir;19;0;7;20;2;104
commun;6;10;5;82;2;51
plaire;23;1;10;12;1;107
finalement;20;0;8;45;2;83
course;11;0;1;59;2;73
bientôt;11;2;11;58;3;72
prêt;15;0;8;80;0;52
p;37;2;9;28;0;74
intelligent;39;0;2;16;4;95
courant;11;6;20;26;4;88
copain;81;0;5;13;0;50
actuellement;9;0;12;55;0;82
sympa;78;1;3;18;2;54
rouler;19;0;2;116;0;13
emji_visage_souriant_avec_yeux_plissés;57;1;3;18;0;51
compliqué;4;1;11;35;2;103
carte;23;3;10;85;0;26
sud;12;1;21;106;0;9
responsabilité;6;0;17;35;1;92
fumer;14;0;2;44;1;85
atteindre;4;0;9;84;1;56
adorable;117;0;1;3;14;19
acte;2;0;62;20;1;66
violent;6;0;31;8;2;108
juger;7;0;24;7;0;110
etre;14;1;8;24;7;98
consommation;1;1;1;98;1;47
boulot;7;3;7;47;2;85
assurer;8;0;12;81;1;51
décision;7;0;20;38;0;87
critiquer;2;0;13;20;2;114
vacance;24;3;0;87;1;33
rêve;77;1;10;24;0;38
présenter;5;0;13;24;1;108
gérer;1;0;16;59;0;75
georges;110;0;0;0;0;29
action;5;0;40;40;1;58
nuit;19;1;13;39;5;72
emji_visage_avec_un_léger_sourire;38;4;19;16;2;67
direct;6;3;14;57;1;68
danger;1;1;22;35;3;85
chrétien;2;0;104;6;0;27
bloquer;1;0;28;59;0;60
utile;5;15;9;44;1;74
ressembler;56;1;8;26;2;53
musique;68;0;3;14;1;54
manif;1;0;97;12;0;34
emji_visage_avec_un_sourire_malin;27;2;11;23;1;66
vol;0;1;8;114;0;21
lier;4;0;8;77;2;57
employé;4;0;3;111;0;30
dépendre;12;0;4;85;2;42
dépasser;5;0;6;76;0;61
criminel;1;0;97;12;0;32
habitude;9;3;12;28;4;91
effort;8;0;5;49;1;85
cesser;3;0;105;15;1;21
cerveau;6;4;8;11;1;113
zone;2;2;19;98;1;15
quitter;14;0;13;62;2;53
inventer;13;16;5;21;2;91
enlever;8;4;14;63;0;53
couleur;31;1;3;14;2;94
vélo;4;2;1;113;1;9
frais;16;4;5;103;0;13
désolé;6;3;7;14;2;113
critique;5;0;14;16;1;107
bête;20;1;4;9;25;78
rare;36;0;2;33;3;68
raconter;14;0;13;18;1;99
président;14;0;69;19;0;39
lac;82;1;0;23;1;19
héritage;5;0;1;115;0;17
emji_visage_très_souriant_aux_yeux_rieurs;75;4;3;20;0;29
directement;2;3;22;67;0;47
assumer;4;0;21;20;1;97
affaire;8;3;18;58;1;53
vote;4;0;12;22;0;100
passage;16;12;5;73;1;36
papier;5;52;4;31;2;44
billet;15;0;1;114;0;6
sauvage;10;0;5;5;113;7
foot;24;1;2;23;1;83
essentiel;10;4;12;49;0;67
doigt;11;2;5;20;4;100
remarquer;13;1;5;18;0;104
principe;2;2;14;57;1;66
loyer;0;0;1;135;0;3
leçon;66;1;5;14;2;53
cheveu;47;1;5;20;1;64
avance;18;0;12;18;0;93
sacré;83;0;2;12;1;40
gosse;23;0;1;15;1;99
découvrir;47;3;4;24;1;61
énorme;19;1;2;83;1;33
village;32;0;13;55;3;34
scientifique;1;0;1;18;1;107
nécessaire;5;0;7;77;1;50
augmentation;0;0;1;114;1;14
ya;13;3;7;19;4;91
ps;18;1;14;28;1;75
inutile;2;0;12;60;1;65
impossible;15;4;12;55;1;53
emji_visage_souriant_avec_une_larme;45;1;5;29;2;44
dénoncer;0;0;63;21;2;49
conflit;0;0;59;17;0;60
transport;2;0;0;128;1;5
soigner;8;0;17;60;1;45
siècle;8;3;22;22;2;78
post;6;0;12;12;0;105
plan;7;0;55;26;0;40
marier;45;1;11;8;0;71
fameux;26;2;18;48;1;41
afrique;3;1;28;84;0;15
vaudois;82;0;1;30;1;22
tour;15;0;15;26;1;77
pousser;4;0;9;43;0;78
mentalité;21;0;5;12;1;98
frontière;1;0;24;84;0;27
campagne;14;2;2;44;5;66
autorité;1;0;52;31;1;49
élevé;9;0;1;83;3;40
voie;3;0;6;76;1;45
mouvement;8;0;33;19;0;71
engager;3;0;10;65;0;52
emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil;59;2;3;26;3;28
appliquer;2;0;11;65;1;57
réflexion;14;0;4;10;2;105
libérer;2;0;94;16;0;20
conseil;9;0;10;66;1;46
bouger;15;2;10;19;2;85
éduquer;18;0;5;6;0;101
présent;18;1;9;28;1;76
nourriture;2;1;10;65;24;30
magasin;11;1;2;92;1;25
jean;60;0;1;10;0;56
degré;10;2;1;25;2;90
caissier;0;0;0;83;0;40
accès;2;0;6;77;0;43
soleil;44;0;3;31;3;47
plastique;14;3;0;102;1;7
cool;46;0;6;19;3;59
conséquence;0;0;24;24;0;84
chf;2;1;3;101;0;8
apparemment;4;1;8;32;4;85
réellement;6;1;12;49;1;60
polluer;2;1;4;107;1;11
gratuit;2;1;3;94;0;27
condamner;0;0;55;14;5;57
excuser;4;1;22;18;1;85
adapter;2;1;0;57;5;64
supprimer;4;0;3;55;4;59
supporter;5;0;19;24;3;77
rôle;6;0;20;29;1;74
malade;7;0;5;34;6;75
gauchiste;6;0;18;19;1;83
accident;0;0;3;102;2;15
sauter;53;0;4;13;0;51
peau;10;2;3;19;2;85
onu;0;0;100;10;0;14
milieu;19;0;7;23;1;74
inquiéter;4;0;16;32;2;75
illégal;0;0;72;30;0;20
emji_ok;91;1;5;10;1;15
bizarre;8;4;18;12;2;84
attaque;1;0;60;21;1;44
table;16;0;0;8;2;99
probablement;7;0;8;25;1;84
perte;3;0;5;75;1;41
genocide;0;0;110;5;0;7
emji_visage_qui_fait_un_câlin;81;1;0;12;0;25
conseiller;6;2;26;49;4;38
sac;30;1;2;49;4;33
répéter;3;1;11;16;0;91
recherche;6;0;6;45;3;66
période;33;2;4;25;1;57
médecin;6;0;10;85;0;17
hôpital;3;1;21;74;0;28
honteux;2;1;22;19;2;79
goût;25;0;3;22;2;74
féminin;12;0;1;24;0;80
drogue;0;0;8;65;1;51
dos;15;2;9;46;6;44
contrôle;1;0;22;75;0;24
comportement;1;0;10;16;6;91
régime;1;0;25;23;14;46
emji_coeur_cartes;92;0;0;2;2;3
bande;19;3;82;7;0;12
bain;20;81;1;7;0;11
sorte;6;1;12;45;2;59
sioniste;1;0;105;2;0;10
légal;1;0;26;63;1;31
jeter;9;1;11;72;1;29
informer;1;0;18;20;4;78
gueule;9;0;9;24;0;82
