"";"";"";"";"htag_cinemafrancais";""
"46";"pour";"0.51528097895953";"-0.101686348331455";"0.845676787779362";"248"
"47";"moi";"0.905223505375121";"-0.0448413914793288";"0.845666926642104";"249"
"48";"1999";"0.525415462070802";"0.259470197337753";"0.845597898681297";"250"
"49";"htag_2000s";"0.524471981796397";"0.185388618170586";"0.844828729975168";"252"
"50";"htag_nature";"-0.495416582980043";"0.155411816318193";"0.844631507230007";"253"
"51";"pourtant";"0.32597669939994";"0.688615615754995";"0.844631507230007";"254"
"52";"htag_eighties";"0.742728302551423";"0.374013755458732";"0.844523034720168";"255"
"53";"htag_jura";"-0.154994084611467";"0.496855670935114";"0.843310114837426";"257"
"54";"parce_que";"-0.0172591736452396";"0.407833563089945";"0.842649418641135";"258"
"55";"htag_chansonfrancaise";"-0.0172591736452396";"0.407833563089945";"0.842649418641135";"259"
"56";"htag_automne";"0.991517602136944";"-0.388432853653282";"0.841791499699684";"261"
"57";"2009";"0.897113278275797";"0.44536095604158";"0.841791499699684";"262"
"58";"deux";"-0.191367890594203";"-0.436905232580839";"0.841397054209361";"263"
"59";"moins";"0.698946265482311";"-0.0124946925122928";"0.840756080287587";"265"
"60";"htag_60s";"0.484896707134408";"0.572329206935706";"0.840578579816942";"266"
"61";"htag_food";"0.73201858490923";"1.29784877971636";"0.837758294561135";"272"
"62";"htag_auto";"0.73201858490923";"1.29784877971636";"0.837758294561135";"273"
"63";"htag_police";"0.729412670552367";"1.0980361564019";"0.837758294561135";"275"
"64";"htag_adolescence";"0.729412670552367";"1.0980361564019";"0.837758294561135";"276"
"65";"18";"0.0124280036865866";"0.66973590041312";"0.837758294561135";"277"
"66";"htag_femme";"0.949051601074439";"-0.764670993385932";"0.837462460443393";"278"
"67";"2000";"0.387874089449921";"0.236732215780525";"0.837275098835489";"280"
"68";"htag_armeesuisse";"0.0287580537115754";"-0.332714635673831";"0.836012873266457";"283"
"69";"1973";"1.15511737809208";"-1.0960660598863";"0.835431066168231";"287"
"70";"cela";"0.526979902624987";"0.00299721561831708";"0.834997176128876";"288"
"71";"htag_bonheur";"0.735104938758762";"0.17412400877873";"0.833587033500973";"290"
"72";"htag_pollution";"0.885959080117181";"-0.286941056113102";"0.833587033500973";"291"
"73";"htag_ecology";"-0.0286886196183876";"-0.19274638684324";"0.833587033500973";"292"
"74";"htag_ecolo";"-0.0286886196183876";"-0.19274638684324";"0.833587033500973";"293"
"75";"htag_pluie";"0.717369983772741";"1.78967256731515";"0.83288689275565";"297"
"76";"combien";"0.384449813835053";"-0.0297599988286708";"0.83288689275565";"299"
"77";"htag_chanteuse";"0.791437944046896";"0.394040149738715";"0.83288689275565";"300"
"78";"vouloir";"0.638787945045457";"0.284421983602316";"0.832699531147747";"302"
"79";"ses";"-0.0144473353448171";"0.331526508478686";"0.832551614088876";"303"
"80";"aux";"0.517347712796034";"0.219621872929914";"0.832433280441779";"304"
"81";"htag_miam";"0.836597798044713";"0.692223145581138";"0.832196613147585";"306"
"82";"souvent";"0.678467371748883";"1.11021908578806";"0.832196613147585";"307"
