"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25"
"emji_ballon_de_football";-1,151;-0,069;-1,301;-0,215;-1,502;-1,655;-1,052;-1,553;-0,051;-0,954;-1,351;-1,251;-1,604;-0,954;-1,452;466,485;-1,655;-1,251;-0,245;-1,201;-1,151;0,087;-1,151;-1,301;-1,86
"place";-0,927;-1,129;4,557;-0,059;-1,21;-1,333;0,058;0,677;52,321;7,699;0;0,005;-1,292;0,116;-1,169;-0,022;-1,333;-1,008;-1,415;1,444;-0,927;-1,457;-0,927;0,001;-0,109
"passer";-0,927;-1,129;0,001;12,096;-0,013;0,535;-0,848;-0,022;-1,088;0,116;0;-1,008;-0,032;0,116;0,847;-0,022;-1,333;10,788;-0,074;0,012;-0,927;-1,457;0,023;-1,048;0,319
"connaître";-1,039;0,65;-1,174;-0,128;0,498;2,138;-0,95;6,251;-0,015;-0,861;0,738;-0,002;0,375;-0,861;-1,31;-1,401;-0,107;-1,129;-0,151;-1,084;-1,039;22,465;-1,039;-1,174;0,162
"trump";-0,854;0,001;-0,964;-1,265;-1,114;-1,227;-0,78;-1,151;-1,002;-0,707;-1,002;-0,927;353,082;-0,707;0;-1,151;0,727;-0,927;-1,303;-0,89;-0,854;-1,341;-0,854;-0,964;-1,379
"réseau";-0,817;-0,994;-0,923;-0,013;0;-0,007;-0,747;0;-0,958;0,22;-0,958;0,038;-0,003;-0,677;-1,03;0;-1,174;-0,887;44,521;-0,852;14,629;-1,283;0,077;0,024;-0,04
"prochain";-1,039;-1,264;-1,174;16,439;-0,053;-1,493;-0,95;6,251;3,389;-0,861;-0,015;-1,129;0,375;1,91;0,57;0,433;-1,493;-0,002;-1,586;0;-1,039;-0,175;-1,039;-1,174;1,565
"partir";-0,78;1,515;13,148;8,747;1,271;0,971;-0,713;0,001;-0,916;-0,646;-0,916;-0,848;4,276;0,266;0,009;-1,052;-1,121;-0,848;-1,191;-0,814;-0,78;-0,016;-0,78;-0,882;-0,023
"suite";-0,744;-0,905;-0,84;-1,102;-0,97;-1,069;0,215;0,006;-0,873;0,319;-0,873;-0,808;1,217;-0,616;12,045;0,006;1,117;-0,808;-1,135;0,109;0,139;-0,006;-0,744;24,202;-0,011
"marquer";-1,039;-1,264;15,301;-0,128;-1,355;-0,107;0,016;-0,069;0,738;-0,861;-0,015;0,945;2,31;-0,861;7,047;-0,069;-1,493;-1,129;-1,586;-1,084;0,001;0,195;-1,039;-0,007;1,565
"voir";-0,854;0,001;0,013;0,654;16,527;-0,016;-0,78;-0,004;-1,002;0,18;-1,002;-0,927;-1,189;-0,707;-1,076;0,892;-1,227;-0,927;0,587;0,037;6,504;0,526;-0,854;0,013;-0,06
"vaudois";-0,817;-0,994;0,024;-1,21;-1,066;-1,174;-0,747;4,159;0,014;-0,677;-0,958;0,038;-1,138;-0,677;55,957;-1,102;-1,174;-0,887;-1,247;-0,852;0,077;7,352;-0,817;1,621;0,561
"population";-0,384;-0,467;-0,434;4,306;0,626;-0,552;-0,351;13,758;-0,451;-0,318;-0,451;-0,417;-0,535;-0,318;-0,484;-0,518;-0,552;-0,417;-0,586;1,059;-0,384;-0,603;19,936;0,889;-0,621
"partie";-0,599;-0,729;3,115;-0,887;-0,781;0,053;-0,547;0,086;-0,702;-0,496;2,905;0,261;-0,834;0,626;0,13;-0,807;0,053;19,917;-0,914;-0,624;-0,599;-0,94;0,355;0,222;0,013
"groupe";-0,563;-0,685;-0,636;-0,834;-0,734;-0,809;-0,514;-0,759;-0,66;0,736;-0,66;0,331;0,106;-0,466;8,752;-0,759;-0,809;0,331;0,055;3,998;0,436;0,043;-0,563;0,286;5,969
"français";-0,707;23,492;-0,799;0,001;-0,923;-1,017;0,266;-0,954;-0,83;-0,586;-0,83;0,116;-0,985;0,38;6,075;-0,954;-1,017;-0,768;-1,079;0,145;64,224;-1,111;-0,707;-0,799;-1,143
"emji_drapeau_territoires_palestiniens";-0,854;-1,039;-0,964;-1,265;-1,114;-1,227;-0,78;-1,151;-1,002;-0,707;-1,002;-0,927;-1,189;-0,707;-1,076;-1,151;502,346;-0,927;-1,303;-0,89;-0,854;-1,341;-0,854;-0,964;-1,379
"violence";-0,563;-0,685;3,488;-0,834;-0,734;-0,809;-0,514;-0,759;-0,66;-0,466;-0,66;-0,611;-0,784;-0,466;-0,709;-0,759;0,087;10,817;-0,859;-0,587;12,116;22,97;0,436;0,286;-0,909
"rendre";-0,599;8,39;-0,676;-0,887;-0,781;-0,86;-0,547;-0,807;0,188;-0,496;0,188;-0,65;2,066;-0,496;2,531;0,086;-0,86;-0,65;1,689;-0,624;0,355;5,615;0,355;-0,676;-0,967
"international";-0,563;0,212;0,286;-0,834;-0,734;-0,809;0,568;-0,759;-0,66;-0,466;-0,66;-0,611;0,106;-0,466;2,861;-0,759;2,213;3,733;-0,859;0,38;-0,563;1,831;0,436;-0,636;1,719
"demander";-0,563;-0,685;-0,636;-0,834;2,682;-0,809;-0,514;-0,759;0,247;-0,466;-0,66;-0,611;2,359;0,736;0,18;-0,759;-0,809;-0,611;1,95;3,998;0,436;0,043;0,436;0,286;0,032
"ancien";-0,78;-0,95;1,805;-0,004;0,004;-1,121;-0,713;-1,052;0,027;-0,646;-0,916;-0,848;0;-0,646;0,009;-1,052;-0,001;0,058;-1,191;7,026;40,498;-0,016;-0,78;-0,882;3,191
"nuit";-0,89;-1,084;-1,006;41,391;-0,005;-1,28;-0,814;-1,201;-1,045;16,829;4,583;11,468;-1,24;0,145;-0,002;-0,011;-1,28;-0,967;-1,359;-0,929;-0,89;-1,399;-0,89;1,306;-1,439
"ministre";-0,964;-1,174;17,019;-1,429;-0,024;-1,386;-0,882;-0,035;-0,002;2,24;-1,132;-1,048;-1,343;0,091;59,963;-1,301;11,92;-1,048;-1,472;0,005;-0,964;-1,515;-0,964;0;-1,558
"emji_balance_à_poids";-0,671;-0,817;0,126;-0,994;-0,875;-0,964;-0,613;-0,905;-0,787;-0,556;-0,787;-0,729;5,631;-0,556;6,632;-0,905;1,472;-0,729;-1,024;0,189;91,324;-1,054;0,228;-0,758;-1,084
"désormais";-0,563;-0,685;0,286;2,077;2,682;0,087;-0,514;-0,759;-0,66;-0,466;0,247;-0,611;2,359;-0,466;-0,709;-0,759;0,087;-0,611;-0,859;-0,587;0,436;-0,884;4,287;3,488;0,032
"donald";-0,817;0,007;-0,923;-1,21;-1,066;-1,174;-0,747;-1,102;-0,958;-0,677;-0,958;-0,887;331,697;-0,677;0,002;-1,102;0,841;-0,887;-1,247;-0,852;-0,817;-1,283;-0,817;-0,923;-1,32
"couper";-0,89;0;0,005;-1,319;-0,005;-1,28;14,707;-1,201;-1,045;-0,738;-1,045;-0,967;-1,24;0,145;9,123;95,721;-1,28;0,012;-1,359;-0,929;-0,89;-1,399;-0,89;-1,006;-0,083
"animal";-0,527;3,449;-0,595;-0,78;-0,687;2,539;-0,481;-0,71;0,32;-0,436;-0,618;-0,572;-0,734;-0,436;-0,664;-0,71;-0,757;4,18;7,289;-0,549;-0,527;2,123;4,775;-0,595;0,061
"rapport";-0,527;-0,641;0,365;-0,78;-0,687;-0,757;-0,481;0,181;10,681;-0,436;0,32;-0,572;-0,734;6,346;-0,664;-0,71;-0,757;39,008;0,091;-0,549;-0,527;-0,827;0,533;-0,595;-0,851
