"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25"
"te";-0,138;-0,168;-0,156;3,541;-0,18;-0,199;-0,126;-0,187;-0,162;-0,115;-0,162;5,306;-0,193;-0,115;-0,174;4,017;-0,199;5,306;-0,211;-0,144;-0,138;-0,217;-0,138;-0,156;-0,223
"quoi";-0,104;6,716;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;7,671;-0,144;-0,086;-0,131;5,941;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"longtemps";-0,138;-0,168;-0,156;-0,205;-0,18;-0,199;-0,126;-0,187;4,814;-0,115;-0,162;-0,15;3,849;7,38;-0,174;-0,187;-0,199;-0,15;-0,211;-0,144;-0,138;3,268;-0,138;-0,156;-0,223
"ensuite";-0,138;4,594;-0,156;-0,205;-0,18;3,69;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;-0,115;-0,174;-0,187;3,69;-0,15;-0,211;-0,144;-0,138;-0,217;-0,138;5,051;-0,223
"différents";-0,138;-0,168;-0,156;3,541;-0,18;-0,199;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;3,849;-0,115;-0,174;-0,187;-0,199;-0,15;3,401;-0,144;-0,138;-0,217;-0,138;-0,156;3,142
"dehors";-0,138;-0,168;-0,156;-0,205;-0,18;-0,199;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;-0,115;-0,174;-0,187;-0,199;-0,15;-0,211;5,582;-0,138;3,268;5,881;-0,156;3,142
"certain";-0,104;-0,126;-0,117;-0,153;6,182;-0,149;-0,095;-0,14;7,011;-0,086;7,011;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"celles";-0,138;4,594;-0,156;-0,205;-0,18;-0,199;-0,126;-0,187;-0,162;-0,115;4,814;-0,15;-0,193;-0,115;-0,174;-0,187;-0,199;5,306;-0,211;-0,144;-0,138;-0,217;5,881;-0,156;-0,223
"autant";-0,104;6,716;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;10,448;6,44;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"96";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;5,714;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;23,467;-0,104;-0,117;-0,167
"64";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;7,011;10,448;-0,122;-0,113;-0,144;-0,086;6,44;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"59";-0,104;-0,126;7,329;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;5,941;-0,149;-0,113;-0,158;-0,108;-0,104;4,93;-0,104;-0,117;-0,167
"54";-0,138;-0,168;23,912;-0,205;-0,18;-0,199;-0,126;-0,187;-0,162;-0,115;-0,162;5,306;-0,193;-0,115;-0,174;-0,187;-0,199;-0,15;-0,211;-0,144;-0,138;3,268;-0,138;-0,156;-0,223
"37";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;5,501;-0,113;-0,158;-0,108;-0,104;-0,163;8,442;7,329;-0,167
"2016";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;5,941;7,011;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;7,329;-0,167
"1990";-0,104;-0,126;-0,117;-0,153;-0,135;5,501;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;5,714;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;4,761
"1970";-0,138;22,061;-0,156;-0,205;-0,18;-0,199;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;-0,115;-0,174;-0,187;-0,199;5,306;-0,211;-0,144;-0,138;3,268;-0,138;-0,156;-0,223
"1800";-0,138;-0,168;-0,156;-0,205;-0,18;-0,199;-0,126;-0,187;4,814;-0,115;-0,162;5,306;-0,193;-0,115;-0,174;-0,187;-0,199;-0,15;-0,211;5,582;-0,138;-0,217;5,881;-0,156;-0,223
"120";-0,104;-0,126;-0,117;-0,153;-0,135;5,501;-0,095;-0,14;-0,122;-0,086;-0,122;34,515;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"voici";-0,104;-0,126;7,329;-0,153;-0,135;-0,149;9,353;-0,14;-0,122;10,448;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"toi";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;7,011;7,671;-0,144;-0,086;-0,131;-0,14;-0,149;7,671;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"quel";-0,104;-0,126;-0,117;-0,153;6,182;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;5,941;-0,149;-0,113;-0,158;-0,108;-0,104;4,93;-0,104;-0,117;-0,167
"g";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;41,273;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;5,941;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"cinquante";-0,104;6,716;-0,117;-0,153;-0,135;-0,149;-0,095;5,941;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;4,93;-0,104;-0,117;-0,167
"chacun";-0,104;-0,126;7,329;-0,153;-0,135;5,501;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;8,041;-0,104;-0,163;-0,104;-0,117;-0,167
"certaine";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;10,448;6,44;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;4,761
"b";-0,104;6,716;-0,117;-0,153;-0,135;-0,149;-0,095;5,941;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;4,93;-0,104;-0,117;-0,167
"600";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;5,941;-0,122;10,448;7,011;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"48";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;5,714;-0,086;-0,131;27,547;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"3500";-0,104;-0,126;7,329;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;8,442;-0,117;4,761
"2031";-0,104;-0,126;-0,117;5,299;-0,135;-0,149;-0,095;5,941;-0,122;-0,086;-0,122;-0,113;-0,144;10,448;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"2007";-0,104;-0,126;-0,117;-0,153;6,182;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;37,612;-0,163;-0,104;-0,117;-0,167
"140";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;7,671;-0,144;10,448;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;7,329;-0,167
"*rts_i";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*i_1000";-0,034;-0,042;25,776;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;-0,034;-0,039;-0,056
"*postLikes_12200";-0,104;-0,126;7,329;-0,153;-0,135;5,501;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;5,714;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"*postComments_90";-0,069;-0,084;11,923;-0,102;-0,09;-0,099;-0,063;-0,093;-0,081;-0,057;-0,081;-0,075;9,49;-0,057;-0,087;-0,093;-0,099;-0,075;-0,105;-0,072;-0,069;-0,108;-0,069;-0,078;-0,111
"*postReposts_86";-0,104;-0,126;33,138;5,299;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"*postDate_1-1-2026";-0,069;-0,084;11,923;-0,102;-0,09;-0,099;-0,063;-0,093;-0,081;-0,057;-0,081;-0,075;-0,096;-0,057;-0,087;-0,093;-0,099;-0,075;-0,105;-0,072;-0,069;8,307;-0,069;-0,078;-0,111
"*commentDate_";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*commentLikes_";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*lang_fr";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"-*rts_i_description";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*i_0999";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;18,539;-0,034;-0,039;-0,056
"*postLikes_8600";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;10,448;-0,122;-0,113;-0,144;-0,086;6,44;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;4,93;-0,104;-0,117;-0,167
"*postComments_65";-0,069;-0,084;-0,078;-0,102;-0,09;-0,099;-0,063;-0,093;-0,081;16,61;-0,081;-0,075;-0,096;-0,057;-0,087;-0,093;-0,099;-0,075;-0,105;-0,072;-0,069;8,307;-0,069;-0,078;-0,111
"*postReposts_41";-0,208;-0,253;-0,235;-0,308;2,254;-0,299;-0,19;-0,281;-0,244;-0,172;-0,244;-0,226;11,476;-0,172;-0,262;-0,281;-0,299;-0,226;-0,318;-0,217;-0,208;1,658;3,352;2,809;-0,336
"*i_0998";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_11000";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postComments_52";-0,173;-0,211;-0,196;-0,257;-0,226;-0,249;-0,158;-0,234;3,511;-0,143;-0,203;3,9;-0,241;-0,143;16,244;-0,234;-0,249;-0,188;-0,264;-0,181;-0,173;-0,272;-0,173;-0,196;2,193
"*postReposts_62";13,597;-0,084;-0,078;-0,102;10,196;-0,099;-0,063;-0,093;-0,081;-0,057;-0,081;-0,075;-0,096;-0,057;-0,087;-0,093;-0,099;-0,075;-0,105;-0,072;-0,069;-0,108;-0,069;-0,078;-0,111
"*postDate_31-12-2025";-0,138;-0,168;-0,156;3,541;4,197;-0,199;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;-0,115;-0,174;-0,187;-0,199;-0,15;-0,211;-0,144;-0,138;-0,217;-0,138;-0,156;16,145
"*i_0997";-0,034;-0,042;-0,039;-0,051;22,321;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;-0,034;-0,039;-0,056
"*postLikes_2400";-0,455;0,464;0,575;0,232;3,963;-0,654;-0,416;-0,614;-0,534;-0,377;-0,534;-0,495;3,549;-0,377;0,416;0,332;-0,654;0,638;-0,695;-0,475;-0,455;0,18;0,786;0,575;-0,735
"*postComments_15";-0,455;4,438;-0,514;0,232;0,372;0,263;0,967;0,332;0,517;1,191;-0,534;-0,495;-0,634;-0,377;-0,574;3,749;-0,654;-0,495;-0,695;-0,475;-0,455;0,18;-0,455;0,575;-0,735
"*postReposts_6";0,077;0,007;0,024;-1,21;0;8,515;-0,747;0;-0,958;0,22;-0,958;-0,887;-0,003;3,097;4,713;0;-1,174;-0,887;-0,02;-0,852;-0,817;-0,029;2,133;-0,923;0,561
"*i_0996";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;-0,034;-0,039;18,025
"*postLikes_2300";-0,208;-0,253;2,809;-0,308;-0,271;-0,299;-0,19;2,138;2,654;-0,172;-0,244;-0,226;-0,29;4,338;-0,262;-0,281;-0,299;-0,226;1,742;-0,217;-0,208;-0,327;-0,208;-0,235;1,578
"*postComments_13";-0,455;4,438;-0,514;0,232;-0,594;0,263;-0,416;-0,614;-0,534;1,191;-0,534;-0,495;0,296;-0,377;-0,574;3,749;-0,654;5,295;-0,695;-0,475;-0,455;-0,715;-0,455;0,575;2,72
"*postReposts_4";1,2;-0,025;3,662;-0,128;-1,355;0,322;1,515;-0,069;-1,219;1,91;-0,015;-0,002;-0,087;-0,861;-1,31;-0,069;-0,107;0,945;-0,151;0;0,001;4,669;-1,039;-1,174;-0,2
"*i_0995";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_3100";-0,671;-0,817;-0,758;-0,994;-0,875;-0,964;-0,613;1,711;0,1;0,45;2,314;-0,729;5,631;-0,556;-0,846;-0,905;1,472;0,155;1,264;0,189;0,228;-1,054;0,228;-0,758;1,084
"*postComments_47";-0,208;-0,253;-0,235;-0,308;-0,271;-0,299;-0,19;2,138;-0,244;-0,172;-0,244;2,975;2,03;-0,172;2,378;-0,281;-0,299;-0,226;-0,318;3,156;-0,208;-0,327;-0,208;2,809;-0,336
"*postReposts_11";0,533;3,449;0,365;0,11;0,21;0,131;-0,481;-0,71;0,32;-0,436;-0,618;-0,572;-0,734;6,346;-0,664;2,865;-0,757;-0,572;-0,804;-0,549;0,533;-0,827;-0,527;-0,595;2,001
"*i_0994";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;-0,034;-0,039;18,025
"*postLikes_15400";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;-0,034;-0,039;18,025
"*postComments_228";-0,069;-0,084;-0,078;-0,102;-0,09;-0,099;-0,063;-0,093;-0,081;-0,057;-0,081;-0,075;-0,096;-0,057;-0,087;-0,093;-0,099;12,438;-0,105;-0,072;-0,069;-0,108;-0,069;-0,078;8,05
"*postReposts_42";-0,138;-0,168;-0,156;-0,205;-0,18;18,387;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;7,38;-0,174;-0,187;-0,199;-0,15;-0,211;-0,144;-0,138;-0,217;-0,138;-0,156;3,142
"*i_0993";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_3200";-0,278;-0,339;1,725;1,027;1,326;-0,4;2,447;-0,375;-0,326;-0,23;-0,326;-0,302;-0,387;2,844;1,415;-0,375;-0,4;-0,302;0,964;-0,29;2,12;-0,437;-0,278;-0,314;-0,449
"*postComments_39";-0,243;-0,296;-0,275;-0,36;-0,317;-0,349;-0,222;-0,328;-0,285;-0,201;11,562;-0,264;9,335;-0,201;1,822;1,62;-0,349;-0,264;-0,371;2,477;-0,243;-0,382;-0,243;-0,275;-0,393
"*postReposts_5";2,133;-0,994;1,621;0,763;-1,066;-1,174;0,136;0;-0,958;-0,677;-0,958;-0,887;3,91;-0,677;0,002;1,02;-1,174;0,038;-1,247;0,056;0,077;0,623;0,077;0,024;0,561
"*i_0992";-0,034;-0,042;-0,039;19,656;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;-0,034;-0,039;-0,056
"*postLikes_9800";-0,069;-0,084;-0,078;8,864;-0,09;-0,099;-0,063;-0,093;-0,081;-0,057;-0,081;-0,075;-0,096;-0,057;-0,087;-0,093;-0,099;-0,075;-0,105;-0,072;-0,069;-0,108;-0,069;-0,078;8,05
"*postComments_59";8,442;-0,126;7,329;5,299;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"*postReposts_35";-0,104;-0,126;-0,117;5,299;-0,135;-0,149;-0,095;5,941;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;5,11;-0,108;-0,104;-0,163;-0,104;-0,117;-0,167
"*i_0991";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_5100";-0,278;-0,339;-0,314;1,027;1,326;1,094;-0,254;-0,375;-0,326;-0,23;1,613;-0,302;-0,387;-0,23;-0,351;1,243;-0,4;1,845;-0,425;-0,29;-0,278;-0,437;-0,278;10,158;-0,449
"*postComments_97";-0,069;-0,084;-0,078;-0,102;-0,09;-0,099;-0,063;-0,093;-0,081;-0,057;-0,081;-0,075;-0,096;-0,057;10,584;-0,093;-0,099;-0,075;-0,105;-0,072;-0,069;-0,108;-0,069;11,923;-0,111
"*i_0990";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;29,124;-0,039;-0,056
"*postLikes_7600";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;6,44;-0,14;5,501;-0,113;-0,158;-0,108;-0,104;-0,163;8,442;-0,117;-0,167
"*postComments_195";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;29,124;-0,039;-0,056
"*postReposts_92";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;7,011;-0,113;5,714;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;-0,163;8,442;-0,117;-0,167
"*postDate_30-12-2025";-0,243;-0,296;-0,275;-0,36;1,717;-0,349;-0,222;-0,328;-0,285;-0,201;-0,285;-0,264;-0,339;-0,201;-0,306;-0,328;-0,349;2,325;1,29;2,477;2,643;-0,382;2,643;2,184;-0,393
"*i_0989";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_2600";-0,42;0,59;0,715;-0,622;-0,547;-0,603;1,154;-0,566;0,65;-0,348;5,354;-0,456;-0,584;-0,348;0,535;-0,566;3,888;-0,456;0,289;-0,438;0,953;-0,659;0,953;-0,474;-0,678
"*postComments_35";2,12;-0,339;-0,314;-0,412;-0,363;-0,4;-0,254;1,243;-0,326;2,844;1,613;1,845;-0,387;-0,23;1,415;-0,375;-0,4;-0,302;-0,425;-0,29;-0,278;-0,437;2,12;1,725;-0,449
"*postReposts_7";-0,78;-0,95;1,805;-0,004;0,004;0,971;8,613;0,001;-0,916;-0,646;0,027;-0,848;-1,087;-0,646;1,388;0,001;-1,121;0,058;-0,009;0,08;-0,78;-1,226;2,348;1,805;-0,023
"*i_0988";-0,034;-0,042;-0,039;-0,051;22,321;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;-0,034;-0,039;-0,056
"*postLikes_9300";-0,069;-0,084;-0,078;-0,102;10,196;-0,099;-0,063;-0,093;-0,081;-0,057;-0,081;12,438;-0,096;-0,057;-0,087;-0,093;-0,099;-0,075;-0,105;-0,072;-0,069;-0,108;-0,069;-0,078;-0,111
"*postComments_130";-0,034;-0,042;-0,039;-0,051;22,321;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;-0,034;-0,039;-0,056
"*postReposts_32";-0,42;-0,511;-0,474;0,321;0,485;-0,603;-0,384;4,312;-0,492;-0,348;-0,492;0,787;0,396;-0,348;0,535;4,312;-0,603;0,787;0,289;-0,438;-0,42;0,258;-0,42;-0,474;-0,678
"*i_0987";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;27,919;-0,034;-0,054;-0,034;-0,039;-0,056
"*postLikes_4700";-0,278;-0,339;-0,314;7,122;1,326;-0,4;2,447;-0,375;-0,326;-0,23;-0,326;-0,302;1,166;-0,23;-0,351;-0,375;-0,4;-0,302;-0,425;11,226;-0,278;-0,437;2,12;-0,314;-0,449
"*postReposts_10";0,077;0,007;1,621;-1,21;1,12;-0,007;-0,747;-1,102;1,479;0,22;5,354;-0,887;0,927;-0,677;-1,03;-1,102;-1,174;-0,887;0,69;1,946;0,077;-1,283;0,077;-0,923;0,561
"*i_0986";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;29,124;-0,054;-0,034;-0,039;-0,056
"*postLikes_3500";-0,384;-0,467;-0,434;0,436;-0,501;0,478;1,381;0,572;-0,451;-0,318;-0,451;-0,417;0,523;-0,318;0,683;0,572;-0,552;0,97;-0,586;-0,401;19,936;-0,603;-0,384;-0,434;-0,621
"*postComments_106";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;5,714;-0,086;-0,131;-0,14;-0,149;7,671;-0,158;-0,108;8,442;-0,163;-0,104;-0,117;-0,167
"*postReposts_22";-0,455;0,464;-0,514;0,232;0,372;-0,654;0,967;-0,614;0,517;1,191;-0,534;-0,495;-0,634;-0,377;4,192;-0,614;-0,654;-0,495;0,205;-0,475;5,992;0,18;-0,455;0,575;-0,735
"*i_0985";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_4300";-0,313;1,19;-0,354;-0,464;1,031;-0,45;-0,286;-0,423;1,279;12,804;-0,368;-0,34;-0,437;-0,26;-0,395;0,96;-0,45;9,103;0,722;-0,327;-0,313;-0,492;-0,313;-0,354;-0,506
"*postReposts_14";0,533;-0,641;0,365;2,391;0,21;-0,757;0,679;2,865;0,32;-0,436;-0,618;-0,572;-0,734;-0,436;-0,664;2,865;-0,757;-0,572;-0,804;12,533;-0,527;0,075;-0,527;-0,595;-0,851
"*i_0984";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;-0,053;-0,036;-0,034;-0,054;-0,034;25,776;-0,056
"*postLikes_4500";-0,243;-0,296;-0,275;1,365;-0,317;-0,349;-0,222;-0,328;-0,285;3,48;2,054;-0,264;-0,339;-0,201;1,822;-0,328;-0,349;-0,264;-0,371;-0,254;-0,243;1,22;2,643;2,184;-0,393
"*postComments_112";-0,104;-0,126;-0,117;-0,153;-0,135;-0,149;-0,095;-0,14;-0,122;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;5,501;-0,113;-0,158;-0,108;-0,104;-0,163;8,442;7,329;-0,167
"*postReposts_39";-0,173;-0,211;-0,196;-0,257;-0,226;-0,249;-0,158;-0,234;-0,203;5,55;-0,203;-0,188;-0,241;-0,143;-0,218;-0,234;13,974;-0,188;-0,264;-0,181;4,357;-0,272;-0,173;3,698;-0,28
"*i_0983";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;26,806;-0,053;-0,036;-0,034;-0,054;-0,034;-0,039;-0,056
"*postLikes_4900";-0,243;-0,296;-0,275;1,365;-0,317;-0,349;-0,222;9,724;-0,285;-0,201;2,054;2,325;-0,339;-0,201;-0,306;-0,328;-0,349;2,325;-0,371;-0,254;-0,243;1,22;-0,243;-0,275;-0,393
"*postComments_87";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;26,806;-0,053;-0,036;-0,034;-0,054;-0,034;-0,039;-0,056
"*postReposts_12";0,228;0,079;-0,758;-0,994;0,045;0,013;-0,613;1,711;0,1;-0,556;0,1;-0,729;-0,935;4,359;-0,846;-0,905;-0,964;8,351;0,003;-0,7;3,15;0,001;0,228;-0,758;0
"*i_0982";-0,034;-0,042;-0,039;-0,051;-0,045;-0,049;-0,031;-0,046;-0,04;-0,029;-0,04;-0,037;-0,048;-0,029;-0,043;-0,046;-0,049;-0,037;19,082;-0,036;-0,034;-0,054;-0,034;-0,039;-0,056
"*postLikes_2200";0,648;-0,597;0,459;0,163;-0,64;-0,706;-0,449;-0,662;0,408;1,014;-0,576;-0,533;-0,684;18,454;10,696;-0,662;-0,706;-0,533;2,606;-0,512;-0,491;-0,771;0,648;-0,555;-0,793
"*postComments_16";2,348;0,016;0,041;-1,156;1,271;-1,121;2,806;-1,052;1,654;0,266;-0,916;-0,848;-1,087;-0,646;0,009;1,163;-1,121;-0,848;0,807;-0,814;0,105;3,381;-0,78;-0,882;0,667
"*postReposts_25";-0,278;-0,339;-0,314;7,122;-0,363;-0,4;-0,254;1,243;-0,326;-0,23;1,613;-0,302;1,166;-0,23;-0,351;-0,375;-0,4;-0,302;0,964;1,977;2,12;-0,437;-0,278;-0,314;-0,449
"*i_0981";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
