"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25"
"aider";1;1;1;1;0,19;0,229;1;0,203;1;1;1;1;1;1;1;0,203;1;0,127;1;1;1;1;0;1;1
"achat";1;1;1;1;0,133;0,165;1;1;1;1;1;1;1;1;1;1;0,165;1;1;1;1;1;0;1;1
"évoquer";1;1;1;1;1;1;1;1;1;1;0,001;1;1;1;0,177;1;0,229;1;1;0,116;1;0,269;1;0,139;1
"écrire";1;1;1;1;1;1;0,082;1;0,001;1;1;1;0,216;1;0,177;0,203;1;1;1;0,116;1;1;1;1;1
"vétérinaire";1;1;1;1;1;1;1;1;1;1;0,028;1;1;1;1;1;1;1;0,065;1;1;1;0;1;1
"visiteur";1;1;1;0,311;0;1;1;1;0,204;1;0,002;1;1;1;1;1;1;1;1;1;1;1;1;1;0,357
"version";1;1;1;1;1;1;1;1;1;1;1;1;1;0,062;1;1;1;1;0,256;0,116;1;0;1;1;0,283
"trouble";1;1;1;1;1;0,165;1;1;1;1;1;1;1;1;1;1;1;1;0,001;1;1;1;0;0,094;1
"traverser";1;1;1;0,176;1;1;1;1;1;1;0,103;0;1;1;1;1;1;1;1;1;1;0,198;1;1;1
"transférer";1;1;0,139;1;1;1;1;1;0,152;1;1;1;1;1;1;1;0,003;1;1;0,116;0,104;1;1;0,139;1
"trajet";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,16;1;1;1;1;1
"territoire";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"série";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,025;0
"swiss";1;1;1;0,06;1;1;0,01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,071;0,015;1;1
"super";1;1;1;1;1;1;0;1;1;0,092;0,002;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"st";1;1;1;0,001;1;1;1;1;0,103;1;1;0,085;1;1;1;0,144;0,165;1;1;1;1;1;1;1;1
"sortie";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,011;0,015;1;1;0,024;1;1;1;1;1;1
"sommeil";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"solution";1;1;1;0,113;1;1;1;0,09;1;1;0,061;1;1;1;1;1;1;0,048;0,122;1;1;1;1;1;1
"skieur";1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,144;1;1;1;1;1;1;1;1;1
"siècle";1;0,219;1;1;0,25;1;1;0,265;1;1;1;0,001;1;1;1;1;1;0,174;1;1;1;1;0,145;1;0,357
"signer";1;1;1;0,113;1;1;1;0,09;1;1;1;1;0;1;1;1;1;1;0,122;1;1;1;1;1;1
"sarkozy";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"régional";1;1;1;0,113;0,082;1;1;0,09;1;0,018;1;1;1;1;1;0,09;1;1;1;1;1;1;1;1;1
"récent";1;1;1;1;1;0,003;1;1;1;0,062;0,152;1;1;1;0,177;1;1;1;0,004;1;1;1;1;1;1
"remonter";1;1;1;1;1;0,003;1;1;1;1;0,001;0;1;1;1;1;1;1;0,256;1;1;1;1;1;1
"rejoindre";1;0,068;1;0,113;1;1;1;1;1;1;1;1;1;1;1;0,09;1;1;1;1;1;0;1;1;1
"reconnaître";1;1;1;0,243;1;0,229;1;1;1;1;1;1;0,216;1;1;1;1;1;0,256;0,116;0,104;0,269;1;1;1
"rare";1;1;0,094;1;1;1;1;1;1;1;0,103;0,085;0,001;1;1;1;1;1;1;1;1;1;1;1;0,209
"rapporter";1;1;1;0,243;1;1;1;1;1;0,062;1;1;0,002;1;1;1;0,003;1;1;0,116;1;1;1;1;1
"pénal";1;1;1;1;1;1;1;1;0,103;1;1;1;0,154;1;0,123;1;1;1;1;0;1;1;1;0,094;1
"prévention";1;1;1;1;0,133;1;1;0,144;1;1;1;0,085;1;1;1;1;1;0;1;1;1;1;1;0,094;1
"production";1;1;1;1;1;0,055;1;0;1;1;1;1;1;1;1;1;1;0,021;1;1;1;1;1;1;1
"procédure";1;1;1;1;1;1;1;0,265;0,204;1;1;1;1;1;0,003;1;0,296;0,174;1;0,16;0,145;1;1;1;1
"pression";1;1;1;1;0,25;0,296;1;0,265;1;1;1;1;0,005;1;0,234;1;1;1;0,009;1;1;1;1;1;1
"pousser";1;1;1;1;0,133;1;1;1;1;1;1;1;1;0,037;0,123;1;1;1;0,187;0,076;1;1;0,067;1;1
"pluie";1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0,265;1;1;0,326;1;1;1;1;1;1
"piste";1;1;1;1;0;1;1;1;1;0,062;1;1;1;1;1;1;1;1;0,256;1;0,104;1;1;0,139;1
"perturber";1;1;1;1;1;1;1;1;1;1;1;0,021;1;1;0,036;1;1;1;0,065;1;1;1;1;0,025;1
"patrimoine";1;1;1;1;1;1;1;1;1;1;1;0,006;1;1;1;1;1;1;1;0,005;1;0,026;1;1;1
"passage";1;1;1;1;0,133;1;1;1;0,103;0,037;1;0,085;1;1;1;1;1;1;1;1;1;0,198;1;1;0,209
"parmelin";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002
"outil";1;1;1;1;1;1;1;1;0,061;1;1;1;1;1;1;1;1;1;0,122;1;1;1;0;1;1
"noir";1;1;1;1;1;0,229;1;0,203;1;1;1;1;0,216;0,062;1;1;1;1;0,004;1;1;0,269;1;1;1
"nobel";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"nes";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,076;1;1;1;1;1
"médecin";1;1;1;1;1;0,019;1;1;1;1;1;1;1;1;1;1;0,019;1;0,024;1;1;1;1;1;1
"modèle";1;1;1;1;0,001;0,229;1;0,203;0,152;1;1;1;0,216;1;1;0,203;1;1;1;1;1;1;1;1;1
"milan";1;1;1;0,176;1;0,001;1;1;1;1;1;1;1;1;1;1;1;1;0,187;1;1;1;0,067;1;0,209
"mars";1;0,164;1;0,003;0,19;1;1;1;1;1;0,152;1;1;0,062;1;1;1;1;1;1;1;1;1;1;0,283
"manière";1;1;1;0,113;0,082;1;0,027;1;1;1;0,061;1;1;1;1;1;1;0,048;1;1;1;1;1;1;1
"magasin";1;1;1;1;1;0,165;1;1;0,103;1;1;0,085;0,154;1;0,123;1;1;1;1;0,076;1;1;1;1;1
"livre";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,011;1;1;1;1;1;0,004;0,026;1;1;1
"limiter";1;1;0,139;1;0,001;1;1;1;0,001;1;1;1;1;0,062;1;1;1;1;1;1;1;1;0,104;1;1
"inviter";1;1;1;1;1;1;0,051;1;1;1;0,103;1;1;1;0,123;1;0,165;1;1;1;1;0,198;1;1;0,209
"introduire";1;1;1;0;0,082;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"interrompre";1;1;1;1;1;1;1;0,045;1;1;1;1;1;1;1;0,045;0,055;0,021;1;1;1;1;1;1;1
"impliquer";1;1;1;1;1;0,165;1;0,144;1;1;1;1;0,154;1;0,123;1;1;0,085;1;1;1;1;1;0,094;1
"guy";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002
"gros";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0,045;1;1;0,065;1;1;1;1;1;1
"geste";1;1;1;1;1;1;1;1;1;1;1;1;1;0,018;1;1;1;1;0,122;0,042;1;1;0,037;1;0,139
"gall";1;1;1;0,003;1;1;1;0,203;1;1;1;1;1;1;1;0;0,229;1;1;1;1;1;1;1;1
"frontière";1;1;1;1;1;1;1;1;1;1;1;0,085;1;1;1;1;0;1;1;0,076;1;1;1;1;0,209
"fribourgeois";1;1;1;0,113;1;0,105;1;0;1;1;1;1;1;1;1;0,09;1;1;1;1;1;1;1;1;1
"fm";1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
"fille";1;0,068;1;1;1;0,105;1;1;1;1;1;1;0,097;1;1;1;1;0,048;0,122;1;1;1;1;1;1
"festival";1;1;1;1;1;1;1;0,203;1;0,062;0,152;1;1;1;1;1;1;1;1;0,116;1;1;1;1;0
"extrême";1;1;0;1;1;1;1;1;1;1;0,103;1;1;1;1;1;1;1;1;0,076;0,067;1;1;1;1
"entrée";1;1;0;1;0,133;1;1;1;1;0,037;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"engager";1;1;1;1;1;1;1;0,045;1;1;1;1;1;1;1;1;1;1;1;0,018;0,015;1;0,015;1;1
"emji_palette_de_peinture";1;1;1;1;0,25;1;1;1;0,204;1;1;1;1;1;1;1;1;1;1;1;1;0;0,145;1;0,357
"emji_ordinateur_portable";1;0,164;1;1;1;0,229;1;1;1;1;1;1;1;1;1;1;1;0,127;0,256;0,116;0,104;1;0,104;1;1
"emji_monument_classique";1;1;1;1;0,19;1;1;1;0,001;1;1;1;1;1;1;1;1;1;0,256;0,116;0,104;1;1;0,139;1
"emji_maison";1;1;1;1;1;1;1;1;0,061;1;1;1;1;1;1;1;1;0;1;1;1;1;0,037;1;0,139
"emji_loupe_orientée_à_gauche";1;1;1;1;1;1;1;1;1;1;1;1;0,097;0,018;1;1;1;1;0,122;0,042;0,037;1;1;1;1
"démocrate";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"défi";1;1;1;1;1;0,229;1;0,002;0,152;1;0,152;0,127;1;1;1;1;1;1;1;1;1;1;1;1;0,283
"défendre";1;1;0;1;1;1;1;1;1;1;1;1;0,154;1;0,123;1;1;1;0,187;0,076;1;1;1;1;1
"dédier";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"décès";1;1;1;1;1;0,165;1;1;1;0;1;1;1;1;1;1;1;0,085;1;1;1;1;1;1;0,209
"déclencher";1;0,113;0,094;1;1;1;1;1;1;1;0,103;1;1;1;1;1;1;1;0,001;1;1;1;1;0,094;1
"donnée";1;1;1;1;1;0,229;1;0,203;1;1;0,152;0,127;1;1;1;1;1;1;0,004;0,116;1;1;1;1;1
"direction";1;1;1;0;1;1;1;0,203;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,104;1;0,006
"direct";1;1;0,054;0;1;1;1;0,09;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"côté";1;0,113;1;1;1;0,165;1;1;1;1;1;1;1;1;1;0,144;1;1;1;1;1;1;1;1;0
"célébrer";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,265;1;1;1;1;1;1;1;1;0
"condamner";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,177;1;1;1;1;1;0;1;1;1;1
"commission";1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,123;0,144;1;1;1;0;1;1;1;1;1
"commercial";1;1;1;0,113;0,082;1;1;1;1;1;1;1;1;1;1;1;1;1;0,122;0,042;1;1;1;0,054;1
"cinéma";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,139
"cible";1;1;0,054;1;1;1;1;1;1;1;1;1;1;1;1;1;0,105;1;1;1;0,037;1;1;0;1
"chinois";1;1;1;0,176;0,133;1;1;1;1;0,037;1;1;0,154;1;1;1;1;1;0,187;1;0,067;1;1;1;1
"changer";1;1;1;0;1;1;1;1;1;0,018;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"cave";1;0,032;1;1;0,041;1;1;1;1;1;1;1;1;1;1;1;1;0,021;0,065;1;1;1;1;1;1
"brésil";1;1;0,025;1;1;0,055;1;1;1;1;1;1;1;1;1;1;1;0,021;1;1;1;1;1;1;0,076
"blanc";1;1;1;1;1;1;1;1;1;0,037;0,103;1;0,154;1;1;1;1;1;1;1;1;1;1;0;0,209
"bientôt";1;1;1;0,06;1;0,055;1;1;0,028;1;1;1;1;0,007;1;1;1;1;1;1;1;1;1;1;1
"bain";1;1;1;0,113;0,082;1;1;0,09;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,054;0,139
"assurance";1;1;1;1;1;1;1;1;1;0,001;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
"arme";1;1;1;1;1;1;1;1;1;0,018;1;1;0,097;1;1;1;1;1;1;1;1;1;1;0;1
"argent";1;1;1;1;1;0,055;1;0,045;1;1;1;1;1;1;1;1;1;1;0,065;1;1;1;0,015;1;1
"annuel";1;1;0,025;1;1;0,055;1;1;1;1;0,028;1;1;1;1;1;1;1;1;1;1;0,071;1;1;1
"amateur";1;0,068;1;1;1;1;1;1;1;1;0,061;1;1;1;1;1;1;1;1;1;1;0;1;1;0,139
"al";1;1;1;1;1;1;1;1;1;1;1;1;0,097;1;1;1;0,105;1;1;0,042;0,037;1;1;1;0,139
"acte";1;1;0,094;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0,094;1
"accessible";1;0,164;1;0;1;1;1;0,203;1;1;0,152;1;1;1;1;1;1;1;1;1;1;0,269;1;1;1
"évaluer";1;1;1;1;1;1;1;0,045;0,028;1;1;1;1;1;1;1;1;1;1;1;1;1;0,015;0,025;1
"époux";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,025;1
"échange";1;1;1;1;1;1;1;1;0,061;1;1;1;1;0,018;0,075;1;0,105;1;1;1;1;1;1;0,054;1
"yodel";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,029
"véhicule";1;1;1;0,113;1;1;1;1;0,061;0,018;1;1;1;1;1;1;0,105;1;0,122;1;1;1;1;1;1
"vraiment";1;1;1;0,113;1;1;1;1;1;1;0,061;1;1;1;1;1;1;1;1;1;1;1;0;1;0,139
"vivre";1;1;1;1;1;1;1;0,015;0,008;1;1;1;1;1;1;1;1;1;1;1;1;1;0,004;1;1
"visite";1;1;1;1;1;1;1;1;1;1;1;1;0,05;1;1;1;1;1;1;0,018;1;0,071;1;1;0,076
"vent";1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"vendre";1;1;1;1;1;0,165;1;0,001;1;1;1;1;1;1;0,123;1;1;1;1;1;1;0,002;1;1;1
"vaste";1;1;1;0,176;0,133;0,165;1;1;1;1;1;1;1;1;0,123;1;1;1;1;1;1;1;1;0,094;0,209
"valider";1;1;1;1;1;1;1;0,09;1;1;1;1;1;0;0,075;0,09;1;1;1;1;1;1;1;1;1
"témoigner";1;1;1;1;1;0,105;1;1;0,061;1;0,061;1;1;1;1;1;0,105;1;1;1;1;1;0,037;1;1
"travailler";1;1;1;1;1;0,105;1;1;1;1;1;0,048;1;1;1;1;0,105;1;1;1;1;0,13;1;0,054;1
"transporter";1;1;1;1;1;1;1;1;0,008;0,001;1;1;1;1;1;1;1;1;0,024;1;1;1;1;1;1
"tradition";1;1;1;1;1;1;1;1;0,103;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,209
"tourner";1;1;1;1;1;1;1;1;1;0,001;1;0,006;1;1;1;1;1;1;1;1;1;0,026;1;1;1
"touriste";1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"total";1;1;1;1;1;1;0,002;1;0,008;1;1;1;1;1;1;1;1;0,006;1;1;1;1;1;1;1
"théâtre";1;1;1;1;1;1;1;1;0,061;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1
"terminer";1;1;1;1;1;1;1;1;1;1;0,103;1;1;1;1;1;0,165;1;1;0,076;1;0,198;1;1;0,002
"tenter";1;1;0,094;1;1;1;1;1;1;1;1;1;1;1;1;1;0,165;1;0,187;0,076;0,067;1;1;1;0,209
"tension";1;1;1;1;1;1;1;0,001;1;1;1;1;0,154;0,037;1;1;1;1;0,187;1;1;1;0,067;1;1
"survenir";1;1;0,139;0,243;0,19;1;0,082;1;1;0,062;1;1;0,216;1;1;1;1;1;1;1;1;1;1;0,139;1
"supérieur";1;1;1;0,113;1;0,105;1;1;1;1;0,061;1;1;1;1;1;1;1;1;0,042;0,037;1;1;1;1
"supprimer";1;1;1;1;1;1;1;0,09;0,061;1;1;1;0,097;1;0,075;1;1;1;0,122;1;1;1;1;1;1
"supplémentaire";1;1;1;1;1;1;1;1;0,061;1;0;1;1;0,018;0,075;1;1;1;1;1;1;1;1;1;1
"statistique";1;1;1;1;1;1;1;1;1;1;0,008;1;1;1;1;1;1;0,006;1;1;1;1;0,004;1;1
"spectaculaire";1;0,032;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,065;1;1;1;1;0,025;0,076
"source";1;1;1;1;1;1;1;1;1;1;1;1;0,05;1;1;1;0,055;1;1;1;0;1;1;1;1
"soupçonner";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,004;1;1;0;1
"sondage";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0,029
"significatif";1;1;0,094;0;1;1;1;1;1;0,037;1;1;0,154;1;1;1;1;1;1;1;1;1;1;1;1
"second";1;1;0;1;1;1;1;1;1;1;1;1;0,154;1;1;1;1;1;1;1;1;1;0,067;1;1
"science";1;0,113;1;1;1;0,001;1;0,144;1;1;0,103;1;1;1;1;1;1;1;1;1;1;0,198;1;1;1
"satellite";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,005;1;1;1;1;1
"réserver";1;1;1;0,176;0,133;1;1;0,144;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"réclamer";1;1;0,094;1;1;1;1;1;0,103;1;1;1;1;0,037;0,123;1;1;1;1;0;1;1;1;1;1
"réalité";1;1;1;1;1;1;1;1;1;1;1;0,127;1;1;1;1;1;0,127;0;1;1;0,005;1;1;1
"rue";1;1;1;1;1;1;1;1;1;1;1;1;0,097;1;0;1;1;1;1;1;1;0,13;1;0,054;1
"route";1;1;0,054;1;1;1;1;1;1;1;1;0,048;1;1;1;1;1;0,048;0,122;1;1;1;0,037;1;1
"représentant";1;1;1;1;0,082;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"relier";1;1;1;0;1;1;1;1;1;1;1;1;1;0,037;1;1;1;1;1;1;1;1;1;1;1
"refléter";1;1;1;1;1;1;1;0,09;1;1;1;0,048;1;1;1;1;1;0,048;1;1;1;0,13;0,037;1;1
"qualifier";1;1;1;1;1;1;1;0,015;1;1;1;1;0,017;1;1;0,015;1;1;1;1;1;1;1;1;1
"père";1;1;0;1;1;1;1;1;0,103;1;1;1;1;1;1;1;1;0,085;1;1;1;0,198;1;1;0,209
"présence";1;0,032;1;1;1;1;1;0,045;1;1;1;0,021;1;1;1;1;1;0,021;1;1;1;1;1;1;1
"préparer";1;1;1;1;1;1;1;1;0,103;1;1;0;1;1;1;1;1;1;0,187;1;1;1;1;1;0,209
"provenir";1;0,164;1;1;0,19;0,229;1;0,002;1;1;1;1;1;1;0,001;1;1;1;1;1;1;1;1;1;1
"propos";1;0,113;1;1;1;1;1;1;0,103;1;1;1;0,154;1;0,123;1;0,165;1;1;1;1;1;0,067;1;1
"prolonger";1;1;1;0,243;1;1;1;0,002;1;1;1;1;1;0,062;1;1;1;1;0,256;0,116;1;1;1;1;0,283
"pratique";1;1;1;1;1;1;1;1;1;1;0,028;1;1;1;1;1;0,055;1;0;1;1;1;1;1;1
"plonger";1;1;0,139;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
"plateformes";1;1;1;0,176;1;1;1;1;1;0,037;1;1;1;1;1;1;1;1;1;1;1;0,198;0,067;1;0,002
"placer";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"pièce";1;1;1;1;1;1;1;1;0,008;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,007;0,029
"physique";1;1;1;1;1;0,229;1;0,203;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"philippe";1;1;1;1;1;1;1;0,015;1;1;0,008;1;1;1;1;1;1;1;1;1;1;1;1;1;0,029
"personnalité";1;0,032;1;1;0,041;1;1;1;1;1;1;1;1;1;0,036;1;1;0,021;1;1;1;1;1;1;1
"percevoir";1;1;1;1;1;1;1;1;1;1;1;1;1;0,062;1;1;1;1;0,256;0,116;1;1;0;1;1
"penser";1;1;1;1;1;0,105;0,027;1;1;1;0,061;1;1;1;1;0,09;1;0,048;1;1;1;1;1;1;1
"partiel";1;1;0,094;1;1;1;1;1;1;1;0,103;1;0,154;1;1;1;1;1;1;0,076;1;1;1;0;1
"participant";1;0,113;1;1;1;0,165;1;1;1;1;1;1;1;1;1;1;0,165;1;0,187;1;1;1;1;1;0,002
"parcours";1;1;1;1;1;1;1;0,144;0,103;1;1;0,085;1;1;1;0,144;1;1;1;1;1;0,002;1;1;1
"ordre";1;1;1;1;1;1;1;1;1;1;1;1;1;0,007;1;1;1;1;1;0,018;1;1;1;0;1
"opération";1;1;1;0,113;1;1;1;1;1;1;1;1;1;1;0,075;1;1;1;1;1;1;1;1;0;1
"opposer";1;1;1;1;1;1;1;1;1;1;1;1;0,05;1;1;1;1;1;1;0;1;1;1;1;1
"of";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"odermatt";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"observer";1;1;1;1;1;0;1;1;1;1;1;0,085;1;1;1;1;0,165;1;0,187;1;1;1;1;1;1
"obligatoire";1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,018;1;1;1;1;1
"nécessaire";1;1;1;0,176;1;1;1;1;0,103;1;1;1;1;0,037;1;1;0,165;1;1;1;1;0,198;0,067;1;1
"météorologique";1;1;1;1;1;1;1;1;1;1;0;0,085;1;1;0,123;1;1;1;1;1;1;1;1;1;1
"médicament";1;1;1;1;1;0,055;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"municipal";1;1;1;1;1;1;1;0,045;1;1;1;1;0,05;1;0;1;1;1;1;1;1;1;1;1;1
"moyen";1;1;1;1;1;1;1;1;1;1;1;1;0,05;1;1;1;1;1;1;1;1;0,071;0,015;0,025;1
"montant";1;1;1;1;1;0,105;1;1;1;0;1;1;1;1;0,075;1;0,105;1;1;1;1;1;1;1;1
"mobiliser";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0,007;1
"mission";1;1;0,094;1;1;1;1;1;1;0,037;1;1;1;1;1;1;0,001;1;0,187;1;1;0,198;1;1;1
"mineur";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,021;1;1;0,015;1;0;1;1
"menace";1;1;1;1;1;1;1;1;1;0,001;1;1;1;1;1;1;1;1;1;0,005;1;1;0,004;1;1
"maurice";1;1;1;1;1;1;1;1;0,008;1;1;1;1;1;1;1;1;1;1;0,005;0,004;1;1;1;1
"matinal";1;1;0,054;0,113;1;1;1;1;1;1;0,061;1;1;1;1;1;0,105;1;1;1;1;1;1;1;0,139
"massif";1;1;0,054;1;1;1;1;0,09;1;1;1;1;1;1;0,075;1;1;1;1;0;1;1;1;1;1
"marco";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"mai";1;1;1;1;0,133;1;1;1;0,103;1;1;1;1;1;1;0,144;1;0,085;1;1;0,067;1;1;0,094;1
"magazine";1;1;1;1;1;0,055;1;0;0,028;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"légende";1;0,032;1;1;1;1;0,01;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"lumière";1;0,164;1;1;0,19;0,229;1;1;1;1;1;0,127;1;1;1;1;0,229;1;0,256;1;1;0,269;1;1;1
"logement";1;1;0,007;1;0,013;1;1;0,015;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"libérer";1;1;1;1;1;0,165;1;1;0,103;1;1;1;1;1;1;1;0;1;0,187;1;1;1;1;1;1
"kilomètre";1;1;1;1;1;1;1;1;1;0,007;1;0,021;1;1;1;1;1;1;0,065;1;1;1;1;1;0,076
"jeffrey";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"italie";1;0,164;1;0,243;0,19;0,229;1;1;1;1;1;1;1;1;1;0,203;1;1;0,256;1;1;1;1;1;0,283
"intérieur";1;1;1;1;1;0,229;1;1;0,152;0,062;1;1;1;1;0,177;1;1;1;0,256;0,116;0,104;1;1;1;1
"infrastructure";1;1;1;0,113;0,082;1;1;1;1;0,018;1;1;1;1;0,075;1;1;1;1;0,042;1;1;1;1;1
"incendie";1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"immédiat";1;1;1;1;1;1;1;1;1;0,001;1;1;1;1;1;1;0,019;1;1;1;1;1;1;1;0,029
"illégal";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,085;1;1;0;0,198;0;1;1
"ices";1;1;1;0,113;1;1;1;0,09;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,037;1;0
"génération";1;1;1;0;1;1;1;1;0,061;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"grève";1;1;1;1;1;1;1;0,09;1;1;1;1;0,097;1;0,075;1;1;1;1;0;1;1;1;1;1
"grippe";1;1;1;1;0,013;1;1;1;1;1;0,008;0,006;1;1;1;1;1;1;1;1;1;1;1;1;1
"frère";1;1;1;1;1;1;1;1;1;1;1;1;0,05;1;1;1;1;1;1;1;1;0;0,015;1;1
"fondation";1;0,068;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0,13;0,037;1;1
"faveur";1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,011;1;1;1;1;1;1;1;1;1;1
"fantastique";1;1;1;1;1;1;0,002;1;1;1;1;1;0,017;1;1;1;1;1;1;1;1;0,026;1;1;1
"exposition";1;1;1;1;1;0,165;1;1;0,103;1;0,103;1;1;1;1;1;1;1;1;1;1;0,198;1;1;0,002
"exemple";1;1;1;1;1;1;1;0,09;1;1;0,061;1;1;1;1;1;1;1;0,122;0,042;1;1;1;1;0,139
"exceptionnel";1;1;1;1;1;0;1;1;0,061;1;0,061;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"espérer";1;1;1;1;0,013;1;1;1;1;1;0,008;1;1;1;1;1;1;1;1;1;1;0,026;1;1;1
"epstein";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"envisager";1;1;1;1;0,041;1;1;1;1;1;1;1;0,05;1;0,036;1;1;1;1;1;1;0,071;1;1;1
"ensemble";1;0,032;1;1;1;0,055;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,071;1;1;0,076
"engagement";1;0,113;1;0,176;1;1;1;0,144;0,103;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
"employé";1;1;1;1;0,19;1;1;0,002;0;1;1;1;1;1;1;1;1;0,127;1;1;1;1;1;1;1
"emji_poignée_de_main";1;0,032;1;1;1;0,055;1;0,045;1;1;1;1;1;1;0,036;1;1;1;1;1;1;1;1;1;1
"emji_pilule";1;1;1;1;1;1;1;0,045;1;1;1;1;1;1;1;1;0,055;1;0,065;0,018;1;1;1;1;1
