pendant;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;2;2;1;0;1
bon;0;0;1;1;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;1;0;1
quelques;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;2;0;4;0
peu;0;0;2;0;0;2;0;0;1;3;2;0;1;0;0;0;0;0;0;0;0;0;0;1;1
dix;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;2;0;0;2;1
17;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;1
toujours;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0
ici;0;0;0;0;1;1;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
autre;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
9;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;3;0;0;0;0;0;1;1
27;0;0;0;0;0;1;2;1;0;1;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0
23;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0
22;0;0;0;2;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1
2022;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
vous;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0
vouloir;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
t;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
six;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;2;1;1;0;1;0;1;0;1
près;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1
cela;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;3;1;0;0;1;0;0
autour;0;0;2;0;1;0;0;1;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0
24;1;0;0;1;0;0;2;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0
0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;4;0;2;0;0;0;0;0;0;0
via;0;0;0;4;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
toutes;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0
htag_miseaupointrts;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
gare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
devant;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
derrière;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;2;0;0;0
60;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1
26;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
mal;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
dire;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1
certaines;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0
500;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
400;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1
39;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0
29;1;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
2027;0;0;0;0;0;0;0;2;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0
2019;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;2;0;0;1;1;0;0;0
point;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
jusqu;0;1;0;0;1;2;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
afin;0;0;0;1;1;2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
70;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;1
32;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0
28;0;0;0;1;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
vingt;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0
surtout;0;1;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
