"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"209";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"210";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"211";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"212";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"213";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"214";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"215";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"216";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"217";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"218";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;35;35;35
"219";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"220";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"221";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"222";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"223";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"224";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"225";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"226";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"227";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;35;35;35
"228";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"229";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"230";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"231";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"232";3;4;7;9;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"233";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"234";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"235";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"236";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"237";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"238";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"239";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"240";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"241";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;39
"242";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"243";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"244";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"245";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"246";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"247";3;4;7;9;10;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"248";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"249";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"250";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"251";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;35;35;35
"252";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"253";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"254";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"255";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"256";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"257";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"258";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"259";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"260";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"261";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"262";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"263";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"264";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"265";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"266";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"267";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"268";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"269";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"270";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;39
"271";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"272";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"273";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"274";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"275";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"276";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"277";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"278";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"279";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"280";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"281";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"282";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"283";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"284";3;4;7;9;10;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"285";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"286";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"287";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"288";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"289";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"290";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"291";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"292";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"293";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"294";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"295";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"296";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"297";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;39
"298";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"299";3;4;7;9;10;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"300";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"301";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"302";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"303";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"304";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;32;32;32;32
"305";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;32;32;32;32
"306";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"307";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"308";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"309";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"310";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"311";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"312";3;4;7;9;10;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"313";3;4;7;9;10;12;15;17;19;21;23;23;23;23;23;23;23;23;23
"314";3;4;7;9;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11
"315";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"316";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"317";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"318";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"319";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"320";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"321";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"322";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"323";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"324";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"325";3;4;7;9;10;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"326";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"327";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"328";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"329";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"330";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"331";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
