"";"";"";"";"htag_metier";""
"183";"1963";"-0.403675223260242";"0.017705839557373";"0.80951475572456";"412"
"184";"htag_chat";"-0.443806528768608";"0.750144238178961";"0.80951475572456";"413"
"185";"mal";"-0.48704776842512";"0.937955991271769";"0.809411424320079";"416"
"186";"parce_que";"-0.350268113606898";"-0.108519551412918";"0.809411424320079";"418"
"187";"m";"-0.502566498212853";"0.802575410908663";"0.809411424320079";"419"
"188";"htag_lausannecity";"-0.414997009882913";"0.708798558213858";"0.809411424320079";"422"
"189";"htag_internet";"-0.430515739670646";"0.573417977850752";"0.809411424320079";"423"
"190";"bien";"-0.355721304173709";"0.427847393328699";"0.808981565677441";"425"
"191";"jamais";"-0.0672749018581044";"0.492976472543841";"0.808960899396545";"426"
"192";"htag_ecologie";"0.287212925452626";"0.766687131312318";"0.808440109117963";"427"
"193";"htag_winter";"-0.521630103974411";"0.873815955914152";"0.808440109117963";"428"
"194";"htag_solitude";"-0.498590214042981";"0.918285507598485";"0.808266512358436";"430"
"195";"envers";"-0.378401101562842";"-0.669542786281519";"0.808266512358436";"431"
"196";"partout";"-0.357709461845864";"-0.489035345797378";"0.808266512358436";"433"
"197";"mes";"-0.378401101562842";"-0.669542786281519";"0.808266512358436";"434"
"198";"htag_travel";"-0.378401101562842";"-0.669542786281519";"0.808266512358436";"435"
"199";"htag_montre";"-0.451334469400284";"0.932692382550765";"0.808266512358436";"436"
"200";"htag_mobylette";"-0.504447973953288";"0.977598311845592";"0.808266512358436";"437"
"201";"htag_joie";"-0.472026109117262";"0.752184942066624";"0.808266512358436";"438"
"202";"htag_fribourgregion";"-0.555525290667787";"0.909576295236797";"0.808208646771927";"439"
"203";"htag_ecology";"-0.534516701490252";"0.795979188965573";"0.808208646771927";"440"
"204";"htag_france";"-0.439981547197417";"-0.439376634629761";"0.808208646771927";"441"
"205";"htag_environnement";"-0.534516701490252";"0.795979188965573";"0.808208646771927";"442"
"206";"htag_valais";"-0.0626682228356818";"0.415079577138721";"0.808055716293296";"444"
"207";"attention";"-0.363354963532048";"-0.664160040133016";"0.807762255104571";"445"
"208";"trop";"-0.397859268803865";"0.121454727462278";"0.807646523931553";"450"
"209";"htag_valaiswallis";"-0.509474393924142";"0.852285162411988";"0.807096800859717";"452"
"210";"là";"-0.37627923882507";"-0.503104784462723";"0.806724807803588";"454"
"211";"une";"-0.221729648567941";"-0.000494716557819826";"0.806691741754154";"455"
"212";"beaucoup";"0.0835982268608019";"0.274562839524144";"0.806629742911466";"456"
"213";"cette";"-0.101056040592665";"-0.0475919430584422";"0.806526411506985";"457"
"214";"htag_humour";"-0.196749576020002";"-0.372105587344248";"0.806150285194676";"458"
"215";"htag_happynewyear";"-0.438156896970242";"0.541409329457884";"0.805984954947508";"459"
"216";"ton";"-0.297276144773125";"-0.865911523937979";"0.805984954947508";"460"
"217";"htag_recyclage";"-0.444014656880549";"0.600722133704991";"0.805984954947508";"461"
"218";"lui_même";"-0.291418384862817";"-0.925224328185086";"0.805984954947508";"462"
"219";"htag_rentreedesclasses";"-0.444014656880549";"0.600722133704991";"0.805984954947508";"463"
