"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"ménage";-0,444;-1,322;0,288;0,402;-0,793;-0,444;2,353;4,126;-1,731
"mémoire";0,879;25,865;-0,664;-0,601;-0,793;-0,444;-0,844;-1,272;-1,731
"médecin";-0,444;-1,322;10,492;0,402;-0,793;-0,444;0,095;0,957;-1,731
"mère";-0,444;-1,322;-0,664;-0,601;0,135;-0,444;7,618;4,126;-1,731
"montrer";-0,253;-0,753;-0,378;1,628;-0,452;-0,253;-0,481;-0,725;7,74
"léman";-0,381;-1,132;13,125;-0,514;3,574;-0,381;-0,723;-1,089;-0,036
"légende";-0,253;0,255;-0,378;-0,342;-0,452;-0,253;-0,481;11,037;-0,987
"livre";1,243;-1,132;0,497;-0,514;-0,679;-0,381;0,224;5,602;-1,482
"joyeux";-0,444;37,516;-0,664;-0,601;-0,793;-0,444;-0,844;-1,272;-1,731
"joueur";-0,381;11,725;-0,568;-0,514;-0,679;-0,381;0,224;-1,089;-0,036
"joie";-0,444;-1,322;0,288;4,171;0,135;-0,444;-0,844;-0,006;0,347
"jardin";-0,444;-0,012;3,564;-0,601;-0,793;-0,444;-0,844;-1,272;6,222
"interroger";-0,444;-0,012;-0,664;-0,601;-0,793;17,189;-0,844;4,126;-1,731
"hippie";-0,444;-1,322;-0,664;-0,601;-0,793;54,085;2,353;-1,272;-1,731
"habitant";-0,444;-1,322;-0,664;-0,601;17,123;-0,444;-0,844;-1,272;2,377
"genevoise";0,879;-0,012;-0,664;-0,601;-0,793;-0,444;2,353;0,957;-0,132
"gagner";-0,444;0,863;-0,664;-0,601;-0,793;6,46;2,353;-1,272;-0,132
"fils";6,46;0,863;3,564;-0,601;-0,793;-0,444;-0,844;-0,006;-1,731
"exprimer";0,879;-0,012;-0,664;-0,601;-0,793;6,46;-0,844;0,957;-0,132
"entourer";-0,444;-1,322;-0,664;11,909;0,135;0,879;-0,844;-1,272;0,347
"enthousiasme";-0,253;0,255;8,735;-0,342;-0,452;-0,253;-0,481;-0,725;0,07
"emji_drapeau_suisse";-0,444;25,865;-0,664;-0,601;-0,793;-0,444;-0,844;-0,006;-1,731
"décennie";-0,444;-0,012;-0,664;-0,601;2,637;33,063;-0,844;-1,272;-1,731
"doute";-0,317;0,066;6,285;-0,428;-0,565;-0,317;-0,602;0,086;0
"dos";-0,317;-0,942;-0,473;1,022;0,539;-0,317;-0,602;2,363;0
"demander";-0,444;-1,322;-0,664;-0,601;-0,793;0,879;-0,844;17,116;-0,132
"côté";-0,444;-0,012;-0,664;0,402;29,107;-0,444;-0,844;-1,272;-1,731
"courage";-0,253;-0,753;-0,378;47,051;-0,452;-0,253;-0,481;-0,725;-0,987
"couleur";-0,381;11,725;0,497;-0,514;-0,679;1,243;-0,723;-1,089;-1,482
"cochon";-0,317;-0,942;-0,473;-0,428;-0,565;-0,317;-0,602;-0,907;20,424
"cher";-0,381;0,003;-0,568;0,646;0,284;-0,381;-0,723;-1,089;3,488
"chanteur";-0,444;25,865;-0,664;-0,601;-0,793;-0,444;-0,844;-1,272;-0,132
"campagne";-0,444;-0,012;-0,664;-0,601;0,135;-0,444;2,353;0,957;-0,132
"boîte";-0,444;-0,012;0,288;0,402;-0,793;-0,444;0,095;-1,272;2,377
"beauté";1,243;5,3;-0,568;-0,514;-0,679;-0,381;3,232;-1,089;-1,482
"atteindre";-0,444;-1,322;10,492;11,909;-0,793;-0,444;-0,844;-1,272;-0,132
"argent";-0,317;-0,942;6,285;-0,428;-0,565;-0,317;0,454;0,086;0
"animer";1,243;20,668;-0,568;-0,514;-0,679;-0,381;-0,723;-1,089;-1,482
"ancien";1,243;0,003;0,497;-0,514;10,548;-0,381;-0,723;-1,089;-1,482
"alpage";-0,317;0,066;0,827;-0,428;4,931;-0,317;0,454;-0,907;-1,234
"alcool";-0,317;-0,942;-0,473;-0,428;-0,565;-0,317;0,454;16,218;-1,234
"affaire";-0,381;0,003;-0,568;-0,514;35,548;-0,381;-0,723;-1,089;-1,482
"accueillir";-0,381;1,393;13,125;-0,514;-0,679;-0,381;-0,723;-1,089;-0,036
"état";-0,381;0,003;-0,568;28,797;-0,679;1,243;-0,723;-1,089;-1,482
"écran";-0,381;11,725;-0,568;0,646;-0,679;-0,381;-0,723;-1,089;-0,036
"échapper";-0,317;-0,942;-0,473;7,162;0,539;1,778;-0,602;-0,907;0
"âme";-0,19;-0,564;-0,283;2,695;1,783;4,043;-0,36;-0,543;-0,739
"volant";-0,317;0,066;0,827;1,022;0,539;-0,317;-0,602;-0,907;0
"vivant";-0,381;0,003;4,683;-0,514;3,574;-0,381;-0,723;-1,089;-0,036
"veille";-0,381;5,3;-0,568;5,404;0,284;-0,381;-0,723;-1,089;-1,482
"vague";-0,381;11,725;0,497;-0,514;-0,679;1,243;-0,723;-1,089;-1,482
"urbain";-0,317;0,066;-0,473;1,022;-0,565;-0,317;-0,602;2,363;0
"traditionnel";-0,381;0,003;-0,568;-0,514;-0,679;-0,381;3,232;5,602;-1,482
"tomber";-0,317;-0,942;0,827;7,162;4,931;-0,317;-0,602;-0,907;-1,234
"sûr";-0,253;-0,753;-0,378;1,628;7,02;-0,253;-0,481;-0,725;0,07
"sécurité";-0,317;-0,942;0,827;-0,428;0,539;-0,317;-0,602;0,086;1,302
"souci";-0,317;-0,942;-0,473;-0,428;-0,565;1,778;-0,602;16,218;-1,234
"sortie";-0,381;11,725;-0,568;-0,514;-0,679;-0,381;-0,723;1,513;-1,482
"sirène";-0,253;3,528;-0,378;1,628;0,978;-0,253;-0,481;-0,725;-0,987
"signe";-0,317;-0,942;53,281;-0,428;-0,565;-0,317;-0,602;-0,907;-1,234
"sexuel";-0,381;-1,132;-0,568;-0,514;-0,679;-0,381;0,224;21,536;-1,482
