"";"X.rts_a";"X.rts_i"
"attendre";-0,3578;0,3578
"réchauffer";0,3042;-0,3042
"moindre";-0,6447;0,6447
"mesure";-4,1965;4,1965
"souligner";0,2219;-0,2219
"métro";-0,4053;0,4053
"avenir";-1,568;1,568
"rentable";-0,2573;0,2573
"coup";0,5914;-0,5914
"exploitation";0,4162;-0,4162
"création";-0,2146;0,2146
"riche";-26,028;26,028
"nôtre";-0,6115;0,6115
"construction";-0,3473;0,3473
"coûter";0,6575;-0,6575
"dizaine";0,6412;-0,6412
"centaine";0,7895;-0,7895
"milliard";-0,8249;0,8249
"cheveu";1,2533;-1,2533
"conserver";0,807;-0,807
"puissance";1,476;-1,476
"déficit";-0,2292;0,2292
"confiance";0,5785;-0,5785
"pire";1,2494;-1,2494
"route";-0,446;0,446
"emji_visage_avec_fumée_sortant_des_narines";0,9852;-0,9852
"romand";4,2137;-4,2137
"ha";1,9675;-1,9675
"fm";-0,3864;0,3864
"programme";0,3042;-0,3042
"tv";4,6289;-4,6289
"nom";1,4376;-1,4376
"journaliste";-0,2338;0,2338
"dernier";2,7621;-2,7621
"profiter";-3,0241;3,0241
"seconde";1,2813;-1,2813
"ouais";-0,4779;0,4779
"reconnaître";2,1515;-2,1515
"marché";-1,014;1,014
"harry";3,8083;-3,8083
"potter";3,7217;-3,7217
"forcément";-0,6289;0,6289
"skier";2,6614;-2,6614
"mythe";0,2455;-0,2455
"sûr";0,4958;-0,4958
"joli";2,3889;-2,3889
"exemple";-3,4506;3,4506
"crise";-0,8841;0,8841
"emji_se_rouler_par_terre_de_rire";2,1807;-2,1807
"voyager";1,1823;-1,1823
"règle";-0,5274;0,5274
"extrêmement";-0,5883;0,5883
"droit";-1,6211;1,6211
"côté";-0,3062;0,3062
"toilette";4,2518;-4,2518
"resto";0,8606;-0,8606
"hôtel";0,8411;-0,8411
"appartement";0,4052;-0,4052
"maison";3,489;-3,489
"louer";0,2667;-0,2667
"afrique";-0,7831;0,7831
"asie";-0,5526;0,5526
"amérique";-1,879;1,879
"sud";-0,5528;0,5528
"disposition";-0,341;0,341
"fois";1,7446;-1,7446
