"";"V1"
"2150";10
"2151";10
"2152";10
"2153";10
"2154";6
"2155";6
"2156";6
"2157";6
"2158";11
"2159";7
"2160";10
"2161";10
"2162";10
"2163";11
"2164";8
"2165";8
"2166";3
"2167";11
"2168";9
"2169";8
"2170";8
"2171";9
"2172";7
"2173";9
"2174";7
"2175";7
"2176";8
"2177";10
"2178";10
"2179";10
"2180";10
"2181";10
"2182";5
"2183";5
"2184";0
"2185";2
"2186";2
"2187";6
"2188";11
"2189";0
"2190";9
"2191";3
"2192";3
"2193";8
"2194";11
"2195";6
"2196";7
"2197";6
"2198";0
"2199";5
"2200";5
"2201";7
"2202";7
"2203";7
"2204";4
"2205";4
"2206";11
"2207";5
"2208";5
"2209";5
"2210";11
"2211";5
"2212";0
"2213";1
"2214";10
"2215";10
"2216";1
"2217";10
"2218";7
"2219";4
"2220";0
"2221";10
"2222";10
"2223";10
"2224";0
"2225";1
"2226";1
"2227";1
"2228";1
"2229";1
"2230";0
"2231";10
"2232";10
"2233";10
"2234";7
"2235";6
"2236";10
"2237";1
"2238";1
"2239";10
"2240";10
"2241";1
"2242";1
"2243";1
"2244";5
"2245";1
"2246";1
"2247";1
"2248";0
"2249";5
"2250";10
"2251";5
"2252";4
"2253";1
"2254";7
"2255";10
"2256";11
"2257";5
"2258";10
"2259";5
"2260";5
"2261";1
"2262";1
"2263";1
"2264";1
"2265";0
"2266";10
"2267";0
"2268";10
"2269";10
"2270";1
"2271";1
"2272";1
"2273";1
"2274";1
"2275";1
"2276";1
"2277";1
"2278";1
"2279";0
"2280";10
"2281";10
"2282";10
"2283";10
"2284";11
"2285";3
"2286";3
"2287";4
"2288";5
"2289";11
"2290";7
"2291";7
"2292";0
"2293";7
"2294";11
"2295";10
"2296";7
"2297";10
"2298";5
"2299";11
"2300";9
"2301";0
"2302";10
"2303";0
"2304";8
"2305";6
"2306";9
"2307";9
"2308";11
"2309";7
"2310";6
"2311";7
"2312";7
"2313";11
"2314";5
"2315";5
"2316";5
"2317";11
"2318";1
"2319";8
"2320";11
"2321";4
"2322";4
"2323";5
"2324";11
"2325";7
"2326";4
"2327";7
"2328";7
"2329";9
"2330";7
"2331";9
"2332";11
"2333";6
"2334";4
"2335";7
"2336";7
"2337";11
"2338";3
"2339";5
"2340";2
"2341";7
"2342";5
"2343";3
"2344";9
"2345";8
"2346";9
"2347";11
"2348";1
"2349";7
"2350";5
"2351";11
"2352";4
"2353";3
"2354";4
"2355";6
"2356";7
"2357";7
"2358";4
"2359";7
"2360";3
"2361";5
"2362";1
"2363";2
"2364";2
"2365";2
"2366";2
"2367";11
"2368";0
"2369";6
"2370";5
"2371";0
"2372";9
"2373";9
"2374";7
"2375";11
"2376";8
"2377";8
"2378";8
"2379";11
"2380";1
"2381";10
"2382";5
"2383";1
"2384";0
"2385";5
"2386";5
"2387";5
"2388";11
"2389";8
"2390";8
"2391";8
"2392";8
"2393";11
"2394";5
"2395";5
"2396";5
"2397";5
"2398";11
"2399";0
"2400";6
"2401";4
"2402";5
"2403";10
"2404";0
"2405";7
"2406";10
"2407";3
"2408";10
"2409";11
"2410";2
"2411";3
"2412";5
"2413";3
"2414";1
"2415";4
"2416";4
"2417";4
"2418";8
"2419";11
"2420";1
"2421";1
"2422";1
"2423";1
"2424";0
"2425";7
"2426";7
"2427";7
"2428";11
"2429";2
"2430";2
"2431";5
"2432";4
"2433";5
"2434";10
"2435";5
"2436";5
"2437";2
"2438";2
"2439";5
"2440";2
"2441";11
"2442";1
"2443";1
"2444";10
"2445";10
"2446";1
"2447";5
"2448";5
"2449";5
"2450";8
"2451";10
"2452";7
"2453";9
"2454";11
"2455";8
"2456";11
"2457";7
"2458";4
"2459";5
"2460";7
"2461";0
"2462";10
"2463";0
"2464";4
"2465";7
"2466";7
"2467";7
"2468";11
"2469";1
"2470";1
"2471";4
"2472";1
"2473";0
"2474";1
"2475";0
"2476";6
"2477";7
"2478";5
"2479";5
"2480";5
"2481";11
"2482";3
"2483";7
"2484";7
"2485";11
"2486";6
"2487";7
"2488";6
"2489";6
"2490";11
"2491";5
"2492";5
"2493";5
"2494";5
"2495";5
