"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"95";2;4;6;9;9;9;9;9;18;18;18;24;24;29;29;29;29;29;29;29;29;29;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47
"96";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;43;43;43;43;43;43;55;55;55;55;55;55;55;55;55;55;55;55;55
"97";2;4;7;7;7;7;15;15;15;15;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;79
"98";2;4;6;9;9;9;9;9;18;18;18;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;59;59;59;59;59;59;59;59;59;59;59
"99";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56;56;56;56;56;56
"100";2;4;6;9;9;9;9;9;18;18;18;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;59;59;59;59;59;59;59;59;59;59;59
"101";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;65;65;65;65;65;65;65;65
"102";2;4;6;8;11;12;12;12;12;21;21;21;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;72;72;72;72
"103";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56;56;56;56;56;56
"104";2;4;6;9;9;9;9;9;18;18;18;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;58;58;58;58;58;58;58;58;58;58;58
"105";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;43;43;43;43;43;43;54;54;54;54;54;54;54;54;54;54;54;54;54
"106";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;66;66;66;66;66;66;66
"107";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;65;65;65;65;65;65;65;65
"108";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;64;64;64;64;64;64;64;64
"109";2;4;7;7;7;7;14;14;14;14;14;14;14;14;14;14;34;34;34;34;34;34;34;49;49;49;49;49;49;60;60;60;60;60;60;60;60;60;60
"110";2;4;6;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
"111";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;75;75;75
"112";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56;56;56;56;56;56
"113";2;4;6;9;9;9;9;9;18;18;18;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62;62;62;62;62;62
"114";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;64;64;64;64;64;64;64;64
"115";2;4;6;9;9;9;9;9;18;18;18;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62;62;62;62;62;62
"116";2;4;6;9;9;9;9;9;18;18;18;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62;62;62;62;62;62
"117";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;70;70;70;70;70
"118";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
"119";2;4;6;8;11;12;12;12;12;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"120";2;4;7;7;7;7;14;14;14;14;14;14;14;14;14;14;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;77;77
"121";2;4;7;7;7;7;15;15;15;15;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;79
"122";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56;56;56;56;56;56
"123";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;75;75;75
"124";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
"125";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;75;75;75
"126";2;4;6;9;9;9;9;9;18;18;18;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;58;58;58;58;58;58;58;58;58;58;58
"127";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;69;69;69;69;69;69
"128";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;68;68;68;68;68;68
"129";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
"130";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56;56;56;56;56;56
"131";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;64;64;64;64;64;64;64;64
"132";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;75;75;75
"133";2;4;6;9;9;9;9;9;18;18;18;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;63;63;63;63;63;63;63;63;63
"134";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;65;65;65;65;65;65;65;65
"135";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
"136";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;53;53;53;53;53;53;53;53;53;53;53;53;53;53
"137";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;52;52;52;52;52;52;52;52;52;52;52;52;52;52
"138";2;4;6;8;11;12;12;12;12;21;21;21;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;72;72;72;72
"139";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56;56;56;56;56;56
"140";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;43;43;43;43;43;43;55;55;55;55;55;55;55;55;55;55;55;55;55
"141";2;4;6;9;9;9;9;9;18;18;18;24;24;29;29;29;29;29;29;29;29;29;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47
"142";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;70;70;70;70;70
"143";2;4;6;9;9;9;9;9;18;18;18;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62;62;62;62;62;62
"144";2;4;6;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
"145";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;74;74;74
"146";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;45;45;45;45;45;45;57;57;57;57;57;57;57;57;57;57;57;57
"147";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;53;53;53;53;53;53;53;53;53;53;53;53;53;53
"148";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;52;52;52;52;52;52;52;52;52;52;52;52;52;52
"149";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;69;69;69;69;69;69
"150";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;66;66;66;66;66;66;66
"151";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"152";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;43;43;43;43;43;43;54;54;54;54;54;54;54;54;54;54;54;54;54
"153";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"154";2;4;6;8;11;12;12;12;12;21;21;21;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;73;73;73;73
"155";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;70;70;70;70;70
"156";2;4;6;8;11;12;12;12;12;21;21;21;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;72;72;72;72
"157";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;71;71;71;71;71
"158";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;52;52;52;52;52;52;52;52;52;52;52;52;52;52
"159";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;43;43;43;43;43;43;54;54;54;54;54;54;54;54;54;54;54;54;54
"160";2;4;6;8;11;12;12;12;12;21;21;21;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;73;73;73;73
"161";2;4;7;7;7;7;14;14;14;14;14;14;14;14;14;14;34;34;34;34;34;34;34;49;49;49;49;49;49;60;60;60;60;60;60;60;60;60;60
"162";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;67;67;67;67;67;67;67
"163";2;4;6;9;9;9;9;9;18;18;18;24;24;29;29;29;29;29;29;29;29;29;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47
