"";"";"";"";"htag_solitude";""
"173";"htag_cff";"0.429701400507963";"-0.247962406005106";"0.817302866076689";"429"
"174";"htag_music";"1.45082158019674";"-1.15711714777281";"0.817302866076689";"430"
"175";"juste";"0.662790996917847";"-1.01490712356514";"0.816928111819577";"431"
"176";"loin";"0.669693899731822";"-0.713134546543783";"0.816928111819577";"432"
"177";"29";"-0.449488615135163";"-0.183994396246377";"0.816928111819577";"434"
"178";"htag_innovation";"1.21109406558096";"0.012310631555463";"0.81685624114013";"435"
"179";"htag_vih";"1.69462873364934";"0.206067982907083";"0.816843407090229";"436"
"180";"htag_technology";"1.68129413047452";"0.194865742386479";"0.816843407090229";"437"
"181";"htag_sida";"1.69462873364934";"0.206067982907083";"0.816843407090229";"438"
"182";"htag_hiv";"1.69462873364934";"0.206067982907083";"0.816843407090229";"439"
"183";"htag_collection";"1.77036551286977";"-0.0437513442112107";"0.816843407090229";"440"
"184";"htag_jeune";"0.925913854548142";"0.269936666413568";"0.816843407090229";"442"
"185";"lorsqu";"-0.977910455776496";"-0.16972097454465";"0.816586726092207";"447"
"186";"celle";"-0.123357202548233";"-0.601650363485662";"0.816586726092207";"448"
"187";"jusqu_au";"-0.051812220718565";"-0.720147122966298";"0.816586726092207";"449"
"188";"31";"-0.537482791124944";"-0.498328111339727";"0.816463519213156";"452"
"189";"moins";"-0.402786024544522";"-0.0365463771962752";"0.816427583873433";"453"
"190";"trop";"0.572393143217685";"-0.0845912623679692";"0.81639678215367";"454"
"191";"donc";"0.769379307174071";"-0.889600757588699";"0.816268441654659";"455"
"192";"ces";"0.224604679549111";"-0.141549387769146";"0.816170902875411";"456"
"193";"chez";"0.160912987818834";"-0.395208281939888";"0.816132400725707";"457"
"194";"65";"-0.541234435554026";"-0.365899786290159";"0.815906521447448";"458"
"195";"derrière";"-0.106162597070145";"-0.485257324216834";"0.815898821017507";"459"
"196";"htag_60s";"1.37792525124942";"-0.252671777525644";"0.815837217577981";"460"
"197";"1966";"1.74367896631598";"0.773467469462519";"0.815690909409109";"462"
"198";"attention";"1.57325964728215";"-0.239835607611661";"0.815344390061779";"465"
"199";"maintenant";"0.0334083330290407";"-0.904600421328386";"0.815167280173143";"466"
"200";"quelles";"1.04344244062215";"-1.26581577352387";"0.815167280173143";"468"
"201";"htag_foodie";"1.56251741623373";"-1.22846206430119";"0.815167280173143";"469"
"202";"htag_tricot";"1.63825419545417";"-1.47828139141949";"0.815167280173143";"472"
"203";"htag_montre";"1.54918281305892";"-1.2396643048218";"0.815167280173143";"473"
"204";"htag_knitting";"1.63825419545417";"-1.47828139141949";"0.815167280173143";"474"
"205";"htag_heure";"1.5587726220803";"-1.33011959947404";"0.815167280173143";"475"
"206";"htag_printemps";"0.974169021985864";"-0.945720304242191";"0.815167280173143";"476"
"207";"diverses";"0.964579212964476";"-0.855265009589948";"0.815167280173143";"478"
"208";"htag_leysin";"0.809313153151178";"-0.981160279827547";"0.815167280173143";"479"
"209";"celles";"0.296961767124715";"-0.375786172248782";"0.814890064695279";"480"
"210";"htag_metier";"1.52731425440801";"-0.533256310034065";"0.81478482548609";"483"
"211";"htag_drague";"1.61638563680326";"-0.771873396631754";"0.81478482548609";"484"
"212";"htag_summertime";"0.595217749895479";"-0.386595044165395";"0.81478482548609";"486"
"213";"sans";"0.421116511165325";"0.100410200248305";"0.814576913877692";"487"
"214";"alors";"0.274771794558447";"-0.0227020265904297";"0.814435739328779";"488"
"215";"htag_retro";"1.35826777555148";"-0.882646009534377";"0.814422905278878";"489"
"216";"quels";"1.00657028711811";"-1.32025908001556";"0.814060985071667";"491"
"217";"htag_gym";"1.00819157157743";"-1.09448640855808";"0.814055851451706";"492"
"218";"htag_soldat";"1.55792735793392";"-0.565165006932004";"0.814055851451706";"494"
"219";"1200";"0.630201624865997";"-0.728849128835966";"0.814055851451706";"495"
"220";"cinquante";"0.884278398227592";"0.468543524185151";"0.814055851451706";"499"
"221";"1999";"1.0817385855288";"0.034102174088236";"0.814030183351904";"500"
"222";"23";"-1.02143024549346";"-0.129849398356791";"0.814030183351904";"501"
"223";"13";"-0.678804828738423";"0.0443348640341592";"0.814014782492023";"502"
"224";"toutes";"0.405156156913493";"-0.247379098019978";"0.813932644572655";"503"
"225";"ici";"0.0304241460263417";"-0.606488969924616";"0.813863340703189";"504"
"226";"26";"-0.414113219039978";"-0.542510198358064";"0.81329350888758";"507"
"227";"htag_vacances";"1.72914441079349";"-0.448092362197553";"0.813178002438469";"508"
"228";"10";"-0.1378758408546";"-0.469844066295586";"0.813139500288766";"510"
"229";"y";"0.691612154661055";"-0.114499215087986";"0.813090730899142";"511"
"230";"malgré";"-0.509107174586501";"0.282135673305751";"0.812854584380961";"513"
"231";"durant";"0.221058551271166";"-0.0953959177297269";"0.812831483091139";"514"
"232";"car";"0.208929960284689";"-0.338174834140862";"0.81261073743284";"515"
"233";"lequel";"0.874038918254961";"0.495848161904961";"0.812464429263967";"516"
"234";"htag_protectioncivile";"-0.0950215169583574";"-0.537609328049337";"0.812464429263967";"517"
