"";"V1"
"1889";0
"1890";3
"1891";0
"1892";3
"1893";10
"1894";0
"1895";17
"1896";21
"1897";13
"1898";8
"1899";21
"1900";11
"1901";21
"1902";0
"1903";20
"1904";12
"1905";12
"1906";11
"1907";1
"1908";3
"1909";17
"1910";20
"1911";8
"1912";0
"1913";19
"1914";9
"1915";16
"1916";21
"1917";3
"1918";21
"1919";16
"1920";17
"1921";22
"1922";17
"1923";14
"1924";7
"1925";12
"1926";8
"1927";3
"1928";21
"1929";16
"1930";3
"1931";15
"1932";0
"1933";7
"1934";5
"1935";15
"1936";17
"1937";21
"1938";20
"1939";0
"1940";16
"1941";21
"1942";10
"1943";1
"1944";10
"1945";17
"1946";12
"1947";22
"1948";21
"1949";3
"1950";0
"1951";21
"1952";17
"1953";0
"1954";11
"1955";0
"1956";3
"1957";0
"1958";0
"1959";3
"1960";0
"1961";17
"1962";3
"1963";13
"1964";22
"1965";15
"1966";0
"1967";17
"1968";12
"1969";17
"1970";15
"1971";0
"1972";0
"1973";21
"1974";3
"1975";22
"1976";17
"1977";14
"1978";0
"1979";20
"1980";11
"1981";21
"1982";12
"1983";4
