htag_90s;0;4;0;3;5;7;8;0;8;0;0;0;4;1;0;1;1;3;0;0;0;1
déjà;0;2;4;2;2;3;0;3;2;4;4;3;2;1;2;0;3;1;1;3;1;1
dont;1;0;1;1;1;0;2;0;0;1;6;6;1;1;4;3;4;1;0;4;5;2
dès;0;1;4;1;1;0;0;1;2;9;1;1;2;6;1;1;1;2;1;3;2;4
3;2;0;3;1;2;0;1;1;7;1;0;2;0;4;2;5;1;1;2;2;2;3
je;0;5;0;4;2;5;7;0;3;1;0;0;0;0;0;0;1;3;1;1;0;0
htag_80s;1;5;0;4;14;5;5;1;2;1;0;0;8;0;1;0;0;0;3;0;0;0
très;1;0;2;1;0;3;4;2;4;0;2;3;2;3;3;1;0;3;0;3;1;2
où;0;0;1;1;2;1;2;3;4;0;1;4;1;4;2;1;4;5;1;2;6;2
lui;0;0;2;1;3;6;6;3;1;0;4;3;1;1;3;1;1;4;1;0;2;3
trois;1;0;3;1;0;0;2;1;1;4;1;5;0;3;6;1;4;0;0;4;0;0
quand;2;1;1;2;4;3;0;2;1;2;0;1;5;1;2;1;0;5;3;1;1;1
grâce;1;1;1;1;0;1;3;7;2;1;0;4;1;4;4;1;0;1;2;1;6;0
20;1;0;2;1;4;1;0;0;3;2;1;5;0;3;5;2;2;2;0;5;2;1
ainsi;3;1;3;1;1;1;1;1;0;1;3;5;0;2;3;2;2;0;1;5;3;3
quoi;2;9;0;4;2;0;1;1;0;1;0;0;6;2;1;0;0;0;2;0;0;0
falloir;0;3;0;3;7;1;7;0;4;0;0;1;4;1;0;1;0;2;1;0;0;3
chez;0;0;4;2;4;1;5;2;1;1;0;1;0;0;4;2;1;1;0;6;4;1
plusieurs;1;0;1;0;0;0;2;0;0;3;4;2;1;1;2;8;3;3;2;1;3;2
aujourd_hui;3;3;2;1;2;0;1;3;3;1;0;1;2;2;0;1;0;7;5;1;2;1
5;1;0;2;1;1;1;0;1;2;1;1;3;1;7;3;2;0;0;1;3;2;2
30;0;2;0;1;2;2;2;1;3;0;4;1;2;2;1;1;1;7;0;4;0;5
votre;0;6;0;4;4;0;6;0;3;2;0;1;1;0;0;1;0;0;0;0;4;0
quelques;1;2;0;1;2;3;1;1;8;2;0;0;6;0;0;4;1;1;1;1;0;1
dire;0;2;0;3;5;3;1;1;2;0;0;1;4;0;2;1;1;2;1;3;1;2
peu;1;3;2;1;7;2;1;2;2;0;1;2;0;3;0;2;0;2;0;0;2;2
chaque;1;0;1;0;2;1;1;4;1;5;4;0;1;4;2;1;0;2;0;3;2;2
ceux;0;1;0;2;2;1;2;0;2;1;0;2;2;1;2;1;0;1;1;2;0;1
toute;1;2;1;1;4;0;2;2;2;1;0;1;3;0;4;0;2;4;2;0;3;1
non;0;0;1;4;2;0;1;0;1;2;3;0;3;0;1;3;1;1;0;3;3;9
htag_70s;0;2;0;2;6;2;2;1;4;0;0;1;4;0;2;0;0;2;0;0;0;1
2;3;0;3;1;3;1;1;0;3;1;0;2;0;1;2;1;1;0;1;3;1;2
htag_miraclesuisse;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0
souvent;0;1;3;0;2;2;1;1;1;2;0;0;0;2;1;0;1;0;0;4;11;2
nos;0;1;1;0;1;2;2;2;3;0;0;0;0;1;1;0;0;5;4;0;5;3
htag_madeinswitzerland;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0
savoir;1;5;0;3;8;3;4;0;1;0;2;0;2;0;0;0;1;2;1;0;0;0
vouloir;1;1;2;2;4;2;5;0;2;1;1;2;0;1;1;2;1;2;0;0;0;2
j;0;1;0;1;2;2;8;1;1;0;0;0;2;0;1;0;1;1;1;0;1;0
50;1;1;3;0;0;2;0;2;1;3;1;3;1;1;1;1;1;3;1;0;1;2
elles;0;0;0;1;2;1;2;0;1;1;1;1;0;1;1;1;2;1;1;6;4;4
comment;2;4;0;5;1;1;0;0;4;0;0;0;4;0;0;2;0;2;1;1;2;1
10;0;0;3;1;0;0;1;1;3;1;1;1;0;4;1;0;1;0;3;5;5;2
htag_suissitude;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0
cinq;0;0;1;0;0;1;0;2;1;4;1;1;0;0;6;1;3;0;0;6;3;2
80;1;1;1;0;6;1;4;0;1;2;1;0;3;0;0;0;1;4;6;0;0;1
htag_60s;0;2;1;2;3;4;2;2;4;2;0;0;2;0;0;0;0;3;1;1;0;0
40;0;1;0;0;0;1;1;4;4;1;3;2;0;2;0;0;0;3;3;2;0;3
4;2;0;3;0;0;0;0;0;3;1;0;0;1;3;1;1;0;0;1;5;1;1
mieux;0;4;1;1;4;0;0;0;2;1;0;0;3;1;1;0;0;0;2;0;1;1
jusqu_à;0;0;5;0;0;0;0;0;0;0;0;1;0;4;1;1;1;2;0;2;3;3
htag_rtsxarchives;1;4;1;3;1;2;2;1;0;0;0;0;2;0;0;0;0;2;3;0;0;0
environ;0;0;0;0;0;0;0;2;3;2;2;2;0;3;1;2;1;0;0;6;1;3
htag_2000s;0;1;1;0;6;0;5;0;3;0;0;0;1;1;0;1;0;4;0;0;0;1
certains;0;0;1;1;2;1;2;0;1;1;0;2;4;0;0;0;0;1;1;2;4;1
6;0;0;0;0;1;0;0;1;4;0;0;0;0;1;1;2;1;0;1;4;1;3
t;1;1;0;3;4;3;1;2;0;1;0;0;1;0;0;1;0;0;1;1;2;0
durant;0;3;0;1;1;2;0;1;2;2;4;0;0;1;3;2;0;2;0;2;1;0
2024;1;1;1;0;0;0;0;0;2;1;1;1;0;0;2;1;2;0;0;12;0;4
trop;0;1;2;2;2;3;2;0;1;0;2;1;0;0;0;1;0;0;1;0;0;0
fort;0;0;1;0;0;0;1;0;2;0;1;2;0;1;2;1;0;2;1;3;1;2
htag_humour;0;3;1;1;4;4;2;3;3;0;0;1;1;0;0;0;0;3;1;0;0;0
8;0;0;0;0;0;0;0;0;2;0;1;2;0;4;0;0;0;2;1;7;1;3
24;3;0;0;0;1;2;2;2;3;1;1;0;0;1;0;0;0;3;2;0;1;1
voici;2;4;0;0;0;2;3;1;5;0;0;1;2;0;0;0;1;1;3;0;0;1
ton;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tard;0;0;0;0;0;4;1;1;2;0;0;1;0;0;1;1;2;10;1;2;0;0
pourquoi;1;1;0;0;1;1;0;1;2;1;0;0;4;0;1;0;0;1;1;0;2;0
malgré;0;0;0;0;4;1;1;0;0;0;1;3;0;1;2;1;3;0;0;1;2;1
16;0;0;0;0;0;0;0;0;2;0;0;3;0;0;4;1;0;1;0;4;4;2
quatre;0;0;0;0;1;1;0;1;0;1;1;6;0;2;1;2;0;0;0;3;0;3
