"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"*a_0767";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_59400";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_1400";1;1;1;0,001;1;1;0,007;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_23-12-2024";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0766";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_22-12-2024";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0765";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_7500";1;0,007;1;1;1;1;1;1;1;1;1;0,016;1;1;1;1;1;1;1;1;0,049;1
"*postDate_20-12-2024";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0764";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postLikes_689";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postDate_19-12-2024";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*a_0763";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_25400";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_168";1;0,026;1;1;1;1;1;1;1;0,013;0,054;1;1;1;1;1;0,047;1;1;1;1;1
"*postDate_18-12-2024";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0762";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postLikes_283";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*postDate_16-12-2024";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"*a_0761";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"*postLikes_23900";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"*postComments_190";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"*postDate_15-12-2024";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"*a_0760";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_13-12-2024";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0759";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_103";1;1;1;0,008;1;1;1;1;1;1;0,019;1;1;1;1;1;1;1;1;0,031;1;1
"*postDate_11-12-2024";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0758";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_848";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_9-12-2024";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0757";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_8-12-2024";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0756";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_6-12-2024";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0755";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_788";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_7";1;0,145;0,145;0,154;0,045;1;1;0,481;0,204;1;1;1;1;1;1;1;1;0,8;1;0,95;1;0,921
"*postDate_4-12-2024";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0754";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_825";1;1;1;1;0,047;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postDate_2-12-2024";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*a_0753";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postLikes_872";1;1;1;0,001;1;1;1;1;0,009;1;1;1;1;1;1;1;1;1;1;1;1;1
"*postComments_30";0,046;1;1;0,087;1;1;0,28;1;1;0,043;0,813;0,779;1;1;1;1;0,779;1;0,063;0,918;1;0,22
