"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"village";-0,714;1,947;0,058;0,05;-1,368;-0,878;0,573;0,112;-1,384;0,173;-1,044;-0,999;-1,4;12,738;1,216;-0,848;-0,999;17,49;0,099;-1,197;-0,067;-1,167
"ministre";-0,853;-0,995;-0,995;-1,012;-1,633;-1,048;-1,54;-0,906;-1,652;0,055;0,63;210,352;-1,671;-1,048;-1,21;0,002;14,302;-1,246;-0,923;-1,429;-1,652;-1,392
"guerre";-0,784;0,022;0,022;-0,93;-0,118;-0,963;-1,415;-0,832;-0,126;0,103;24,018;-1,095;-1,535;-0,963;-1,112;5,378;65,501;-1,145;-0,848;-1,313;-1,518;-1,279
"feu";0,12;-0,873;0,037;-0,889;-1,434;-0,921;0,472;0,082;-1,451;0,135;0,976;0;5,564;0,02;0;5,824;0;-0,001;-0,811;-1,255;-1,451;0,688
"européen";0,09;-0,914;0,022;-0,93;-1,501;-0,963;-1,415;-0,832;-1,518;7,371;15,254;0,969;-1,535;-0,963;0,927;-0,93;-1,095;-1,145;0,049;-0,044;24,117;-1,279
"emji_balance_à_poids";-0,474;-0,553;-0,553;-0,563;-0,908;-0,583;-0,856;-0,504;-0,918;-0,464;30,542;32,205;-0,929;-0,583;-0,673;-0,563;3,174;-0,693;-0,513;0,093;0,027;-0,774
"célèbre";-0,992;-1,157;-0,008;-1,177;-1,9;0,67;1,176;9,531;0,032;0,007;-1,45;-1,386;-1,943;-0,02;75,927;-0,012;-1,386;-0,1;-1,074;-1,662;-0,364;-0,183
"cours";-0,784;-0,914;-0,914;-0,93;16,538;-0,963;-1,415;-0,832;-1,518;0,103;-0,006;-0,001;-1,535;0,009;-1,112;0,017;-0,001;3,669;-0,848;12,479;-0,126;0,581
"âgé";0,066;-0,954;0,011;0,007;-0,151;0,003;-0,108;1,756;0,211;-0,801;-1,196;-1,144;-1,603;-1,006;-1,161;4,973;0,846;3,349;0,031;6,221;-0,16;-1,336
"tête";2,427;-0,873;0,037;33,287;0,366;0,02;-0,057;0,082;-1,451;-0,733;-1,095;0;0,329;-0,921;-1,063;-0,889;-1,047;-0,001;-0,811;-0,027;-0,095;0,688
"succès";1,828;-0,995;-0,995;-1,012;8,729;-1,048;0,246;1,589;0,159;-0,835;3,059;0,736;-1,671;-1,048;-0,017;-1,012;-1,192;-1,246;-0,923;-0,088;8,562;-1,392
"région";-0,714;-0,833;0,058;-0,848;-1,368;-0,878;-0,036;-0,759;-1,384;17,397;4,412;0,004;-1,4;-0,878;0,002;1,873;10,556;-1,044;0,099;-0,013;-1,384;0,81
"raison";0,564;-0,593;-0,593;-0,603;-0,974;-0,625;-0,918;-0,54;-0,985;-0,498;0,135;0,169;-0,996;3,498;2,696;3,712;0,169;-0,743;-0,55;0,054;0,008;6,742
"nombre";0,309;-0,713;0,161;-0,726;-1,171;-0,751;-1,104;-0,649;-1,184;-0,599;0,032;-0,854;-0,012;0,122;-0,867;-0,726;-0,854;-0,893;-0,662;72,108;-0,01;4,867
"montrer";-0,749;-0,873;0,037;-0,889;-0,088;1,544;-1,353;0,082;-1,451;-0,733;-0,001;0;-0,102;-0,921;-1,063;-0,889;4,372;-0,001;-0,811;3,059;17,451;-0,019
"mesure";-0,68;-0,793;2,173;-0,807;-1,302;-0,836;-1,228;-0,722;-1,317;31,312;0,005;19,935;-0,048;-0,836;-0,965;-0,807;-0,95;-0,994;-0,736;8,657;-0,043;-0,002
"hiver";-0,714;0,058;-0,833;-0,848;-1,368;-0,878;-0,036;-0,759;-1,384;2,78;-1,044;-0,999;27,142;0,036;10,32;-0,848;1,265;-1,044;-0,774;0,745;-0,067;-1,167
"fribourg";-0,749;-0,873;0,037;1,676;0,366;-0,921;-1,353;0,082;5,681;-0,733;-1,095;1,108;-1,467;-0,921;-1,063;-0,889;-1,047;-0,001;-0,811;7,319;-1,451;13,93
