"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"complotistes";-1,498;-0,364;-1,438;-0,186;7,962;-0,307;-1,761;-0,351;83,295;-0,193
"communiqué";0,578;-0,364;-1,438;-0,186;-0,377;-0,307;-0,147;-0,351;-0,185;5,486
"comedy";-1,284;1,753;18,657;-0,159;-0,323;-0,264;-1,509;-0,301;-0,158;-1,6
"colonisateur";22,357;-0,364;-1,438;-0,186;-0,377;-0,307;-0,147;-0,351;-0,185;-1,867
"collusion";32,722;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;-1,867
"collant";-1,498;97,142;-1,438;3,805;-0,377;-0,307;-1,761;-0,351;-0,185;-1,867
"colis";-1,498;-0,364;-1,438;-0,186;1,219;-0,307;11,491;1,392;-0,185;-1,867
"cohésion";-0,004;-0,312;-1,233;-0,159;-0,323;-0,264;8,106;-0,301;-0,158;-0,069
"cnews";0,578;-0,364;3,301;-0,186;-0,377;-0,307;-1,761;-0,351;3,839;-0,193
"clore";-1,498;-0,364;-1,438;-0,186;1,219;-0,307;0,313;-0,351;-0,185;5,486
"clientèle";-1,284;-0,312;-1,233;-0,159;24,976;-0,264;0,655;1,866;-0,158;-1,6
"claque";-1,498;-0,364;0,659;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;10,689
"civisme";-1,498;-0,364;-1,438;3,805;-0,377;78,516;-0,147;-0,351;-0,185;-1,867
"citron";-1,498;-0,364;0,659;-0,186;-0,377;-0,307;11,491;-0,351;-0,185;-1,867
"ciné";-0,054;-0,364;-0,038;-0,186;20,605;-0,307;-1,761;-0,351;-0,185;0,238
"cij";17,846;-0,312;-1,233;-0,159;-0,323;-0,264;-0,044;-0,301;-0,158;-1,6
"chèque";0,578;-0,364;-1,438;-0,186;-0,377;-0,307;0,313;22,327;-0,185;-1,867
"chronique";-1,498;-0,364;-1,438;-0,186;-0,377;-0,307;2,259;42,221;-0,185;-1,867
"chiner";-1,498;-0,364;-1,438;-0,186;130,185;-0,307;-1,761;-0,351;-0,185;-1,867
"chiant";0,578;1,299;0,659;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;0,238
"charia";1,724;2,41;0,031;-0,133;-0,269;-0,22;0;-0,251;-0,132;-1,334
"chaques";-1,07;-0,26;0,031;6,021;-0,269;-0,22;-1,258;13,644;-0,132;-0,003
"centrer";-1,498;-0,364;-1,438;3,805;-0,377;-0,307;5,985;1,392;-0,185;-0,193
"cave";-0,054;-0,364;0,659;-0,186;1,219;-0,307;-1,761;-0,351;3,839;0,238
"caricature";-1,07;-0,26;0,031;-0,133;-0,269;3,096;-1,258;-0,251;6,069;1,08
"caoutchouc";32,722;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;-1,867
"bétail";-0,004;-0,312;-0,001;-0,159;9,875;2,312;-0,044;-0,301;-0,158;-1,6
"bénéficiaire";-0,054;-0,364;-0,038;-0,186;-0,377;-0,307;2,259;8,718;-0,185;-1,867
"bénir";-0,004;25,908;-1,233;-0,159;-0,323;-0,264;-0,044;-0,301;4,764;-1,6
