"";"";"";"";"tu";""
"230";"elle_même";"-0.222778602078895";"0.270758475164169";"0.804387803706059";"464"
"231";"32";"0.462090785769817";"0.0278996785354529";"0.804295477483943";"467"
"232";"hé";"-0.443084258747037";"-0.181612648844235";"0.80429316932839";"468"
"233";"debout";"-0.444919857168571";"0.741567641748979";"0.803136783396388";"472"
"234";"2008";"0.0300397777622202";"0.74976466469611";"0.803009834840979";"473"
"235";"loin";"-0.185168406554589";"0.080074866962072";"0.802970596196579";"474"
"236";"hormis";"0.148891226919928";"-0.603183835101821";"0.802499732463788";"475"
"237";"jusque";"0.387489446774969";"0.0563349384739002";"0.802499732463788";"476"
"238";"fort";"-0.0532530386592108";"0.46597696599108";"0.802123503108666";"477"
"239";"nul";"-0.314024446431253";"0.55455313088709";"0.802114270486454";"478"
"240";"2011";"0.61336141219818";"-0.0725462085651055";"0.801424131976138";"480"
"241";"eh";"0.0402071713700757";"0.520536371679254";"0.800304676532983";"483"
"242";"2030";"-0.842004661576926";"0.823971728102237";"0.800207733999761";"484"
