"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"htag_alcool";6,629;-0,161;-0,167;-0,143;-0,24;-0,271;-0,114;-0,125;2,839;-0,155;-0,215;-0,173;-0,228;-0,137;-0,278;-0,114;-0,197;-0,234;3,583;2,29;-0,259;-0,173
"hors";-0,125;4,867;-0,167;-0,143;-0,24;2,371;-0,114;-0,125;-0,24;-0,155;16,822;-0,173;-0,228;-0,137;-0,278;-0,114;-0,197;-0,234;-0,203;-0,278;-0,259;-0,173
"eh";-0,094;-0,12;-0,125;8,121;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;4,65;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;3,951;-0,129
"e";-0,094;32,146;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;3,603;-0,085;-0,148;-0,175;-0,152;-0,208;-0,194;-0,129
"d_abord";-0,125;-0,161;-0,167;-0,143;2,839;-0,271;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;15,81;-0,137;-0,278;-0,114;-0,197;-0,234;-0,203;-0,278;2,545;-0,173
"certain";-0,125;-0,161;-0,167;-0,143;-0,24;2,371;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;-0,228;-0,137;-0,278;-0,114;-0,197;2,947;-0,203;2,29;2,545;-0,173
"au_dessus";-0,125;-0,161;-0,167;-0,143;-0,24;2,371;-0,114;-0,125;-0,24;-0,155;-0,215;4,438;-0,228;-0,137;2,29;-0,114;3,734;-0,234;-0,203;-0,278;-0,259;-0,173
"ah";-0,125;4,867;-0,167;-0,143;-0,24;-0,271;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;-0,228;5,943;2,29;-0,114;3,734;-0,234;-0,203;-0,278;-0,259;-0,173
"88";-0,094;-0,12;-0,125;-0,107;-0,18;3,714;-0,085;-0,094;4,35;-0,116;-0,161;-0,129;-0,171;-0,103;3,603;-0,085;-0,148;-0,175;-0,152;-0,208;-0,194;-0,129
"84";-0,125;-0,161;-0,167;-0,143;-0,24;-0,271;-0,114;-0,125;-0,24;-0,155;3,308;-0,173;-0,228;-0,137;12,628;-0,114;-0,197;-0,234;-0,203;-0,278;-0,259;4,438
"2009";6,629;-0,161;-0,167;-0,143;-0,24;2,371;-0,114;6,629;-0,24;-0,155;-0,215;-0,173;3,061;-0,137;-0,278;-0,114;-0,197;-0,234;-0,203;-0,278;-0,259;-0,173
"2003";-0,125;23,167;-0,167;5,641;-0,24;-0,271;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;-0,228;-0,137;-0,278;-0,114;-0,197;-0,234;-0,203;-0,278;-0,259;4,438
"1997";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;4,65;-0,103;3,603;-0,085;-0,148;-0,175;-0,152;3,603;-0,194;-0,129
"1978";-0,125;-0,161;4,645;-0,143;2,839;-0,271;-0,114;-0,125;-0,24;5,105;-0,215;-0,173;-0,228;-0,137;2,29;-0,114;-0,197;-0,234;-0,203;-0,278;-0,259;-0,173
"15";-0,125;-0,161;-0,167;-0,143;-0,24;-0,271;-0,114;-0,125;2,839;-0,155;-0,215;21,427;-0,228;-0,137;-0,278;-0,114;3,734;-0,234;-0,203;-0,278;-0,259;-0,173
"quelles";-0,094;-0,12;-0,125;-0,107;-0,18;3,714;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;8,525;3,603;-0,085;-0,148;-0,175;-0,152;-0,208;-0,194;-0,129
"peut_être";-0,094;-0,12;-0,125;-0,107;-0,18;3,714;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;4,65;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;3,951;-0,129
"mes";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;9,444;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;10,548;-0,148;4,496;-0,152;-0,208;-0,194;-0,129
"lui_même";9,444;-0,12;6,784;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;3,951;-0,129
"htag_womensday";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;78,211;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;-0,194;-0,129
"htag_waterski";-0,094;-0,12;6,784;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;8,525;-0,208;-0,085;5,559;-0,175;-0,152;-0,208;-0,194;-0,129
"htag_vigneron";-0,094;-0,12;6,784;-0,107;-0,18;3,714;10,548;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;-0,194;-0,129
"htag_vieillir";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;9,444;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;3,603;-0,085;-0,148;4,496;-0,152;-0,208;-0,194;-0,129
"htag_tricot";-0,094;-0,12;-0,125;-0,107;4,35;-0,203;-0,085;-0,094;4,35;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;3,951;-0,129
